true_ey_mm,n_frames,paired_pct,width_sane_pct,width_mean_mm,width_sd_mm,ey_mean_mm,ey_sd_mm,epsi_mean_deg,epsi_sd_deg,conf_mean,stamp
0.0,197,100.0,100.0,247.1,4.1,-11.7,2.0,-3.07,0.03,0.982,20260818T132014Z
40.0,192,100.0,100.0,232.8,6.0,16.3,3.0,1.21,0.04,0.954,20260818T132236Z
-40.0,189,5.3,0.0,166.5,12.1,0.1,6.1,-0.62,0.01,0.685,20260818T132327Z
60.0,197,100.0,89.3,219.3,14.9,26.0,35.6,2.08,1.90,0.843,20260818T132420Z
-60.0,202,5.4,9.1,154.2,23.0,-78.8,11.2,-14.40,5.87,0.311,20260818T132504Z
-80.0,187,94.1,57.4,199.7,32.3,-74.4,16.9,-6.96,6.00,0.455,20260818T132604Z
-100.0,192,14.1,44.4,262.1,42.8,-105.8,19.2,-4.33,2.14,0.503,20260818T132641Z
80.0,193,100.0,1.6,197.0,17.4,31.6,60.6,1.97,2.83,0.720,20260818T132748Z
100.0,200,100.0,0.5,188.5,14.3,56.8,45.9,3.82,2.92,0.698,20260818T132820Z
0.0,196,100.0,100.0,240.5,2.3,-7.9,1.1,-2.54,0.04,0.926,20260818T132902Z
-40.0,198,74.2,5.4,179.6,21.1,-7.1,11.4,-4.69,3.44,0.689,20260818T132951Z
-60.0,201,51.2,32.0,174.0,44.0,-49.4,12.4,-20.55,16.45,0.432,20260818T133057Z
60.0,194,100.0,76.8,231.7,20.7,42.8,10.0,-4.02,2.91,0.876,20260818T133753Z
80.0,193,99.5,1.6,178.0,10.8,50.4,21.9,-5.20,2.90,0.721,20260818T133831Z
100.0,188,99.5,38.0,204.4,34.2,59.9,37.7,-1.92,4.50,0.547,20260818T133917Z
