frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m
00000.png,1787054660.355,-0.04714,-0.03124,0.31585,1,3,0.729,ok,-0.11086;0.20514;0.26306
00001.png,1787054660.454,-0.03050,-0.00757,0.28161,1,3,0.688,ok,-0.11031;0.17131;0.24860
00002.png,1787054660.507,0.01424,-0.00864,0.19078,1,3,0.667,ok,-0.10963;0.08116;0.26306
00003.png,1787054660.556,-0.03071,-0.01693,0.28193,1,3,0.708,ok,-0.11027;0.17170;0.26798
00004.png,1787054660.604,-0.03037,-0.00961,0.28332,1,3,0.667,ok,-0.11129;0.17204;0.25667
00005.png,1787054660.805,-0.03678,-0.01496,0.29639,1,3,0.667,ok,-0.11143;0.18499;0.23833
00006.png,1787054660.852,-0.02982,-0.00717,0.28116,1,3,0.688,ok,-0.11076;0.17040;0.25633
00007.png,1787054660.954,-0.03076,0.00523,0.28189,1,3,0.667,ok,-0.11019;0.17170;0.26148
00008.png,1787054661.004,-0.03025,-0.00879,0.28124,1,3,0.667,ok,-0.11037;0.17088;0.24860
00009.png,1787054661.203,-0.02992,-0.01460,0.28153,1,3,0.688,ok,-0.11086;0.17070;0.25687
00010.png,1787054661.303,-0.00661,0.01093,0.23646,1,2,0.646,ok,-0.11163;0.12484
00011.png,1787054661.352,-0.05693,0.02181,0.20836,1,3,0.333,ok,-0.11179;-0.04727;0.16113
00012.png,1787054661.403,-0.02851,-0.00687,0.28218,1,2,0.625,ok,-0.11258;0.16961
00013.png,1787054661.455,0.01876,0.01708,0.18243,1,2,0.667,ok,-0.10998;0.07247
00014.png,1787054661.505,-0.02976,0.00823,0.28037,1,3,0.646,ok,-0.11043;0.16995;0.25082
00015.png,1787054661.602,-0.03110,-0.00799,0.28330,1,3,0.667,ok,-0.11055;0.17276;0.24860
00016.png,1787054661.654,-0.02810,-0.00835,0.27825,1,3,0.667,ok,-0.11102;0.16723;0.24860
00017.png,1787054661.704,-0.03757,-0.00766,0.29617,1,3,0.667,ok,-0.11053;0.18566;0.24812
00018.png,1787054661.753,-0.03088,-0.00726,0.28419,1,3,0.688,ok,-0.11122;0.17298;0.25948
00019.png,1787054661.804,-0.03187,-0.00726,0.28617,1,3,0.667,ok,-0.11122;0.17496;0.25948
00020.png,1787054661.902,-0.03035,-0.01343,0.28268,1,3,0.688,ok,-0.11101;0.17170;0.26041
00021.png,1787054662.102,0.00421,-0.00934,0.21363,1,3,0.646,ok,-0.11102;0.10261;0.24725
00022.png,1787054662.152,-0.01766,-0.01159,0.25844,1,3,0.729,ok,-0.11156;0.14689;0.23415
00023.png,1787054662.202,-0.00730,-0.02318,0.23657,1,3,0.708,ok,-0.11101;0.12562;0.25669
00024.png,1787054662.252,-0.02967,-0.01451,0.28214,1,3,0.688,ok,-0.11141;0.17075;0.25948
00025.png,1787054662.302,-0.03014,-0.00191,0.28260,1,3,0.688,ok,-0.11116;0.17145;0.26041
00026.png,1787054662.354,-0.01866,-0.00862,0.25955,1,3,0.667,ok,-0.11112;0.14844;0.27872
00027.png,1787054662.452,-0.03370,-0.01394,0.28954,1,3,0.667,ok,-0.11108;0.17849;0.26665
00028.png,1787054662.504,-0.02792,-0.00886,0.27740,1,3,0.646,ok,-0.11079;0.16663;0.26238
00029.png,1787054662.557,-0.03069,-0.00961,0.28259,1,3,0.688,ok,-0.11061;0.17199;0.26823
00030.png,1787054662.604,-0.03084,-0.01994,0.28430,1,3,0.688,ok,-0.11134;0.17302;0.26041
00031.png,1787054662.653,-0.02865,-0.00862,0.28008,1,3,0.708,ok,-0.11140;0.16869;0.27949
00032.png,1787054662.702,-0.02854,-0.00164,0.27956,1,3,0.688,ok,-0.11125;0.16832;0.26306
00033.png,1787054662.756,-0.02817,-0.00051,0.27740,1,3,0.708,ok,-0.11053;0.16688;0.25989
00034.png,1787054662.803,-0.03072,-0.01496,0.28319,1,3,0.667,ok,-0.11089;0.17233;0.25082
00035.png,1787054662.903,-0.03071,-0.00747,0.28179,1,3,0.708,ok,-0.11019;0.17160;0.25239
00036.png,1787054662.952,-0.02926,-0.01226,0.28177,1,3,0.708,ok,-0.11163;0.17016;0.25986
00037.png,1787054663.006,-0.03481,-0.00226,0.28815,1,3,0.688,ok,-0.10927;0.17888;0.25510
00038.png,1787054663.054,-0.06195,-0.04234,0.21694,1,4,0.354,ok,-0.11027;-0.04661;0.17052;0.26306
00039.png,1787054663.107,-0.02814,-0.00862,0.27702,1,3,0.646,ok,-0.11038;0.16665;0.28748
00040.png,1787054663.155,-0.03412,-0.01895,0.29091,1,3,0.667,ok,-0.11136;0.17960;0.26306
00041.png,1787054663.207,-0.02795,-0.02344,0.27688,1,3,0.729,ok,-0.11052;0.16643;0.27867
00042.png,1787054663.253,-0.02870,-0.01600,0.28016,1,3,0.708,ok,-0.11139;0.16880;0.26126
00043.png,1787054663.304,0.01225,-0.03230,0.19500,1,3,0.688,ok,-0.10980;0.08531;0.25262
00044.png,1787054663.353,-0.03358,-0.01261,0.28886,1,3,0.646,ok,-0.11086;0.17802;0.26498
00045.png,1787054663.402,0.01413,-0.00825,0.19303,1,3,0.625,ok,-0.11065;0.08239;0.25948
00046.png,1787054663.453,-0.02736,-0.01139,0.27622,1,3,0.688,ok,-0.11076;0.16548;0.26306
00047.png,1787054663.504,0.01536,-0.00835,0.19187,1,3,0.646,ok,-0.11130;0.08057;0.25667
00048.png,1787054663.555,0.01102,-0.03452,0.19869,1,3,0.688,ok,-0.11043;0.08839;0.31123
00049.png,1787054663.607,-0.02925,-0.01933,0.28079,1,2,0.708,ok,-0.11117;0.16968
00050.png,1787054663.653,-0.05947,-0.04284,0.21899,1,4,0.354,ok,-0.11073;-0.05013;0.16906;0.25182
00051.png,1787054663.756,-0.03005,-0.00657,0.28115,1,3,0.688,ok,-0.11053;0.17062;0.24860
00052.png,1787054663.810,0.00980,-0.01360,0.20341,1,3,0.667,ok,-0.11152;0.09191;0.26798
00053.png,1787054663.858,-0.03415,-0.00744,0.29057,1,3,0.667,ok,-0.11114;0.17944;0.26798
00054.png,1787054663.904,-0.03297,-0.00771,0.28803,1,3,0.625,ok,-0.11105;0.17699;0.25674
00055.png,1787054664.007,-0.03471,-0.00655,0.29179,1,3,0.667,ok,-0.11119;0.18060;0.25986
00056.png,1787054664.053,-0.03367,-0.01396,0.28956,1,3,0.646,ok,-0.11112;0.17846;0.26558
00057.png,1787054664.105,-0.02990,-0.02793,0.28166,1,3,0.646,ok,-0.11098;0.17079;0.26319
00058.png,1787054664.153,-0.03006,0.01314,0.28251,1,3,0.646,ok,-0.11121;0.17133;0.25421
00059.png,1787054664.203,-0.02748,-0.02523,0.27775,1,3,0.646,ok,-0.11144;0.16640;0.25986
00060.png,1787054664.252,0.01489,-0.01472,0.19330,1,3,0.625,ok,-0.11155;0.08177;0.24860
00061.png,1787054664.303,-0.03018,-0.00886,0.28258,1,3,0.667,ok,-0.11112;0.17147;0.27064
00062.png,1787054664.352,-0.03390,-0.00699,0.29004,1,3,0.667,ok,-0.11112;0.17893;0.25421
00063.png,1787054664.404,-0.02883,-0.00862,0.27968,1,3,0.688,ok,-0.11102;0.16867;0.24849
00064.png,1787054664.452,-0.03916,-0.00837,0.30055,1,3,0.667,ok,-0.11112;0.18944;0.26798
