frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason
000000.png,1787057743.619,-0.10248,-0.28897,0.19816,1,3,0.250,ok
000001.png,1787057744.019,-0.09756,-0.07954,0.21529,1,3,0.479,ok
000002.png,1787057744.218,-0.12797,-0.23378,0.15297,1,3,0.229,ok
000003.png,1787057745.719,-0.09768,-0.08014,0.21549,1,3,0.458,ok
000004.png,1787057745.918,-0.10627,-0.27197,0.18802,1,3,0.292,ok
000005.png,1787057746.118,-0.10433,-0.26662,0.18617,1,3,0.229,ok
000006.png,1787057746.318,-0.06941,-0.06899,0.19819,1,3,0.479,ok
000007.png,1787057746.519,-0.08851,-0.29316,0.19850,1,3,0.292,ok
000008.png,1787057746.719,-0.09363,-0.28274,0.18606,1,3,0.188,ok
000009.png,1787057747.169,-0.08954,-0.27100,0.17440,1,3,0.229,ok
000010.png,1787057747.368,-0.08001,-0.28880,0.14181,1,3,0.250,ok
000011.png,1787057747.569,-0.03996,-0.04209,0.22029,1,3,0.604,ok
000012.png,1787057747.769,-0.09290,-0.24157,0.20365,1,3,0.312,ok
000013.png,1787057747.969,-0.08655,-0.24234,0.22601,1,3,0.375,ok
000014.png,1787057748.618,-0.06518,-0.31977,0.28403,1,3,0.500,ok
000015.png,1787057748.818,-0.13425,-0.07022,0.20793,1,3,0.479,ok
000016.png,1787057749.018,-0.12322,-0.07396,0.18117,1,3,0.479,ok
000017.png,1787057749.470,0.01056,-0.01269,0.18567,1,2,0.979,ok
000018.png,1787057750.123,-0.06138,-0.01722,0.33105,1,3,0.708,ok
000019.png,1787057750.319,-0.35462,0.40539,0.20769,1,3,0.312,ok
000020.png,1787057750.519,-0.04330,-0.38024,0.20395,1,3,0.417,ok
000021.png,1787057750.718,0.02747,-0.01536,0.15208,1,3,0.646,ok
000022.png,1787057751.169,-0.08288,-0.21945,0.19322,1,3,0.333,ok
000023.png,1787057751.569,-0.34745,0.56746,0.15677,1,3,0.396,ok
000024.png,1787057751.769,0.00808,-0.01561,0.19171,1,3,0.750,ok
000025.png,1787057785.469,-0.02747,-0.06527,0.27242,1,2,0.896,ok
000026.png,1787057785.669,-0.02822,-0.06636,0.27398,1,3,0.958,ok
000027.png,1787057785.769,-0.03317,-0.06535,0.28408,1,3,0.958,ok
000028.png,1787057785.769,-0.03317,-0.06535,0.28408,1,3,0.958,ok
000029.png,1787057786.269,-0.03426,-0.06044,0.28510,1,2,0.979,ok
000030.png,1787057786.469,-0.02645,-0.05398,0.26919,1,2,0.896,ok
000031.png,1787057786.719,-0.03271,-0.06178,0.28093,1,3,0.938,ok
000032.png,1787057786.919,-0.02055,-0.05280,0.25638,1,3,0.917,ok
000033.png,1787057787.119,-0.04800,-0.03786,0.31128,1,2,0.896,ok
000034.png,1787057787.318,-0.03547,-0.05535,0.28442,1,2,0.917,ok
000035.png,1787057787.519,-0.02656,-0.08625,0.26456,1,2,0.917,ok
000036.png,1787057787.719,-0.05955,-0.07791,0.33009,1,2,0.896,ok
000037.png,1787057787.968,-0.02367,-0.06621,0.25662,1,2,0.854,ok
000038.png,1787057788.169,-0.05620,-0.08119,0.31987,1,2,0.917,ok
000039.png,1787057788.369,-0.04105,-0.09351,0.28728,1,2,0.875,ok
000040.png,1787057788.569,-0.04201,-0.08988,0.28590,1,2,0.917,ok
000041.png,1787057788.768,-0.06431,0.00026,0.32235,1,3,0.708,ok
000042.png,1787057788.969,-0.07227,-0.01257,0.32582,1,4,0.583,ok
000043.png,1787057789.168,-0.03690,-0.01229,0.25709,1,3,0.646,ok
000044.png,1787057789.369,-0.07923,-0.00768,0.33827,1,3,0.667,ok
000045.png,1787057789.619,-0.09104,-0.23804,0.24955,1,3,0.417,ok
000046.png,1787057789.819,-0.13175,-0.13873,0.29551,1,3,0.354,ok
000047.png,1787057790.018,-0.07036,-0.32385,0.22680,1,3,0.312,ok
000048.png,1787057790.218,-0.17651,-0.07290,0.31531,1,3,0.271,ok
000049.png,1787057790.419,-0.06001,-0.35036,0.22033,1,3,0.292,ok
000050.png,1787057790.819,-0.06448,-0.03963,0.24162,1,3,0.604,ok
000051.png,1787057791.069,-0.06136,-0.04383,0.22821,1,3,0.583,ok
000052.png,1787057791.268,-0.05329,-0.04199,0.20941,1,3,0.625,ok
000053.png,1787057791.919,-0.11723,-0.23927,0.19409,1,3,0.188,ok
000054.png,1787057792.569,-0.10605,-0.25295,0.18793,1,3,0.167,ok
000055.png,1787057792.669,-0.08615,-0.05429,0.23005,1,3,0.521,ok
000056.png,1787057793.169,-0.09699,-0.26791,0.21140,1,3,0.208,ok
000057.png,1787057793.819,-0.13212,-0.19195,0.15874,1,3,0.229,ok
000058.png,1787057794.619,-0.10904,-0.03525,0.21972,1,3,0.438,ok
000059.png,1787057804.219,-0.10787,-0.05374,0.21218,1,3,0.500,ok
000060.png,1787057804.419,-0.10537,-0.05662,0.21144,1,3,0.500,ok
000061.png,1787057804.869,-0.09308,-0.29254,0.19707,1,3,0.208,ok
000062.png,1787057805.469,-0.11666,-0.22964,0.17165,1,3,0.188,ok
000063.png,1787057806.319,-0.08423,-0.28820,0.21237,1,3,0.250,ok
000064.png,1787057806.518,-0.05797,-0.03732,0.19070,1,3,0.625,ok
000065.png,1787057806.718,-0.09806,-0.25597,0.18413,1,3,0.229,ok
000066.png,1787057806.918,-0.10402,-0.22952,0.16486,1,3,0.250,ok
000067.png,1787057807.119,-0.06437,-0.02112,0.24203,1,3,0.562,ok
000068.png,1787057807.319,-0.04319,-0.02490,0.20366,1,3,0.646,ok
000069.png,1787057807.569,-0.04837,-0.02253,0.21513,1,3,0.688,ok
000070.png,1787057807.769,-0.03522,-0.02372,0.19930,1,3,0.708,ok
000071.png,1787057807.968,-0.05509,-0.35225,0.18713,1,3,0.354,ok
000072.png,1787057808.169,-0.01948,-0.03047,0.19310,1,3,0.667,ok
000073.png,1787057808.619,-0.01126,-0.01592,0.20684,1,3,0.688,ok
000074.png,1787057808.818,-0.02518,-0.01425,0.23741,1,3,0.667,ok
000075.png,1787057809.018,0.01871,-0.01287,0.15001,1,3,0.667,ok
000076.png,1787057809.219,-0.09973,-0.17458,0.20018,1,3,0.417,ok
000077.png,1787057809.419,-0.05516,0.00822,0.30894,1,2,0.875,ok
000078.png,1787057809.619,-0.03587,0.01128,0.27792,1,2,0.854,ok
000079.png,1787057809.819,-0.04208,-0.08527,0.29293,1,2,0.854,ok
000080.png,1787057810.069,-0.05174,0.02768,0.31859,1,2,0.854,ok
000081.png,1787057810.268,-0.02760,0.03091,0.27354,1,2,0.938,ok
000082.png,1787057810.469,-0.04019,-0.05276,0.30387,1,2,0.875,ok
000083.png,1787057810.670,-0.01727,-0.05660,0.26641,1,2,0.896,ok
000084.png,1787057810.918,-0.03140,-0.03513,0.29694,1,2,0.833,ok
000085.png,1787057811.119,-0.02538,-0.05061,0.28943,1,2,0.854,ok
000086.png,1787057811.318,-0.01012,-0.04592,0.26532,1,3,0.854,ok
000087.png,1787057811.569,-0.01175,-0.04066,0.26841,1,2,0.854,ok
000088.png,1787057811.769,-0.00163,-0.04415,0.24938,1,3,0.854,ok
000089.png,1787057811.969,0.00863,-0.04282,0.22949,1,3,0.875,ok
000090.png,1787057812.169,-0.00212,-0.04402,0.25002,1,3,0.875,ok
000091.png,1787057812.369,-0.01127,-0.05924,0.26893,1,3,0.854,ok
000092.png,1787057812.569,0.01298,-0.03717,0.23256,1,2,0.938,ok
000093.png,1787057812.819,0.01393,-0.03314,0.23998,1,3,1.000,ok
000094.png,1787057813.019,0.01701,-0.03246,0.23513,1,3,0.979,ok
000095.png,1787057813.219,0.02676,-0.03362,0.23209,1,3,0.896,ok
000096.png,1787057813.468,0.03266,-0.03381,0.22863,1,3,0.875,ok
000097.png,1787057813.669,0.02800,-0.02327,0.23819,1,3,0.833,ok
000098.png,1787057813.869,0.02974,-0.01456,0.23897,1,2,0.958,ok
000099.png,1787057814.018,0.03569,-0.02535,0.23435,1,2,0.917,ok
000100.png,1787057814.269,0.04144,-0.01865,0.22662,1,2,0.854,ok
000101.png,1787057814.468,0.04163,-0.00337,0.23280,1,2,0.917,ok
000102.png,1787057814.719,0.04437,-0.01192,0.22605,1,2,0.958,ok
000103.png,1787057814.918,0.05527,-0.02332,0.20803,1,2,1.000,ok
000104.png,1787057815.118,0.05667,-0.02024,0.21153,1,2,0.958,ok
000105.png,1787057815.319,0.05359,-0.02168,0.22010,1,2,0.896,ok
000106.png,1787057815.518,0.05648,-0.00309,0.21407,1,2,0.917,ok
000107.png,1787057815.768,0.06923,-0.14514,0.19504,1,2,0.875,ok
000108.png,1787057815.969,0.05893,-0.14853,0.22449,1,3,0.750,ok
000109.png,1787057816.219,0.06950,-0.02103,0.20089,1,4,0.792,ok
000110.png,1787057816.418,0.07150,-0.00974,0.19746,1,2,0.938,ok
000111.png,1787057816.618,0.05680,-0.13942,0.22440,1,2,0.771,ok
000112.png,1787057816.818,0.08805,-0.14164,0.16686,1,3,0.333,ok
000113.png,1787057817.019,0.07143,-0.13670,0.20012,1,3,0.812,ok
000114.png,1787057817.218,0.07930,-0.13387,0.18721,1,2,0.875,ok
000115.png,1787057817.469,0.07811,-0.13155,0.19162,1,3,0.729,ok
000116.png,1787057817.669,0.08745,-0.12021,0.17190,1,4,0.792,ok
000117.png,1787057817.870,0.07294,0.00881,0.20606,1,4,0.312,ok
000118.png,1787057818.069,0.10369,-0.11123,0.15186,1,4,0.688,ok
000119.png,1787057818.319,0.09727,-0.11391,0.16596,1,4,0.375,ok
000120.png,1787057818.519,0.08339,-0.09793,0.19887,1,4,0.583,ok
000121.png,1787057818.719,-0.11065,-0.07977,0.19366,1,4,0.458,ok
000122.png,1787057818.919,0.08592,-0.07860,0.19471,1,4,0.479,ok
000123.png,1787057819.119,0.09703,-0.10324,0.17685,1,4,0.333,ok
000124.png,1787057819.369,-0.10728,-0.07199,0.20009,1,4,0.417,ok
000125.png,1787057819.569,-0.10492,-0.05843,0.19737,1,4,0.458,ok
000126.png,1787057819.768,0.08840,-0.05705,0.19092,1,5,0.521,ok
000127.png,1787057819.969,0.09004,-0.06311,0.18979,1,4,0.500,ok
000128.png,1787057820.218,0.09124,-0.06696,0.19279,1,4,0.500,ok
000129.png,1787057820.419,0.08945,-0.06652,0.19066,1,4,0.521,ok
000130.png,1787057820.619,0.08979,-0.06763,0.19238,1,4,0.479,ok
000131.png,1787057820.819,0.09613,-0.13063,0.18189,1,4,0.417,ok
000132.png,1787057821.020,0.08660,-0.05007,0.18720,1,4,0.542,ok
000133.png,1787057821.218,0.08612,-0.06113,0.19106,1,4,0.562,ok
000134.png,1787057821.468,0.08154,-0.06975,0.18605,1,4,0.521,ok
000135.png,1787057821.670,0.10031,-0.14267,0.14981,1,4,0.354,ok
000136.png,1787057821.868,0.08469,-0.07405,0.18134,1,4,0.583,ok
000137.png,1787057822.068,-0.10998,-0.17816,0.16777,1,4,0.271,ok
000138.png,1787057822.318,0.09048,-0.08886,0.16521,1,4,0.604,ok
000139.png,1787057822.518,-0.11352,-0.08522,0.17695,1,4,0.479,ok
000140.png,1787057822.719,0.07106,0.01912,0.19747,1,4,0.583,ok
000141.png,1787057822.918,-0.11126,-0.20112,0.16200,1,4,0.229,ok
000142.png,1787057823.119,0.06837,0.00646,0.19877,1,4,0.604,ok
000143.png,1787057823.368,0.05683,-0.09739,0.21972,1,3,0.646,ok
000144.png,1787057823.569,0.06588,0.01567,0.20116,1,3,0.667,ok
000145.png,1787057823.769,0.08835,0.17297,0.15264,1,4,0.375,ok
000146.png,1787057823.969,0.05729,-0.09883,0.21716,1,3,0.667,ok
000147.png,1787057824.218,0.07883,0.11991,0.16897,1,4,0.354,ok
000148.png,1787057824.418,0.05086,0.00444,0.22121,1,3,0.708,ok
000149.png,1787057824.618,-0.12145,-0.10708,0.15323,1,4,0.458,ok
000150.png,1787057824.819,0.04962,-0.00446,0.22151,1,3,0.646,ok
000151.png,1787057825.019,0.05498,-0.00421,0.20787,1,3,0.771,ok
000152.png,1787057825.219,0.05207,-0.00735,0.21152,1,2,0.812,ok
000153.png,1787057825.469,0.05235,-0.01361,0.20761,1,3,0.938,ok
000154.png,1787057825.669,0.04967,-0.01117,0.21139,1,3,0.875,ok
000155.png,1787057825.869,0.04618,-0.01633,0.21578,1,3,0.833,ok
000156.png,1787057826.068,0.04604,-0.01872,0.21401,1,3,0.875,ok
000157.png,1787057826.269,0.05383,-0.02004,0.19835,1,2,0.938,ok
000158.png,1787057826.469,0.05444,-0.02125,0.19506,1,2,1.000,ok
000159.png,1787057826.669,0.04231,-0.02453,0.22108,1,2,0.917,ok
000160.png,1787057826.919,0.04667,-0.02457,0.20646,1,2,0.958,ok
000161.png,1787057827.119,0.03942,-0.02612,0.22071,1,2,0.917,ok
000162.png,1787057827.318,0.04524,-0.02490,0.20782,1,2,0.917,ok
000163.png,1787057827.519,0.03083,-0.02764,0.23408,1,3,0.854,ok
000164.png,1787057827.769,0.04277,-0.03122,0.20903,1,2,0.958,ok
000165.png,1787057827.968,0.04096,-0.03613,0.20960,1,2,0.979,ok
