frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason
000000.png,1787058505.618,-0.01414,-0.06520,0.25264,1,3,0.896,ok
000001.png,1787058505.818,-0.00549,-0.06823,0.23581,1,3,0.875,ok
000002.png,1787058506.018,-0.00165,-0.06720,0.22779,1,3,0.875,ok
000003.png,1787058506.218,-0.00729,-0.06749,0.23887,1,3,0.896,ok
000004.png,1787058509.568,-0.02244,-0.08942,0.25336,1,2,0.979,ok
000005.png,1787058509.970,-0.02470,-0.09052,0.25453,1,3,0.958,ok
000006.png,1787058510.169,-0.02515,-0.08959,0.25493,1,2,1.000,ok
000007.png,1787058510.418,-0.03000,-0.09328,0.26388,1,2,0.979,ok
000008.png,1787058510.619,-0.02793,-0.09329,0.25773,1,2,0.979,ok
000009.png,1787058510.819,-0.02672,-0.09374,0.25375,1,2,1.000,ok
000010.png,1787058511.219,-0.02882,-0.09051,0.25685,1,2,0.833,ok
000011.png,1787058511.419,-0.02481,-0.09041,0.24869,1,2,0.875,ok
000012.png,1787058511.618,-0.02566,-0.09067,0.24963,1,2,0.771,ok
000013.png,1787058511.869,-0.02587,-0.09152,0.24894,1,2,0.833,ok
000014.png,1787058512.069,-0.02928,-0.09058,0.25473,1,2,0.875,ok
000015.png,1787058512.269,-0.03191,-0.09478,0.25896,1,2,0.812,ok
000016.png,1787058512.519,-0.02887,-0.09210,0.25155,1,2,0.812,ok
000017.png,1787058512.718,-0.02942,-0.09510,0.25134,1,2,0.854,ok
000018.png,1787058512.918,-0.02972,-0.09727,0.25090,1,2,0.854,ok
000019.png,1787058513.068,-0.02996,-0.09820,0.25210,1,2,0.854,ok
000020.png,1787058513.319,-0.03121,-0.09903,0.25272,1,2,0.833,ok
000021.png,1787058513.569,-0.03414,-0.10504,0.25691,1,2,0.771,ok
000022.png,1787058513.769,-0.03317,-0.10503,0.25318,1,2,0.792,ok
000023.png,1787058514.018,-0.03978,-0.10484,0.26754,1,2,0.771,ok
000024.png,1787058514.218,-0.04747,-0.10518,0.28001,1,2,0.812,ok
000025.png,1787058514.618,-0.13053,-0.21450,0.25875,1,3,0.354,ok
000026.png,1787058517.968,-0.03967,-0.00801,0.24766,1,3,0.729,ok
000027.png,1787058518.819,-0.03891,-0.01490,0.24435,1,3,0.708,ok
000028.png,1787058519.469,-0.04471,-0.36494,0.23648,1,3,0.333,ok
000029.png,1787058522.419,-0.04699,-0.35663,0.23722,1,3,0.292,ok
000030.png,1787058522.818,-0.03649,-0.01292,0.24075,1,3,0.708,ok
000031.png,1787058523.468,-0.03711,-0.01443,0.24281,1,3,0.708,ok
000032.png,1787058524.319,-0.01934,-0.01275,0.21042,1,3,0.646,ok
000033.png,1787058524.768,-0.03830,-0.01459,0.24784,1,3,0.688,ok
000034.png,1787058528.319,-0.03664,-0.01215,0.24763,1,3,0.688,ok
000035.png,1787058531.418,-0.14809,-0.20198,0.25406,1,3,0.417,ok
000036.png,1787058531.869,-0.03479,-0.08527,0.27236,1,2,0.917,ok
000037.png,1787058532.069,-0.02149,-0.08340,0.24718,1,2,0.854,ok
000038.png,1787058532.269,-0.03549,-0.08153,0.27791,1,2,0.938,ok
000039.png,1787058532.518,-0.02111,-0.07830,0.25190,1,2,0.896,ok
000040.png,1787058532.719,-0.02255,-0.07523,0.25569,1,2,0.875,ok
000041.png,1787058532.919,-0.02765,-0.07324,0.26733,1,3,0.875,ok
000042.png,1787058533.119,-0.02522,-0.07057,0.26342,1,3,0.938,ok
000043.png,1787058533.318,-0.02058,-0.07060,0.25627,1,2,0.875,ok
000044.png,1787058533.519,-0.02021,-0.06830,0.25490,1,2,0.958,ok
000045.png,1787058533.719,-0.01267,-0.06558,0.24237,1,3,0.854,ok
000046.png,1787058533.919,-0.01448,-0.06255,0.24707,1,2,0.917,ok
000047.png,1787058534.118,-0.01687,-0.06336,0.25394,1,2,0.938,ok
000048.png,1787058534.368,-0.01662,-0.05886,0.25386,1,2,0.938,ok
000049.png,1787058534.569,-0.01622,-0.05723,0.25361,1,3,0.938,ok
000050.png,1787058534.769,-0.01578,-0.05878,0.25423,1,2,0.938,ok
000051.png,1787058534.969,-0.00796,-0.05962,0.23965,1,3,0.875,ok
000052.png,1787058535.169,-0.00723,-0.05606,0.23988,1,3,0.896,ok
000053.png,1787058535.369,-0.00891,-0.05717,0.24606,1,3,0.917,ok
000054.png,1787058535.568,-0.00883,-0.05718,0.24633,1,3,0.917,ok
000055.png,1787058535.820,-0.00833,-0.05536,0.24791,1,3,0.917,ok
000056.png,1787058536.019,-0.00363,-0.05727,0.24080,1,3,0.854,ok
000057.png,1787058536.218,-0.00597,-0.05450,0.24578,1,3,0.896,ok
000058.png,1787058536.418,-0.00306,-0.05379,0.24047,1,3,0.938,ok
000059.png,1787058536.668,-0.00620,-0.05612,0.24877,1,3,0.896,ok
000060.png,1787058536.868,-0.00380,-0.05757,0.24544,1,3,0.917,ok
000061.png,1787058537.068,-0.00075,-0.05565,0.23946,1,3,0.896,ok
000062.png,1787058537.318,0.00047,-0.05710,0.23881,1,3,0.938,ok
000063.png,1787058537.518,-0.00322,-0.05480,0.24783,1,3,0.917,ok
000064.png,1787058537.718,0.00013,-0.05308,0.23993,1,3,0.938,ok
000065.png,1787058537.918,-0.00086,-0.05221,0.24321,1,3,0.917,ok
000066.png,1787058538.169,0.00093,-0.05117,0.24084,1,2,0.958,ok
000067.png,1787058538.368,-0.00071,-0.05282,0.24495,1,3,0.979,ok
000068.png,1787058538.568,0.00336,-0.05116,0.23723,1,3,0.938,ok
000069.png,1787058538.768,0.00248,-0.05196,0.24019,1,3,0.938,ok
000070.png,1787058538.968,0.00317,-0.05027,0.23903,1,3,0.938,ok
000071.png,1787058539.168,0.00627,-0.05108,0.23429,1,2,0.958,ok
