stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1787058506.419,bad_width,0.02453,-0.06754,0.17428,4,0.833,ok
1787058506.619,bad_width,0.02613,-0.06761,0.17183,4,0.854,ok
1787058506.868,bad_width,0.02252,-0.06782,0.17722,4,0.812,ok
1787058507.069,bad_width,0.02455,-0.06722,0.17412,4,0.833,ok
1787058507.269,bad_width,0.02212,-0.06893,0.17776,4,0.812,ok
1787058507.469,bad_width,0.02260,-0.06916,0.17653,3,0.812,ok
1787058507.669,bad_width,0.02356,-0.07022,0.17396,4,0.833,ok
1787058507.869,bad_width,0.02602,0.03752,0.16947,4,0.750,ok
1787058508.068,bad_width,0.02495,-0.07960,0.16836,3,0.792,ok
1787058508.318,bad_width,0.01837,-0.08075,0.17980,3,0.854,ok
1787058508.519,bad_width,0.02052,-0.08311,0.17403,3,0.812,ok
1787058508.719,bad_width,0.01943,-0.08439,0.17385,3,0.833,ok
1787058508.918,bad_width,0.01964,-0.08247,0.17280,3,0.833,ok
1787058509.119,bad_width,0.02989,-0.08535,0.15178,3,0.792,ok
1787058509.368,bad_width,0.03124,-0.08625,0.14627,3,0.833,ok
1787058509.768,bad_width,0.02906,-0.09036,0.14906,3,0.792,ok
1787058511.018,bad_width,-0.11724,-0.19299,0.17260,3,0.500,ok
1787058514.419,bad_width,-0.16830,-0.21165,0.31775,4,0.250,ok
1787058514.818,bad_width,-0.06913,-0.00491,0.32477,2,0.833,ok
1787058515.018,bad_width,-0.17394,-0.21532,0.31906,3,0.396,ok
1787058515.269,unpaired,0.01008,-0.21836,0.28781,3,0.208,single_line
1787058515.468,unpaired,-0.05264,-0.01146,0.28781,3,0.500,single_line
1787058515.668,unpaired,-0.05378,-0.00531,0.28781,3,0.479,single_line
1787058515.868,bad_width,-0.06909,-0.00790,0.31917,2,0.812,ok
1787058516.069,bad_width,-0.17308,-0.21413,0.33300,3,0.396,ok
1787058516.318,bad_width,-0.06897,-0.00930,0.31742,2,0.771,ok
