frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788183865.720,-0.01415,0.06190,0.24500,0,1,0.271,single_line,-0.10835,1.26431,0.00000,0,
000001.png,1788183865.770,0.02338,-0.24888,0.24500,0,1,0.250,single_line,-0.14588,0.00000,0.00000,0,
000002.png,1788183865.820,-0.04628,0.26615,0.24500,0,1,0.292,single_line,-0.07622,1.79062,0.00000,0,
000003.png,1788183865.920,-0.01584,0.07341,0.24500,0,1,0.271,single_line,-0.10666,1.29135,0.00000,0,
000004.png,1788183865.970,-0.01380,0.05938,0.24500,0,1,0.271,single_line,-0.10870,1.25529,0.00000,0,
000005.png,1788183866.020,0.02350,-0.25025,0.24500,0,1,0.250,single_line,-0.14600,0.00000,0.00000,0,
000006.png,1788183866.119,-0.04678,0.26853,0.24500,0,1,0.292,single_line,-0.07572,1.79924,0.00000,0,
000007.png,1788183866.171,-0.04796,0.27500,0.24500,0,1,0.292,single_line,-0.07454,1.81177,0.00000,0,
000008.png,1788183866.220,-0.04589,0.26394,0.24500,0,1,0.292,single_line,-0.07661,1.78563,0.00000,0,
000009.png,1788183866.271,0.02424,-0.25443,0.24500,0,1,0.271,single_line,-0.14674,0.00000,0.00000,0,
000010.png,1788183866.320,-0.01598,0.07103,0.24500,0,1,0.292,single_line,-0.10652,1.28686,0.00000,0,
000011.png,1788183866.420,-0.01029,0.03686,0.24500,0,1,0.292,single_line,-0.11221,1.20676,0.00000,0,
000012.png,1788183866.470,-0.04991,0.29316,0.24500,0,1,0.271,single_line,-0.07259,1.85754,0.00000,0,
000013.png,1788183866.520,-0.01228,0.05022,0.24500,0,1,0.271,single_line,-0.11022,1.23785,0.00000,0,
000014.png,1788183866.570,0.02100,-0.23851,0.24500,0,1,0.229,single_line,-0.14350,0.00000,0.00000,0,
000015.png,1788183866.620,-0.01473,0.06632,0.24500,0,1,0.271,single_line,-0.10777,1.27361,0.00000,0,
000016.png,1788183866.671,-0.01496,0.06582,0.24500,0,1,0.292,single_line,-0.10754,1.27269,0.00000,1,0.000
000017.png,1788183866.720,-0.04574,0.26158,0.24500,0,1,0.292,single_line,-0.07676,1.78299,0.00000,1,0.000
000018.png,1788183866.820,-0.01464,0.06514,0.24500,0,1,0.271,single_line,-0.10786,1.26881,0.00000,1,0.000
000019.png,1788183866.870,-0.01682,0.07917,0.24500,0,1,0.271,single_line,-0.10568,1.30760,0.00000,1,0.000
000020.png,1788183866.920,0.02455,-0.25381,0.24500,0,1,0.250,single_line,-0.14705,0.00000,0.00000,1,0.000
000021.png,1788183866.970,-0.04560,0.26271,0.24500,0,1,0.292,single_line,-0.07690,1.78546,0.00000,1,0.000
000022.png,1788183867.020,-0.04055,0.22967,0.24500,0,1,0.312,single_line,-0.08195,1.70795,0.00000,1,0.000
000023.png,1788183867.070,-0.01357,0.05903,0.24500,0,1,0.250,single_line,-0.10893,1.25850,0.00000,1,0.000
000024.png,1788183867.170,-0.01354,0.05887,0.24500,0,1,0.271,single_line,-0.10896,1.25813,0.00000,1,0.000
000025.png,1788183867.220,-0.01666,0.07700,0.24500,0,1,0.271,single_line,-0.10584,1.29714,0.00000,1,0.000
000026.png,1788183867.270,-0.01773,0.08308,0.24500,0,1,0.312,single_line,-0.10477,1.31202,0.00000,1,0.000
000027.png,1788183867.320,-0.04489,0.25714,0.24500,0,1,0.312,single_line,-0.07761,1.77166,0.00000,1,0.000
000028.png,1788183867.420,0.02114,-0.23791,0.24500,0,1,0.229,single_line,-0.14364,0.00000,0.00000,1,0.000
