stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788183865.720,unpaired,-0.01415,0.06190,0.24500,1,0.271,single_line
1788183865.770,unpaired,0.02338,-0.24888,0.24500,1,0.250,single_line
1788183865.820,unpaired,-0.04628,0.26615,0.24500,1,0.292,single_line
1788183865.920,unpaired,-0.01584,0.07341,0.24500,1,0.271,single_line
1788183865.970,unpaired,-0.01380,0.05938,0.24500,1,0.271,single_line
1788183866.020,unpaired,0.02350,-0.25025,0.24500,1,0.250,single_line
1788183866.119,unpaired,-0.04678,0.26853,0.24500,1,0.292,single_line
1788183866.171,unpaired,-0.04796,0.27500,0.24500,1,0.292,single_line
1788183866.220,unpaired,-0.04589,0.26394,0.24500,1,0.292,single_line
1788183866.271,unpaired,0.02424,-0.25443,0.24500,1,0.271,single_line
1788183866.320,unpaired,-0.01598,0.07103,0.24500,1,0.292,single_line
1788183866.420,unpaired,-0.01029,0.03686,0.24500,1,0.292,single_line
1788183866.470,unpaired,-0.04991,0.29316,0.24500,1,0.271,single_line
1788183866.520,unpaired,-0.01228,0.05022,0.24500,1,0.271,single_line
1788183866.570,unpaired,0.02100,-0.23851,0.24500,1,0.229,single_line
1788183866.620,unpaired,-0.01473,0.06632,0.24500,1,0.271,single_line
1788183866.671,unpaired,-0.01496,0.06582,0.24500,1,0.292,single_line
1788183866.720,unpaired,-0.04574,0.26158,0.24500,1,0.292,single_line
1788183866.820,unpaired,-0.01464,0.06514,0.24500,1,0.271,single_line
1788183866.870,unpaired,-0.01682,0.07917,0.24500,1,0.271,single_line
1788183866.920,unpaired,0.02455,-0.25381,0.24500,1,0.250,single_line
1788183866.970,unpaired,-0.04560,0.26271,0.24500,1,0.292,single_line
1788183867.020,unpaired,-0.04055,0.22967,0.24500,1,0.312,single_line
1788183867.070,unpaired,-0.01357,0.05903,0.24500,1,0.250,single_line
1788183867.170,unpaired,-0.01354,0.05887,0.24500,1,0.271,single_line
1788183867.220,unpaired,-0.01666,0.07700,0.24500,1,0.271,single_line
1788183867.270,unpaired,-0.01773,0.08308,0.24500,1,0.312,single_line
1788183867.320,unpaired,-0.04489,0.25714,0.24500,1,0.312,single_line
1788183867.420,unpaired,0.02114,-0.23791,0.24500,1,0.229,single_line
1788183867.470,unpaired,0.02638,-0.26280,0.24500,1,0.250,single_line
1788183867.520,unpaired,0.01724,-0.22256,0.24500,1,0.271,single_line
1788183867.570,unpaired,-0.04507,0.25879,0.24500,1,0.312,single_line
1788183867.620,unpaired,0.01707,-0.22186,0.24500,1,0.271,single_line
1788183867.720,unpaired,0.01747,-0.22179,0.24500,1,0.229,single_line
1788183867.770,unpaired,0.02290,-0.24597,0.24500,1,0.229,single_line
1788183867.820,unpaired,0.02039,-0.23588,0.24500,1,0.250,single_line
1788183867.870,unpaired,-0.01318,0.05509,0.24500,1,0.312,single_line
1788183867.970,unpaired,0.01891,-0.22968,0.24500,1,0.271,single_line
1788183868.020,unpaired,-0.01046,0.03788,0.24500,1,0.271,single_line
1788183868.070,unpaired,-0.01185,0.04837,0.24500,1,0.312,single_line
1788183868.120,unpaired,-0.01420,0.06208,0.24500,1,0.292,single_line
1788183868.220,unpaired,0.02004,-0.23500,0.24500,1,0.271,single_line
1788183868.270,unpaired,0.01707,-0.22186,0.24500,1,0.271,single_line
1788183868.320,unpaired,-0.04630,0.26645,0.24500,1,0.292,single_line
1788183868.371,unpaired,0.01840,-0.22704,0.24500,1,0.250,single_line
1788183868.420,unpaired,-0.01330,0.05596,0.24500,1,0.292,single_line
1788183868.520,unpaired,0.02169,-0.24211,0.24500,1,0.271,single_line
1788183868.570,unpaired,-0.01391,0.05892,0.24500,1,0.312,single_line
1788183868.620,unpaired,-0.01029,0.03686,0.24500,1,0.292,single_line
1788183868.670,unpaired,0.01529,-0.21148,0.24500,1,0.229,single_line
1788183868.720,unpaired,-0.05229,0.30516,0.24500,1,0.271,single_line
1788183868.820,unpaired,0.02193,-0.24333,0.24500,1,0.250,single_line
1788183868.870,unpaired,-0.04148,0.23443,0.24500,1,0.333,single_line
1788183868.920,unpaired,-0.01773,0.08165,0.24500,1,0.292,single_line
1788183868.971,unpaired,0.02058,-0.23701,0.24500,1,0.250,single_line
1788183869.020,unpaired,-0.01527,0.06786,0.24500,1,0.292,single_line
1788183869.120,unpaired,0.01682,-0.22162,0.24500,1,0.271,single_line
1788183869.170,unpaired,-0.01451,0.06461,0.24500,1,0.271,single_line
1788183869.220,unpaired,-0.04274,0.24683,0.24500,1,0.333,single_line
1788183869.270,unpaired,-0.03540,0.20521,0.24500,1,0.375,single_line
1788183869.320,unpaired,0.01696,-0.21898,0.24500,1,0.208,single_line
1788183869.420,unpaired,-0.01238,0.05081,0.24500,1,0.312,single_line
1788183869.471,unpaired,0.02438,-0.25323,0.24500,1,0.250,single_line
1788183869.520,unpaired,-0.01378,0.05866,0.24500,1,0.312,single_line
1788183869.571,unpaired,-0.01413,0.05934,0.24500,1,0.333,single_line
1788183869.620,unpaired,0.01568,-0.21349,0.24500,1,0.229,single_line
1788183869.720,unpaired,-0.03881,0.22397,0.24500,1,0.333,single_line
1788183869.770,unpaired,-0.01154,0.04586,0.24500,1,0.312,single_line
1788183869.820,unpaired,0.01724,-0.22256,0.24500,1,0.271,single_line
1788183869.871,unpaired,-0.01294,0.05548,0.24500,1,0.292,single_line
1788183869.920,unpaired,-0.01490,0.06833,0.24500,1,0.292,single_line
1788183870.020,unpaired,-0.03947,0.22459,0.24500,1,0.354,single_line
1788183870.071,unpaired,0.02050,-0.23740,0.24500,1,0.271,single_line
1788183870.120,unpaired,-0.01310,0.05384,0.24500,1,0.312,single_line
1788183870.170,unpaired,-0.01629,0.07414,0.24500,1,0.292,single_line
1788183870.220,unpaired,0.01468,-0.20994,0.24500,1,0.250,single_line
1788183870.320,unpaired,-0.01640,0.07622,0.24500,1,0.292,single_line
1788183870.371,unpaired,-0.04167,0.24136,0.24500,1,0.312,single_line
1788183870.420,unpaired,0.02109,-0.24195,0.24500,1,0.292,single_line
1788183870.471,unpaired,0.02387,-0.25062,0.24500,1,0.229,single_line
1788183870.520,unpaired,-0.04478,0.25767,0.24500,1,0.292,single_line
1788183870.620,unpaired,-0.04114,0.23380,0.24500,1,0.312,single_line
1788183870.670,unpaired,-0.01354,0.05887,0.24500,1,0.271,single_line
1788183870.720,unpaired,-0.01306,0.05555,0.24500,1,0.312,single_line
1788183870.770,unpaired,-0.01294,0.05548,0.24500,1,0.292,single_line
1788183870.871,unpaired,-0.01384,0.06095,0.24500,1,0.271,single_line
1788183870.920,unpaired,-0.01462,0.06627,0.24500,1,0.271,single_line
1788183870.970,unpaired,0.01769,-0.22384,0.24500,1,0.250,single_line
1788183871.070,unpaired,-0.01374,0.05921,0.24500,1,0.271,single_line
1788183871.120,unpaired,0.02255,-0.24489,0.24500,1,0.250,single_line
1788183871.170,unpaired,0.02256,-0.24458,0.24500,1,0.229,single_line
1788183871.220,unpaired,-0.01587,0.07274,0.24500,1,0.292,single_line
1788183871.320,unpaired,0.01892,-0.22666,0.24500,1,0.229,single_line
1788183871.370,unpaired,-0.01460,0.06358,0.24500,1,0.292,single_line
1788183871.420,unpaired,0.01845,-0.22742,0.24500,1,0.271,single_line
1788183871.471,unpaired,-0.01373,0.05764,0.24500,1,0.312,single_line
1788183871.520,unpaired,-0.03698,0.21413,0.24500,1,0.333,single_line
1788183871.620,unpaired,-0.01300,0.05596,0.24500,1,0.292,single_line
1788183871.670,unpaired,-0.04103,0.23816,0.24500,1,0.333,single_line
1788183871.720,unpaired,0.01723,-0.22013,0.24500,1,0.208,single_line
1788183871.770,unpaired,-0.01459,0.06580,0.24500,1,0.271,single_line
1788183871.820,unpaired,0.02430,-0.25291,0.24500,1,0.229,single_line
1788183871.920,unpaired,0.01762,-0.22529,0.24500,1,0.271,single_line
1788183871.970,unpaired,0.01450,-0.20885,0.24500,1,0.250,single_line
1788183872.020,unpaired,-0.04564,0.26257,0.24500,1,0.292,single_line
1788183872.070,unpaired,0.01757,-0.22421,0.24500,1,0.271,single_line
1788183872.121,unpaired,0.01808,-0.22538,0.24500,1,0.250,single_line
1788183872.220,unpaired,0.01845,-0.22704,0.24500,1,0.250,single_line
1788183872.270,unpaired,-0.01761,0.08560,0.24500,1,0.250,single_line
1788183872.320,unpaired,-0.04246,0.24549,0.24500,1,0.333,single_line
1788183872.370,unpaired,-0.01375,0.05912,0.24500,1,0.312,single_line
1788183872.420,unpaired,0.01704,-0.21999,0.24500,1,0.271,single_line
1788183872.520,unpaired,-0.04278,0.24750,0.24500,1,0.333,single_line
1788183872.571,unpaired,-0.01595,0.07300,0.24500,1,0.312,single_line
1788183872.620,unpaired,-0.01428,0.06252,0.24500,1,0.292,single_line
1788183872.670,unpaired,-0.01358,0.06005,0.24500,1,0.292,single_line
1788183872.720,unpaired,-0.01048,0.03988,0.24500,1,0.292,single_line
1788183872.820,unpaired,-0.01176,0.04746,0.24500,1,0.333,single_line
1788183872.870,unpaired,0.01749,-0.22108,0.24500,1,0.229,single_line
1788183872.920,unpaired,0.02107,-0.23907,0.24500,1,0.250,single_line
1788183872.970,unpaired,-0.01245,0.05428,0.24500,1,0.312,single_line
1788183873.020,unpaired,-0.04145,0.24192,0.24500,1,0.312,single_line
1788183873.072,unpaired,-0.03814,0.22598,0.24500,1,0.333,single_line
1788183873.170,unpaired,0.02249,-0.24616,0.24500,1,0.271,single_line
1788183873.220,unpaired,0.01552,-0.21244,0.24500,1,0.229,single_line
1788183873.270,unpaired,-0.03965,0.23474,0.24500,1,0.333,single_line
