frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788183918.920,0.05946,0.06903,0.33446,1,3,0.500,ok,-0.22708;0.10817;0.49518,-1.03111,0.00000,0,
000001.png,1788183918.970,0.03001,0.09276,0.27629,1,3,0.500,ok,-0.16875;0.10873;0.47572,-0.74616,0.00000,0,
000002.png,1788183919.020,0.03048,0.07634,0.27583,1,3,0.500,ok,-0.16880;0.10784;0.49773,-0.74942,0.00000,0,
000003.png,1788183919.070,0.03021,0.08181,0.27610,1,2,0.500,ok,-0.16872;0.10831,-0.74728,0.00000,0,
000004.png,1788183919.170,0.03315,0.04064,0.27534,1,3,0.500,ok,-0.17094;0.10463;0.47328,-0.77098,0.00000,0,
000005.png,1788183919.220,0.03279,0.06034,0.27509,1,2,0.500,ok,-0.17058;0.10501,-0.77125,0.00000,0,
000006.png,1788183919.270,0.05963,0.06354,0.33452,1,3,0.500,ok,-0.22722;0.10797;0.47211,-1.03273,0.00000,0,
000007.png,1788183919.320,0.03172,0.05437,0.27358,1,2,0.500,ok,-0.16872;0.10527,-0.75702,0.00000,0,
000008.png,1788183919.420,0.06101,0.04155,0.33254,1,3,0.500,ok,-0.22742;0.10540;0.49416,-1.04145,0.00000,0,
000009.png,1788183919.470,0.05744,0.04384,0.32296,1,2,0.521,ok,-0.21908;0.10419,-1.02763,0.00000,0,
000010.png,1788183919.520,0.05498,0.07862,0.32530,1,3,0.521,ok,-0.21813;0.10817;0.47620,-1.00858,0.00000,0,
000011.png,1788183919.570,0.03319,0.04384,0.27450,1,2,0.500,ok,-0.17057;0.10419,-0.77035,0.00000,0,
000012.png,1788183919.671,0.03299,0.04384,0.27472,1,2,0.500,ok,-0.17048;0.10450,-0.76892,0.00000,0,
000013.png,1788183919.720,0.03149,0.08181,0.27362,1,2,0.500,ok,-0.16875;0.10578,-0.76269,0.00000,0,
000014.png,1788183919.770,0.03263,0.05117,0.27263,1,3,0.500,ok,-0.16913;0.10386;0.47328,-0.76618,0.00000,0,
000015.png,1788183919.820,0.03026,0.05437,0.27631,1,2,0.500,ok,-0.16862;0.10810,-0.74026,0.00000,0,
000016.png,1788183919.920,0.03211,0.05987,0.27273,1,3,0.500,ok,-0.16872;0.10450;0.47256,-0.76309,0.00000,0,
000017.png,1788183919.970,0.03035,0.06583,0.27987,1,2,0.500,ok,-0.17058;0.10989,-0.74467,0.00000,0,
000018.png,1788183920.020,0.03167,0.05437,0.27375,1,2,0.500,ok,-0.16875;0.10540,-0.75681,0.00000,0,
000019.png,1788183920.070,0.01980,0.08410,0.29733,1,2,0.479,ok,-0.16899;0.12939,-0.62826,0.00000,1,0.000
000020.png,1788183920.120,0.05883,0.06354,0.33830,1,3,0.500,ok,-0.22832;0.11066;0.47328,-1.02178,0.00000,1,0.000
000021.png,1788183920.220,0.06143,0.04705,0.33370,1,3,0.500,ok,-0.22846;0.10561;0.49416,-1.04519,0.00000,1,0.000
000022.png,1788183920.270,0.03134,0.05987,0.27427,1,2,0.500,ok,-0.16872;0.10605,-0.75498,0.00000,1,0.000
000023.png,1788183920.320,0.03173,0.05714,0.27807,1,3,0.500,ok,-0.17099;0.10753;0.37836,-0.75659,0.00000,1,0.000
000024.png,1788183920.370,0.03313,0.04384,0.27465,1,2,0.500,ok,-0.17058;0.10433,-0.77006,0.00000,1,0.000
000025.png,1788183920.420,0.03126,0.05117,0.27553,1,3,0.500,ok,-0.16921;0.10669;0.39078,-0.75061,0.00000,1,0.000
000026.png,1788183920.470,0.03139,0.07132,0.27775,1,2,0.500,ok,-0.17062;0.10784,-0.75870,0.00000,1,0.000
000027.png,1788183920.570,0.03047,0.06583,0.27951,1,3,0.500,ok,-0.17053;0.10959;0.47219,-0.74592,0.00000,1,0.000
000028.png,1788183920.620,0.03149,0.05987,0.27370,1,3,0.500,ok,-0.16858;0.10561;0.47219,-0.75542,0.00000,1,0.000
000029.png,1788183920.670,0.06223,0.04155,0.33190,1,3,0.500,ok,-0.22832;0.10386;0.47328,-1.05463,0.00000,1,0.000
000030.png,1788183920.770,0.03154,0.06034,0.27764,1,2,0.500,ok,-0.17062;0.10753,-0.75533,0.00000,1,0.000
000031.png,1788183920.820,0.03115,0.07634,0.27434,1,3,0.500,ok,-0.16872;0.10642;0.47402,-0.75683,0.00000,1,0.000
000032.png,1788183920.870,0.05607,0.05667,0.32344,1,2,0.521,ok,-0.21805;0.10591,-1.01625,0.00000,1,0.000
000033.png,1788183920.920,0.05908,0.08000,0.33687,1,2,0.500,ok,-0.22806;0.10989,-1.03163,0.00000,1,0.000
000034.png,1788183920.970,0.03365,0.03513,0.27451,1,2,0.500,ok,-0.17099;0.10369,-0.77315,0.00000,1,0.000
000035.png,1788183921.020,0.05586,0.05987,0.32296,1,2,0.521,ok,-0.21762;0.10591,-1.01560,0.00000,1,0.000
000036.png,1788183921.120,0.03106,0.04064,0.27937,1,2,0.500,ok,-0.17086;0.10874,-0.74569,0.00000,1,0.000
000037.png,1788183921.170,0.03270,0.03834,0.27574,1,2,0.500,ok,-0.17067;0.10527,-0.76404,0.00000,1,0.000
000038.png,1788183921.220,0.03229,0.04384,0.27613,1,2,0.500,ok,-0.17048;0.10591,-0.76076,0.00000,1,0.000
000039.png,1788183921.270,0.03245,0.05437,0.27187,1,2,0.500,ok,-0.16858;0.10369,-0.76571,0.00000,1,0.000
000040.png,1788183921.320,0.05630,0.06034,0.32513,1,2,0.521,ok,-0.21916;0.10656,-1.02077,0.00000,1,0.000
000041.png,1788183921.420,0.03100,0.08181,0.27459,1,3,0.500,ok,-0.16875;0.10676;0.47211,-0.75515,0.00000,1,0.000
000042.png,1788183921.470,0.03204,0.05987,0.27286,1,2,0.500,ok,-0.16872;0.10463,-0.76314,0.00000,1,0.000
000043.png,1788183921.520,0.03135,0.05987,0.27431,1,2,0.500,ok,-0.16875;0.10605,-0.75472,0.00000,1,0.000
000044.png,1788183921.570,0.03134,0.05987,0.27400,1,2,0.500,ok,-0.16858;0.10591,-0.75475,0.00000,1,0.000
000045.png,1788183921.670,0.05931,0.06903,0.33503,1,3,0.500,ok,-0.22722;0.10861;0.35820,-1.03095,0.00000,1,0.000
000046.png,1788183921.670,0.05931,0.06903,0.33503,1,3,0.500,ok,-0.22722;0.10861;0.35820,-1.03095,0.00000,1,0.000
000047.png,1788183921.770,0.03234,0.05667,0.27323,1,2,0.500,ok,-0.16917;0.10450,-0.76511,0.00000,1,0.000
000048.png,1788183921.820,0.03138,0.07314,0.27486,1,2,0.500,ok,-0.16917;0.10642,-0.75884,0.00000,1,0.000
000049.png,1788183921.870,0.03214,0.06263,0.27725,1,2,0.500,ok,-0.17104;0.10676,-0.76368,0.00000,1,0.000
000050.png,1788183921.970,0.03099,0.06583,0.27832,1,3,0.500,ok,-0.17045;0.10848;0.47219,-0.75266,0.00000,1,0.000
000051.png,1788183922.020,0.06223,0.04155,0.33190,1,3,0.500,ok,-0.22832;0.10386;0.50232,-1.05463,0.00000,1,0.000
000052.png,1788183922.020,0.06223,0.04155,0.33190,1,3,0.500,ok,-0.22832;0.10386;0.50232,-1.05463,0.00000,1,0.000
000053.png,1788183922.121,0.05530,0.06583,0.32684,1,3,0.521,ok,-0.21908;0.10848;0.50130,-1.01044,0.00000,1,0.000
000054.png,1788183922.171,0.03176,0.06583,0.27705,1,2,0.500,ok,-0.17058;0.10706,-0.76100,0.00000,1,0.000
000055.png,1788183922.270,0.03183,0.05437,0.27318,1,2,0.500,ok,-0.16862;0.10497,-0.75725,0.00000,1,0.000
000056.png,1788183922.320,0.05960,0.07452,0.33651,1,2,0.500,ok,-0.22832;0.10912,-1.03393,0.00000,1,0.000
000057.png,1788183922.370,0.03315,0.05117,0.27160,1,2,0.500,ok,-0.16913;0.10283,-0.77020,0.00000,1,0.000
000058.png,1788183922.470,0.03162,0.04384,0.27789,1,2,0.500,ok,-0.17070;0.10746,-0.75358,0.00000,1,0.000
000059.png,1788183922.520,0.03206,0.07314,0.27340,1,3,0.500,ok,-0.16913;0.10501;0.39184,-0.76598,0.00000,1,0.000
000060.png,1788183922.570,0.03012,0.08181,0.27627,1,3,0.500,ok,-0.16872;0.10848;0.50232,-0.74658,0.00000,1,0.000
000061.png,1788183922.620,0.03039,0.07634,0.27592,1,3,0.500,ok,-0.16875;0.10797;0.50054,-0.74845,0.00000,1,0.000
