stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788183918.920,bad_width,0.05946,0.06903,0.33446,3,0.500,ok
1788183919.270,bad_width,0.05963,0.06354,0.33452,3,0.500,ok
1788183919.420,bad_width,0.06101,0.04155,0.33254,3,0.500,ok
1788183919.470,bad_width,0.05744,0.04384,0.32296,2,0.521,ok
1788183919.520,bad_width,0.05498,0.07862,0.32530,3,0.521,ok
1788183920.070,bad_width,0.01980,0.08410,0.29733,2,0.479,ok
1788183920.120,bad_width,0.05883,0.06354,0.33830,3,0.500,ok
1788183920.220,bad_width,0.06143,0.04705,0.33370,3,0.500,ok
1788183920.670,bad_width,0.06223,0.04155,0.33190,3,0.500,ok
1788183920.870,bad_width,0.05607,0.05667,0.32344,2,0.521,ok
1788183920.920,bad_width,0.05908,0.08000,0.33687,2,0.500,ok
1788183921.020,bad_width,0.05586,0.05987,0.32296,2,0.521,ok
1788183921.320,bad_width,0.05630,0.06034,0.32513,2,0.521,ok
1788183921.670,bad_width,0.05931,0.06903,0.33503,3,0.500,ok
1788183921.670,bad_width,0.05931,0.06903,0.33503,3,0.500,ok
1788183922.020,bad_width,0.06223,0.04155,0.33190,3,0.500,ok
1788183922.020,bad_width,0.06223,0.04155,0.33190,3,0.500,ok
1788183922.121,bad_width,0.05530,0.06583,0.32684,3,0.521,ok
1788183922.320,bad_width,0.05960,0.07452,0.33651,2,0.500,ok
1788183922.870,bad_width,0.06240,0.06354,0.33133,3,0.500,ok
1788183922.920,bad_width,0.02270,0.05117,0.29230,2,0.479,ok
1788183923.020,bad_width,0.06047,0.06354,0.33532,3,0.500,ok
1788183923.420,bad_width,0.06078,0.06903,0.33429,2,0.500,ok
1788183923.770,bad_width,0.06012,0.06354,0.33549,2,0.500,ok
1788183923.820,bad_width,0.06024,0.06354,0.33548,3,0.500,ok
1788183924.270,bad_width,0.05778,0.03513,0.32308,2,0.521,ok
1788183924.470,bad_width,0.05996,0.08000,0.33553,3,0.500,ok
1788183924.670,bad_width,0.06040,0.07452,0.33493,2,0.500,ok
1788183924.720,bad_width,0.06160,0.04155,0.33345,3,0.500,ok
1788183924.970,bad_width,0.06066,0.04705,0.33277,2,0.500,ok
1788183925.170,bad_width,0.05707,0.03513,0.32449,3,0.521,ok
1788183925.270,bad_width,0.06132,0.04705,0.33351,2,0.500,ok
1788183925.370,bad_width,0.05890,0.07452,0.33792,2,0.500,ok
