frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788183968.921,-0.04174,-0.00378,0.27505,1,3,0.521,ok,-0.09578;0.17927;0.54157,0.15488,0.00000,0,
000001.png,1788183968.970,-0.04146,-0.00378,0.27578,1,3,0.521,ok,-0.09643;0.17935;0.61984,0.15311,0.00000,0,
000002.png,1788183969.020,-0.04156,-0.00378,0.27649,1,3,0.521,ok,-0.09668;0.17981;0.62582,0.15431,0.00000,0,
000003.png,1788183969.070,-0.04211,-0.00378,0.27540,1,3,0.521,ok,-0.09560;0.17981;0.61272,0.16007,0.00000,0,
000004.png,1788183969.170,-0.04296,-0.00378,0.27471,1,3,0.521,ok,-0.09439;0.18032;0.60195,0.16649,0.00000,0,
000005.png,1788183969.220,-0.04109,-0.00378,0.27635,1,3,0.500,ok,-0.09708;0.17927;0.61985,0.15722,0.00000,0,
000006.png,1788183969.270,-0.03485,-0.00378,0.28883,1,3,0.500,ok,-0.10956;0.17927;0.56851,0.08003,0.00000,0,
000007.png,1788183969.320,-0.04162,-0.00378,0.27530,1,3,0.521,ok,-0.09603;0.17927;0.61414,0.15516,0.00000,0,
000008.png,1788183969.370,-0.04258,0.01219,0.27598,1,3,0.542,ok,-0.09542;0.18059;0.54430,0.16417,0.00000,0,
000009.png,1788183969.470,-0.04176,-0.00378,0.27502,1,3,0.500,ok,-0.09575;0.17927;0.56851,0.15499,0.00000,0,
000010.png,1788183969.520,-0.04210,0.01833,0.27429,1,3,0.542,ok,-0.09507;0.17927;0.61746,0.15989,0.00000,0,
000011.png,1788183969.570,-0.04114,-0.00378,0.27728,1,3,0.500,ok,-0.09750;0.17978;0.58127,0.15667,0.00000,0,
000012.png,1788183969.620,-0.03968,-0.00378,0.27436,1,3,0.500,ok,-0.09750;0.17685;0.54034,0.15089,0.00000,0,
000013.png,1788183969.720,-0.04156,-0.00378,0.27644,1,3,0.521,ok,-0.09666;0.17978;0.61354,0.15412,0.00000,0,
000014.png,1788183969.770,-0.03579,-0.00378,0.28695,1,3,0.500,ok,-0.10768;0.17927;0.61019,0.08968,0.00000,0,
000015.png,1788183969.820,-0.03498,-0.00378,0.28961,1,3,0.479,ok,-0.10983;0.17978;0.64989,0.08219,0.00000,0,
000016.png,1788183969.870,-0.04087,-0.00378,0.27789,1,3,0.500,ok,-0.09808;0.17981;0.60372,0.15389,0.00000,0,
000017.png,1788183969.970,-0.04041,-0.00378,0.27498,1,3,0.542,ok,-0.09708;0.17790;0.60030,0.14987,0.00000,0,
