frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788181531.619,0.01896,0.03219,0.24500,0,1,0.208,single_line,0.10354,0.40755,0.00000,0,
000001.png,1788181531.670,-0.09857,-0.45579,0.24500,0,1,0.208,single_line,-0.02393,-0.50847,0.00000,0,
000002.png,1788181531.720,0.02328,0.01160,0.24500,0,1,0.208,single_line,0.09922,0.36651,0.00000,0,
000003.png,1788181531.820,0.06668,-0.14087,0.24500,0,1,0.188,single_line,0.05582,0.16086,0.00000,0,
000004.png,1788181531.870,0.02649,-0.55733,0.17373,1,2,0.271,ok,-0.12884;0.07586,-1.12936,0.00000,0,
000005.png,1788181531.920,0.06499,-0.15860,0.23075,0,1,0.208,single_line,0.05039,0.13458,0.00000,0,
000006.png,1788181531.970,0.06244,-0.15112,0.23075,0,1,0.188,single_line,0.05293,0.14674,0.00000,0,
000007.png,1788181532.020,0.05413,-0.14855,0.23075,0,1,0.188,single_line,0.06124,0.05494,0.00000,0,
000008.png,1788181532.120,0.08239,-0.22016,0.23075,0,1,0.250,single_line,0.03298,0.02656,0.00000,0,
000009.png,1788181532.170,0.06091,-0.14476,0.23075,0,1,0.188,single_line,0.05447,0.15961,0.00000,0,
000010.png,1788181532.220,0.06228,-0.15033,0.23075,0,1,0.188,single_line,0.05310,0.14776,0.00000,0,
000011.png,1788181532.270,0.01102,0.04314,0.23075,0,1,0.208,single_line,0.10436,0.43389,0.00000,0,
000012.png,1788181532.320,-0.10931,-0.39803,0.23075,0,1,0.188,single_line,-0.00606,-0.39817,0.00000,0,
000013.png,1788181532.370,0.05380,-0.14649,0.23075,0,1,0.188,single_line,0.06157,0.05944,0.00000,0,
000014.png,1788181532.470,0.06419,-0.15166,0.23075,0,1,0.208,single_line,0.05118,0.15333,0.00000,0,
