stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788181531.619,unpaired,0.01896,0.03219,0.24500,1,0.208,single_line
1788181531.670,unpaired,-0.09857,-0.45579,0.24500,1,0.208,single_line
1788181531.720,unpaired,0.02328,0.01160,0.24500,1,0.208,single_line
1788181531.820,unpaired,0.06668,-0.14087,0.24500,1,0.188,single_line
1788181531.870,bad_width,0.02649,-0.55733,0.17373,2,0.271,ok
1788181531.920,unpaired,0.06499,-0.15860,0.23075,1,0.208,single_line
1788181531.970,unpaired,0.06244,-0.15112,0.23075,1,0.188,single_line
1788181532.020,unpaired,0.05413,-0.14855,0.23075,1,0.188,single_line
1788181532.120,unpaired,0.08239,-0.22016,0.23075,1,0.250,single_line
1788181532.170,unpaired,0.06091,-0.14476,0.23075,1,0.188,single_line
1788181532.220,unpaired,0.06228,-0.15033,0.23075,1,0.188,single_line
1788181532.270,unpaired,0.01102,0.04314,0.23075,1,0.208,single_line
1788181532.320,unpaired,-0.10931,-0.39803,0.23075,1,0.188,single_line
1788181532.370,unpaired,0.05380,-0.14649,0.23075,1,0.188,single_line
1788181532.470,unpaired,0.06419,-0.15166,0.23075,1,0.208,single_line
1788181532.519,unpaired,-0.00349,0.11145,0.23075,1,0.229,single_line
1788181532.570,unpaired,0.05199,-0.13807,0.23075,1,0.188,single_line
1788181532.619,unpaired,-0.01854,0.15963,0.23075,1,0.188,single_line
1788181532.720,unpaired,0.06042,-0.18134,0.23075,1,0.271,single_line
1788181532.770,unpaired,0.07158,-0.18618,0.23075,1,0.229,single_line
1788181532.820,unpaired,0.01456,0.02408,0.23075,1,0.229,single_line
1788181532.870,unpaired,0.06286,-0.14664,0.23075,1,0.208,single_line
1788181532.919,unpaired,-0.01694,0.14924,0.23075,1,0.208,single_line
1788181533.020,unpaired,0.09303,-0.24308,0.23075,1,0.229,single_line
1788181533.070,unpaired,0.05409,-0.15402,0.23075,1,0.229,single_line
1788181533.120,unpaired,-0.00938,0.11478,0.23075,1,0.250,single_line
1788181533.170,unpaired,0.08148,-0.21942,0.23075,1,0.208,single_line
1788181533.220,unpaired,0.07153,-0.22095,0.23075,1,0.208,single_line
1788181533.270,unpaired,0.10684,-0.37579,0.23075,1,0.229,single_line
1788181533.420,unpaired,0.04937,-0.13032,0.22733,1,0.250,single_line
1788181533.470,unpaired,-0.01491,0.13683,0.22733,1,0.208,single_line
1788181533.570,unpaired,0.00732,0.05252,0.22733,1,0.229,single_line
1788181533.619,unpaired,-0.00682,0.10025,0.22733,1,0.250,single_line
1788181533.670,unpaired,0.07798,-0.22228,0.22733,1,0.208,single_line
1788181533.719,unpaired,0.02167,-0.03648,0.22733,1,0.188,single_line
1788181533.820,unpaired,0.04280,-0.11365,0.22733,1,0.250,single_line
1788181533.870,unpaired,0.07245,-0.19517,0.22733,1,0.229,single_line
1788181533.920,unpaired,0.04078,-0.10537,0.22733,1,0.208,single_line
1788181534.020,unpaired,0.03705,-0.09239,0.22733,1,0.208,single_line
1788181534.070,unpaired,0.08870,-0.23674,0.22733,1,0.208,single_line
1788181534.120,unpaired,0.00590,0.06144,0.22733,1,0.229,single_line
1788181534.170,unpaired,-0.01529,0.14164,0.22733,1,0.188,single_line
1788181534.270,unpaired,-0.07369,-0.60555,0.22733,2,0.125,single_line
1788181534.320,unpaired,0.06790,-0.20712,0.22733,1,0.229,single_line
1788181534.370,unpaired,0.06224,-0.15984,0.22733,1,0.188,single_line
1788181534.470,unpaired,0.05189,-0.11684,0.22733,1,0.229,single_line
1788181534.520,unpaired,0.01226,0.02015,0.22733,1,0.208,single_line
1788181534.570,unpaired,0.07376,-0.20274,0.22733,1,0.208,single_line
1788181534.619,unpaired,0.06412,-0.17190,0.22733,1,0.229,single_line
1788181534.720,unpaired,-0.01274,0.12867,0.22733,1,0.188,single_line
1788181534.770,unpaired,0.06195,-0.15525,0.22733,1,0.208,single_line
1788181534.820,unpaired,0.00940,0.04344,0.22733,1,0.250,single_line
1788181534.921,unpaired,-0.02648,0.15366,0.22733,1,0.229,single_line
1788181534.970,unpaired,0.01192,0.03359,0.22733,1,0.229,single_line
1788181535.020,unpaired,0.03907,-0.09829,0.22733,1,0.208,single_line
1788181535.120,unpaired,0.07075,-0.17989,0.22733,1,0.208,single_line
1788181535.170,unpaired,0.06860,-0.18754,0.22733,1,0.208,single_line
1788181535.220,unpaired,0.00640,0.05135,0.22733,1,0.250,single_line
1788181535.271,unpaired,-0.01328,0.12869,0.22733,1,0.188,single_line
1788181535.321,unpaired,0.01387,0.02583,0.22733,1,0.250,single_line
1788181535.370,unpaired,0.06647,-0.17772,0.22733,1,0.188,single_line
1788181535.470,unpaired,0.07184,-0.19138,0.22733,1,0.229,single_line
1788181535.520,unpaired,-0.01458,-0.78055,0.22733,2,0.125,single_line
1788181535.570,unpaired,-0.01785,0.14709,0.22733,1,0.208,single_line
1788181535.670,unpaired,0.07393,-0.20086,0.22733,1,0.229,single_line
1788181535.720,unpaired,0.06174,-0.15080,0.22733,1,0.208,single_line
1788181535.770,unpaired,0.07245,-0.19270,0.22733,1,0.229,single_line
1788181535.820,unpaired,0.06171,-0.14890,0.22733,1,0.208,single_line
1788181535.870,unpaired,0.05760,-0.13818,0.22733,1,0.229,single_line
1788181535.920,unpaired,0.04848,-0.13311,0.22733,1,0.188,single_line
1788181536.020,unpaired,0.06318,-0.15397,0.22733,1,0.229,single_line
1788181536.070,unpaired,0.06145,-0.15084,0.22733,1,0.208,single_line
1788181536.120,unpaired,0.07851,-0.22198,0.22733,1,0.208,single_line
1788181536.170,unpaired,0.02765,0.00259,0.22733,1,0.250,single_line
1788181536.220,unpaired,0.07287,-0.20046,0.22733,1,0.208,single_line
1788181536.320,unpaired,0.07786,-0.21781,0.22733,1,0.208,single_line
1788181536.370,unpaired,-0.09099,-0.43699,0.22733,1,0.229,single_line
1788181536.420,unpaired,0.06065,-0.15097,0.22733,1,0.208,single_line
1788181536.520,unpaired,0.01126,0.02798,0.22733,1,0.229,single_line
1788181536.570,unpaired,0.06209,-0.15890,0.22733,1,0.188,single_line
1788181536.619,unpaired,-0.00978,0.11384,0.22733,1,0.229,single_line
1788181536.670,unpaired,-0.00449,0.09221,0.22733,1,0.208,single_line
1788181536.720,unpaired,0.05952,-0.14438,0.22733,1,0.208,single_line
1788181536.770,unpaired,0.01405,0.01614,0.22733,1,0.229,single_line
1788181536.870,unpaired,-0.01236,0.12814,0.22733,1,0.208,single_line
1788181536.920,unpaired,0.05159,-0.13917,0.22733,1,0.208,single_line
1788181536.970,unpaired,0.08751,-0.25606,0.22733,1,0.229,single_line
1788181537.020,unpaired,0.06443,-0.16428,0.22733,1,0.208,single_line
1788181537.120,unpaired,0.07630,-0.20644,0.22733,1,0.229,single_line
1788181537.170,unpaired,0.05803,-0.14392,0.22733,1,0.188,single_line
1788181537.219,unpaired,0.01389,0.04844,0.22733,1,0.250,single_line
1788181537.270,unpaired,0.06703,-0.17560,0.22733,1,0.188,single_line
1788181537.320,unpaired,0.04239,-0.08544,0.22733,1,0.167,single_line
1788181537.370,unpaired,0.07708,-0.21457,0.22733,1,0.250,single_line
1788181537.420,unpaired,-0.00763,0.10869,0.22733,1,0.229,single_line
1788181537.520,unpaired,0.05217,-0.12391,0.22733,1,0.208,single_line
1788181537.570,unpaired,0.08943,-0.23510,0.22733,1,0.229,single_line
1788181537.620,unpaired,-0.01520,0.14154,0.22733,1,0.188,single_line
1788181537.720,unpaired,0.06769,-0.18021,0.22733,1,0.208,single_line
1788181537.770,unpaired,0.06612,-0.17649,0.22733,1,0.188,single_line
1788181537.820,unpaired,0.06811,-0.17545,0.22733,1,0.208,single_line
1788181537.870,bad_width,-0.11408,-0.17368,0.30693,2,0.250,ok
1788181537.920,unpaired,0.01792,0.03410,0.24325,1,0.208,single_line
1788181538.020,unpaired,0.03184,0.01728,0.24325,1,0.229,single_line
1788181538.070,unpaired,-0.09609,-0.29637,0.24325,2,0.083,single_line
1788181538.120,unpaired,-0.11375,-0.38989,0.24325,1,0.250,single_line
1788181538.220,unpaired,0.09112,-0.22836,0.24325,1,0.229,single_line
1788181538.270,unpaired,0.08132,-0.19893,0.24325,1,0.229,single_line
1788181538.320,bad_width,-0.07116,-0.26119,0.20732,2,0.250,ok
1788181538.419,bad_width,-0.06190,-0.29746,0.20996,2,0.229,ok
1788181538.470,unpaired,0.08596,-0.24693,0.23084,1,0.229,single_line
1788181538.520,unpaired,0.01495,0.02215,0.23084,1,0.229,single_line
1788181538.570,unpaired,-0.01429,0.14039,0.23084,1,0.188,single_line
1788181538.620,unpaired,0.04708,-0.09524,0.23084,1,0.167,single_line
1788181538.670,unpaired,0.08314,-0.23325,0.23084,1,0.250,single_line
1788181538.770,unpaired,0.08828,-0.22909,0.23084,1,0.229,single_line
1788181538.820,unpaired,0.06145,-0.14417,0.23084,1,0.208,single_line
1788181538.870,unpaired,0.06479,-0.16090,0.23084,1,0.208,single_line
1788181538.920,unpaired,0.07572,-0.19640,0.23084,1,0.229,single_line
1788181539.020,unpaired,0.05636,-0.12311,0.23084,1,0.229,single_line
1788181539.070,unpaired,0.09104,-0.23836,0.23084,1,0.208,single_line
1788181539.120,unpaired,0.08827,-0.22430,0.23084,1,0.229,single_line
1788181539.170,unpaired,0.05811,-0.12841,0.23084,1,0.312,single_line
1788181539.220,unpaired,0.06830,-0.17387,0.23084,1,0.188,single_line
1788181539.320,unpaired,0.05283,-0.14624,0.23084,1,0.188,single_line
1788181539.370,unpaired,0.08598,-0.23622,0.23084,1,0.229,single_line
1788181539.420,unpaired,-0.01551,0.14498,0.23084,1,0.188,single_line
1788181539.470,unpaired,0.06702,-0.16489,0.23084,1,0.208,single_line
1788181539.520,unpaired,-0.01486,0.14381,0.23084,1,0.188,single_line
1788181539.620,unpaired,-0.01058,0.12604,0.23084,1,0.208,single_line
1788181539.670,unpaired,-0.00420,0.10405,0.23084,1,0.229,single_line
1788181539.720,unpaired,0.07427,-0.20431,0.23084,1,0.208,single_line
1788181539.770,unpaired,0.04907,-0.09134,0.23084,1,0.250,single_line
1788181539.820,unpaired,0.01585,0.01740,0.23084,1,0.229,single_line
1788181539.870,unpaired,-0.00143,0.09497,0.23084,1,0.229,single_line
1788181539.970,unpaired,0.07126,-0.17896,0.23084,1,0.208,single_line
1788181540.020,unpaired,-0.09098,-0.42987,0.23084,1,0.229,single_line
1788181540.071,unpaired,-0.00373,0.09379,0.23084,1,0.229,single_line
1788181540.120,unpaired,0.07354,-0.22527,0.23084,1,0.229,single_line
1788181540.170,unpaired,0.06836,-0.17816,0.23084,1,0.188,single_line
1788181540.220,unpaired,0.04540,-0.07887,0.23084,1,0.250,single_line
1788181540.320,unpaired,0.05759,-0.15429,0.23084,1,0.229,single_line
1788181540.370,unpaired,0.09073,-0.23555,0.23084,1,0.208,single_line
1788181540.420,unpaired,0.06311,-0.15030,0.23084,1,0.208,single_line
1788181540.470,unpaired,0.08819,-0.24828,0.23084,1,0.250,single_line
1788181540.520,unpaired,-0.09854,-0.42302,0.23084,1,0.229,single_line
1788181540.570,unpaired,0.04293,-0.04681,0.23084,1,0.271,single_line
1788181540.670,unpaired,0.06569,-0.17115,0.23084,1,0.188,single_line
1788181540.720,unpaired,0.07724,-0.22027,0.23084,1,0.208,single_line
1788181540.770,unpaired,0.01141,0.04394,0.23084,1,0.250,single_line
1788181540.820,unpaired,0.07472,-0.19624,0.23084,1,0.229,single_line
1788181540.870,unpaired,-0.08119,-0.46387,0.23084,1,0.250,single_line
1788181540.970,unpaired,0.07999,-0.22263,0.23084,1,0.208,single_line
1788181541.020,unpaired,0.00913,0.04569,0.23084,1,0.229,single_line
1788181541.070,unpaired,0.06537,-0.15567,0.23084,1,0.208,single_line
1788181541.120,unpaired,0.06126,-0.14658,0.23084,1,0.188,single_line
1788181541.170,unpaired,0.06314,-0.16279,0.23084,1,0.188,single_line
1788181541.220,unpaired,0.06795,-0.18529,0.23084,1,0.167,single_line
1788181541.270,unpaired,0.05482,-0.15440,0.23084,1,0.188,single_line
1788181541.320,unpaired,0.06549,-0.16516,0.23084,1,0.188,single_line
1788181541.420,unpaired,0.07120,-0.19233,0.23084,1,0.208,single_line
