frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788182692.670,-0.02942,-0.00766,0.26700,1,2,0.542,ok,-0.10408;0.16292,0.33865,0.00000,0,
000001.png,1788182692.720,-0.01615,-0.00766,0.23675,1,2,0.458,ok,-0.10222;0.13453,0.25563,0.00000,0,
000002.png,1788182692.771,-0.03565,-0.00766,0.27180,1,2,0.500,ok,-0.10025;0.17155,0.37894,0.00000,0,
000003.png,1788182692.820,-0.04658,0.00768,0.29754,1,2,0.583,ok,-0.10219;0.19535,0.43596,0.00000,0,
000004.png,1788182692.870,-0.03118,-0.00766,0.26489,1,2,0.500,ok,-0.10126;0.16363,0.35318,0.00000,0,
000005.png,1788182692.970,-0.03389,-0.00467,0.26955,1,2,0.542,ok,-0.10089;0.16867,0.37663,0.00000,0,
000006.png,1788182693.021,-0.04299,-0.00766,0.28882,1,2,0.521,ok,-0.10143;0.18740,0.41612,0.00000,0,
000007.png,1788182693.070,-0.04334,-0.00467,0.29157,1,2,0.542,ok,-0.10245;0.18913,0.40848,0.00000,0,
000008.png,1788182693.120,-0.02265,-0.00766,0.24707,1,2,0.542,ok,-0.10089;0.14619,0.27860,0.00000,0,
000009.png,1788182693.170,-0.04433,-0.00766,0.29138,1,2,0.542,ok,-0.10136;0.19002,0.42035,0.00000,0,
000010.png,1788182693.221,-0.03518,0.02935,0.27256,0,2,0.292,single_line,-0.10110;0.31106,0.00138,0.00000,0,
000011.png,1788182693.270,-0.02973,0.00320,0.27256,0,2,0.250,single_line,-0.10656;0.02260,-0.04966,0.00000,0,
000012.png,1788182693.370,-0.04462,-0.00766,0.29080,1,2,0.521,ok,-0.10078;0.19002,0.42244,0.00000,0,
000013.png,1788182693.420,-0.02308,-0.00766,0.24909,1,2,0.500,ok,-0.10147;0.14763,0.27426,0.00000,0,
000014.png,1788182693.470,-0.01993,-0.00766,0.24541,1,2,0.521,ok,-0.10278;0.14263,0.25180,0.00000,0,
000015.png,1788182693.520,-0.02773,-0.00766,0.26444,1,2,0.479,ok,-0.10449;0.15995,0.32931,0.00000,0,
000016.png,1788182693.570,-0.04023,0.01204,0.28985,1,2,0.583,ok,-0.10470;0.18517,0.33791,0.00000,0,
000017.png,1788182693.670,-0.04335,-0.00766,0.29753,1,2,0.542,ok,-0.10542;0.19212,0.36211,0.00000,0,
000018.png,1788182693.720,-0.02468,-0.00766,0.24928,1,2,0.521,ok,-0.09996;0.14932,0.28592,0.00000,0,
000019.png,1788182693.770,0.00283,0.01204,0.19793,1,2,0.604,ok,-0.10180;0.09614,0.16029,0.00000,0,
000020.png,1788182693.820,-0.04685,-0.00766,0.29526,1,2,0.521,ok,-0.10078;0.19448,0.43000,0.00000,0,
000021.png,1788182693.921,-0.01990,-0.00766,0.24145,1,2,0.500,ok,-0.10083;0.14063,0.26265,0.00000,0,
000022.png,1788182693.970,-0.02816,0.02687,0.25935,0,2,0.292,single_line,-0.10152;0.40443,-0.00406,0.00000,0,
000023.png,1788182694.022,-0.02715,0.02282,0.25935,0,2,0.292,single_line,-0.10253;0.37240,-0.00923,0.00000,0,
000024.png,1788182694.070,-0.04607,-0.00766,0.29718,1,2,0.542,ok,-0.10253;0.19467,0.42819,0.00000,0,
000025.png,1788182694.170,-0.06793,0.02121,0.33915,1,2,0.583,ok,-0.10169;0.23754,0.53135,0.00000,0,
000026.png,1788182694.220,0.00177,0.01106,0.20011,1,2,0.646,ok,-0.10184;0.09829,0.17412,0.00000,0,
000027.png,1788182694.270,-0.01762,-0.00400,0.24391,1,2,0.583,ok,-0.10433;0.13958,0.27597,0.00000,0,
000028.png,1788182694.320,-0.03748,-0.00188,0.27818,1,2,0.583,ok,-0.10161;0.17657,0.37632,0.00000,0,
000029.png,1788182694.370,-0.02528,-0.00487,0.26433,0,2,0.250,single_line,-0.10689;0.40460,-0.07213,0.00000,0,
000030.png,1788182694.420,-0.01400,-0.67065,0.26433,0,2,0.292,single_line,-0.11817;-0.10335,-1.16315,0.00000,0,
000031.png,1788182694.520,-0.05079,0.01000,0.31307,1,2,0.521,ok,-0.10576;0.20733,0.45031,0.00000,0,
000032.png,1788182694.570,-0.02889,-0.64885,0.27408,0,2,0.354,single_line,-0.10815;-0.10381,-1.10561,0.00000,0,
000033.png,1788182694.620,-0.03713,0.02635,0.27408,0,2,0.292,single_line,-0.09991;0.40518,0.00417,0.00000,0,
000034.png,1788182694.670,-0.02973,-0.01539,0.27408,0,2,0.271,single_line,-0.10731;0.40367,-0.06231,0.00000,0,
000035.png,1788182694.770,-0.03033,-0.02424,0.27408,0,3,0.271,single_line,-0.59044;-0.10672;0.30557,-0.05283,0.00000,0,
000036.png,1788182694.821,-0.01465,-0.11325,0.27408,0,3,0.229,single_line,-0.12239;-0.08169;0.30124,-0.29617,0.00000,0,
000037.png,1788182694.870,0.02213,-0.05577,0.16896,1,2,0.604,ok,-0.10674;0.06248,0.01286,0.00000,0,
000038.png,1788182694.921,-0.01362,-0.05374,0.25306,0,2,0.250,single_line,-0.11291;-0.04974,-0.11609,0.00000,0,
000039.png,1788182694.971,-0.01444,-0.05054,0.25306,0,2,0.271,single_line,-0.11209;-0.03798,-0.10270,0.00000,0,
000040.png,1788182695.023,-0.01020,-0.04231,0.23144,1,2,0.625,ok,-0.10563;0.12602,0.16123,0.00000,0,
000041.png,1788182695.070,-0.01084,-0.07467,0.24663,1,2,0.521,ok,-0.11282;0.13450,0.12938,0.00000,0,
000042.png,1788182695.170,-0.00029,-0.14259,0.24831,0,2,0.188,single_line,-0.12387;-0.04816,-0.23055,0.00000,0,
000043.png,1788182695.220,0.02695,-0.10660,0.18590,1,3,0.333,ok,-0.12043;0.06653;0.20534,-0.00132,0.00000,0,
000044.png,1788182695.270,0.03136,-0.11018,0.17942,1,2,0.604,ok,-0.12162;0.05890,-0.21400,0.00000,0,
000045.png,1788182695.270,0.03136,-0.11018,0.17942,1,2,0.604,ok,-0.12162;0.05890,-0.21400,0.00000,0,
000046.png,1788182695.420,0.03840,-0.10242,0.14872,1,2,0.583,ok,-0.11315;0.03635,-0.17565,0.00000,0,
000047.png,1788182695.470,0.02315,-0.14465,0.20216,0,2,0.208,single_line,-0.12424;0.01602,-0.22709,0.00000,0,
000048.png,1788182695.522,0.01114,-0.06903,0.20216,0,2,0.229,single_line,-0.11222;-0.04947,0.00000,0.00000,0,
000049.png,1788182695.570,0.03459,-0.08564,0.16180,1,2,0.562,ok,-0.11579;0.04661,-0.16628,0.00000,0,
000050.png,1788182695.670,0.02694,-0.09437,0.17430,1,4,0.292,ok,-0.26786;-0.11448;0.06060;0.35037,0.00000,0.00000,0,
000051.png,1788182695.670,0.02694,-0.09437,0.17430,1,4,0.292,ok,-0.26786;-0.11448;0.06060;0.35037,0.00000,0.00000,0,
000052.png,1788182695.770,0.02159,-0.07699,0.18697,0,3,0.208,single_line,-0.21618;-0.11507;0.32600,0.00000,0.00000,0,
000053.png,1788182695.820,0.02303,-0.08177,0.18697,0,3,0.229,single_line,-0.20852;-0.11651;0.32600,0.00000,0.00000,0,
000054.png,1788182695.870,0.02555,-0.09372,0.19669,1,2,0.562,ok,-0.12433;0.07322,-0.25152,0.00000,0,
000055.png,1788182695.970,0.02000,-0.07458,0.18891,0,2,0.208,single_line,-0.11445;0.46542,0.00000,0.00000,0,
000056.png,1788182696.020,0.02003,-0.07487,0.18891,0,2,0.229,single_line,-0.11449;0.44865,0.00000,0.00000,0,
000057.png,1788182696.070,0.02606,-0.11652,0.18891,0,3,0.229,single_line,-0.23018;-0.12051;0.32277,-0.14208,0.00000,0,
000058.png,1788182696.170,0.02497,-0.09165,0.19035,1,3,0.312,ok,-0.12055;0.07060;0.46636,-0.07523,0.00000,0,
000059.png,1788182696.220,0.02222,-0.08358,0.18920,0,3,0.208,single_line,-0.17246;-0.11681;0.32215,0.00000,0.00000,0,
000060.png,1788182696.270,0.02035,-0.07653,0.18920,0,2,0.208,single_line,-0.11495;0.44822,0.00000,0.00000,0,
000061.png,1788182696.320,0.01922,-0.07196,0.18920,0,2,0.208,single_line,-0.11382;0.45950,0.00000,0.00000,0,
000062.png,1788182696.370,0.03514,-0.09372,0.17076,1,2,0.521,ok,-0.12089;0.05062,-0.23034,0.00000,0,
000063.png,1788182696.470,0.02267,-0.07784,0.18551,0,3,0.188,single_line,-0.19156;-0.11542;0.41708,0.00000,0.00000,0,
000064.png,1788182696.520,0.03136,-0.13448,0.18551,0,2,0.229,single_line,-0.12412;0.44492,-0.17451,0.00000,0,
000065.png,1788182696.570,0.02197,-0.07508,0.18551,0,3,0.208,single_line,-0.23444;-0.11472;0.39012,0.00000,0.00000,0,
000066.png,1788182696.670,0.02404,-0.09183,0.19501,1,3,0.312,ok,-0.12196;0.07387;0.43549,-0.07980,0.00000,0,
