stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182692.820,bad_width,-0.04658,0.00768,0.29754,2,0.583,ok
1788182693.070,bad_width,-0.04334,-0.00467,0.29157,2,0.542,ok
1788182693.170,bad_width,-0.04433,-0.00766,0.29138,2,0.542,ok
1788182693.221,unpaired,-0.03518,0.02935,0.27256,2,0.292,single_line
1788182693.270,unpaired,-0.02973,0.00320,0.27256,2,0.250,single_line
1788182693.370,bad_width,-0.04462,-0.00766,0.29080,2,0.521,ok
1788182693.670,bad_width,-0.04335,-0.00766,0.29753,2,0.542,ok
1788182693.770,bad_width,0.00283,0.01204,0.19793,2,0.604,ok
1788182693.820,bad_width,-0.04685,-0.00766,0.29526,2,0.521,ok
1788182693.970,unpaired,-0.02816,0.02687,0.25935,2,0.292,single_line
1788182694.022,unpaired,-0.02715,0.02282,0.25935,2,0.292,single_line
1788182694.070,bad_width,-0.04607,-0.00766,0.29718,2,0.542,ok
1788182694.170,bad_width,-0.06793,0.02121,0.33915,2,0.583,ok
1788182694.220,bad_width,0.00177,0.01106,0.20011,2,0.646,ok
1788182694.370,unpaired,-0.02528,-0.00487,0.26433,2,0.250,single_line
1788182694.420,unpaired,-0.01400,-0.67065,0.26433,2,0.292,single_line
1788182694.520,bad_width,-0.05079,0.01000,0.31307,2,0.521,ok
1788182694.570,unpaired,-0.02889,-0.64885,0.27408,2,0.354,single_line
1788182694.620,unpaired,-0.03713,0.02635,0.27408,2,0.292,single_line
1788182694.670,unpaired,-0.02973,-0.01539,0.27408,2,0.271,single_line
1788182694.770,unpaired,-0.03033,-0.02424,0.27408,3,0.271,single_line
1788182694.821,unpaired,-0.01465,-0.11325,0.27408,3,0.229,single_line
1788182694.870,bad_width,0.02213,-0.05577,0.16896,2,0.604,ok
1788182694.921,unpaired,-0.01362,-0.05374,0.25306,2,0.250,single_line
1788182694.971,unpaired,-0.01444,-0.05054,0.25306,2,0.271,single_line
1788182695.170,unpaired,-0.00029,-0.14259,0.24831,2,0.188,single_line
1788182695.220,bad_width,0.02695,-0.10660,0.18590,3,0.333,ok
1788182695.270,bad_width,0.03136,-0.11018,0.17942,2,0.604,ok
1788182695.270,bad_width,0.03136,-0.11018,0.17942,2,0.604,ok
1788182695.420,bad_width,0.03840,-0.10242,0.14872,2,0.583,ok
1788182695.470,unpaired,0.02315,-0.14465,0.20216,2,0.208,single_line
1788182695.522,unpaired,0.01114,-0.06903,0.20216,2,0.229,single_line
1788182695.570,bad_width,0.03459,-0.08564,0.16180,2,0.562,ok
1788182695.670,bad_width,0.02694,-0.09437,0.17430,4,0.292,ok
1788182695.670,bad_width,0.02694,-0.09437,0.17430,4,0.292,ok
1788182695.770,unpaired,0.02159,-0.07699,0.18697,3,0.208,single_line
1788182695.820,unpaired,0.02303,-0.08177,0.18697,3,0.229,single_line
1788182695.870,bad_width,0.02555,-0.09372,0.19669,2,0.562,ok
1788182695.970,unpaired,0.02000,-0.07458,0.18891,2,0.208,single_line
1788182696.020,unpaired,0.02003,-0.07487,0.18891,2,0.229,single_line
1788182696.070,unpaired,0.02606,-0.11652,0.18891,3,0.229,single_line
1788182696.170,bad_width,0.02497,-0.09165,0.19035,3,0.312,ok
1788182696.220,unpaired,0.02222,-0.08358,0.18920,3,0.208,single_line
1788182696.270,unpaired,0.02035,-0.07653,0.18920,2,0.208,single_line
1788182696.320,unpaired,0.01922,-0.07196,0.18920,2,0.208,single_line
1788182696.370,bad_width,0.03514,-0.09372,0.17076,2,0.521,ok
1788182696.470,unpaired,0.02267,-0.07784,0.18551,3,0.188,single_line
1788182696.520,unpaired,0.03136,-0.13448,0.18551,2,0.229,single_line
1788182696.570,unpaired,0.02197,-0.07508,0.18551,3,0.208,single_line
1788182696.670,bad_width,0.02404,-0.09183,0.19501,3,0.312,ok
1788182696.721,unpaired,0.02132,-0.07520,0.18741,2,0.208,single_line
1788182696.771,bad_width,-0.04896,-0.07817,0.32491,3,0.312,ok
1788182696.820,bad_width,0.03174,-0.09308,0.18387,3,0.312,ok
1788182696.870,unpaired,0.01000,-0.07295,0.20870,2,0.208,single_line
1788182696.970,unpaired,0.01202,-0.09627,0.20870,2,0.250,single_line
1788182697.020,bad_width,-0.04869,-0.10228,0.34252,3,0.312,ok
1788182697.070,unpaired,0.00790,-0.14558,0.23546,2,0.208,single_line
1788182697.120,unpaired,-0.00169,-0.07837,0.23546,2,0.188,single_line
1788182697.220,unpaired,-0.00304,-0.07303,0.23546,2,0.208,single_line
1788182697.270,unpaired,-0.00336,-0.07172,0.23546,2,0.208,single_line
1788182697.320,unpaired,0.00609,-0.13616,0.23546,2,0.229,single_line
1788182697.370,bad_width,0.04684,-0.09612,0.15217,3,0.521,ok
1788182697.420,bad_width,0.01866,-0.09612,0.19090,3,0.333,ok
1788182697.470,unpaired,0.00884,-0.07599,0.21322,2,0.188,single_line
1788182697.570,unpaired,0.00884,-0.07599,0.21322,2,0.188,single_line
1788182697.570,unpaired,0.00884,-0.07599,0.21322,2,0.188,single_line
1788182697.570,unpaired,0.00884,-0.07599,0.21322,2,0.188,single_line
1788182697.770,unpaired,0.00592,-0.06451,0.21322,2,0.208,single_line
1788182697.820,unpaired,0.01472,-0.12100,0.21322,2,0.229,single_line
1788182697.870,bad_width,-0.02861,-0.10164,0.30058,3,0.333,ok
1788182697.920,bad_width,0.02288,-0.10292,0.17925,3,0.292,ok
1788182697.970,unpaired,0.00991,-0.11939,0.22041,3,0.229,single_line
1788182698.021,unpaired,0.00246,-0.06657,0.22041,2,0.229,single_line
1788182698.070,bad_width,0.03203,-0.10522,0.16306,3,0.479,ok
1788182698.170,unpaired,0.02766,-0.21020,0.20894,3,0.208,single_line
1788182698.220,unpaired,0.00347,-0.04983,0.20894,3,0.208,single_line
1788182698.270,bad_width,0.01657,-0.08919,0.17696,2,0.542,ok
1788182698.320,unpaired,0.01369,-0.09842,0.20254,2,0.250,single_line
1788182698.420,bad_width,0.01811,-0.08499,0.17761,2,0.562,ok
1788182698.470,bad_width,0.03920,-0.06196,0.15008,2,0.562,ok
1788182698.520,bad_width,0.03023,-0.08112,0.15221,2,0.604,ok
1788182698.570,bad_width,0.02625,-0.06196,0.15972,2,0.604,ok
1788182698.620,unpaired,0.02603,-0.09044,0.17666,2,0.229,single_line
1788182698.721,bad_width,0.04805,-0.07903,0.14816,2,0.521,ok
1788182698.770,bad_width,0.02039,-0.07771,0.18397,2,0.542,ok
1788182698.820,unpaired,0.02482,-0.08392,0.17356,2,0.229,single_line
1788182698.921,unpaired,0.01820,-0.04433,0.17356,3,0.188,single_line
1788182699.120,bad_width,-0.03738,-0.07627,0.29056,3,0.250,ok
1788182699.170,bad_width,-0.17160,0.27339,0.32643,3,0.271,ok
1788182699.220,unpaired,-0.00330,-0.12757,0.24243,3,0.188,single_line
1788182699.270,unpaired,-0.01430,-0.04421,0.24243,2,0.188,single_line
1788182699.323,unpaired,-0.01377,-0.04452,0.24243,2,0.208,single_line
1788182699.421,unpaired,-0.01616,-0.03831,0.24243,2,0.188,single_line
1788182699.471,bad_width,-0.05523,-0.06300,0.32372,2,0.417,ok
1788182699.570,bad_width,-0.06790,-0.06355,0.33424,3,0.375,ok
1788182699.670,bad_width,-0.07807,-0.39777,0.15752,3,0.354,ok
1788182699.720,unpaired,-0.01438,-0.09000,0.24513,2,0.208,single_line
1788182699.770,bad_width,-0.06565,-0.04953,0.33146,2,0.417,ok
1788182699.870,unpaired,-0.03147,-0.03648,0.26239,2,0.188,single_line
1788182699.970,unpaired,-0.03609,-0.02337,0.26537,2,0.229,single_line
1788182700.020,unpaired,-0.03633,-0.02527,0.26537,2,0.271,single_line
1788182700.070,unpaired,-0.03706,-0.02807,0.26537,3,0.208,single_line
1788182700.170,bad_width,0.17382,-0.10549,0.15681,3,0.333,ok
1788182700.220,bad_width,-0.07619,-0.03501,0.34425,3,0.354,ok
1788182700.270,unpaired,-0.03706,-0.02159,0.26377,2,0.229,single_line
1788182700.320,unpaired,-0.03841,-0.01496,0.26377,3,0.188,single_line
1788182700.370,unpaired,-0.03494,-0.02652,0.26377,3,0.167,single_line
1788182700.470,bad_width,-0.06116,-0.02140,0.31629,2,0.354,ok
1788182700.520,bad_width,0.01156,-0.02505,0.17302,2,0.354,ok
1788182700.570,unpaired,-0.03097,-0.01424,0.25403,2,0.188,single_line
1788182700.620,bad_width,0.00153,-0.02162,0.19120,3,0.417,ok
1788182700.670,bad_width,-0.07000,-0.02134,0.33201,2,0.375,ok
1788182700.770,unpaired,-0.03559,0.01399,0.25957,3,0.208,single_line
1788182700.970,unpaired,-0.02700,-0.00706,0.25448,2,0.271,single_line
1788182701.070,unpaired,-0.02856,0.01331,0.25448,2,0.292,single_line
1788182701.070,unpaired,-0.02856,0.01331,0.25448,2,0.292,single_line
1788182701.220,bad_width,-0.05775,0.00907,0.31394,2,0.438,ok
1788182701.320,unpaired,-0.03912,0.04886,0.26617,2,0.229,single_line
1788182701.420,bad_width,0.00447,-0.01026,0.18579,2,0.458,ok
1788182701.470,bad_width,-0.00162,0.01911,0.18812,2,0.542,ok
1788182701.570,unpaired,-0.01516,0.01482,0.23233,2,0.229,single_line
1788182701.621,bad_width,-0.00124,0.00999,0.20829,2,0.458,ok
1788182701.720,unpaired,-0.01563,0.03238,0.23018,2,0.250,single_line
