frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788182955.970,-0.01460,-0.15188,0.29229,1,3,0.375,ok,-0.13325;0.16245;0.59522,-0.07867,0.00000,0,
000001.png,1788182956.020,-0.01211,-0.15188,0.29847,1,2,0.354,ok,-0.13886;0.16309,-0.10714,0.00000,0,
000002.png,1788182956.071,-0.01409,-0.15188,0.29866,1,3,0.354,ok,-0.13698;0.16515;0.59963,-0.09335,0.00000,0,
000003.png,1788182956.170,-0.00480,-0.15188,0.31420,1,3,0.354,ok,-0.15413;0.16373;0.61070,-0.20937,0.00000,0,
000004.png,1788182956.220,-0.00719,-0.12666,0.27494,1,3,0.333,ok,-0.13139;0.14576;0.60629,-0.07679,0.00000,0,
000005.png,1788182956.271,-0.01615,-0.15815,0.29714,1,3,0.312,ok,-0.13430;0.16659;0.60849,-0.03964,0.00000,0,
000006.png,1788182956.320,-0.01317,-0.15188,0.29880,1,2,0.354,ok,-0.13797;0.16431,-0.09819,0.00000,0,
000007.png,1788182956.420,-0.01048,-0.15188,0.29645,1,3,0.333,ok,-0.13947;0.16042;0.59743,-0.11404,0.00000,0,
000008.png,1788182956.471,-0.01990,-0.16310,0.29693,1,3,0.333,ok,-0.13057;0.17036;0.60849,-0.04822,0.00000,0,
000009.png,1788182956.520,-0.01589,-0.15188,0.29101,1,3,0.396,ok,-0.13131;0.16309;0.60794,-0.06886,0.00000,0,
000010.png,1788182956.571,-0.01301,-0.15188,0.29797,1,3,0.354,ok,-0.13771;0.16373;0.59963,-0.08943,0.00000,0,
000011.png,1788182956.620,-0.00912,-0.15188,0.28082,1,2,0.375,ok,-0.13293;0.15116,-0.10177,0.00000,0,
000012.png,1788182956.720,-0.01436,-0.15188,0.29940,1,3,0.375,ok,-0.13709;0.16580;0.60849,-0.09186,0.00000,0,
000013.png,1788182956.770,-0.01594,-0.12033,0.29900,1,3,0.354,ok,-0.13465;0.16653;0.60408,-0.08213,0.00000,0,
000014.png,1788182956.820,-0.01528,-0.15188,0.29902,1,3,0.333,ok,-0.13597;0.16653;0.60846,-0.07769,0.00000,0,
000015.png,1788182956.870,-0.01092,-0.15188,0.30211,1,3,0.333,ok,-0.14189;0.16373;0.60129,-0.11477,0.00000,0,
