stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182955.970,bad_width,-0.01460,-0.15188,0.29229,3,0.375,ok
1788182956.020,bad_width,-0.01211,-0.15188,0.29847,2,0.354,ok
1788182956.071,bad_width,-0.01409,-0.15188,0.29866,3,0.354,ok
1788182956.170,bad_width,-0.00480,-0.15188,0.31420,3,0.354,ok
1788182956.271,bad_width,-0.01615,-0.15815,0.29714,3,0.312,ok
1788182956.320,bad_width,-0.01317,-0.15188,0.29880,2,0.354,ok
1788182956.420,bad_width,-0.01048,-0.15188,0.29645,3,0.333,ok
1788182956.471,bad_width,-0.01990,-0.16310,0.29693,3,0.333,ok
1788182956.520,bad_width,-0.01589,-0.15188,0.29101,3,0.396,ok
1788182956.571,bad_width,-0.01301,-0.15188,0.29797,3,0.354,ok
1788182956.720,bad_width,-0.01436,-0.15188,0.29940,3,0.375,ok
1788182956.770,bad_width,-0.01594,-0.12033,0.29900,3,0.354,ok
1788182956.820,bad_width,-0.01528,-0.15188,0.29902,3,0.333,ok
1788182956.870,bad_width,-0.01092,-0.15188,0.30211,3,0.333,ok
1788182956.970,bad_width,-0.01509,-0.15815,0.30334,3,0.312,ok
1788182957.020,bad_width,-0.00660,-0.15188,0.31065,3,0.354,ok
1788182957.071,bad_width,-0.01443,-0.15188,0.29390,3,0.375,ok
1788182957.120,bad_width,-0.00718,-0.15188,0.29187,3,0.396,ok
1788182957.220,bad_width,-0.01492,-0.15815,0.29263,3,0.354,ok
1788182957.271,bad_width,-0.00965,-0.15815,0.30546,2,0.333,ok
1788182957.320,bad_width,-0.01212,-0.15815,0.29163,3,0.333,ok
1788182957.370,bad_width,-0.00846,-0.15188,0.31106,3,0.312,ok
1788182957.420,bad_width,-0.00713,-0.15188,0.30636,2,0.312,ok
1788182957.570,bad_width,0.00095,-0.15064,0.29573,3,0.333,ok
1788182957.620,bad_width,-0.00005,-0.11803,0.29318,3,0.375,ok
1788182957.670,bad_width,0.00261,-0.14960,0.29999,3,0.354,ok
1788182957.720,bad_width,-0.02000,-0.14960,0.30730,3,0.333,ok
1788182957.920,bad_width,-0.01222,-0.14960,0.30079,3,0.333,ok
1788182958.020,bad_width,0.00446,-0.14960,0.29482,3,0.354,ok
1788182958.570,bad_width,-0.01517,-0.14960,0.31816,3,0.333,ok
1788182958.570,bad_width,-0.01517,-0.14960,0.31816,3,0.333,ok
1788182958.670,bad_width,0.00084,-0.15064,0.29806,3,0.354,ok
