frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000000.png,1788183370.321,-0.06284,0.02783,0.24500,0,3,0.271,single_line,-0.20069;-0.05966;0.58701,0.05756,-0.06500,0,
000001.png,1788183370.370,-0.06149,0.01981,0.24500,0,2,0.312,single_line,-0.06101;0.05255,0.04274,-0.06500,0,
000002.png,1788183370.420,0.00834,-0.80534,0.24500,0,3,0.125,single_line,-0.13084;-0.06320;0.58866,0.00000,-0.06500,0,
000003.png,1788183370.520,0.01584,-0.81939,0.24500,0,3,0.125,single_line,-0.13834;-0.06230;0.58866,0.00000,-0.06500,0,
000004.png,1788183370.570,-0.06094,0.01527,0.24500,0,2,0.250,single_line,-0.06156;0.05748,0.02320,-0.06500,0,
000005.png,1788183370.620,0.01781,-0.82254,0.24500,0,3,0.125,single_line,-0.14031;-0.06117;0.58701,0.00000,-0.06500,0,
000006.png,1788183370.670,0.00834,-0.80534,0.24500,0,3,0.125,single_line,-0.13084;-0.05892;0.58701,0.00000,-0.06500,0,
000007.png,1788183370.770,-0.15719,0.00485,0.19942,1,3,0.188,ok,-0.06154;0.05748;0.25690,0.00000,-0.06500,0,
000008.png,1788183370.820,-0.05712,0.02127,0.23588,0,2,0.271,single_line,-0.06082;0.05994,0.04640,-0.06500,0,
000009.png,1788183370.870,-0.05524,0.00786,0.23588,0,2,0.271,single_line,-0.06270;0.05502,0.01253,-0.06500,0,
000010.png,1788183370.920,0.21789,0.01703,0.30909,1,3,0.396,ok,-0.37246;-0.06332;0.59032,-1.66276,-0.06500,0,
000011.png,1788183371.020,-0.06628,0.03125,0.25052,0,3,0.250,single_line,-0.05898;-0.04009;0.58366,0.06397,-0.06500,0,
000012.png,1788183371.070,0.00795,-0.80736,0.25052,0,3,0.125,single_line,-0.13321;-0.06371;0.58701,0.00000,-0.06500,0,
000013.png,1788183371.120,-0.06646,0.03092,0.25052,0,2,0.250,single_line,-0.05881;0.05748,0.04911,-0.06500,0,
000014.png,1788183371.170,-0.06160,0.00055,0.25052,0,2,0.271,single_line,-0.06366;0.05748,-0.00087,-0.06500,0,
000015.png,1788183371.220,0.18334,0.01452,0.23970,1,3,0.396,ok,-0.30320;-0.06347;0.59032,-1.41129,-0.06500,0,
000016.png,1788183371.220,0.18334,0.01452,0.23970,1,3,0.396,ok,-0.30320;-0.06347;0.59032,-1.41129,-0.06500,0,
000017.png,1788183371.370,-0.06284,0.02072,0.24663,0,2,0.271,single_line,-0.06047;0.05502,0.03196,-0.06500,0,
000018.png,1788183371.422,0.02410,-0.83723,0.24663,0,3,0.125,single_line,-0.14741;-0.06242;0.58701,0.00000,-0.06500,0,
000019.png,1788183371.470,0.01188,-0.81059,0.24663,0,3,0.125,single_line,-0.13519;-0.05948;0.59032,0.00000,-0.06500,0,
000020.png,1788183371.520,-0.05926,-0.00084,0.24663,0,2,0.292,single_line,-0.06405;0.05307,-0.00267,-0.06500,0,
000021.png,1788183371.570,0.01345,-0.81501,0.24663,0,3,0.125,single_line,-0.13676;-0.06470;0.58366,0.00000,-0.06500,0,
000022.png,1788183371.670,-0.06292,0.02255,0.24663,0,2,0.250,single_line,-0.06039;0.05502,0.03545,-0.06500,0,
000023.png,1788183371.720,0.00316,-0.79573,0.24663,0,2,0.146,single_line,-0.12648;-0.06015,0.00000,-0.06500,0,
000024.png,1788183371.770,0.01700,-0.82254,0.24663,0,3,0.125,single_line,-0.14031;-0.06434;0.59197,0.00000,-0.06500,0,
000025.png,1788183371.870,0.02410,-0.83723,0.24663,0,3,0.125,single_line,-0.14741;-0.05847;0.58532,0.00000,-0.06500,0,
000026.png,1788183371.920,-0.06276,0.02354,0.24663,0,2,0.271,single_line,-0.06056;0.05255,0.04971,-0.06500,0,
000027.png,1788183371.970,0.02029,-0.83019,0.24663,0,3,0.125,single_line,-0.14360;-0.06199;0.59197,0.00000,-0.06500,0,
000028.png,1788183372.020,0.18549,0.01063,0.24128,1,3,0.375,ok,-0.30614;-0.06484;0.59197,-1.42415,-0.06500,0,
000029.png,1788183372.120,0.02503,-0.83608,0.24556,0,3,0.125,single_line,-0.14781;-0.06074;0.59197,0.00000,-0.06500,0,
000030.png,1788183372.171,0.06284,0.01765,0.24556,0,2,0.104,single_line,-0.05968;0.05994,0.00000,-0.06500,0,
000031.png,1788183372.220,-0.05957,0.00430,0.24556,0,2,0.292,single_line,-0.06320;0.05502,0.00547,-0.06500,0,
000032.png,1788183372.270,-0.05926,0.00284,0.24556,0,2,0.271,single_line,-0.06352;0.05748,0.00308,-0.06500,0,
000033.png,1788183372.320,0.18526,0.01468,0.24759,1,3,0.396,ok,-0.30907;-0.06145;0.59032,-1.40889,-0.06500,0,
000034.png,1788183372.370,0.01138,-0.80880,0.24597,0,2,0.146,single_line,-0.13436;-0.06350,0.00000,-0.06500,0,
000035.png,1788183372.420,0.02285,-0.83302,0.24597,0,3,0.125,single_line,-0.14584;-0.05691;0.59362,0.00000,-0.06500,0,
000036.png,1788183372.520,-0.05914,0.00025,0.24597,0,2,0.292,single_line,-0.06385;0.01889,-0.00075,-0.06500,0,
000037.png,1788183372.570,-0.06391,0.03324,0.24597,0,2,0.250,single_line,-0.05908;0.05553,0.06914,-0.06500,0,
000038.png,1788183372.620,-0.06208,0.01972,0.24597,0,2,0.292,single_line,-0.06091;0.05502,0.04274,-0.06500,0,
000039.png,1788183372.670,-0.06208,0.01893,0.24597,0,2,0.250,single_line,-0.06090;-0.04723,0.03938,-0.06500,0,
000040.png,1788183372.770,0.02088,-0.82994,0.24597,0,2,0.125,single_line,-0.14386;-0.06039,0.00000,-0.06500,0,
000041.png,1788183372.820,-0.06002,0.00607,0.24597,0,2,0.312,single_line,-0.06296;0.01433,0.00932,-0.06500,0,
000042.png,1788183372.870,-0.06091,0.01207,0.24597,0,2,0.271,single_line,-0.06208;0.05748,0.01779,-0.06500,0,
000043.png,1788183372.921,0.02798,-0.84441,0.24597,0,2,0.125,single_line,-0.15096;-0.06394,0.00000,-0.06500,0,
000044.png,1788183372.970,0.02088,-0.82994,0.24597,0,2,0.125,single_line,-0.14386;-0.06416,0.00000,-0.06500,0,
