stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788183370.321,unpaired,-0.06284,0.02783,0.24500,3,0.271,single_line
1788183370.370,unpaired,-0.06149,0.01981,0.24500,2,0.312,single_line
1788183370.420,unpaired,0.00834,-0.80534,0.24500,3,0.125,single_line
1788183370.520,unpaired,0.01584,-0.81939,0.24500,3,0.125,single_line
1788183370.570,unpaired,-0.06094,0.01527,0.24500,2,0.250,single_line
1788183370.620,unpaired,0.01781,-0.82254,0.24500,3,0.125,single_line
1788183370.670,unpaired,0.00834,-0.80534,0.24500,3,0.125,single_line
1788183370.770,bad_width,-0.15719,0.00485,0.19942,3,0.188,ok
1788183370.820,unpaired,-0.05712,0.02127,0.23588,2,0.271,single_line
1788183370.870,unpaired,-0.05524,0.00786,0.23588,2,0.271,single_line
1788183370.920,bad_width,0.21789,0.01703,0.30909,3,0.396,ok
1788183371.020,unpaired,-0.06628,0.03125,0.25052,3,0.250,single_line
1788183371.070,unpaired,0.00795,-0.80736,0.25052,3,0.125,single_line
1788183371.120,unpaired,-0.06646,0.03092,0.25052,2,0.250,single_line
1788183371.170,unpaired,-0.06160,0.00055,0.25052,2,0.271,single_line
1788183371.370,unpaired,-0.06284,0.02072,0.24663,2,0.271,single_line
1788183371.422,unpaired,0.02410,-0.83723,0.24663,3,0.125,single_line
1788183371.470,unpaired,0.01188,-0.81059,0.24663,3,0.125,single_line
1788183371.520,unpaired,-0.05926,-0.00084,0.24663,2,0.292,single_line
1788183371.570,unpaired,0.01345,-0.81501,0.24663,3,0.125,single_line
1788183371.670,unpaired,-0.06292,0.02255,0.24663,2,0.250,single_line
1788183371.720,unpaired,0.00316,-0.79573,0.24663,2,0.146,single_line
1788183371.770,unpaired,0.01700,-0.82254,0.24663,3,0.125,single_line
1788183371.870,unpaired,0.02410,-0.83723,0.24663,3,0.125,single_line
1788183371.920,unpaired,-0.06276,0.02354,0.24663,2,0.271,single_line
1788183371.970,unpaired,0.02029,-0.83019,0.24663,3,0.125,single_line
1788183372.120,unpaired,0.02503,-0.83608,0.24556,3,0.125,single_line
1788183372.171,unpaired,0.06284,0.01765,0.24556,2,0.104,single_line
1788183372.220,unpaired,-0.05957,0.00430,0.24556,2,0.292,single_line
1788183372.270,unpaired,-0.05926,0.00284,0.24556,2,0.271,single_line
1788183372.370,unpaired,0.01138,-0.80880,0.24597,2,0.146,single_line
1788183372.420,unpaired,0.02285,-0.83302,0.24597,3,0.125,single_line
1788183372.520,unpaired,-0.05914,0.00025,0.24597,2,0.292,single_line
1788183372.570,unpaired,-0.06391,0.03324,0.24597,2,0.250,single_line
1788183372.620,unpaired,-0.06208,0.01972,0.24597,2,0.292,single_line
1788183372.670,unpaired,-0.06208,0.01893,0.24597,2,0.250,single_line
1788183372.770,unpaired,0.02088,-0.82994,0.24597,2,0.125,single_line
1788183372.820,unpaired,-0.06002,0.00607,0.24597,2,0.312,single_line
1788183372.870,unpaired,-0.06091,0.01207,0.24597,2,0.271,single_line
1788183372.921,unpaired,0.02798,-0.84441,0.24597,2,0.125,single_line
1788183372.970,unpaired,0.02088,-0.82994,0.24597,2,0.125,single_line
1788183373.070,unpaired,-0.06149,0.01338,0.24597,2,0.208,single_line
1788183373.120,unpaired,-0.03939,-0.45701,0.24597,2,0.083,single_line
1788183373.170,unpaired,-0.05889,0.00070,0.24597,2,0.292,single_line
1788183373.220,unpaired,-0.06144,0.01548,0.24597,2,0.292,single_line
1788183373.270,unpaired,0.02285,-0.83302,0.24597,2,0.125,single_line
1788183373.370,unpaired,-0.06361,0.02916,0.24597,2,0.250,single_line
1788183373.420,unpaired,0.02088,-0.82994,0.24597,2,0.125,single_line
1788183373.470,unpaired,-0.04036,-0.45485,0.24597,2,0.083,single_line
1788183373.520,unpaired,-0.05811,-0.00238,0.24597,2,0.292,single_line
1788183373.570,unpaired,-0.03939,-0.45701,0.24597,2,0.083,single_line
1788183373.670,unpaired,0.04178,-0.17526,0.24597,2,0.104,single_line
1788183373.721,unpaired,-0.06444,0.03235,0.24597,2,0.250,single_line
1788183373.770,unpaired,-0.06199,0.02102,0.24597,2,0.229,single_line
1788183373.820,bad_width,-0.01078,0.00960,0.14598,2,0.375,ok
1788183373.870,unpaired,-0.05091,0.01210,0.22597,2,0.229,single_line
1788183373.970,unpaired,-0.05069,0.01042,0.22597,2,0.250,single_line
1788183374.021,unpaired,0.04111,-0.20067,0.22597,2,0.104,single_line
1788183374.070,unpaired,-0.04903,-0.00024,0.22597,2,0.292,single_line
1788183374.121,unpaired,-0.05029,0.00807,0.22597,2,0.292,single_line
1788183374.170,unpaired,-0.02520,-0.46180,0.22597,2,0.083,single_line
1788183374.270,unpaired,-0.05077,0.00990,0.22597,2,0.292,single_line
1788183374.320,unpaired,-0.05300,0.02567,0.22597,2,0.292,single_line
1788183374.370,unpaired,0.03285,-0.83302,0.22597,2,0.125,single_line
1788183374.420,unpaired,-0.05348,0.02668,0.22597,2,0.271,single_line
1788183374.471,unpaired,-0.04840,-0.00219,0.22597,2,0.250,single_line
1788183374.571,unpaired,-0.05202,0.02011,0.22597,2,0.250,single_line
1788183374.620,unpaired,-0.04935,0.00265,0.22597,2,0.292,single_line
1788183374.670,unpaired,0.04302,-0.22713,0.22597,2,0.125,single_line
1788183374.771,bad_width,-0.01066,0.01314,0.14935,2,0.375,ok
1788183374.821,unpaired,-0.01754,-0.46180,0.21064,2,0.083,single_line
1788183374.870,unpaired,-0.04033,-0.00571,0.21064,2,0.250,single_line
1788183374.920,unpaired,-0.04247,0.00576,0.21064,2,0.271,single_line
1788183375.020,unpaired,-0.04385,0.01742,0.21064,2,0.333,single_line
1788183375.070,unpaired,-0.04457,0.01918,0.21064,2,0.271,single_line
1788183375.120,unpaired,0.03086,-0.19352,0.21064,2,0.104,single_line
1788183375.170,unpaired,-0.04159,0.00676,0.21064,2,0.250,single_line
1788183375.222,bad_width,-0.09652,0.02221,0.31916,3,0.375,ok
1788183375.222,bad_width,-0.09652,0.02221,0.31916,3,0.375,ok
1788183375.370,unpaired,0.05401,-0.20423,0.24971,2,0.104,single_line
1788183375.420,unpaired,-0.03804,-0.45965,0.24971,2,0.083,single_line
1788183375.470,unpaired,-0.06168,0.00634,0.24971,2,0.292,single_line
1788183375.520,unpaired,-0.05966,-0.00517,0.24971,2,0.250,single_line
1788183375.570,unpaired,-0.06069,-0.00032,0.24971,2,0.292,single_line
1788183375.670,unpaired,-0.06236,0.01143,0.24971,2,0.250,single_line
1788183375.720,unpaired,-0.06241,0.01149,0.24971,2,0.312,single_line
1788183375.770,unpaired,-0.06202,0.00855,0.24971,2,0.271,single_line
1788183375.820,bad_width,-0.01768,0.02138,0.16212,2,0.375,ok
1788183375.870,unpaired,-0.05054,-0.00769,0.23219,2,0.229,single_line
1788183375.920,unpaired,-0.03278,-0.45566,0.23219,2,0.083,single_line
1788183375.970,unpaired,-0.05105,-0.00547,0.23219,2,0.250,single_line
1788183376.070,unpaired,0.04630,-0.20571,0.23219,2,0.104,single_line
1788183376.120,unpaired,-0.05847,0.04147,0.23219,2,0.271,single_line
1788183376.170,unpaired,-0.05316,0.00756,0.23219,2,0.271,single_line
1788183376.220,unpaired,-0.05137,-0.00235,0.23219,2,0.271,single_line
1788183376.270,unpaired,-0.05441,0.01646,0.23219,2,0.292,single_line
1788183376.370,bad_width,-0.00946,0.01217,0.14552,2,0.396,ok
1788183376.420,unpaired,-0.04284,-0.00134,0.21486,2,0.271,single_line
