timestamp,action,reason,resets_issued
1788171370.333555,withheld,cage rules active: C-02,0
1788171370.448627,withheld,"cage rules active: C-01,C-02",0
1788171370.551122,withheld,cage rules active: C-01,0
1788171370.748328,withheld,still moving (0.173 m/s),0
1788171370.834548,withheld,still moving (0.172 m/s),0
1788171370.935869,withheld,still moving (0.147 m/s),0
1788171371.023719,withheld,still moving (0.138 m/s),0
1788171371.238143,withheld,still moving (0.085 m/s),0
1788171371.450560,withheld,still moving (0.061 m/s),0
1788171371.609489,withheld,still moving (0.051 m/s),0
1788171371.713581,withheld,still moving (0.041 m/s),0
1788171371.818219,withheld,still moving (0.031 m/s),0
1788171371.908492,withheld,still moving (0.023 m/s),0
1788171372.028178,withheld,healthy for 0.00 s of 1.00,0
1788171372.130236,withheld,healthy for 0.10 s of 1.00,0
1788171372.217541,withheld,healthy for 0.19 s of 1.00,0
1788171372.324402,withheld,perception still invalid,0
1788171372.436776,withheld,healthy for 0.00 s of 1.00,0
1788171372.527327,withheld,healthy for 0.09 s of 1.00,0
1788171372.619926,withheld,healthy for 0.18 s of 1.00,0
1788171372.728293,withheld,healthy for 0.29 s of 1.00,0
1788171372.812129,withheld,healthy for 0.38 s of 1.00,0
1788171372.917183,withheld,still moving (0.024 m/s),0
1788171373.151332,withheld,still moving (0.027 m/s),0
1788171373.219180,withheld,still moving (0.029 m/s),0
1788171373.339705,withheld,still moving (0.030 m/s),0
1788171373.611428,withheld,still moving (0.028 m/s),0
1788171373.758734,withheld,still moving (0.032 m/s),0
1788171373.928370,withheld,still moving (0.028 m/s),0
1788171374.038865,withheld,still moving (0.031 m/s),0
1788171374.135516,withheld,still moving (0.028 m/s),0
1788171374.219419,withheld,still moving (0.027 m/s),0
1788171374.317933,withheld,still moving (0.030 m/s),0
1788171374.540760,withheld,still moving (0.027 m/s),0
1788171374.757561,withheld,still moving (0.025 m/s),0
1788171374.939052,withheld,still moving (0.026 m/s),0
1788171375.035841,withheld,still moving (0.025 m/s),0
1788171375.339819,withheld,still moving (0.020 m/s),0
1788171375.447670,withheld,still moving (0.021 m/s),0
1788171375.775072,withheld,healthy for 0.00 s of 1.00,0
1788171375.832883,withheld,healthy for 0.06 s of 1.00,0
1788171375.931051,withheld,healthy for 0.16 s of 1.00,0
1788171376.136554,withheld,healthy for 0.36 s of 1.00,0
1788171376.232900,withheld,healthy for 0.46 s of 1.00,0
1788171376.351961,withheld,perception still invalid,0
1788171376.533618,withheld,healthy for 0.00 s of 1.00,0
1788171376.649314,withheld,healthy for 0.12 s of 1.00,0
1788171376.753813,withheld,healthy for 0.22 s of 1.00,0
1788171376.831310,withheld,healthy for 0.30 s of 1.00,0
1788171376.917831,withheld,healthy for 0.38 s of 1.00,0
1788171377.055531,withheld,healthy for 0.52 s of 1.00,0
1788171377.114450,withheld,healthy for 0.58 s of 1.00,0
1788171377.231947,withheld,healthy for 0.70 s of 1.00,0
1788171377.350444,withheld,healthy for 0.82 s of 1.00,0
1788171377.431575,withheld,healthy for 0.90 s of 1.00,0
1788171377.554353,reset,"healthy for 1.02 s, reset 1/6",1
1788171378.346030,withheld,perception still invalid,1
1788171378.636342,withheld,still moving (0.099 m/s),1
1788171378.713053,withheld,still moving (0.100 m/s),1
1788171378.816794,withheld,still moving (0.121 m/s),1
1788171378.920068,withheld,still moving (0.096 m/s),1
1788171379.154445,withheld,still moving (0.085 m/s),1
1788171379.257608,withheld,still moving (0.074 m/s),1
1788171379.452362,withheld,still moving (0.057 m/s),1
1788171379.619398,withheld,still moving (0.053 m/s),1
1788171379.735335,withheld,still moving (0.047 m/s),1
1788171379.836551,withheld,still moving (0.041 m/s),1
1788171379.923210,withheld,still moving (0.037 m/s),1
1788171380.038264,withheld,still moving (0.033 m/s),1
1788171380.108250,withheld,still moving (0.029 m/s),1
1788171380.225591,withheld,still moving (0.026 m/s),1
1788171380.340821,withheld,healthy for 0.00 s of 1.00,1
1788171380.432631,withheld,healthy for 0.09 s of 1.00,1
1788171380.541512,withheld,healthy for 0.20 s of 1.00,1
1788171380.617359,withheld,healthy for 0.28 s of 1.00,1
1788171380.746437,withheld,healthy for 0.41 s of 1.00,1
1788171380.935994,withheld,healthy for 0.60 s of 1.00,1
1788171381.036378,withheld,healthy for 0.70 s of 1.00,1
1788171381.145428,withheld,healthy for 0.80 s of 1.00,1
1788171381.206812,withheld,healthy for 0.87 s of 1.00,1
1788171381.337315,withheld,healthy for 1.00 s of 1.00,1
1788171381.440016,reset,"healthy for 1.10 s, reset 2/6",2
1788171383.959742,withheld,perception still invalid,2
1788171384.147221,withheld,still moving (0.194 m/s),2
1788171384.243612,withheld,still moving (0.195 m/s),2
1788171384.454088,withheld,still moving (0.185 m/s),2
1788171384.540609,withheld,still moving (0.168 m/s),2
1788171384.764324,withheld,still moving (0.127 m/s),2
1788171384.844568,withheld,still moving (0.112 m/s),2
1788171384.939414,withheld,still moving (0.109 m/s),2
1788171385.238331,withheld,still moving (0.078 m/s),2
