t_s,topic,field,value
1788188468.854723,/odometry/filtered,pos_x,0.042035
1788188468.854723,/odometry/filtered,pos_y,-0.198868
1788188468.854723,/odometry/filtered,quat_z,-0.137028
1788188468.854723,/odometry/filtered,quat_w,0.990567
1788188468.854723,/odometry/filtered,vel_x,0.000151
1788188468.854723,/odometry/filtered,yaw_rate,-0.000011
1788188468.888052,/odometry/filtered,pos_x,0.042050
1788188468.888052,/odometry/filtered,pos_y,-0.198870
1788188468.888052,/odometry/filtered,quat_z,-0.137029
1788188468.888052,/odometry/filtered,quat_w,0.990567
1788188468.888052,/odometry/filtered,vel_x,0.000155
1788188468.888052,/odometry/filtered,yaw_rate,-0.000011
1788188468.954818,/odometry/filtered,pos_x,0.041983
1788188468.954818,/odometry/filtered,pos_y,-0.198850
1788188468.954818,/odometry/filtered,quat_z,-0.137027
1788188468.954818,/odometry/filtered,quat_w,0.990567
1788188468.954818,/odometry/filtered,vel_x,0.000078
1788188468.954818,/odometry/filtered,yaw_rate,-0.000009
1788188468.988281,/odometry/filtered,pos_x,0.041889
1788188468.988281,/odometry/filtered,pos_y,-0.198965
1788188468.988281,/odometry/filtered,quat_z,-0.137018
1788188468.988281,/odometry/filtered,quat_w,0.990569
1788188468.988281,/odometry/filtered,vel_x,0.000006
1788188468.988281,/odometry/filtered,yaw_rate,0.000001
1788188469.021381,/odometry/filtered,pos_x,0.041886
1788188469.021381,/odometry/filtered,pos_y,-0.198978
1788188469.021381,/odometry/filtered,quat_z,-0.137018
1788188469.021381,/odometry/filtered,quat_w,0.990569
1788188469.021381,/odometry/filtered,vel_x,0.000006
1788188469.021381,/odometry/filtered,yaw_rate,0.000001
1788188469.121387,/odometry/filtered,pos_x,0.041934
1788188469.121387,/odometry/filtered,pos_y,-0.198836
1788188469.121387,/odometry/filtered,quat_z,-0.137030
1788188469.121387,/odometry/filtered,quat_w,0.990567
1788188469.121387,/odometry/filtered,vel_x,0.000029
1788188469.121387,/odometry/filtered,yaw_rate,-0.000013
1788188469.154740,/odometry/filtered,pos_x,0.041938
1788188469.154740,/odometry/filtered,pos_y,-0.198834
1788188469.154740,/odometry/filtered,quat_z,-0.137031
1788188469.154740,/odometry/filtered,quat_w,0.990567
1788188469.154740,/odometry/filtered,vel_x,0.000030
1788188469.154740,/odometry/filtered,yaw_rate,-0.000013
1788188469.221388,/odometry/filtered,pos_x,0.041964
1788188469.221388,/odometry/filtered,pos_y,-0.198871
1788188469.221388,/odometry/filtered,quat_z,-0.137025
1788188469.221388,/odometry/filtered,quat_w,0.990568
1788188469.221388,/odometry/filtered,vel_x,0.000066
1788188469.221388,/odometry/filtered,yaw_rate,-0.000006
1788188469.321381,/odometry/filtered,pos_x,0.041995
1788188469.321381,/odometry/filtered,pos_y,-0.198904
1788188469.321381,/odometry/filtered,quat_z,-0.137032
1788188469.321381,/odometry/filtered,quat_w,0.990567
1788188469.321381,/odometry/filtered,vel_x,0.000110
1788188469.321381,/odometry/filtered,yaw_rate,-0.000013
1788188469.354898,/odometry/filtered,pos_x,0.042003
1788188469.354898,/odometry/filtered,pos_y,-0.198907
1788188469.354898,/odometry/filtered,quat_z,-0.137026
1788188469.354898,/odometry/filtered,quat_w,0.990567
1788188469.354898,/odometry/filtered,vel_x,0.000117
1788188469.354898,/odometry/filtered,yaw_rate,-0.000006
1788188469.388205,/odometry/filtered,pos_x,0.042004
1788188469.388205,/odometry/filtered,pos_y,-0.198907
1788188469.388205,/odometry/filtered,quat_z,-0.137028
1788188469.388205,/odometry/filtered,quat_w,0.990567
1788188469.388205,/odometry/filtered,vel_x,0.000115
1788188469.388205,/odometry/filtered,yaw_rate,-0.000009
1788188469.421543,/odometry/filtered,pos_x,0.041947
1788188469.421543,/odometry/filtered,pos_y,-0.198886
1788188469.421543,/odometry/filtered,quat_z,-0.137033
1788188469.421543,/odometry/filtered,quat_w,0.990567
1788188469.421543,/odometry/filtered,vel_x,0.000041
1788188469.421543,/odometry/filtered,yaw_rate,-0.000014
1788188469.454909,/odometry/filtered,pos_x,0.041950
1788188469.454909,/odometry/filtered,pos_y,-0.198890
1788188469.454909,/odometry/filtered,quat_z,-0.137033
1788188469.454909,/odometry/filtered,quat_w,0.990566
1788188469.454909,/odometry/filtered,vel_x,0.000041
1788188469.454909,/odometry/filtered,yaw_rate,-0.000014
1788188469.521721,/odometry/filtered,pos_x,0.041982
1788188469.521721,/odometry/filtered,pos_y,-0.198841
1788188469.521721,/odometry/filtered,quat_z,-0.137033
1788188469.521721,/odometry/filtered,quat_w,0.990566
1788188469.521721,/odometry/filtered,vel_x,0.000058
1788188469.521721,/odometry/filtered,yaw_rate,-0.000013
1788188469.588186,/odometry/filtered,pos_x,0.041912
1788188469.588186,/odometry/filtered,pos_y,-0.198913
1788188469.588186,/odometry/filtered,quat_z,-0.137023
1788188469.588186,/odometry/filtered,quat_w,0.990568
1788188469.588186,/odometry/filtered,vel_x,0.000003
1788188469.588186,/odometry/filtered,yaw_rate,-0.000002
1788188469.688292,/odometry/filtered,pos_x,0.041933
1788188469.688292,/odometry/filtered,pos_y,-0.198896
1788188469.688292,/odometry/filtered,quat_z,-0.137030
1788188469.688292,/odometry/filtered,quat_w,0.990567
1788188469.688292,/odometry/filtered,vel_x,0.000019
1788188469.688292,/odometry/filtered,yaw_rate,-0.000009
1788188469.788596,/odometry/filtered,pos_x,0.041957
1788188469.788596,/odometry/filtered,pos_y,-0.198921
1788188469.788596,/odometry/filtered,quat_z,-0.137028
1788188469.788596,/odometry/filtered,quat_w,0.990567
1788188469.788596,/odometry/filtered,vel_x,0.000051
