timestamp,action,reason,resets_issued
1788187202.032528,withheld,cage rules active: C-02,0
1788187202.225845,withheld,still moving (0.174 m/s),0
1788187202.327215,withheld,still moving (0.175 m/s),0
1788187202.427102,withheld,still moving (0.161 m/s),0
1788187202.732317,withheld,still moving (0.122 m/s),0
1788187202.941030,withheld,still moving (0.082 m/s),0
1788187203.242335,withheld,still moving (0.047 m/s),0
1788187203.431049,withheld,still moving (0.029 m/s),0
1788187203.632392,withheld,healthy for 0.00 s of 1.00,0
1788187203.724081,withheld,healthy for 0.09 s of 1.00,0
1788187203.927534,withheld,healthy for 0.30 s of 1.00,0
1788187204.031610,withheld,healthy for 0.40 s of 1.00,0
1788187204.237401,withheld,healthy for 0.61 s of 1.00,0
1788187204.334605,withheld,healthy for 0.70 s of 1.00,0
1788187204.440206,withheld,healthy for 0.81 s of 1.00,0
1788187204.511663,withheld,healthy for 0.88 s of 1.00,0
1788187204.629592,withheld,still moving (0.024 m/s),0
1788187204.733035,withheld,still moving (0.027 m/s),0
1788187204.932101,withheld,perception still invalid,0
1788187205.047055,withheld,still moving (0.027 m/s),0
1788187205.217203,withheld,still moving (0.026 m/s),0
1788187205.318922,withheld,still moving (0.030 m/s),0
1788187205.721044,withheld,perception still invalid,0
1788187206.019432,withheld,still moving (0.028 m/s),0
1788187206.130345,withheld,still moving (0.026 m/s),0
1788187206.223745,withheld,still moving (0.025 m/s),0
1788187206.428817,withheld,still moving (0.023 m/s),0
1788187206.617543,withheld,perception still invalid,0
1788187206.734936,withheld,still moving (0.022 m/s),0
1788187206.833815,withheld,still moving (0.021 m/s),0
1788187206.918088,withheld,healthy for 0.00 s of 1.00,0
1788187207.018009,withheld,healthy for 0.10 s of 1.00,0
1788187207.135609,withheld,healthy for 0.22 s of 1.00,0
1788187207.215836,withheld,healthy for 0.30 s of 1.00,0
1788187207.313850,withheld,healthy for 0.40 s of 1.00,0
1788187207.423868,withheld,healthy for 0.51 s of 1.00,0
1788187207.529772,withheld,healthy for 0.61 s of 1.00,0
1788187207.629178,withheld,healthy for 0.71 s of 1.00,0
1788187207.743429,withheld,perception still invalid,0
1788187207.841341,withheld,healthy for 0.00 s of 1.00,0
1788187207.917384,withheld,healthy for 0.08 s of 1.00,0
1788187208.040264,withheld,healthy for 0.20 s of 1.00,0
1788187208.115497,withheld,healthy for 0.27 s of 1.00,0
1788187208.224309,withheld,perception still invalid,0
1788187208.408959,withheld,healthy for 0.00 s of 1.00,0
1788187208.527458,withheld,healthy for 0.12 s of 1.00,0
1788187208.619048,withheld,perception still invalid,0
1788187208.729272,withheld,healthy for 0.00 s of 1.00,0
1788187208.818422,withheld,healthy for 0.09 s of 1.00,0
1788187208.931200,withheld,healthy for 0.20 s of 1.00,0
1788187209.021208,withheld,healthy for 0.29 s of 1.00,0
1788187209.118947,withheld,healthy for 0.39 s of 1.00,0
1788187209.222125,withheld,healthy for 0.49 s of 1.00,0
1788187209.336025,withheld,perception still invalid,0
1788187209.624469,withheld,healthy for 0.00 s of 1.00,0
1788187209.718690,withheld,healthy for 0.09 s of 1.00,0
1788187209.836438,withheld,perception still invalid,0
1788187209.923859,withheld,healthy for 0.00 s of 1.00,0
1788187210.026517,withheld,healthy for 0.10 s of 1.00,0
1788187210.123209,withheld,perception still invalid,0
1788187210.210701,withheld,healthy for 0.00 s of 1.00,0
1788187210.336318,withheld,healthy for 0.13 s of 1.00,0
1788187210.418223,withheld,healthy for 0.21 s of 1.00,0
1788187210.531783,withheld,healthy for 0.32 s of 1.00,0
1788187210.636401,withheld,healthy for 0.43 s of 1.00,0
1788187210.725780,withheld,healthy for 0.52 s of 1.00,0
1788187210.826482,withheld,healthy for 0.62 s of 1.00,0
1788187210.911485,withheld,healthy for 0.70 s of 1.00,0
1788187211.028674,withheld,healthy for 0.82 s of 1.00,0
1788187211.114583,withheld,healthy for 0.90 s of 1.00,0
1788187211.225077,reset,"healthy for 1.01 s, reset 1/30",1
1788187213.222067,withheld,cage rules active: C-02,1
1788187213.614412,withheld,perception still invalid,1
1788187213.714843,withheld,cage rules active: C-02,1
1788187213.818247,withheld,still moving (0.158 m/s),1
1788187214.130913,withheld,perception still invalid,1
1788187214.432014,withheld,cage rules active: C-02,1
1788187226.628276,withheld,perception still invalid,1
1788187227.922231,withheld,cage rules active: C-02,1
1788187229.023722,withheld,perception still invalid,1
1788187229.233317,withheld,cage rules active: C-02,1
1788187234.636454,withheld,perception still invalid,1
1788187234.835099,withheld,cage rules active: C-02,1
1788187236.124256,withheld,perception still invalid,1
1788187236.615698,withheld,cage rules active: C-02,1
1788187237.332960,withheld,perception still invalid,1
1788187237.526095,withheld,cage rules active: C-02,1
1788187242.736395,withheld,perception still invalid,1
1788187242.830531,withheld,cage rules active: C-02,1
1788187244.426046,withheld,perception still invalid,1
1788187245.348049,withheld,cage rules active: C-02,1
1788187246.231097,withheld,perception still invalid,1
1788187246.523393,withheld,cage rules active: C-02,1
1788187247.315703,withheld,perception still invalid,1
1788187247.639574,withheld,cage rules active: C-02,1
1788187248.028194,withheld,perception still invalid,1
1788187248.327178,withheld,cage rules active: C-02,1
1788187249.119381,withheld,perception still invalid,1
1788187251.919656,withheld,cage rules active: C-02,1
1788187253.024619,withheld,perception still invalid,1
1788187253.140176,withheld,cage rules active: C-02,1
1788187253.522900,withheld,perception still invalid,1
1788187254.128392,withheld,cage rules active: C-02,1
1788187254.354756,withheld,perception still invalid,1
1788187254.925262,withheld,cage rules active: C-02,1
1788187255.140101,withheld,perception still invalid,1
1788187255.327170,withheld,cage rules active: C-02,1
1788187255.532412,withheld,perception still invalid,1
1788187256.132429,withheld,cage rules active: C-02,1
1788187256.441450,withheld,perception still invalid,1
1788187256.512144,withheld,cage rules active: C-02,1
1788187256.836390,withheld,perception still invalid,1
1788187256.923123,withheld,cage rules active: C-02,1
1788187257.337466,withheld,perception still invalid,1
1788187257.423965,withheld,cage rules active: C-02,1
1788187258.016762,withheld,perception still invalid,1
1788187258.228854,withheld,cage rules active: C-02,1
1788187258.834521,withheld,perception still invalid,1
1788187259.424158,withheld,cage rules active: C-02,1
1788187259.731574,withheld,perception still invalid,1
1788187260.237094,withheld,cage rules active: C-02,1
1788187260.427012,withheld,perception still invalid,1
1788187260.536843,withheld,cage rules active: C-02,1
1788187260.721939,withheld,perception still invalid,1
1788187260.822466,withheld,cage rules active: C-02,1
1788187261.147646,withheld,perception still invalid,1
1788187261.329921,withheld,cage rules active: C-02,1
1788187261.531270,withheld,perception still invalid,1
1788187261.636486,withheld,cage rules active: C-02,1
1788187261.943187,withheld,perception still invalid,1
1788187262.236486,withheld,cage rules active: C-02,1
1788187262.825771,withheld,perception still invalid,1
1788187263.119886,withheld,cage rules active: C-02,1
1788187263.445975,withheld,perception still invalid,1
1788187264.035696,withheld,cage rules active: C-02,1
1788187264.225807,withheld,perception still invalid,1
1788187264.431241,withheld,cage rules active: C-02,1
1788187264.731427,withheld,perception still invalid,1
1788187265.227991,withheld,cage rules active: C-02,1
1788187265.339521,withheld,perception still invalid,1
1788187265.440301,withheld,cage rules active: C-02,1
1788187266.118407,withheld,perception still invalid,1
1788187266.924644,withheld,cage rules active: C-02,1
1788187267.315072,withheld,perception still invalid,1
1788187267.533192,withheld,cage rules active: C-02,1
1788187267.623178,withheld,healthy for 0.00 s of 1.00,1
1788187267.742859,withheld,perception still invalid,1
1788187267.915751,withheld,healthy for 0.00 s of 1.00,1
1788187268.029448,withheld,healthy for 0.11 s of 1.00,1
1788187268.122580,withheld,perception still invalid,1
1788187268.341847,withheld,healthy for 0.00 s of 1.00,1
1788187268.421671,withheld,healthy for 0.08 s of 1.00,1
1788187268.532073,withheld,perception still invalid,1
1788187268.921636,withheld,healthy for 0.00 s of 1.00,1
1788187269.026088,withheld,perception still invalid,1
1788187270.530247,withheld,healthy for 0.00 s of 1.00,1
1788187270.725342,withheld,healthy for 0.20 s of 1.00,1
1788187270.824237,withheld,perception still invalid,1
1788187271.332177,withheld,healthy for 0.00 s of 1.00,1
1788187271.423737,withheld,healthy for 0.09 s of 1.00,1
1788187271.532680,withheld,healthy for 0.20 s of 1.00,1
1788187271.618589,withheld,perception still invalid,1
1788187271.738623,withheld,healthy for 0.00 s of 1.00,1
1788187271.830800,withheld,cage rules active: C-02,1
1788187272.038667,withheld,perception still invalid,1
1788187274.130967,withheld,cage rules active: C-02,1
1788187274.335186,withheld,perception still invalid,1
1788187274.919189,withheld,cage rules active: C-02,1
1788187275.016776,withheld,perception still invalid,1
1788187275.918902,withheld,cage rules active: C-02,1
1788187276.124640,withheld,perception still invalid,1
1788187280.334070,withheld,cage rules active: C-02,1
1788187280.430972,withheld,healthy for 0.00 s of 1.00,1
1788187280.539133,withheld,perception still invalid,1
1788187295.851086,withheld,healthy for 0.00 s of 1.00,1
1788187295.920854,withheld,perception still invalid,1
