timestamp,action,reason,resets_issued
1788187557.618269,withheld,healthy for 0.00 s of 0.30,0
1788187557.712387,withheld,healthy for 0.09 s of 0.30,0
1788187557.799539,withheld,healthy for 0.18 s of 0.30,0
1788187557.954744,reset,"healthy for 0.34 s, reset 1/30",1
1788187558.017585,withheld,perception still invalid,1
1788187558.199441,withheld,still moving (0.023 m/s),1
1788187558.298522,withheld,healthy for 0.00 s of 0.30,1
1788187558.410254,withheld,healthy for 0.11 s of 0.30,1
1788187558.499302,withheld,healthy for 0.20 s of 0.30,1
1788187558.603398,withheld,rate limited (0.65 s since last reset),1
1788187558.714515,withheld,rate limited (0.76 s since last reset),1
1788187558.807986,withheld,rate limited (0.85 s since last reset),1
1788187558.914493,withheld,rate limited (0.96 s since last reset),1
1788187559.104962,withheld,rate limited (1.15 s since last reset),1
1788187559.253891,withheld,rate limited (1.30 s since last reset),1
1788187559.296083,withheld,rate limited (1.34 s since last reset),1
1788187559.414346,withheld,rate limited (1.46 s since last reset),1
1788187559.491746,withheld,rate limited (1.54 s since last reset),1
1788187559.594765,withheld,rate limited (1.64 s since last reset),1
1788187559.721648,withheld,rate limited (1.77 s since last reset),1
1788187559.796008,withheld,rate limited (1.84 s since last reset),1
1788187559.892641,withheld,rate limited (1.94 s since last reset),1
1788187559.993412,withheld,rate limited (2.04 s since last reset),1
1788187560.081784,withheld,rate limited (2.13 s since last reset),1
1788187560.191670,withheld,rate limited (2.24 s since last reset),1
1788187560.426780,withheld,rate limited (2.47 s since last reset),1
1788187560.502446,withheld,rate limited (2.55 s since last reset),1
1788187560.600408,withheld,rate limited (2.65 s since last reset),1
1788187560.719537,withheld,rate limited (2.76 s since last reset),1
1788187560.806376,withheld,rate limited (2.85 s since last reset),1
1788187560.903228,withheld,rate limited (2.95 s since last reset),1
1788187561.097667,reset,"healthy for 2.80 s, reset 2/30",2
1788187561.205273,withheld,healthy for 0.00 s of 0.30,2
1788187561.308300,withheld,healthy for 0.10 s of 0.30,2
1788187561.399599,withheld,healthy for 0.19 s of 0.30,2
1788187561.510046,withheld,rate limited (0.41 s since last reset),2
1788187561.619938,withheld,rate limited (0.52 s since last reset),2
1788187561.712524,withheld,rate limited (0.61 s since last reset),2
1788187561.792398,withheld,rate limited (0.69 s since last reset),2
1788187561.908417,withheld,rate limited (0.81 s since last reset),2
1788187561.996771,withheld,rate limited (0.90 s since last reset),2
1788187562.104549,withheld,rate limited (1.01 s since last reset),2
1788187562.219577,withheld,rate limited (1.12 s since last reset),2
1788187562.316566,withheld,rate limited (1.22 s since last reset),2
1788187562.428925,withheld,rate limited (1.33 s since last reset),2
1788187562.497227,withheld,rate limited (1.40 s since last reset),2
1788187562.718316,withheld,rate limited (1.62 s since last reset),2
1788187562.807979,withheld,rate limited (1.71 s since last reset),2
1788187562.895973,withheld,rate limited (1.80 s since last reset),2
1788187562.995360,withheld,rate limited (1.90 s since last reset),2
1788187563.095051,withheld,rate limited (2.00 s since last reset),2
1788187563.231390,withheld,rate limited (2.13 s since last reset),2
1788187563.297172,withheld,rate limited (2.20 s since last reset),2
1788187563.399770,withheld,rate limited (2.30 s since last reset),2
1788187563.492097,withheld,perception still invalid,2
1788187563.602160,withheld,healthy for 0.00 s of 0.30,2
1788187563.714166,withheld,perception still invalid,2
1788187563.899708,withheld,healthy for 0.00 s of 0.30,2
1788187563.996558,withheld,healthy for 0.10 s of 0.30,2
1788187564.110757,withheld,healthy for 0.21 s of 0.30,2
1788187564.227223,reset,"healthy for 0.33 s, reset 3/30",3
1788187564.304969,withheld,healthy for 0.00 s of 0.30,3
1788187564.402930,withheld,perception still invalid,3
1788187564.598685,withheld,healthy for 0.00 s of 0.30,3
1788187564.706851,withheld,healthy for 0.11 s of 0.30,3
1788187564.790807,withheld,healthy for 0.19 s of 0.30,3
1788187564.981142,withheld,rate limited (0.75 s since last reset),3
1788187565.218613,withheld,rate limited (0.99 s since last reset),3
1788187565.315181,withheld,rate limited (1.09 s since last reset),3
1788187565.416505,withheld,rate limited (1.19 s since last reset),3
1788187565.514065,withheld,rate limited (1.29 s since last reset),3
1788187565.831850,withheld,rate limited (1.60 s since last reset),3
1788187565.909112,withheld,rate limited (1.68 s since last reset),3
1788187565.992179,withheld,rate limited (1.76 s since last reset),3
1788187566.089268,withheld,rate limited (1.86 s since last reset),3
1788187566.212137,withheld,rate limited (1.98 s since last reset),3
1788187566.286416,withheld,rate limited (2.06 s since last reset),3
1788187566.378495,withheld,rate limited (2.15 s since last reset),3
1788187566.502148,withheld,rate limited (2.27 s since last reset),3
1788187566.608936,withheld,rate limited (2.38 s since last reset),3
1788187566.711533,withheld,rate limited (2.48 s since last reset),3
1788187566.792457,withheld,rate limited (2.57 s since last reset),3
1788187566.886345,withheld,rate limited (2.66 s since last reset),3
1788187566.999369,withheld,rate limited (2.77 s since last reset),3
1788187567.120368,withheld,rate limited (2.89 s since last reset),3
1788187567.203794,withheld,rate limited (2.98 s since last reset),3
1788187567.297489,reset,"healthy for 2.70 s, reset 4/30",4
1788187567.382546,withheld,healthy for 0.00 s of 0.30,4
1788187567.495788,withheld,healthy for 0.11 s of 0.30,4
1788187567.603422,withheld,healthy for 0.22 s of 0.30,4
1788187567.707407,withheld,rate limited (0.41 s since last reset),4
1788187567.792599,withheld,rate limited (0.50 s since last reset),4
1788187567.925453,withheld,rate limited (0.63 s since last reset),4
1788187568.017634,withheld,rate limited (0.72 s since last reset),4
1788187568.117172,withheld,rate limited (0.82 s since last reset),4
1788187568.213924,withheld,rate limited (0.92 s since last reset),4
1788187568.291696,withheld,rate limited (0.99 s since last reset),4
1788187568.413964,withheld,rate limited (1.12 s since last reset),4
1788187568.495697,withheld,rate limited (1.20 s since last reset),4
1788187568.626496,withheld,rate limited (1.33 s since last reset),4
1788187568.699985,withheld,rate limited (1.40 s since last reset),4
1788187568.809780,withheld,rate limited (1.51 s since last reset),4
