timestamp,action,reason,resets_issued
1788187810.708540,withheld,cage rules active: C-02,0
1788187811.188254,withheld,still moving (0.160 m/s),0
1788187811.289999,withheld,cage rules active: C-02,0
1788187811.884284,withheld,still moving (0.056 m/s),0
1788187811.982869,withheld,still moving (0.040 m/s),0
1788187812.181400,withheld,cage rules active: C-02,0
1788187812.492995,withheld,perception still invalid,0
1788187812.688825,withheld,cage rules active: C-02,0
1788187813.002706,withheld,perception still invalid,0
1788187813.190141,withheld,cage rules active: C-02,0
1788187813.904573,withheld,still moving (0.027 m/s),0
1788187813.994507,withheld,cage rules active: C-02,0
1788187814.185900,withheld,perception still invalid,0
1788187814.315092,withheld,cage rules active: C-02,0
1788187814.405413,withheld,still moving (0.030 m/s),0
1788187814.490197,withheld,perception still invalid,0
1788187815.189362,withheld,still moving (0.024 m/s),0
1788187815.295128,withheld,still moving (0.022 m/s),0
1788187815.697253,withheld,healthy for 0.00 s of 0.30,0
1788187815.793046,withheld,perception still invalid,0
1788187816.186810,withheld,cage rules active: C-02,0
1788187816.483545,withheld,healthy for 0.00 s of 0.30,0
1788187816.580232,withheld,healthy for 0.10 s of 0.30,0
1788187816.690938,withheld,perception still invalid,0
1788187817.295069,withheld,healthy for 0.00 s of 0.30,0
1788187817.394759,withheld,cage rules active: C-02,0
1788187818.204829,withheld,perception still invalid,0
1788187818.287133,withheld,cage rules active: C-02,0
1788187818.702737,withheld,healthy for 0.00 s of 0.30,0
1788187818.806927,withheld,perception still invalid,0
1788187818.977741,withheld,cage rules active: C-02,0
1788187819.307307,withheld,perception still invalid,0
1788187819.452016,withheld,cage rules active: C-02,0
1788187819.609298,withheld,perception still invalid,0
1788187819.684443,withheld,cage rules active: C-02,0
1788187820.095108,withheld,healthy for 0.00 s of 0.30,0
1788187820.267797,withheld,cage rules active: C-02,0
1788187820.586637,withheld,perception still invalid,0
1788187820.678050,withheld,cage rules active: C-02,0
1788187821.494395,withheld,healthy for 0.00 s of 0.30,0
1788187821.583369,withheld,perception still invalid,0
1788187821.884823,withheld,cage rules active: C-02,0
1788187825.107930,withheld,healthy for 0.00 s of 0.30,0
1788187825.195454,withheld,perception still invalid,0
1788187825.288381,withheld,cage rules active: C-02,0
1788187826.669012,withheld,perception still invalid,0
1788187826.791692,withheld,cage rules active: C-02,0
1788187827.682569,withheld,perception still invalid,0
1788187828.196941,withheld,cage rules active: C-02,0
1788187829.093172,withheld,perception still invalid,0
1788187829.185654,withheld,cage rules active: C-02,0
1788187829.797009,withheld,perception still invalid,0
1788187829.889224,withheld,cage rules active: C-02,0
