episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.003900,-0.122399,0.259056,0.000001,0.309700,0.000000,0.000063,-0.604178,-0.604178,0.000000,,0
0,2,0.000360,-0.122453,0.206618,-0.000049,0.257262,0.004260,0.064553,-0.782070,-0.754178,0.027892,C-06,0
0,3,0.012223,-0.122621,0.151735,-0.000206,0.202380,0.016123,0.128059,-0.726290,-0.726290,0.000000,,0
0,4,0.027962,-0.122850,0.109243,-0.000419,0.159888,0.031862,0.181468,-0.645358,-0.645358,0.000000,,0
0,5,0.047674,-0.123015,0.070744,-0.000566,0.121389,0.051575,0.199475,-0.572985,-0.572985,0.000000,,0
0,6,0.067644,-0.123175,0.037636,-0.000706,0.088280,0.071544,0.199850,-0.481977,-0.481977,0.000000,,0
0,7,0.091638,-0.123366,0.004094,-0.000874,0.054739,0.095539,0.200003,-0.379952,-0.379952,0.000000,,0
0,8,0.115637,-0.123557,-0.018495,-0.001057,-0.005433,0.119537,0.199976,-0.265369,-0.265369,0.000000,,0
0,9,0.135631,-0.123717,-0.027605,-0.001217,-0.014542,0.139531,0.199933,-0.071482,-0.115369,-0.043887,C-06,0
0,10,0.155623,-0.124252,-0.027146,-0.001752,-0.014084,0.159523,0.200004,0.014541,0.014541,0.000000,,0
0,11,0.179616,-0.124923,-0.021476,-0.002423,-0.008414,0.183516,0.200031,0.068977,0.068977,0.000000,,0
0,12,0.203612,-0.125594,-0.014966,-0.003094,-0.014773,0.207512,0.200055,0.078373,0.078373,0.000000,,0
0,13,0.223611,-0.126153,-0.008182,-0.003653,-0.007990,0.227511,0.200071,0.100566,0.100566,0.000000,,0
0,14,0.243610,-0.126646,-0.001526,-0.004146,-0.001333,0.247511,0.200047,0.093316,0.093316,0.000000,,0
0,15,0.263610,-0.126944,0.003847,-0.004444,0.004039,0.267510,0.200013,0.074036,0.074036,0.000000,,0
0,16,0.287610,-0.127068,0.008373,-0.004568,0.008565,0.291510,0.199994,0.052603,0.052603,0.000000,,0
0,17,0.311609,-0.127004,0.011278,-0.004504,0.011278,0.315509,0.199990,0.032026,0.032026,0.000000,,0
0,18,0.335607,-0.126807,0.012869,-0.004307,0.012869,0.339507,0.199992,0.016101,0.016101,0.000000,,0
0,19,0.355605,-0.126567,0.013219,-0.004067,0.013219,0.359505,0.199997,0.004757,0.004757,0.000000,,0
0,20,0.379603,-0.126259,0.013189,-0.003759,0.013189,0.383503,0.199999,-0.001496,-0.001496,0.000000,,0
0,21,0.403601,-0.125948,0.012792,-0.003448,0.012792,0.407501,0.200000,-0.004775,-0.004775,0.000000,,0
0,22,0.423600,-0.125688,0.012389,-0.003188,0.012389,0.427500,0.200001,-0.005845,-0.005845,0.000000,,0
0,23,0.443598,-0.125428,0.011979,-0.002928,0.011979,0.447498,0.200002,-0.005852,-0.005852,0.000000,,0
0,24,0.463597,-0.125170,0.011600,-0.002670,0.011600,0.467497,0.200003,-0.005393,-0.005393,0.000000,,0
0,25,0.487595,-0.124873,0.011193,-0.002373,0.011193,0.491495,0.200002,-0.004817,-0.004817,0.000000,,0
0,26,0.511594,-0.124587,0.010836,-0.002087,0.010836,0.515494,0.200002,-0.004215,-0.004215,0.000000,,0
0,27,0.531593,-0.124357,0.010571,-0.001857,0.010571,0.535493,0.200002,-0.003702,-0.003702,0.000000,,0
0,28,0.555591,-0.124090,0.010288,-0.001590,0.010288,0.559491,0.200001,-0.003339,-0.003339,0.000000,,0
0,29,0.579590,-0.123830,0.010026,-0.001330,0.010026,0.583490,0.200001,-0.003077,-0.003077,0.000000,,0
0,30,0.603589,-0.123578,0.009779,-0.001078,0.009779,0.607489,0.200001,-0.002895,-0.002895,0.000000,,0
0,31,0.627588,-0.123332,0.009545,-0.000832,0.009545,0.631488,0.200001,-0.002778,-0.002778,0.000000,,0
0,32,0.647587,-0.123132,0.009354,-0.000632,0.009354,0.651487,0.200001,-0.002698,-0.002698,0.000000,,0
0,33,0.671586,-0.122896,0.009131,-0.000396,0.009131,0.675486,0.200001,-0.002641,-0.002641,0.000000,,0
0,34,0.695585,-0.122667,0.008913,-0.000167,0.008913,0.699485,0.200001,-0.002590,-0.002590,0.000000,,0
0,35,0.719584,-0.122443,0.008698,0.000057,0.008698,0.723484,0.200001,-0.002539,-0.002539,0.000000,,0
0,36,0.743583,-0.122222,0.008430,0.000278,0.008430,0.747483,0.200001,-0.003186,-0.003186,0.000000,,0
0,37,0.763582,-0.122042,0.008199,0.000458,0.008199,0.767482,0.200001,-0.003283,-0.003283,0.000000,,0
0,38,0.787582,-0.121832,0.007933,0.000668,0.007933,0.791482,0.200001,-0.003148,-0.003148,0.000000,,0
0,39,0.811581,-0.121630,0.007687,0.000870,0.007687,0.815481,0.200001,-0.002891,-0.002891,0.000000,,0
0,40,0.835580,-0.121432,0.007274,0.001068,0.007274,0.839480,0.200002,-0.005204,-0.005204,0.000000,,0
0,41,0.863579,-0.121203,0.006724,0.001297,0.006724,0.867479,0.200002,-0.005646,-0.005646,0.000000,,0
0,42,0.887579,-0.121022,0.006299,0.001478,0.006299,0.891479,0.200001,-0.004973,-0.004973,0.000000,,0
0,43,0.911578,-0.120854,0.005946,0.001646,0.005946,0.915479,0.200001,-0.004009,-0.004009,0.000000,,0
0,44,0.935578,-0.120691,0.005244,0.001809,0.005244,0.939478,0.200002,-0.008376,-0.008376,0.000000,,0
