episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.001131,0.030749,0.025875,0.153010,0.139285,8.785273,0.050073,-0.449904,-0.049321,0.400583,C-01,0
0,2,0.009010,0.030742,0.021737,0.153154,0.072381,0.012763,0.113658,-0.500819,-0.049515,0.451304,C-06;C-01,0
0,3,0.026783,0.030841,0.017568,0.153270,0.068213,0.030536,0.177260,-0.474245,-0.049732,0.424513,C-06;C-03;C-01,0
0,4,0.050400,0.030979,0.013373,0.153431,0.064018,0.054153,0.199985,-0.511088,-0.049905,0.461183,C-06;C-03;C-01,0
0,5,0.070399,0.031096,0.009851,0.153567,0.060496,0.074151,0.199993,-0.517763,-0.050147,0.467616,C-06;C-03;C-01,0
0,6,0.094398,0.031236,0.005596,0.153730,0.056241,0.098150,0.200000,-0.509545,-0.050351,0.459195,C-06;C-03;C-01,0
0,7,0.114398,0.031352,0.002024,0.153852,0.015086,0.118298,0.200003,-0.499548,-0.050595,0.448952,C-06;C-03;C-01,0
0,8,0.134398,0.031469,-0.001569,0.153969,0.011493,0.138298,0.200003,-0.398535,-0.050778,0.347757,C-06;C-01,0
0,9,0.154398,0.031585,-0.005168,0.154085,0.007894,0.158298,0.200001,-0.389793,-0.050953,0.338841,C-06;C-01,0
0,10,0.178397,0.031668,-0.009490,0.154168,0.003573,0.182297,0.199992,-0.381013,-0.051127,0.329886,C-06;C-01,0
0,11,0.202396,0.031647,-0.013809,0.154147,-0.000747,0.203900,0.199982,-0.370300,-0.051252,0.319048,C-06;C-01,0
0,12,0.222393,0.031549,-0.017397,0.154049,-0.017205,0.226293,0.199975,-0.359311,-0.051221,0.308091,C-06;C-01,0
0,13,0.242390,0.031379,-0.020966,0.153879,-0.020774,0.246290,0.199967,-0.317014,-0.051074,0.265940,C-06;C-01,0
0,14,0.266383,0.031078,-0.025216,0.153578,-0.025024,0.270283,0.199958,-0.307397,-0.050818,0.256578,C-06;C-01,0
0,15,0.290374,0.030672,-0.029417,0.153172,-0.029224,0.294274,0.199950,-0.295667,-0.050367,0.245300,C-06;C-01,0
0,16,0.310365,0.030254,-0.032866,0.152754,-0.032866,0.314265,0.199944,-0.283725,-0.049758,0.233967,C-06;C-01,0
0,17,0.330353,0.029765,-0.036264,0.152265,-0.036264,0.334253,0.199938,-0.273115,-0.049131,0.223984,C-06;C-01,0
0,18,0.350338,0.029204,-0.039603,0.151704,-0.039603,0.354238,0.199932,-0.262948,-0.048397,0.214551,C-06;C-01,0
