episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.001678,-0.131655,0.342850,-0.009253,0.393494,0.002231,0.045630,-0.851200,-0.851200,0.000000,C-02;C-05,1
0,2,0.007809,-0.131576,0.274880,-0.009165,0.325524,0.011718,0.107838,-0.979171,-0.979171,0.000000,C-02;C-05,1
0,3,0.024881,-0.130568,0.210895,-0.008140,0.261540,0.028789,0.171943,-0.880529,-0.880529,0.000000,C-02;C-05,1
0,4,0.048049,-0.129149,0.150954,-0.006699,0.201599,0.051956,0.197994,-0.793378,-0.793378,0.000000,C-05,1
0,5,0.067882,-0.127967,0.106447,-0.005498,0.157092,0.071787,0.199166,-0.683080,-0.683080,0.000000,C-05,1
0,6,0.091796,-0.126548,0.060131,-0.004056,0.110776,0.095700,0.199962,-0.575119,-0.575119,0.000000,C-05,1
0,7,0.111775,-0.125366,0.029035,-0.002866,0.042097,0.115675,0.200254,-0.451115,-0.451115,0.000000,C-05,1
0,8,0.131771,-0.124184,0.010975,-0.001684,0.024037,0.135671,0.200335,-0.255807,-0.255807,0.000000,C-06;C-05,1
0,9,0.151770,-0.123462,0.000877,-0.000962,0.013939,0.155670,0.200099,-0.141717,-0.141717,0.000000,C-05,1
0,10,0.175770,-0.123146,-0.005290,-0.000646,0.007772,0.179670,0.200008,-0.071524,-0.071524,0.000000,C-05,1
0,11,0.199770,-0.123161,-0.007617,-0.000661,0.005445,0.203670,0.199995,-0.027137,-0.027137,0.000000,C-05,1
0,12,0.219769,-0.123304,-0.007809,-0.000804,-0.007617,0.223669,0.199999,-0.002483,-0.002483,0.000000,C-05,1
0,13,0.239769,-0.123450,-0.004852,-0.000950,-0.004659,0.243669,0.200003,0.042566,0.042566,0.000000,C-05,1
0,14,0.263768,-0.123625,-0.000282,-0.001125,-0.000089,0.267668,0.200005,0.053979,0.053979,0.000000,C-05,1
0,15,0.287768,-0.123797,0.003725,-0.001297,0.003917,0.291668,0.200003,0.047156,0.047156,0.000000,C-05,1
0,16,0.307768,-0.123843,0.006145,-0.001343,0.006145,0.311668,0.199997,0.034171,0.034171,0.000000,C-05,1
0,17,0.327768,-0.123801,0.007772,-0.001301,0.007772,0.331668,0.199995,0.022977,0.022977,0.000000,C-05,1
0,18,0.347767,-0.123695,0.008756,-0.001195,0.008756,0.351667,0.199996,0.013899,0.013899,0.000000,C-05,1
0,19,0.371766,-0.123514,0.009372,-0.001014,0.009372,0.375666,0.199997,0.007245,0.007245,0.000000,C-05,1
0,20,0.395765,-0.123299,0.009578,-0.000799,0.009578,0.399665,0.199999,0.002402,0.002402,0.000000,C-05,1
0,21,0.415764,-0.123111,0.009533,-0.000611,0.009533,0.419664,0.200000,-0.000684,-0.000684,0.000000,C-05,1
0,22,0.435763,-0.122922,0.009372,-0.000422,0.009372,0.439663,0.200000,-0.002307,-0.002307,0.000000,C-05,1
0,23,0.455762,-0.122733,0.009161,-0.000233,0.009161,0.459662,0.200000,-0.003013,-0.003013,0.000000,C-05,1
0,24,0.479761,-0.122507,0.008891,-0.000007,0.008891,0.483661,0.200001,-0.003202,-0.003202,0.000000,C-05,1
0,25,0.499760,-0.122318,0.008672,0.000182,0.008672,0.503661,0.200001,-0.003110,-0.003110,0.000000,C-05,1
0,26,0.519760,-0.122135,0.008465,0.000365,0.008465,0.523660,0.200001,-0.002944,-0.002944,0.000000,C-05,1
0,27,0.539759,-0.121956,0.008270,0.000544,0.008270,0.543659,0.200001,-0.002767,-0.002767,0.000000,C-05,1
0,28,0.563758,-0.121747,0.008050,0.000753,0.008050,0.567658,0.200001,-0.002607,-0.002607,0.000000,C-05,1
0,29,0.587757,-0.121543,0.007843,0.000957,0.007843,0.591658,0.200001,-0.002458,-0.002458,0.000000,C-05,1
0,30,0.607757,-0.121378,0.007678,0.001122,0.007678,0.611657,0.200001,-0.002333,-0.002333,0.000000,C-05,1
0,31,0.631756,-0.121185,0.007488,0.001315,0.007488,0.635656,0.200001,-0.002250,-0.002250,0.000000,C-05,1
0,32,0.655756,-0.120997,0.007305,0.001503,0.007305,0.659656,0.200001,-0.002176,-0.002176,0.000000,C-05,1
0,33,0.679755,-0.120813,0.007127,0.001687,0.007127,0.683655,0.200001,-0.002110,-0.002110,0.000000,C-05,1
0,34,0.703754,-0.120633,0.006953,0.001867,0.006953,0.707654,0.200001,-0.002051,-0.002051,0.000000,C-05,1
