episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.001997,-0.109620,-0.034234,0.012876,0.079176,8.792361,0.042116,0.018169,0.018169,0.000000,,0
0,2,0.007188,-0.109897,-0.034903,0.012514,0.015742,0.011076,0.105723,-0.008288,-0.008288,0.000000,,0
0,3,0.024000,-0.110360,-0.032995,0.012067,0.017650,0.027888,0.169306,0.023297,0.023297,0.000000,,0
0,4,0.047246,-0.111059,-0.034469,0.011391,0.016176,0.051135,0.199976,-0.018156,-0.018156,0.000000,,0
0,5,0.067233,-0.111674,-0.038201,0.010795,0.012444,0.071122,0.199950,-0.054467,-0.054467,0.000000,,0
0,6,0.091213,-0.112412,-0.043020,0.010080,0.007624,0.095103,0.199913,-0.058348,-0.058348,0.000000,,0
0,7,0.111193,-0.113118,-0.046159,0.009382,-0.033097,0.115093,0.199924,-0.045563,-0.045563,0.000000,,0
0,8,0.131174,-0.114020,-0.041667,0.008480,-0.028605,0.135074,0.200028,0.067357,0.067357,0.000000,,0
0,9,0.151159,-0.114923,-0.034465,0.007577,-0.021403,0.155059,0.200082,0.104856,0.104856,0.000000,,0
0,10,0.175148,-0.116006,-0.025838,0.006494,-0.012776,0.179048,0.200135,0.103634,0.103634,0.000000,,0
0,11,0.199142,-0.116957,-0.018875,0.005543,-0.005813,0.203042,0.200096,0.083053,0.083053,0.000000,,0
0,12,0.219139,-0.117539,-0.014765,0.004961,-0.014573,0.223039,0.200052,0.058473,0.058473,0.000000,,0
0,13,0.239138,-0.118071,-0.009677,0.004429,-0.009485,0.243038,0.200054,0.072611,0.072611,0.000000,,0
0,14,0.263137,-0.118573,-0.004057,0.003927,-0.003865,0.267037,0.200032,0.066413,0.066413,0.000000,,0
0,15,0.287137,-0.118875,0.000219,0.003625,0.000411,0.291037,0.200011,0.050265,0.050265,0.000000,,0
0,16,0.307137,-0.118988,0.002564,0.003512,0.002564,0.311037,0.200001,0.032985,0.032985,0.000000,,0
0,17,0.327137,-0.119009,0.004010,0.003491,0.004010,0.331037,0.199998,0.020343,0.020343,0.000000,,0
0,18,0.347137,-0.118969,0.004813,0.003531,0.004813,0.351037,0.199998,0.011283,0.011283,0.000000,,0
0,19,0.371136,-0.118875,0.005263,0.003625,0.005263,0.375036,0.199999,0.005275,0.005275,0.000000,,0
0,20,0.395136,-0.118754,0.005379,0.003746,0.005379,0.399036,0.200000,0.001345,0.001345,0.000000,,0
0,21,0.415136,-0.118651,0.005318,0.003849,0.005318,0.419036,0.200000,-0.000896,-0.000896,0.000000,,0
0,22,0.435135,-0.118547,0.005184,0.003953,0.005184,0.439036,0.200000,-0.001921,-0.001921,0.000000,,0
0,23,0.455135,-0.118443,0.005026,0.004057,0.005026,0.459035,0.200000,-0.002244,-0.002244,0.000000,,0
0,24,0.479135,-0.118318,0.004839,0.004182,0.004839,0.483035,0.200000,-0.002211,-0.002211,0.000000,,0
0,25,0.499135,-0.118215,0.004698,0.004285,0.004698,0.503035,0.200000,-0.002002,-0.002002,0.000000,,0
0,26,0.519134,-0.118114,0.004572,0.004386,0.004572,0.523035,0.200000,-0.001789,-0.001789,0.000000,,0
0,27,0.539134,-0.118017,0.004459,0.004483,0.004459,0.543034,0.200000,-0.001607,-0.001607,0.000000,,0
0,28,0.563134,-0.117904,0.004335,0.004596,0.004335,0.567034,0.200000,-0.001464,-0.001464,0.000000,,0
0,29,0.587134,-0.117795,0.004222,0.004705,0.004222,0.591034,0.200000,-0.001348,-0.001348,0.000000,,0
0,30,0.607134,-0.117706,0.004133,0.004794,0.004133,0.611034,0.200000,-0.001261,-0.001261,0.000000,,0
0,31,0.631133,-0.117602,0.004031,0.004898,0.004031,0.635033,0.200000,-0.001212,-0.001212,0.000000,,0
0,32,0.655133,-0.117501,0.003932,0.004999,0.003932,0.659033,0.200000,-0.001170,-0.001170,0.000000,,0
0,33,0.679133,-0.117402,0.003837,0.005098,0.003837,0.683033,0.200000,-0.001135,-0.001135,0.000000,,0
0,34,0.703133,-0.117305,0.003744,0.005195,0.003744,0.703900,0.200000,-0.001105,-0.001105,0.000000,,0
0,35,0.727133,-0.117211,0.003653,0.005289,0.003653,0.731033,0.200000,-0.001077,-0.001077,0.000000,,0
