episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.000946,-0.116780,-0.011292,0.005799,0.102118,8.792361,0.053267,-0.030896,-0.030896,0.000000,,0
0,2,0.009578,-0.116939,-0.017993,0.005474,0.032651,0.013473,0.116860,-0.080302,-0.080302,0.000000,,0
0,3,0.027732,-0.117212,-0.021658,0.005218,0.028987,0.031627,0.180443,-0.043408,-0.043408,0.000000,,0
0,4,0.051456,-0.117570,-0.027360,0.004883,0.023285,0.055351,0.199949,-0.068480,-0.068480,0.000000,,0
0,5,0.071447,-0.117876,-0.032803,0.004596,0.017842,0.075342,0.199921,-0.078575,-0.078575,0.000000,,0
0,6,0.095432,-0.118398,-0.038428,0.004098,0.012216,0.099328,0.199914,-0.067749,-0.067749,0.000000,,0
0,7,0.115415,-0.119005,-0.041702,0.003495,-0.028640,0.119316,0.199929,-0.047311,-0.047311,0.000000,,0
0,8,0.135400,-0.119819,-0.037096,0.002681,-0.024034,0.139300,0.200027,0.068912,0.068912,0.000000,,0
0,9,0.155389,-0.120634,-0.029705,0.001866,-0.016643,0.159289,0.200075,0.107269,0.107269,0.000000,,0
0,10,0.179381,-0.121612,-0.020878,0.000888,-0.007815,0.183281,0.200121,0.105697,0.105697,0.000000,,0
0,11,0.203377,-0.122451,-0.013793,0.000049,-0.013600,0.207277,0.200081,0.084207,0.084207,0.000000,,0
0,12,0.223376,-0.123046,-0.007301,-0.000546,-0.007109,0.227276,0.200068,0.092435,0.092435,0.000000,,0
0,13,0.243376,-0.123476,-0.001628,-0.000976,-0.001435,0.247276,0.200036,0.080258,0.080258,0.000000,,0
0,14,0.267376,-0.123766,0.003591,-0.001266,0.003783,0.271276,0.200008,0.061329,0.061329,0.000000,,0
0,15,0.291375,-0.123844,0.007025,-0.001344,0.007218,0.295275,0.199996,0.040397,0.040397,0.000000,,0
0,16,0.311375,-0.123784,0.008641,-0.001284,0.008641,0.315275,0.199994,0.022773,0.022773,0.000000,,0
0,17,0.331374,-0.123652,0.009457,-0.001152,0.009457,0.335274,0.199996,0.011485,0.011485,0.000000,,0
0,18,0.351373,-0.123478,0.009763,-0.000978,0.009763,0.355273,0.199998,0.004286,0.004286,0.000000,,0
0,19,0.375372,-0.123244,0.009769,-0.000744,0.009769,0.379272,0.200000,0.000045,0.000045,0.000000,,0
0,20,0.399371,-0.123010,0.009576,-0.000510,0.009576,0.403271,0.200000,-0.002305,-0.002305,0.000000,,0
0,21,0.419370,-0.122814,0.009342,-0.000314,0.009342,0.423270,0.200001,-0.003341,-0.003341,0.000000,,0
0,22,0.439369,-0.122619,0.009088,-0.000119,0.009088,0.443269,0.200001,-0.003624,-0.003624,0.000000,,0
0,23,0.459368,-0.122425,0.008839,0.000075,0.008839,0.463268,0.200001,-0.003538,-0.003538,0.000000,,0
0,24,0.483367,-0.122200,0.008560,0.000300,0.008560,0.487267,0.200001,-0.003308,-0.003308,0.000000,,0
0,25,0.503367,-0.122018,0.008347,0.000482,0.008347,0.507267,0.200001,-0.003014,-0.003014,0.000000,,0
0,26,0.523366,-0.121841,0.008153,0.000659,0.008153,0.527266,0.200001,-0.002765,-0.002765,0.000000,,0
0,27,0.543365,-0.121669,0.007972,0.000831,0.007972,0.547265,0.200001,-0.002569,-0.002569,0.000000,,0
0,28,0.567365,-0.121468,0.007768,0.001032,0.007768,0.571265,0.200001,-0.002421,-0.002421,0.000000,,0
0,29,0.591364,-0.121272,0.007573,0.001228,0.007573,0.595264,0.200001,-0.002299,-0.002299,0.000000,,0
0,30,0.611363,-0.121113,0.007418,0.001387,0.007418,0.615263,0.200001,-0.002203,-0.002203,0.000000,,0
0,31,0.635363,-0.120926,0.007237,0.001574,0.007237,0.639263,0.200001,-0.002143,-0.002143,0.000000,,0
0,32,0.659362,-0.120744,0.007061,0.001756,0.007061,0.663262,0.200001,-0.002086,-0.002086,0.000000,,0
0,33,0.683361,-0.120567,0.006890,0.001933,0.006890,0.687261,0.200001,-0.002032,-0.002032,0.000000,,0
0,34,0.707361,-0.120393,0.006722,0.002107,0.006722,0.711261,0.200001,-0.001981,-0.001981,0.000000,,0
0,35,0.731360,-0.120222,0.006500,0.002278,0.006500,0.735260,0.200001,-0.002634,-0.002634,0.000000,,0
0,36,0.751360,-0.120083,0.006308,0.002417,0.006308,0.755260,0.200001,-0.002736,-0.002736,0.000000,,0
0,37,0.775359,-0.119921,0.006087,0.002579,0.006087,0.779260,0.200001,-0.002607,-0.002607,0.000000,,0
0,38,0.799359,-0.119765,0.005888,0.002735,0.005888,0.803259,0.200001,-0.002359,-0.002359,0.000000,,0
0,39,0.823359,-0.119615,0.005710,0.002885,0.005710,0.827259,0.200001,-0.002100,-0.002100,0.000000,,0
