episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.001432,-0.120322,0.007656,0.002232,0.121066,8.792361,0.048499,-0.060070,-0.060070,0.000000,,0
0,2,0.008521,-0.120473,-0.001938,0.001939,0.048707,0.012419,0.112107,-0.113893,-0.113893,0.000000,,0
0,3,0.026105,-0.120738,-0.012821,0.001691,0.037824,0.030004,0.175701,-0.128858,-0.128858,0.000000,,0
0,4,0.049658,-0.121093,-0.025283,0.001359,0.025361,0.053557,0.199962,-0.148778,-0.148778,0.000000,,0
0,5,0.069650,-0.121395,-0.031914,0.001076,0.018730,0.073549,0.199923,-0.094932,-0.094932,0.000000,,0
0,6,0.093637,-0.122008,-0.035160,0.000486,0.015485,0.097536,0.199951,-0.038598,-0.038598,0.000000,,0
0,7,0.113623,-0.122553,-0.039482,-0.000053,-0.026420,0.117523,0.199920,-0.062868,-0.062868,0.000000,,0
0,8,0.133608,-0.123337,-0.036776,-0.000837,-0.023714,0.137508,0.200018,0.040723,0.040723,0.000000,,0
0,9,0.153597,-0.124124,-0.028531,-0.001624,-0.015469,0.157497,0.200071,0.120587,0.120587,0.000000,,0
0,10,0.177590,-0.125068,-0.020093,-0.002568,-0.007030,0.181490,0.200113,0.100824,0.100824,0.000000,,0
0,11,0.201587,-0.125821,-0.014397,-0.003321,-0.001335,0.203900,0.200061,0.067544,0.067544,0.000000,,0
0,12,0.221585,-0.126183,-0.012921,-0.003683,-0.012729,0.225485,0.200013,0.020565,0.020565,0.000000,,0
0,13,0.241583,-0.126527,-0.009359,-0.004027,-0.009166,0.245484,0.200021,0.051025,0.051025,0.000000,,0
0,14,0.265583,-0.126941,-0.003772,-0.004441,-0.003579,0.269483,0.200028,0.066183,0.066183,0.000000,,0
0,15,0.289583,-0.127319,0.002350,-0.004819,0.002542,0.293483,0.200017,0.072184,0.072184,0.000000,,0
0,16,0.309583,-0.127412,0.005152,-0.004912,0.005152,0.313483,0.199999,0.039358,0.039358,0.000000,,0
0,17,0.329582,-0.127421,0.007404,-0.004921,0.007404,0.333482,0.199995,0.031868,0.031868,0.000000,,0
0,18,0.349582,-0.127277,0.007487,-0.004777,0.007487,0.353482,0.200000,0.000868,0.000868,0.000000,,0
0,19,0.373581,-0.127102,0.011229,-0.004602,0.011229,0.377481,0.199993,0.044821,0.044821,0.000000,,0
0,20,0.397579,-0.126914,0.012994,-0.004414,0.012994,0.401479,0.199991,0.020749,0.020749,0.000000,,0
0,21,0.417577,-0.126695,0.013806,-0.004195,0.013806,0.421477,0.199994,0.011485,0.011485,0.000000,,0
0,22,0.437575,-0.126467,0.015012,-0.003967,0.015012,0.441475,0.199991,0.017266,0.017266,0.000000,,0
0,23,0.457573,-0.126177,0.014856,-0.003677,0.014856,0.461473,0.199999,-0.002426,-0.002426,0.000000,,0
0,24,0.481570,-0.125829,0.015475,-0.003329,0.015475,0.485470,0.199997,0.007445,0.007445,0.000000,,0
