episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.835724,-1.622534,0.228506,-0.000034,0.228506,2.003211,0.055476,-0.512787,-0.512787,0.000000,0.810668,0.810668,0.000000,,0,0,0,1,1,0,0.044485,0.394403,0.5833,-0.0482,0.2699,3,ok
0,2,1.120000,-0.827315,-1.621852,0.205835,0.000648,0.205835,2.011620,0.108180,-0.262490,-0.362787,-0.100297,0.760403,0.760403,0.000000,C-06,0,0,0,1,1,0,0.041084,0.354860,0.6042,-0.0531,0.2677,3,ok
0,3,1.240000,-0.810505,-1.619928,0.180035,0.002572,0.180035,2.028430,0.159885,-0.343638,-0.343638,0.000000,0.733930,0.733930,0.000000,,0,0,0,1,1,0,0.038728,0.311333,0.6250,-0.0576,0.2692,3,ok
0,4,1.340000,-0.795421,-1.618073,0.159175,0.004427,0.159175,2.043514,0.151624,-0.330447,-0.330447,0.000000,0.692908,0.692908,0.000000,,0,0,0,1,1,0,0.035472,0.289163,0.6250,-0.0271,0.2671,3,ok
0,5,1.460000,-0.777326,-1.615846,0.138030,0.006654,0.138030,2.061610,0.152149,-0.271588,-0.271588,0.000000,0.693110,0.693110,0.000000,,0,0,0,1,1,0,0.034141,0.260606,0.6458,-0.0206,0.2659,3,ok
0,6,1.560000,-0.761418,-1.614003,0.117088,0.008497,0.117088,2.077518,0.161290,-0.323796,-0.323796,0.000000,0.733463,0.733463,0.000000,,0,0,0,1,1,0,0.033692,0.213753,0.6042,-0.0314,0.2667,3,ok
0,7,1.660000,-0.745755,-1.612154,0.097225,0.010346,0.097225,2.093180,0.157673,-0.300292,-0.300292,0.000000,0.715209,0.715209,0.000000,,0,0,0,1,1,0,0.034186,0.172336,0.6042,-0.0436,0.2681,3,ok
0,8,1.780000,-0.726873,-1.609938,0.082641,0.012562,0.082641,2.112062,0.158554,-0.175913,-0.175913,0.000000,0.718283,0.718283,0.000000,,0,0,0,1,1,0,0.033547,0.140108,0.6458,-0.0469,0.2665,3,ok
0,9,1.900000,-0.707839,-1.607723,0.066190,0.014777,0.066190,2.131096,0.159827,-0.204827,-0.204827,0.000000,0.723249,0.723249,0.000000,,0,0,0,1,1,0,0.033866,0.111307,0.6667,-0.0438,0.2686,3,ok
0,10,2.000000,-0.692479,-1.606022,0.052447,0.016478,0.052447,2.146457,0.154148,-0.202282,-0.202282,0.000000,0.697748,0.697748,0.000000,,0,0,0,1,1,0,0.032606,0.106858,0.7708,-0.0273,0.2660,3,ok
0,11,2.100000,-0.677151,-1.605008,0.048273,0.017492,0.048273,2.161785,0.153593,-0.053331,-0.053331,0.000000,0.697609,0.697609,0.000000,,0,0,0,1,1,0,0.032786,0.083305,0.7500,-0.0228,0.2678,3,ok
0,12,2.200000,-0.660581,-1.604226,0.051355,0.018274,0.051355,2.178355,0.168579,0.049807,0.049807,0.000000,0.766455,0.766455,0.000000,,0,0,0,1,1,0,0.033482,0.067204,0.7500,-0.0320,0.2671,3,ok
0,13,2.320000,-0.640681,-1.603207,0.044311,0.019293,0.044311,2.198254,0.165738,-0.148449,-0.100193,0.048256,0.753101,0.753101,0.000000,C-06,0,0,0,1,1,0,0.033761,0.072299,0.7083,-0.0219,0.2670,3,ok
0,14,2.420000,-0.624522,-1.602481,0.047030,0.020019,0.047030,2.214413,0.161414,0.068842,0.049807,-0.019035,0.733778,0.733778,0.000000,C-06,0,0,0,1,1,0,0.035623,0.053843,0.7292,-0.0518,0.2672,3,ok
0,15,2.520000,-0.608197,-1.601760,0.048768,0.020740,0.048768,2.230739,0.163571,0.023806,0.023806,0.000000,0.743660,0.743660,0.000000,,0,0,0,1,1,0,0.035832,0.063119,0.7083,-0.0352,0.2663,3,ok
0,16,2.620000,-0.591541,-1.600993,0.042016,0.021507,0.042016,2.247395,0.167045,-0.105792,-0.105792,0.000000,0.759176,0.759176,0.000000,,0,0,0,1,1,0,0.037330,0.060286,0.7083,-0.0494,0.2661,3,ok
0,17,2.720000,-0.575133,-1.600221,0.034238,0.022279,0.034238,2.263803,0.164117,-0.113331,-0.113331,0.000000,0.745606,0.745606,0.000000,,0,0,0,1,1,0,0.036879,0.056205,0.6667,-0.0370,0.2665,3,ok
0,18,2.820000,-0.559247,-1.599440,0.023152,0.023060,0.023152,2.279688,0.158632,-0.164479,-0.164479,0.000000,0.720381,0.720381,0.000000,,0,0,0,1,1,0,0.037082,0.042795,0.6667,-0.0386,0.2668,3,ok
0,19,2.940000,-0.540619,-1.598497,0.003557,0.024003,0.003557,2.298317,0.155213,-0.237464,-0.237464,0.000000,0.704614,0.704614,0.000000,,0,0,0,1,1,0,0.035310,0.038323,0.6667,-0.0266,0.2662,3,ok
0,20,3.040000,-0.524898,-1.598107,-0.003177,0.024393,-0.003177,2.314037,0.157397,-0.063581,-0.087464,-0.023884,0.715290,0.715290,0.000000,C-06,0,0,0,1,1,0,0.035533,0.004412,0.7292,-0.0442,0.2650,3,ok
