episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.080000,-0.835401,-1.537440,0.164127,0.085060,0.164127,2.003534,0.058372,-0.193577,-0.193577,0.000000,0.567367,0.567367,0.000000,,0,0,0,1,1,0,0.120582,0.265108,0.4583,-0.0379,0.2650,3,ok
0,2,1.200000,-0.824331,-1.535821,0.166910,0.086679,0.166910,2.014604,0.122424,0.049472,0.049472,0.000000,0.613811,0.613811,0.000000,C-06,0,0,0,1,1,0,0.118954,0.244749,0.4375,-0.0295,0.2649,3,ok
0,3,1.300000,-0.810536,-1.533700,0.162163,0.088800,0.162163,2.028399,0.142452,-0.085447,-0.085447,0.000000,0.648766,0.648766,0.000000,,0,0,0,1,1,0,0.122152,0.243003,0.4792,-0.0630,0.2709,3,ok
0,4,1.420000,-0.790434,-1.531173,0.135347,0.091327,0.135347,2.048502,0.188345,-0.376703,-0.376703,0.000000,0.858900,0.858900,0.000000,C-06,0,0,0,1,1,0,0.124868,0.233724,0.4583,-0.0794,0.2713,3,ok
0,5,1.520000,-0.772869,-1.529077,0.125600,0.093423,0.125600,2.066067,0.176432,-0.139802,-0.139802,0.000000,0.802655,0.802655,0.000000,C-06;C-03,0,0,0,1,1,0,0.125106,0.203329,0.4375,-0.0743,0.2742,3,ok
0,6,1.620000,-0.755319,-1.526934,0.141420,0.095566,0.141420,2.083616,0.176686,0.280679,0.280679,0.000000,0.805091,0.805091,0.000000,C-06,0,0,0,1,1,0,0.122887,0.179508,0.4583,-0.0523,0.2683,3,ok
0,7,1.720000,-0.738761,-1.524593,0.130864,0.097907,0.130864,2.100175,0.165866,-0.207126,-0.207126,0.000000,0.752824,0.752824,0.000000,C-06;C-03,0,0,0,1,1,0,0.130660,0.185401,0.4375,-0.0988,0.2715,3,ok
0,8,1.840000,-0.720579,-1.522177,0.133360,0.100323,0.133360,2.118356,0.151992,0.046428,0.046428,0.000000,0.691021,0.691021,0.000000,C-06;C-03,0,0,0,1,1,0,0.130790,0.184065,0.4583,-0.0719,0.2731,3,ok
0,9,1.960000,-0.706399,-1.520359,0.125338,0.102141,0.125338,2.132537,0.116509,-0.117698,-0.117698,0.000000,0.529482,0.529482,0.000000,C-06,0,0,0,1,1,0,0.128672,0.194839,0.4792,-0.0189,0.2653,3,ok
0,10,2.060000,-0.693413,-1.518902,0.096411,0.103598,0.096411,2.145522,0.135836,-0.485224,-0.485224,0.000000,0.616879,0.616879,0.000000,C-06,0,0,0,1,1,0,0.130412,0.184105,0.5208,-0.0223,0.2667,3,ok
0,11,2.160000,-0.677810,-1.517483,0.072944,0.105017,0.072944,2.161126,0.168740,-0.341735,-0.341735,0.000000,0.766464,0.766464,0.000000,C-06,0,0,0,1,1,0,0.127025,0.144715,0.5208,-0.0119,0.2648,3,ok
0,12,2.280000,-0.656691,-1.515816,0.059387,0.106684,0.059387,2.182244,0.177604,-0.157229,-0.157229,0.000000,0.806274,0.806274,0.000000,C-06,0,0,0,1,1,0,0.129540,0.099144,0.5000,-0.0585,0.2724,3,ok
0,13,2.400000,-0.634083,-1.514492,0.065355,0.108008,0.065355,2.204852,0.190320,0.080709,0.080709,0.000000,0.865482,0.865482,0.000000,C-06,0,0,0,1,1,0,0.129926,0.074685,0.5208,-0.0766,0.2724,3,ok
0,14,2.500000,-0.614759,-1.513388,0.087399,0.109112,0.087399,2.224177,0.193853,0.347112,0.347112,0.000000,0.882992,0.882992,0.000000,C-06,0,0,0,1,1,0,0.130575,0.075844,0.5208,-0.0658,0.2716,3,ok
0,15,2.600000,-0.594785,-1.511750,0.069505,0.110750,0.069505,2.244151,0.202010,-0.331905,-0.331905,0.000000,0.917363,0.917363,0.000000,C-06,0,0,0,1,1,0,0.133755,0.103648,0.5000,-0.0684,0.2729,3,ok
0,16,2.700000,-0.575313,-1.510066,0.049759,0.112434,0.049759,2.263623,0.194968,-0.287447,-0.287447,0.000000,0.884044,0.884044,0.000000,,0,0,0,1,0,0,-0.134476,0.120360,0.5000,-0.0204,0.2670,3,ok
0,17,2.820000,-0.551408,-1.508364,0.036994,0.114136,0.036994,2.285335,0.200772,-0.132426,-0.132426,0.000000,0.911351,0.911351,0.000000,C-06,0,0,0,1,1,0,0.131251,0.074445,0.4375,-0.0310,0.2647,3,ok
