episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.040000,-0.835681,-1.625193,0.391617,-0.002693,0.391617,2.003255,0.056882,-0.230624,-0.230624,0.000000,0.754255,0.754255,0.000000,C-02;C-05,1,1,0,1,1,0,0.058778,0.624662,0.4375,-0.0238,0.2649,3,ok
0,2,1.140000,-0.827550,-1.622399,0.378857,0.000101,0.378857,2.011385,0.109793,-0.230624,-0.230624,0.000000,0.754255,0.754255,0.000000,C-02;C-05,1,1,0,1,1,0,0.058778,0.624662,0.4375,-0.0238,0.2649,3,ok
0,3,1.260000,-0.819141,-1.619276,0.339924,0.003224,0.339924,2.019795,0.068779,-0.655436,-0.655436,0.000000,0.309133,0.309133,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,0.055565,0.581653,0.4792,-0.0253,0.2585,3,ok
0,4,1.360000,-0.810446,-1.616811,0.307833,0.005689,0.307833,2.028489,0.112608,-0.551655,-0.551655,0.000000,0.924898,0.924898,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,0.058816,0.526731,0.4792,-0.0488,0.2683,3,ok
0,5,1.480000,-0.793237,-1.612682,0.283847,0.009818,0.283847,2.045699,0.176697,-0.329375,-0.329375,0.000000,0.901173,0.901173,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,0.058074,0.478036,0.5208,-0.0565,0.2709,3,ok
0,6,1.580000,-0.775429,-1.608308,0.267115,0.014192,0.267115,2.063507,0.183873,-0.279296,-0.279296,0.000000,0.841731,0.841731,0.000000,C-02;C-05,1,1,0,1,1,0,0.055713,0.441928,0.5208,-0.0333,0.2645,3,ok
0,7,1.680000,-0.756042,-1.603926,0.233816,0.018574,0.233816,2.082893,0.203849,-0.579344,-0.579344,0.000000,0.930734,0.930734,0.000000,C-06;C-02;C-05,1,0,0,1,1,0,0.061518,0.409065,0.4792,-0.0711,0.2724,3,ok
0,8,1.800000,-0.736755,-1.599048,0.196197,0.023452,0.196197,2.102181,0.160991,-0.545967,-0.545967,0.000000,0.722550,0.722550,0.000000,C-06;C-02;C-05,1,0,0,1,1,0,0.057610,0.385605,0.5000,-0.0143,0.2680,3,ok
0,9,1.920000,-0.716629,-1.594227,0.160539,0.028273,0.160539,2.122306,0.175036,-0.467119,-0.467119,0.000000,0.784709,0.784709,0.000000,C-02;C-05,1,0,0,1,1,0,0.060574,0.313539,0.5208,-0.0635,0.2635,3,ok
0,10,2.020000,-0.700252,-1.590361,0.134085,0.032139,0.134085,2.138684,0.167667,-0.408170,-0.408170,0.000000,0.750217,0.750217,0.000000,C-05,1,0,0,1,1,0,0.059816,0.250402,0.5833,-0.0433,0.2676,3,ok
0,11,2.120000,-0.686016,-1.587215,0.098240,0.035285,0.098240,2.152919,0.142794,-0.580498,-0.580498,0.000000,0.636732,0.636732,0.000000,C-06;C-05,1,0,0,1,1,0,0.059825,0.210323,0.6458,-0.0397,0.2666,3,ok
0,12,2.220000,-0.670303,-1.584893,0.080445,0.037607,0.080445,2.168632,0.165984,-0.244703,-0.244703,0.000000,0.749968,0.749968,0.000000,C-06;C-05,1,0,0,1,1,0,0.059188,0.153737,0.6250,-0.0286,0.2693,3,ok
0,13,2.340000,-0.650439,-1.583235,0.091475,0.039265,0.091475,2.188496,0.166113,0.163288,0.163288,0.000000,0.755742,0.755742,0.000000,C-06;C-05,1,0,0,1,1,0,0.059369,0.112025,0.6250,-0.0494,0.2681,3,ok
0,14,2.440000,-0.634666,-1.581794,0.084714,0.040706,0.084714,2.204270,0.157523,-0.125180,-0.125180,0.000000,0.715577,0.715577,0.000000,C-06;C-05,1,0,0,1,1,0,0.061163,0.119016,0.6458,-0.0496,0.2659,3,ok
0,15,2.540000,-0.619215,-1.580341,0.063670,0.042159,0.063670,2.219720,0.155012,-0.326694,-0.326694,0.000000,0.702978,0.702978,0.000000,C-06;C-05,1,0,0,1,1,0,0.062995,0.122112,0.6250,-0.0469,0.2677,3,ok
0,16,2.640000,-0.603041,-1.578900,0.035084,0.043600,0.035084,2.235335,0.163539,-0.423740,-0.423740,0.000000,0.740970,0.740970,0.000000,C-05,1,0,0,1,1,0,0.062112,0.100228,0.6042,-0.0455,0.2683,3,ok
0,17,2.740000,-0.586817,-1.577459,0.012851,0.045041,0.012851,2.252119,0.162874,-0.312394,-0.312394,0.000000,0.737508,0.737508,0.000000,C-05,1,0,0,1,1,0,0.059292,0.063160,0.6458,-0.0321,0.2652,3,ok
0,18,2.860000,-0.564771,-1.576636,0.001493,0.045864,0.001493,2.274165,0.192168,-0.124607,-0.124607,0.000000,0.873115,0.873115,0.000000,C-06;C-05,1,0,0,1,1,0,0.057626,0.021939,0.6250,-0.0345,0.2650,3,ok
0,19,2.980000,-0.540922,-1.576573,0.005869,0.045927,0.005869,2.298014,0.199470,0.060292,0.060292,0.000000,0.906694,0.906694,0.000000,C-06;C-05,1,0,0,1,1,0,0.057868,-0.008053,0.6250,-0.0494,0.2670,3,ok
0,20,3.080000,-0.524561,-1.576599,0.000540,0.045901,0.000540,2.314374,0.160103,-0.090708,-0.090708,0.000000,0.727740,0.727740,0.000000,C-06;C-05,1,0,0,1,1,0,0.057758,-0.008119,0.6667,-0.0425,0.2661,3,ok
0,21,3.180000,-0.508563,-1.576598,0.027541,0.045902,0.027541,2.330372,0.159916,0.449289,0.449289,0.000000,0.727136,0.727136,0.000000,C-06;C-05,1,0,0,1,1,0,0.057476,-0.012847,0.6875,-0.0419,0.2675,3,ok
0,22,3.280000,-0.491675,-1.576581,0.050005,0.045919,0.050005,2.347261,0.170494,0.317627,0.317627,0.000000,0.775895,0.775895,0.000000,C-05,1,0,0,1,1,0,0.057333,-0.008441,0.7292,-0.0419,0.2663,3,ok
0,23,3.400000,-0.469736,-1.575635,0.005523,0.046865,0.005523,2.369200,0.187016,-0.635030,-0.635030,0.000000,0.849288,0.849288,0.000000,C-06;C-05,1,0,0,1,1,0,0.063123,0.050121,0.6458,-0.0483,0.2679,3,ok
0,24,3.500000,-0.453024,-1.574676,-0.014554,0.047824,-0.014554,2.385435,0.165489,-0.255012,-0.255012,0.000000,0.751314,0.751314,0.000000,C-06;C-05,1,0,0,1,1,0,0.060492,0.025464,0.6458,-0.0239,0.2680,3,ok
0,25,3.600000,-0.436210,-1.574835,-0.000860,0.047665,-0.000860,2.402726,0.168761,0.245122,0.245122,0.000000,0.767021,0.767021,0.000000,C-06;C-05,1,0,0,1,1,0,0.058229,-0.027173,0.6875,-0.0485,0.2676,3,ok
0,26,3.700000,-0.419101,-1.574896,-0.012101,0.047604,-0.012101,2.419834,0.171622,-0.216734,-0.216734,0.000000,0.780146,0.780146,0.000000,C-06;C-05,1,0,0,1,1,0,0.058519,-0.037640,0.6875,-0.0592,0.2673,3,ok
0,27,3.820000,-0.397978,-1.575037,-0.015677,0.047463,-0.015677,2.440958,0.176480,-0.031614,-0.031614,0.000000,0.802254,0.802254,0.000000,C-06;C-05,1,0,0,1,1,0,0.059365,-0.031460,0.6458,-0.0666,0.2682,3,ok
0,28,3.940000,-0.379669,-1.575318,-0.012882,0.047182,-0.012882,2.459266,0.150972,0.038288,0.038288,0.000000,0.686208,0.686208,0.000000,C-06;C-05,1,0,0,1,1,0,0.056047,-0.037843,0.6458,-0.0312,0.2664,3,ok
0,29,4.040000,-0.364686,-1.575511,-0.036688,0.046989,-0.036688,2.474249,0.149523,-0.396101,-0.396101,0.000000,0.680017,0.680017,0.000000,C-06;C-05,1,0,0,1,1,0,0.055975,-0.032517,0.6458,-0.0404,0.2652,3,ok
0,30,4.160000,-0.345420,-1.575760,-0.053463,0.046740,-0.053463,2.493515,0.162441,-0.192894,-0.192894,0.000000,0.739336,0.739336,0.000000,C-06;C-05,1,0,0,1,1,0,0.055564,-0.054895,0.6250,-0.0514,0.2649,3,ok
0,31,4.280000,-0.326324,-1.576698,-0.025347,0.045802,-0.025347,2.512611,0.158771,0.392002,0.392002,0.000000,0.720999,0.720999,0.000000,C-06;C-05,1,0,0,1,1,0,0.051843,-0.104605,0.7083,-0.0520,0.2665,2,ok
0,32,4.400000,-0.311357,-1.577075,-0.046787,0.045425,-0.046787,2.527578,0.119720,-0.337892,-0.337892,0.000000,0.544589,0.544589,0.000000,C-06;C-05,1,0,0,1,1,0,0.053014,-0.066685,0.7083,-0.0370,0.2673,3,ok
0,33,4.520000,-0.293783,-1.577707,-0.041926,0.044793,-0.041926,2.545153,0.165658,0.086822,0.086822,0.000000,0.753298,0.753298,0.000000,C-06;C-05,1,0,0,1,1,0,0.051308,-0.064354,0.7500,-0.0272,0.2661,3,ok
0,34,4.620000,-0.278373,-1.578245,-0.011560,0.044255,-0.011560,2.560562,0.151641,0.490316,0.490316,0.000000,0.688905,0.688905,0.000000,C-06;C-05,1,0,0,1,1,0,0.050070,-0.087984,0.7292,-0.0281,0.2680,2,ok
0,35,4.740000,-0.264838,-1.578402,-0.021181,0.044098,-0.021181,2.574098,0.108790,-0.166797,-0.166797,0.000000,0.494583,0.494583,0.000000,C-06;C-05,1,0,0,1,1,0,0.052681,-0.046119,0.6875,-0.0317,0.2678,3,ok
0,36,4.860000,-0.249228,-1.578643,-0.018729,0.043857,-0.018729,2.589708,0.137827,0.038308,0.038308,0.000000,0.626535,0.626535,0.000000,C-06;C-05,1,0,0,1,1,0,0.053236,-0.040126,0.7083,-0.0468,0.2663,3,ok
0,37,4.980000,-0.232565,-1.578949,-0.020116,0.043551,-0.020116,2.606371,0.138938,-0.019128,-0.019128,0.000000,0.631556,0.631556,0.000000,C-05,1,0,0,1,1,0,0.052681,-0.047493,0.7083,-0.0454,0.2660,3,ok
0,38,5.100000,-0.214615,-1.579240,-0.012497,0.043260,-0.012497,2.624320,0.151458,0.098323,0.098323,0.000000,0.688417,0.688417,0.000000,C-05,1,0,0,1,1,0,0.052234,-0.045208,0.6667,-0.0398,0.2662,3,ok
0,39,5.200000,-0.200234,-1.579417,-0.021731,0.043083,-0.021731,2.635735,0.142937,-0.150619,-0.150619,0.000000,0.649809,0.649809,0.000000,C-06;C-05,1,0,0,1,1,0,0.052887,-0.046276,0.6875,-0.0470,0.2684,3,ok
0,40,5.320000,-0.184215,-1.579760,-0.028968,0.042740,-0.028968,2.654721,0.132976,-0.083767,-0.083767,0.000000,0.604537,0.604537,0.000000,C-05,1,0,0,1,1,0,0.052038,-0.039417,0.6667,-0.0387,0.2663,3,ok
0,41,5.440000,-0.167318,-1.580210,-0.006992,0.042290,-0.006992,2.671617,0.142086,0.288101,0.288101,0.000000,0.645638,0.645638,0.000000,C-06;C-05,1,0,0,1,1,0,0.049862,-0.057253,0.6875,-0.0349,0.2655,3,ok
0,42,5.560000,-0.149242,-1.580364,-0.014086,0.042136,-0.014086,2.689694,0.151840,-0.104039,-0.104039,0.000000,0.690227,0.690227,0.000000,C-06;C-05,1,0,0,1,1,0,0.051607,-0.040760,0.6250,-0.0392,0.2672,3,ok
0,43,5.680000,-0.129207,-1.580533,-0.036541,0.041967,-0.036541,2.709729,0.170710,-0.282249,-0.282249,0.000000,0.776414,0.776414,0.000000,C-06;C-05,1,0,0,1,1,0,0.051758,-0.034759,0.6667,-0.0475,0.2658,3,ok
0,44,5.780000,-0.113070,-1.581106,-0.022781,0.041394,-0.022781,2.725866,0.159666,0.251741,0.251741,0.000000,0.725443,0.725443,0.000000,C-06;C-05,1,0,0,1,1,0,0.049278,-0.067953,0.7083,-0.0415,0.2665,2,ok
0,45,5.900000,-0.092866,-1.581812,-0.000732,0.040688,-0.000732,2.746070,0.169631,0.262063,0.262063,0.000000,0.770588,0.770588,0.000000,C-05,1,0,0,1,1,0,0.047922,-0.051334,0.7500,-0.0224,0.2663,2,ok
0,46,6.020000,-0.073388,-1.581862,-0.012208,0.040638,-0.012208,2.765547,0.160996,-0.183922,-0.183922,0.000000,0.731848,0.731848,0.000000,C-06;C-05,1,0,0,1,1,0,0.050927,-0.034571,0.7083,-0.0402,0.2684,3,ok
0,47,6.120000,-0.064352,-1.581969,-0.002287,0.040531,-0.002287,2.774583,0.079420,0.199930,0.199930,0.000000,0.360966,0.360966,0.000000,C-06;C-05,1,0,0,1,1,0,0.050998,-0.021099,0.7292,-0.0359,0.2674,3,ok
0,48,6.240000,-0.051349,-1.582049,0.015318,0.040451,0.015318,2.785935,0.137433,0.208599,0.208599,0.000000,0.682458,0.682458,0.000000,C-06;C-05,1,0,0,1,1,0,0.050714,-0.022520,0.7292,-0.0422,0.2664,3,ok
0,49,6.360000,-0.032395,-1.581814,-0.001436,0.040686,-0.001436,2.806541,0.161941,-0.226297,-0.226297,0.000000,0.736039,0.736039,0.000000,C-06;C-05,1,0,0,1,1,0,0.052270,0.000145,0.7083,-0.0459,0.2647,3,ok
0,50,6.480000,-0.021178,-1.581822,-0.013170,0.040678,-0.013170,2.817757,0.085983,-0.153317,-0.153317,0.000000,0.390860,0.390860,0.000000,C-06;C-05,1,0,0,1,1,0,0.051371,-0.017072,0.6667,-0.0405,0.2664,3,ok
0,51,6.600000,-0.008421,-1.581884,-0.026187,0.040616,-0.026187,2.830515,0.113118,-0.155372,-0.155372,0.000000,0.514333,0.514333,0.000000,C-06;C-05,1,0,0,1,1,0,0.050387,-0.032882,0.6875,-0.0461,0.2674,3,ok
0,52,6.700000,0.004910,-1.582114,-0.014478,0.040386,-0.014478,2.843846,0.144590,0.197802,0.197802,0.000000,0.657226,0.657226,0.000000,C-06;C-05,1,0,0,1,1,0,0.048697,-0.045746,0.7083,-0.0433,0.2653,3,ok
0,53,6.820000,0.022370,-1.582354,-0.027352,0.040146,-0.027352,2.861305,0.145600,-0.178059,-0.178059,0.000000,0.661991,0.661991,0.000000,C-06;C-05,1,0,0,1,1,0,0.047617,-0.040198,0.6667,-0.0187,0.2658,3,ok
