episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.140000,-0.836673,-1.516494,0.238901,0.106006,0.238901,2.002263,0.046076,0.705313,-0.415721,-1.121034,0.719019,0.719019,0.000000,C-02,0,0,0,1,1,0,-0.120637,0.415721,0.6250,-0.0235,0.2702,3,ok
0,2,1.260000,-0.827089,-1.515795,0.210036,0.106705,0.210036,2.011846,0.109097,0.515422,-0.392273,-0.907695,0.237682,0.619019,0.381337,C-06;C-02,0,0,0,1,1,0,-0.120108,0.392273,0.6250,-0.0483,0.2654,3,ok
0,3,1.360000,-0.813414,-1.514180,0.188279,0.108320,0.188279,2.025521,0.156472,0.557402,-0.347294,-0.904695,0.890267,0.719019,-0.171248,C-06;C-02,0,0,0,1,1,0,-0.125363,0.347294,0.5833,-0.0044,0.2695,3,ok
0,4,1.480000,-0.792708,-1.511273,0.171095,0.111227,0.171095,2.046227,0.179292,-0.220510,-0.220510,0.000000,0.871493,0.819019,-0.052474,C-06,0,0,0,1,1,0,-0.123132,0.291389,0.5833,-0.0484,0.2671,3,ok
0,5,1.580000,-0.773403,-1.508241,0.166045,0.114259,0.166045,2.065533,0.200780,0.059329,-0.070510,-0.129839,0.914080,0.914080,0.000000,C-06,0,0,0,1,1,0,-0.121511,0.271495,0.5417,-0.0569,0.2630,3,ok
0,6,1.680000,-0.755500,-1.505275,0.153513,0.117225,0.153513,2.083435,0.179420,-0.350123,-0.220510,0.129613,0.763476,0.814080,0.050605,C-06,0,0,0,1,1,0,-0.117580,0.228124,0.5417,-0.0870,0.2648,3,ok
0,7,1.800000,-0.736572,-1.501922,0.126771,0.120578,0.126771,2.102364,0.158280,-0.425150,-0.370510,0.054640,0.594165,0.714080,0.119915,C-06,0,0,0,1,1,0,-0.117244,0.225463,0.5417,-0.0577,0.2651,3,ok
0,8,1.920000,-0.720180,-1.498672,0.087665,0.123828,0.087665,2.118756,0.137244,-0.610865,-0.520510,0.090355,0.406600,0.614080,0.207480,C-06,0,0,0,1,1,0,-0.115712,0.194584,0.5625,-0.0752,0.2643,3,ok
0,9,2.020000,-0.705088,-1.495993,0.057450,0.126507,0.057450,2.133847,0.159080,-0.443212,-0.443212,0.000000,0.732191,0.714080,-0.018111,C-06,0,0,0,1,1,0,-0.119365,0.165717,0.6042,-0.0246,0.2685,3,ok
0,10,2.120000,-0.687776,-1.493966,0.036659,0.128534,0.036659,2.151160,0.179947,-0.106727,-0.293212,-0.186485,0.904757,0.814080,-0.090677,C-06,0,0,0,1,1,0,-0.120484,0.107046,0.5625,-0.0245,0.2677,3,ok
