episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.080000,-2.832953,-1.632414,-0.252574,-0.013889,0.011823,0.003094,0.055649,0.726416,0.726416,0.000000,0.840486,0.840486,0.000000,,0,0,0,1,1,0,-0.004628,-0.259291,0.5833,0.2196,0.2491,2,ok
0,2,1.200000,-2.822230,-1.633683,-0.225590,-0.012304,0.038807,0.013775,0.119135,0.349386,0.349386,0.000000,0.765571,0.765571,0.000000,C-06,0,0,0,1,1,0,-0.000984,-0.241842,0.6250,0.1986,0.2530,2,ok
0,3,1.300000,-2.807762,-1.635742,-0.204112,-0.010501,0.060285,0.028276,0.159736,0.349009,0.349009,0.000000,0.734210,0.734210,0.000000,,0,0,0,1,1,0,0.001575,-0.221844,0.6458,0.1898,0.2543,2,ok
0,4,1.420000,-2.789781,-1.638741,-0.191224,-0.008683,0.073173,0.046415,0.150506,0.138752,0.138752,0.000000,0.686835,0.686835,0.000000,C-06,0,0,0,1,1,0,0.001116,-0.172574,0.6667,0.3555,0.2635,2,ok
0,5,1.520000,-2.774990,-1.641288,-0.172454,-0.007657,0.049222,0.060999,0.150250,0.309288,0.309288,0.000000,0.683326,0.683326,0.000000,C-06,0,0,0,1,1,0,0.011110,-0.141346,0.6250,0.1697,0.2504,2,ok
0,6,1.620000,-2.759596,-1.643828,-0.147892,-0.006820,0.073784,0.076578,0.157025,0.391351,0.391351,0.000000,0.712286,0.712286,0.000000,,0,0,0,1,1,0,0.005177,-0.084410,0.6458,0.3389,0.2624,2,ok
0,7,1.720000,-2.744584,-1.646374,-0.126690,-0.006073,0.094986,0.091787,0.152166,0.324232,0.324232,0.000000,0.687520,0.687520,0.000000,,0,0,0,1,1,0,0.005948,-0.050942,0.6667,0.3652,0.2648,2,ok
0,8,1.840000,-2.725809,-1.649414,-0.110487,-0.004997,0.111189,0.108761,0.159204,0.200926,0.200926,0.000000,0.719088,0.719088,0.000000,,0,0,0,1,1,0,0.010682,-0.081264,0.7083,0.2841,0.2677,2,ok
0,9,1.960000,-2.705982,-1.652385,-0.088596,-0.004538,0.090540,0.130608,0.168087,0.278620,0.278620,0.000000,0.758751,0.758751,0.000000,,0,0,0,1,1,0,0.011569,-0.076394,0.7500,0.2763,0.2655,2,ok
0,10,2.060000,-2.688672,-1.654131,-0.083604,-0.003232,0.095532,0.147957,0.174973,0.061214,0.061214,0.000000,0.794374,0.794374,0.000000,C-06,0,0,0,1,1,0,0.013933,-0.066893,0.7292,0.2336,0.2686,2,ok
