episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.836179,-1.638021,-0.011197,-0.015521,-0.011197,2.002756,0.051677,0.265859,0.265859,0.000000,0.664840,0.664840,0.000000,,0,0,0,1,1,0,-0.009646,-0.064159,0.7292,-0.0512,0.2675,2,ok
0,2,1.120000,-0.828097,-1.637899,0.006997,-0.015399,0.006997,2.010839,0.104685,0.257298,0.257298,0.000000,0.646172,0.646172,0.000000,,0,0,0,1,1,0,-0.008760,-0.042208,0.7083,-0.0145,0.2694,2,ok
0,3,1.240000,-0.811981,-1.637656,0.020674,-0.015156,0.020674,2.026955,0.146172,0.158368,0.158368,0.000000,0.664477,0.664477,0.000000,,0,0,0,1,1,0,-0.005502,-0.011427,0.7500,-0.0441,0.2668,2,ok
0,4,1.340000,-0.798146,-1.637447,0.025880,-0.014947,0.025880,2.040790,0.137934,0.070414,0.070414,0.000000,0.627108,0.627108,0.000000,,0,0,0,1,1,0,-0.003925,0.011570,0.7500,-0.0370,0.2675,2,ok
0,5,1.460000,-0.781739,-1.637200,0.034802,-0.014700,0.034802,2.057197,0.136648,0.109305,0.109305,0.000000,0.621424,0.621424,0.000000,,0,0,0,1,1,0,-0.002587,0.025092,0.7292,-0.0433,0.2661,2,ok
0,6,1.560000,-0.767440,-1.636871,0.038275,-0.014371,0.038275,2.071496,0.143928,0.046511,0.046511,0.000000,0.654491,0.654491,0.000000,,0,0,0,1,1,0,-0.001086,0.041559,0.7292,-0.0406,0.2665,2,ok
0,7,1.660000,-0.752005,-1.636445,0.041506,-0.013945,0.041506,2.085135,0.156624,0.046903,0.046903,0.000000,0.712232,0.712232,0.000000,,0,0,0,1,1,0,0.000231,0.040513,0.6875,-0.0488,0.2672,2,ok
0,8,1.780000,-0.732688,-1.635695,0.033750,-0.013195,0.033750,2.106247,0.161578,-0.203088,-0.103097,0.099992,0.734307,0.734307,0.000000,C-06,0,0,0,1,1,0,0.001145,0.046228,0.7083,-0.0484,0.2667,2,ok
0,9,1.900000,-0.712255,-1.635026,0.036969,-0.012526,0.036969,2.126680,0.171637,0.049793,0.046903,-0.002889,0.780288,0.780288,0.000000,C-06,0,0,0,1,1,0,0.000829,0.035223,0.7292,-0.0403,0.2682,2,ok
0,10,2.000000,-0.696412,-1.634444,0.030928,-0.011944,0.030928,2.142523,0.157167,-0.205576,-0.103097,0.102479,0.714254,0.714254,0.000000,C-06,0,0,0,1,1,0,0.001356,0.038878,0.7708,-0.0423,0.2675,2,ok
