episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.836048,-1.634426,0.001116,-0.011926,0.001116,2.002888,0.052741,0.123771,0.123771,0.000000,0.738888,0.738888,0.000000,,0,0,0,1,1,0,-0.003955,-0.033960,0.7292,-0.0208,0.2704,2,ok
0,2,1.120000,-0.827859,-1.634302,0.006668,-0.011802,0.006668,2.011076,0.105745,0.075740,0.075740,0.000000,0.734935,0.734935,0.000000,,0,0,0,1,1,0,-0.003410,-0.015165,0.7083,-0.0128,0.2697,2,ok
0,3,1.240000,-0.811220,-1.634051,0.014721,-0.011551,0.014721,2.027716,0.158124,0.095991,0.095991,0.000000,0.718736,0.718736,0.000000,,0,0,0,1,1,0,-0.001430,-0.011455,0.7708,-0.0448,0.2688,2,ok
0,4,1.340000,-0.795960,-1.633821,0.019895,-0.011321,0.019895,2.042975,0.152216,0.073028,0.073028,0.000000,0.691947,0.691947,0.000000,,0,0,0,1,1,0,-0.001033,0.009977,0.7292,-0.0303,0.2667,2,ok
0,5,1.460000,-0.778233,-1.633554,0.032662,-0.011054,0.032662,2.060702,0.147316,0.159931,0.159931,0.000000,0.669886,0.669886,0.000000,,0,0,0,1,1,0,0.000570,0.010020,0.7292,-0.0447,0.2675,2,ok
0,6,1.560000,-0.762120,-1.633067,0.034078,-0.010567,0.034078,2.076815,0.165489,-0.176399,0.009931,0.186330,0.752285,0.752285,0.000000,C-06,0,0,0,1,1,0,0.002443,0.033015,0.7083,-0.0420,0.2673,2,ok
0,7,1.660000,-0.745499,-1.632544,0.029440,-0.010044,0.029440,2.093436,0.166377,-0.072725,-0.072725,0.000000,0.756221,0.756221,0.000000,,0,0,0,1,1,0,0.002675,0.040787,0.6875,-0.0271,0.2681,2,ok
0,8,1.780000,-0.724978,-1.631926,0.011664,-0.009426,0.011664,2.113957,0.171634,-0.242372,-0.222725,0.019647,0.779865,0.779865,0.000000,C-06,0,0,0,1,1,0,0.003427,0.034481,0.7292,-0.0386,0.2660,2,ok
0,9,1.900000,-0.705593,-1.631290,-0.003994,-0.008790,-0.003994,2.133342,0.160992,-0.184306,-0.184306,0.000000,0.731387,0.731387,0.000000,,0,0,0,1,1,0,0.002288,0.010366,0.7500,-0.0416,0.2669,2,ok
0,10,2.000000,-0.689715,-1.631207,-0.007161,-0.008707,-0.007161,2.149220,0.158620,-0.027020,-0.034306,-0.007286,0.721016,0.721016,0.000000,C-06,0,0,0,1,1,0,0.000988,-0.014420,0.8125,-0.0441,0.2676,2,ok
