episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.040000,-0.836165,-1.625249,-0.012035,-0.002749,-0.012035,2.002771,0.051677,-0.182199,-0.182199,0.000000,0.692799,0.692799,0.000000,,0,0,0,1,1,0,0.007677,-0.016747,0.7292,-0.0537,0.2672,2,ok
0,2,1.140000,-0.828083,-1.625371,-0.016503,-0.002871,-0.016503,2.010852,0.104673,-0.056041,-0.056041,0.000000,0.720473,0.720473,0.000000,,0,0,0,1,1,0,0.006496,-0.027945,0.7292,-0.0496,0.2666,2,ok
0,3,1.260000,-0.811653,-1.625600,-0.015974,-0.003100,-0.015974,2.027283,0.154257,0.009082,0.009082,0.000000,0.701192,0.701192,0.000000,,0,0,0,1,1,0,0.005909,-0.049358,0.7292,-0.0620,0.2675,2,ok
0,4,1.360000,-0.795470,-1.625800,-0.007216,-0.003300,-0.007216,2.043465,0.163137,0.134725,0.134725,0.000000,0.741497,0.741497,0.000000,,0,0,0,1,1,0,0.004818,-0.043177,0.7500,-0.0427,0.2671,2,ok
0,5,1.480000,-0.775830,-1.626037,0.001958,-0.003537,0.001958,2.063105,0.163704,0.107052,0.107052,0.000000,0.744056,0.744056,0.000000,,0,0,0,1,1,0,0.005246,-0.028708,0.7083,-0.0377,0.2669,2,ok
0,6,1.580000,-0.760094,-1.626093,0.003920,-0.003593,0.003920,2.078841,0.156953,0.022675,0.022675,0.000000,0.713425,0.713425,0.000000,,0,0,0,1,1,0,0.005246,-0.028708,0.7083,-0.0377,0.2669,2,ok
0,7,1.680000,-0.744066,-1.626089,0.002342,-0.003589,0.002342,2.094870,0.160620,-0.025381,-0.025381,0.000000,0.730095,0.730095,0.000000,,0,0,0,1,1,0,0.006103,-0.006397,0.6667,-0.0311,0.2667,2,ok
0,8,1.800000,-0.727920,-1.626093,0.001261,-0.003593,0.001261,2.111016,0.132797,-0.012546,-0.012546,0.000000,0.603623,0.603623,0.000000,C-06,0,0,0,1,1,0,0.005716,-0.004881,0.7500,-0.0242,0.2675,2,ok
0,9,1.920000,-0.710366,-1.626124,-0.009362,-0.003624,-0.009362,2.128570,0.149191,-0.133354,-0.133354,0.000000,0.678166,0.678166,0.000000,,0,0,0,1,1,0,0.006908,-0.019664,0.7500,-0.0518,0.2682,2,ok
0,10,2.020000,-0.695201,-1.626157,-0.014171,-0.003657,-0.014171,2.143735,0.151833,-0.065040,-0.065040,0.000000,0.690214,0.690214,0.000000,,0,0,0,1,1,0,0.005407,-0.025955,0.7917,-0.0513,0.2657,2,ok
0,11,2.120000,-0.679622,-1.626197,-0.019168,-0.003697,-0.019168,2.159314,0.156211,-0.071797,-0.071797,0.000000,0.710173,0.710173,0.000000,,0,0,0,1,1,0,0.004978,-0.038675,0.7708,-0.0547,0.2660,2,ok
0,12,2.220000,-0.662411,-1.626313,-0.023408,-0.003813,-0.023408,2.176525,0.176856,-0.060300,-0.060300,0.000000,0.804073,0.804073,0.000000,,0,0,0,1,1,0,0.003651,-0.045645,0.7500,-0.0389,0.2673,2,ok
0,13,2.340000,-0.640770,-1.626785,-0.021907,-0.004285,-0.021907,2.198166,0.180577,0.020128,0.020128,0.000000,0.820801,0.820801,0.000000,,0,0,0,1,1,0,0.003481,-0.057830,0.7917,-0.0466,0.2679,2,ok
0,14,2.440000,-0.623769,-1.627201,-0.011546,-0.004701,-0.011546,2.215167,0.168820,0.165820,0.165820,0.000000,0.767187,0.767187,0.000000,,0,0,0,1,1,0,0.002731,-0.051458,0.7708,-0.0403,0.2664,2,ok
0,15,2.540000,-0.607210,-1.627622,-0.004215,-0.005122,-0.004215,2.231726,0.165477,0.100754,0.100754,0.000000,0.751934,0.751934,0.000000,,0,0,0,1,1,0,0.003284,-0.046649,0.7500,-0.0453,0.2674,2,ok
0,16,2.640000,-0.591242,-1.627944,0.001160,-0.005444,0.001160,2.247693,0.159375,0.074955,0.074955,0.000000,0.724302,0.724302,0.000000,,0,0,0,1,1,0,0.004069,-0.028077,0.7500,-0.0481,0.2666,2,ok
0,17,2.740000,-0.574792,-1.628233,0.018269,-0.005733,0.018269,2.264144,0.165237,0.258113,0.258113,0.000000,0.751075,0.751075,0.000000,C-06,0,0,0,1,1,0,0.004336,-0.020133,0.7083,-0.0455,0.2670,2,ok
0,18,2.860000,-0.555620,-1.627901,0.010223,-0.005401,0.010223,2.283316,0.159205,-0.120288,-0.120288,0.000000,0.723565,0.723565,0.000000,C-06,0,0,0,1,1,0,0.005838,-0.001381,0.6875,-0.0553,0.2674,2,ok
0,19,2.980000,-0.540297,-1.627861,0.005956,-0.005361,0.005956,2.298638,0.125126,-0.047898,-0.047898,0.000000,0.568766,0.568766,0.000000,C-06,0,0,0,1,1,0,0.005750,0.008749,0.7083,-0.0431,0.2651,2,ok
