episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.060000,-0.835817,-1.627210,0.022129,-0.004710,0.022129,2.003119,0.054848,0.025557,0.025557,0.000000,0.689097,0.689097,0.000000,,0,0,0,1,1,0,0.006918,0.013672,0.6667,-0.0232,0.2679,2,ok
0,2,1.180000,-0.825103,-1.627049,0.025441,-0.004549,0.025441,2.013832,0.118430,0.040369,0.040369,0.000000,0.694215,0.694215,0.000000,,0,0,0,1,1,0,0.007055,0.018163,0.6250,-0.0232,0.2674,2,ok
0,3,1.280000,-0.810713,-1.626832,0.029767,-0.004332,0.029767,2.028223,0.154411,0.063933,0.063933,0.000000,0.702093,0.702093,0.000000,,0,0,0,1,1,0,0.008139,0.015388,0.6458,-0.0297,0.2666,2,ok
0,4,1.400000,-0.791652,-1.626413,0.032809,-0.003913,0.032809,2.047284,0.159287,0.035137,0.035137,0.000000,0.724215,0.724215,0.000000,,0,0,0,1,1,0,0.008893,0.018267,0.6042,-0.0346,0.2660,2,ok
0,5,1.500000,-0.775861,-1.625923,0.031164,-0.003423,0.031164,2.063075,0.157908,-0.027137,-0.027137,0.000000,0.717762,0.717762,0.000000,,0,0,0,1,1,0,0.009224,0.035316,0.6042,-0.0257,0.2664,2,ok
0,6,1.600000,-0.760228,-1.625438,0.032453,-0.002938,0.032453,2.078708,0.156266,0.022367,0.022367,0.000000,0.710332,0.710332,0.000000,,0,0,0,1,1,0,0.009283,0.034840,0.5833,-0.0213,0.2669,2,ok
0,7,1.700000,-0.745034,-1.624945,0.032629,-0.002445,0.032629,2.093901,0.151742,0.001300,0.001300,0.000000,0.689739,0.689739,0.000000,,0,0,0,1,1,0,0.010369,0.036937,0.5000,-0.0343,0.2648,2,ok
0,8,1.820000,-0.727220,-1.624346,0.022494,-0.001846,0.022494,2.111716,0.148258,-0.130711,-0.130711,0.000000,0.673695,0.673695,0.000000,,0,0,0,1,1,0,0.010697,0.035217,0.5208,-0.0343,0.2650,2,ok
0,9,1.940000,-0.709060,-1.623753,0.009593,-0.001253,0.009593,2.129876,0.151671,-0.154749,-0.154749,0.000000,0.689085,0.689085,0.000000,,0,0,0,1,1,0,0.010196,0.023336,0.5417,-0.0294,0.2653,2,ok
0,10,2.040000,-0.694042,-1.623257,-0.009532,-0.000757,-0.009532,2.144893,0.150116,-0.279480,-0.279480,0.000000,0.681998,0.681998,0.000000,,0,0,0,1,1,0,0.009705,0.000454,0.5625,-0.0261,0.2666,2,ok
0,11,2.140000,-0.678858,-1.622930,-0.019266,-0.000430,-0.019266,2.160077,0.152000,0.047092,-0.129480,-0.176572,0.690935,0.690935,0.000000,C-06,0,0,0,1,1,0,0.007611,-0.015632,0.5208,-0.0193,0.2658,2,ok
0,12,2.240000,-0.663800,-1.623206,-0.018166,-0.000706,-0.018166,2.175136,0.150553,0.106180,0.020520,-0.085660,0.684317,0.684317,0.000000,C-06,0,0,0,1,1,0,0.007588,-0.068000,0.5000,-0.0548,0.2638,2,ok
0,13,2.360000,-0.645710,-1.623555,-0.011708,-0.001055,-0.011708,2.193226,0.150802,0.080040,0.080040,0.000000,0.685387,0.685387,0.000000,,0,0,0,1,1,0,0.005885,-0.040591,0.4792,-0.0102,0.2674,2,ok
0,14,2.460000,-0.630232,-1.623841,-0.008994,-0.001341,-0.008994,2.208703,0.155181,0.036435,0.036435,0.000000,0.705277,0.705277,0.000000,,0,0,0,1,1,0,0.006059,-0.050179,0.4167,-0.0317,0.2636,2,ok
0,15,2.560000,-0.614826,-1.624127,-0.000845,-0.001627,-0.000845,2.224109,0.153996,0.120598,0.120598,0.000000,0.699863,0.699863,0.000000,,0,0,0,1,1,0,0.006514,-0.044828,0.2917,-0.0607,0.2647,1,single_line
0,16,2.660000,-0.599519,-1.624254,0.001660,-0.001754,0.001660,2.239416,0.153017,0.029928,0.029928,0.000000,0.695515,0.695515,0.000000,,0,0,0,1,1,0,0.007113,-0.034472,0.3125,-0.0676,0.2647,1,single_line
0,17,2.780000,-0.581581,-1.624315,0.004867,-0.001815,0.004867,2.257355,0.149318,0.038428,0.038428,0.000000,0.678724,0.678724,0.000000,,0,0,0,1,1,0,0.007480,-0.027669,0.2708,-0.0601,0.2647,1,single_line
0,18,2.900000,-0.563631,-1.624373,0.008490,-0.001873,0.008490,2.275305,0.149592,0.043025,0.043025,0.000000,0.679982,0.679982,0.000000,,0,0,0,1,1,0,0.007786,-0.023956,0.2917,-0.0638,0.2647,1,single_line
0,19,3.000000,-0.548135,-1.624281,0.001339,-0.001781,0.001339,2.290800,0.155433,-0.127981,-0.106975,0.021006,0.706503,0.706503,0.000000,C-06,0,0,0,1,1,0,0.007119,-0.009355,0.2292,-0.0445,0.2647,1,single_line
0,20,3.100000,-0.532339,-1.624190,-0.009736,-0.001690,-0.009736,2.306596,0.158192,-0.160421,-0.160421,0.000000,0.719073,0.719073,0.000000,,0,0,0,1,1,0,0.006963,-0.010274,0.2708,-0.0365,0.2647,1,single_line
0,21,3.200000,-0.517402,-1.624087,-0.018702,-0.001587,-0.018702,2.321534,0.148709,-0.127165,-0.127165,0.000000,0.676047,0.676047,0.000000,,0,0,0,1,1,0,0.007299,-0.042999,0.2917,-0.0759,0.2647,1,single_line
0,22,3.320000,-0.499862,-1.624398,-0.017438,-0.001898,-0.017438,2.339074,0.146046,0.097742,0.022835,-0.074907,0.663827,0.663827,0.000000,C-06,0,0,0,1,1,0,0.005764,-0.054851,0.3542,-0.0667,0.2647,1,single_line
