episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.100000,-0.836953,-1.627228,0.021698,-0.004728,0.021698,2.001982,0.043189,0.024914,0.024914,0.000000,0.689096,0.689096,0.000000,,0,0,0,1,1,0,0.006915,0.015174,0.6667,-0.0232,0.2679,2,ok
0,2,1.220000,-0.827639,-1.627087,0.023989,-0.004587,0.023989,2.011297,0.106776,0.027545,0.027545,0.000000,0.690783,0.690783,0.000000,,0,0,0,1,1,0,0.006870,0.018823,0.6667,-0.0210,0.2678,2,ok
0,3,1.320000,-0.814121,-1.626883,0.028000,-0.004383,0.028000,2.024815,0.153668,0.059653,0.059653,0.000000,0.698680,0.698680,0.000000,,0,0,0,1,1,0,0.007549,0.016200,0.6458,-0.0277,0.2671,2,ok
0,4,1.440000,-0.795230,-1.626598,0.034071,-0.004098,0.034071,2.043706,0.157753,0.073686,0.073686,0.000000,0.717387,0.717387,0.000000,,0,0,0,1,1,0,0.007820,0.030081,0.6250,-0.0179,0.2670,2,ok
0,5,1.540000,-0.779369,-1.626066,0.031740,-0.003566,0.031740,2.059567,0.158754,-0.037480,-0.037480,0.000000,0.721554,0.721554,0.000000,,0,0,0,1,1,0,0.009336,0.025860,0.6042,-0.0369,0.2655,2,ok
0,6,1.640000,-0.763706,-1.625569,0.033209,-0.003069,0.033209,2.075230,0.156549,0.025341,0.025341,0.000000,0.711623,0.711623,0.000000,,0,0,0,1,1,0,0.009262,0.038339,0.5625,-0.0227,0.2663,2,ok
0,7,1.760000,-0.745410,-1.624961,0.034176,-0.002461,0.034176,2.093526,0.152333,0.011022,0.011022,0.000000,0.692443,0.692443,0.000000,,0,0,0,1,1,0,0.009672,0.041004,0.5208,-0.0189,0.2662,2,ok
0,8,1.860000,-0.730437,-1.624449,0.029985,-0.001949,0.029985,2.108499,0.149596,-0.066231,-0.066231,0.000000,0.679893,0.679893,0.000000,,0,0,0,1,1,0,0.011201,0.035239,0.5417,-0.0375,0.2645,2,ok
0,9,1.980000,-0.712716,-1.623832,0.022049,-0.001332,0.022049,2.126220,0.147665,-0.096824,-0.096824,0.000000,0.670968,0.670968,0.000000,,0,0,0,1,1,0,0.010943,0.033930,0.5417,-0.0253,0.2656,2,ok
0,10,2.080000,-0.697743,-1.623321,0.007914,-0.000821,0.007914,2.141192,0.150060,-0.210436,-0.210436,0.000000,0.681721,0.681721,0.000000,,0,0,0,1,1,0,0.010529,0.031235,0.5625,-0.0259,0.2654,2,ok
