episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,0.980000,-0.836675,-1.613060,-0.028448,0.009440,-0.028448,2.002261,0.046362,-0.123925,-0.123925,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.017251,-0.014087,0.5208,0.0000,0.2683,2,ok
0,2,1.100000,-0.826980,-1.613216,-0.031889,0.009284,-0.031889,2.011955,0.109939,-0.034634,-0.034634,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.016511,-0.050093,0.5417,0.0000,0.2681,2,ok
0,3,1.220000,-0.809663,-1.613641,-0.033306,0.008859,-0.033306,2.029272,0.173557,0.084567,0.084567,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.015654,-0.075744,0.5417,0.0000,0.2672,2,ok
0,4,1.320000,-0.789484,-1.614261,-0.034895,0.008239,-0.034895,2.049452,0.219964,-0.032805,-0.032805,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.014819,-0.084268,0.5208,0.0000,0.2666,2,ok
0,5,1.440000,-0.763106,-1.615044,-0.048850,0.007456,-0.048850,2.075829,0.219842,-0.328183,-0.182805,0.145378,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.014019,-0.073349,0.5000,0.0000,0.2670,2,ok
0,6,1.540000,-0.742574,-1.615985,-0.052024,0.006515,-0.052024,2.096362,0.204009,0.254055,-0.032805,-0.286860,0.927509,0.927509,0.000000,C-06,0,0,0,1,1,0,0.012509,-0.060190,0.4792,0.0000,0.2664,2,ok
0,7,1.640000,-0.720950,-1.617019,-0.044914,0.005481,-0.044914,2.117985,0.220018,0.461594,0.117195,-0.344399,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.010628,-0.090355,0.5208,0.0000,0.2666,2,ok
0,8,1.760000,-0.695228,-1.618273,-0.023939,0.004227,-0.023939,2.143708,0.214002,0.451771,0.267195,-0.184576,0.971878,0.971878,0.000000,C-06,0,0,0,1,1,0,0.009880,-0.095563,0.6042,0.0000,0.2669,2,ok
0,9,1.860000,-0.675011,-1.619154,-0.014870,0.003346,-0.014870,2.163924,0.201260,0.088439,0.117195,0.028756,0.914207,0.914207,0.000000,C-06,0,0,0,1,1,0,0.011151,-0.055970,0.5833,0.0000,0.2670,2,ok
0,10,1.980000,-0.649778,-1.619556,-0.016753,0.002944,-0.016753,2.189157,0.211892,-0.484596,-0.032805,0.451791,0.963181,0.963181,0.000000,C-06,0,0,0,1,1,0,0.011191,-0.024743,0.5417,0.0000,0.2675,2,ok
0,11,2.080000,-0.628030,-1.619870,-0.028407,0.002630,-0.028407,2.210906,0.218478,-0.482761,-0.182805,0.299957,0.993360,0.993360,0.000000,C-06,0,0,0,1,1,0,0.011073,-0.033920,0.5417,0.0000,0.2670,2,ok
0,12,2.180000,-0.607713,-1.620245,-0.035472,0.002255,-0.035472,2.231223,0.201655,-0.096034,-0.096034,0.000000,0.917011,0.917011,0.000000,,0,0,0,1,1,0,0.009773,-0.050036,0.5208,0.0000,0.2672,2,ok
0,13,2.280000,-0.586257,-1.620829,-0.039272,0.001671,-0.039272,2.252678,0.218341,-0.051952,-0.051952,0.000000,0.992788,0.992788,0.000000,,0,0,0,1,1,0,0.008923,-0.044964,0.5000,0.0000,0.2668,2,ok
0,14,2.400000,-0.559893,-1.621836,-0.032109,0.000664,-0.032109,2.279043,0.220049,0.250401,0.098048,-0.152353,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.007204,-0.055608,0.5000,0.0000,0.2673,2,ok
0,15,2.500000,-0.537900,-1.622689,-0.015989,-0.000189,-0.015989,2.301036,0.220134,0.691024,0.248048,-0.442977,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.006648,-0.065206,0.5000,0.0000,0.2663,2,ok
0,16,2.600000,-0.515901,-1.623383,-0.007938,-0.000883,-0.007938,2.323034,0.220079,0.102702,0.102702,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.007491,-0.063268,0.5417,0.0000,0.2658,2,ok
