episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.835393,-1.537621,0.166590,0.084879,0.166590,2.003543,0.058519,0.130669,0.130669,0.000000,0.838718,0.838718,0.000000,,0,0,0,1,1,0,0.119328,0.231010,0.4792,-0.0564,0.2689,3,ok
0,2,1.120000,-0.826695,-1.536405,0.171631,0.086095,0.171631,2.012241,0.111687,0.074950,0.074950,0.000000,0.885064,0.885064,0.000000,,0,0,0,1,1,0,0.118523,0.235703,0.4375,-0.0320,0.2650,3,ok
0,3,1.240000,-0.809377,-1.533668,0.177577,0.088832,0.177577,2.029558,0.175191,0.088719,0.088719,0.000000,0.866244,0.866244,0.000000,,0,0,0,1,1,0,0.121462,0.250736,0.4583,-0.0477,0.2679,3,ok
0,4,1.340000,-0.791214,-1.530520,0.151477,0.091980,0.151477,2.047722,0.185511,0.141816,-0.469417,-0.611233,0.840701,0.840701,0.000000,C-03,0,0,0,1,1,0,0.125680,0.258860,0.4583,-0.0573,0.2708,3,ok
0,5,1.460000,-0.768558,-1.526732,0.123291,0.095768,0.123291,2.070378,0.192389,0.102406,-0.356182,-0.458588,0.869385,0.869385,0.000000,C-06;C-03,0,0,0,1,1,0,0.123463,0.241984,0.4167,-0.0296,0.2635,3,ok
0,6,1.560000,-0.749403,-1.523733,0.109063,0.098767,0.109063,2.089532,0.193981,-0.037201,-0.206182,-0.168982,0.877214,0.877214,0.000000,C-06,0,0,0,1,1,0,0.124621,0.177330,0.3750,-0.0388,0.2638,3,ok
0,7,1.660000,-0.730166,-1.521425,0.104652,0.101075,0.104652,2.108770,0.193743,0.186933,-0.056182,-0.243115,0.879592,0.879592,0.000000,C-06,0,0,0,1,1,0,0.125719,0.128865,0.4583,-0.0512,0.2614,3,ok
0,8,1.780000,-0.708901,-1.519166,0.110994,0.103334,0.110994,2.130035,0.176741,0.151528,0.093818,-0.057711,0.803838,0.803838,0.000000,C-06,0,0,0,1,1,0,0.125956,0.152190,0.4792,-0.0228,0.2648,3,ok
0,9,1.900000,-0.687429,-1.516812,0.108739,0.105688,0.108739,2.151506,0.180324,-0.036534,-0.036534,0.000000,0.819613,0.819613,0.000000,,0,0,0,1,1,0,0.127049,0.146142,0.5417,-0.0270,0.2653,3,ok
0,10,2.000000,-0.667931,-1.514869,0.100632,0.107631,0.100632,2.171005,0.202209,0.141951,-0.131658,-0.273609,0.929323,0.919613,-0.009710,C-06;C-03,0,0,0,1,1,0,0.133787,0.156245,0.5000,-0.0556,0.2714,3,ok
0,11,2.100000,-0.648647,-1.512921,0.092056,0.109579,0.092056,2.190289,0.192878,0.353144,-0.131658,-0.484802,0.875978,0.875978,0.000000,C-06;C-03,0,0,0,1,0,0,-0.134675,0.198770,0.5208,-0.0176,0.2645,3,ok
0,12,2.200000,-0.644897,-1.512640,0.091484,0.109860,0.091484,2.194039,0.000000,0.175520,-0.131658,-0.307178,0.795603,-0.500000,-1.295603,C-06;C-03;C-05,1,0,0,1,0,1,-0.134141,0.148341,0.5417,-0.0357,0.2678,3,ok
