episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.180000,-0.835837,-1.507415,0.266120,0.115085,0.266120,2.003098,0.054060,0.395903,0.395903,0.000000,0.913896,0.913896,0.000000,,0,0,0,1,1,0,-0.113316,0.386170,0.6250,-0.0181,0.2702,2,ok
0,2,1.280000,-0.827661,-1.506214,0.290188,0.116286,0.290188,2.011275,0.106269,0.407662,0.407662,0.000000,0.915327,0.915327,0.000000,,0,0,0,1,1,0,-0.108942,0.384090,0.6042,-0.0578,0.2669,3,ok
0,3,1.400000,-0.811254,-1.502309,0.317951,0.120191,0.317951,2.027682,0.169951,0.345405,0.345405,0.000000,0.928516,0.928516,0.000000,C-02,0,0,0,1,1,0,-0.109690,0.429879,0.6250,-0.0217,0.2695,2,ok
0,4,1.500000,-0.792733,-1.496838,0.336675,0.125662,0.336675,2.046202,0.200325,0.324701,0.324701,0.000000,0.921898,0.921898,0.000000,C-02;C-05,1,1,0,1,1,0,-0.103103,0.485109,0.6250,-0.0187,0.2685,2,ok
0,5,1.600000,-0.772526,-1.490483,0.360454,0.132017,0.360454,2.066410,0.215231,0.429461,0.429461,0.000000,0.993314,0.993314,0.000000,C-02;C-05,1,1,0,1,1,0,-0.098371,0.490006,0.6458,-0.0481,0.2662,2,ok
0,6,1.700000,-0.752001,-1.483096,0.372731,0.139404,0.372731,2.085135,0.218379,0.204417,0.204417,0.000000,1.000000,1.000000,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.087331,0.550225,0.6250,-0.0301,0.2685,2,ok
0,7,1.820000,-0.729231,-1.474200,0.391280,0.148300,0.391280,2.109705,0.201680,0.293576,0.293576,0.000000,0.922095,0.922095,0.000000,C-02;C-05,1,1,0,1,1,0,-0.076794,0.572601,0.7083,-0.0479,0.2687,2,ok
0,8,1.940000,-0.705526,-1.464708,0.385645,0.157792,0.385645,2.133409,0.215132,-0.114529,-0.114529,0.000000,0.980222,0.980222,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.067644,0.603809,0.7708,-0.0486,0.2706,2,ok
0,9,2.040000,-0.685172,-1.456573,0.382579,0.165927,0.382579,2.153764,0.219762,-0.050879,-0.050879,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.055430,0.631422,0.7500,-0.0096,0.2670,2,ok
0,10,2.140000,-0.664781,-1.448368,0.387817,0.174132,0.387817,2.174155,0.219608,0.106353,0.106353,0.000000,1.000000,1.000000,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.047370,0.624035,0.7083,0.0009,0.2654,2,ok
0,11,2.240000,-0.644351,-1.440063,0.370367,0.182437,0.370367,2.194584,0.221209,-0.348474,-0.348474,0.000000,1.000000,1.000000,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.038544,0.629028,0.7083,-0.0041,0.2634,2,ok
0,12,2.360000,-0.619651,-1.430100,0.351331,0.192400,0.351331,2.219284,0.222347,-0.277643,-0.277643,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.031648,0.619105,0.6458,0.0154,0.2630,2,ok
0,13,2.460000,-0.600134,-1.422513,0.337320,0.199987,0.337320,2.238801,0.208102,-0.244177,-0.244177,0.000000,0.936558,0.936558,0.000000,C-02;C-05,1,1,0,1,1,0,-0.017352,0.553018,0.6250,-0.0444,0.2709,2,ok
0,14,2.560000,-0.580169,-1.415169,0.324790,0.207331,0.324790,2.258766,0.213689,-0.216730,-0.216730,0.000000,0.963072,0.963072,0.000000,C-02;C-05,1,1,0,1,1,0,-0.011106,0.536689,0.6875,-0.0376,0.2700,2,ok
0,15,2.660000,-0.560762,-1.408185,0.310057,0.214315,0.310057,2.278174,0.205694,-0.260071,-0.260071,0.000000,0.925057,0.925057,0.000000,C-02;C-05,1,1,0,1,1,0,-0.005543,0.514177,0.6667,-0.0188,0.2670,2,ok
0,16,2.780000,-0.538700,-1.400442,0.285959,0.222058,0.285959,2.300235,0.194219,-0.353460,-0.353460,0.000000,0.869251,0.869251,0.000000,C-02;C-05,1,1,0,1,1,0,-0.001103,0.500255,0.6667,-0.0033,0.2654,2,ok
0,17,2.900000,-0.514620,-1.392856,0.253916,0.229644,0.253916,2.324316,0.215514,-0.455315,-0.455315,0.000000,0.968030,0.968030,0.000000,C-02;C-05,1,1,0,1,1,0,0.003781,0.470910,0.6458,-0.0026,0.2661,2,ok
0,18,3.000000,-0.493364,-1.386590,0.232660,0.235910,0.232660,2.345571,0.222663,-0.341946,-0.341946,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,0,0,1,1,0,0.007702,0.427015,0.6250,-0.0043,0.2653,2,ok
0,19,3.100000,-0.471912,-1.380786,0.214501,0.241714,0.214501,2.367023,0.222169,-0.292664,-0.292664,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,0,0,1,1,0,0.008551,0.424215,0.6458,0.0084,0.2648,2,ok
0,20,3.200000,-0.450363,-1.375209,0.189610,0.247291,0.189610,2.385435,0.222990,-0.412426,-0.412426,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,0,0,1,1,0,0.014559,0.371299,0.6250,0.0028,0.2647,2,ok
0,21,3.320000,-0.424351,-1.368758,0.152262,0.253742,0.152262,2.414584,0.223353,-0.499112,-0.499112,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,0,0,1,1,0,0.016429,0.359037,0.6042,0.0056,0.2646,2,ok
0,22,3.420000,-0.402571,-1.364499,0.131380,0.258001,0.131380,2.435535,0.221740,-0.307059,-0.307059,0.000000,1.000000,1.000000,0.000000,C-06;C-05,1,0,0,1,1,0,0.019926,0.264491,0.6250,0.0122,0.2653,2,ok
0,23,3.520000,-0.382882,-1.361312,0.118097,0.261188,0.118097,2.456053,0.197098,-0.194598,-0.194598,0.000000,0.891452,0.891452,0.000000,C-06;C-05,1,0,0,1,1,0,0.022346,0.199425,0.6250,-0.0023,0.2651,2,ok
0,24,3.620000,-0.363771,-1.358492,0.106326,0.264008,0.106326,2.475165,0.192851,-0.177973,-0.177973,0.000000,0.872842,0.872842,0.000000,C-05,1,0,0,1,1,0,0.024793,0.199810,0.6458,-0.0279,0.2703,2,ok
0,25,3.720000,-0.343971,-1.355864,0.095107,0.266636,0.095107,2.494965,0.200987,-0.168767,-0.168767,0.000000,0.910326,0.910326,0.000000,C-05,1,0,0,1,1,0,0.026181,0.171858,0.6875,-0.0077,0.2669,2,ok
0,26,3.820000,-0.322984,-1.353353,0.083283,0.269147,0.083283,2.515951,0.213775,-0.177944,-0.177944,0.000000,0.968589,0.968589,0.000000,C-05,1,0,0,1,1,0,0.026858,0.157428,0.7292,-0.0049,0.2643,2,ok
0,27,3.940000,-0.296755,-1.350438,0.064224,0.272062,0.064224,2.542181,0.220821,-0.240304,-0.240304,0.000000,1.000000,1.000000,0.000000,C-05,1,0,0,1,1,0,0.027404,0.152829,0.7292,-0.0050,0.2658,2,ok
0,28,4.040000,-0.275131,-1.348520,0.053100,0.273980,0.053100,2.563804,0.216769,-0.157376,-0.157376,0.000000,0.983359,0.983359,0.000000,C-05,1,0,0,1,1,0,0.029247,0.120623,0.7083,-0.0151,0.2680,2,ok
0,29,4.160000,-0.248799,-1.346460,0.037986,0.276040,0.037986,2.590136,0.220421,-0.185380,-0.185380,0.000000,1.000000,1.000000,0.000000,C-05,1,0,0,1,1,0,0.028319,0.112851,0.7500,0.0032,0.2649,2,ok
0,30,4.280000,-0.222412,-1.344732,0.022300,0.277768,0.022300,2.616524,0.220319,-0.188660,-0.188660,0.000000,1.000000,1.000000,0.000000,C-05,1,0,0,1,1,0,0.029508,0.076096,0.7083,-0.0029,0.2656,2,ok
