episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.020000,-0.835469,-1.488427,0.372617,0.134073,0.372617,2.003467,0.058990,0.153896,0.153896,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.081796,0.582748,0.6667,-0.0241,0.2695,2,ok
0,2,1.120000,-0.827163,-1.485407,0.379192,0.137093,0.379192,2.011772,0.112242,0.115439,0.115439,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.078674,0.578475,0.6875,-0.0614,0.2679,2,ok
0,3,1.240000,-0.810735,-1.479049,0.385934,0.143451,0.385934,2.028200,0.176373,0.047512,0.047512,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.076106,0.600889,0.6875,-0.0339,0.2688,2,ok
0,4,1.340000,-0.791904,-1.471434,0.387288,0.151066,0.387288,2.047031,0.215671,0.022752,0.022752,0.000000,0.981157,0.981157,0.000000,C-02;C-05,1,1,0,1,1,0,-0.071211,0.614876,0.6667,-0.0124,0.2665,2,ok
0,5,1.460000,-0.767657,-1.461555,0.387765,0.160945,0.387765,2.071278,0.218389,0.006242,0.006242,0.000000,0.992907,0.992907,0.000000,C-02;C-05,1,1,0,1,1,0,-0.063090,0.611136,0.6667,-0.0186,0.2679,2,ok
0,6,1.560000,-0.747293,-1.453287,0.384681,0.169213,0.384681,2.091643,0.220039,-0.061583,-0.061583,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.052325,0.614378,0.7083,-0.0508,0.2718,2,ok
0,7,1.660000,-0.726893,-1.445017,0.382892,0.177483,0.382892,2.112043,0.220183,-0.029767,-0.029767,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.043752,0.619981,0.7708,-0.0438,0.2695,2,ok
0,8,1.780000,-0.702278,-1.435153,0.354335,0.187347,0.354335,2.135135,0.221994,-0.455040,-0.455040,0.000000,1.000000,1.000000,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.034153,0.632562,0.6875,0.0447,0.2621,2,ok
0,9,1.900000,-0.677480,-1.425596,0.339155,0.196904,0.339155,2.161455,0.221410,-0.208057,-0.208057,0.000000,0.998489,0.998489,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.024627,0.584926,0.6667,-0.0238,0.2670,2,ok
0,10,2.000000,-0.657633,-1.418186,0.321177,0.204314,0.321177,2.181303,0.211554,-0.323909,-0.323909,0.000000,0.949969,0.949969,0.000000,C-02;C-05,1,1,0,1,1,0,-0.019729,0.573242,0.6458,0.0092,0.2638,2,ok
0,11,2.100000,-0.636884,-1.410942,0.306451,0.211558,0.306451,2.202051,0.221815,-0.249059,-0.249059,0.000000,1.000000,1.000000,0.000000,C-02;C-05,1,1,0,1,1,0,-0.011841,0.528725,0.6250,-0.0194,0.2670,2,ok
0,12,2.200000,-0.615951,-1.403871,0.293397,0.218629,0.293397,2.222984,0.220890,-0.222369,-0.222369,0.000000,0.995749,0.995749,0.000000,C-02;C-05,1,1,0,1,1,0,-0.007507,0.497850,0.6042,0.0052,0.2637,2,ok
0,13,2.320000,-0.594026,-1.396879,0.275040,0.225621,0.275040,2.244910,0.190144,-0.267101,-0.267101,0.000000,0.856001,0.856001,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,-0.000808,0.466763,0.6250,0.0048,0.2659,2,ok
0,14,2.420000,-0.575468,-1.391124,0.250723,0.231376,0.250723,2.263468,0.195346,-0.421457,-0.421457,0.000000,0.876238,0.876238,0.000000,C-06;C-02;C-05,1,1,0,1,1,0,0.007142,0.437908,0.6875,-0.0190,0.2661,2,ok
0,15,2.520000,-0.555587,-1.385388,0.229300,0.237112,0.229300,2.283348,0.210238,-0.348426,-0.348426,0.000000,0.944397,0.944397,0.000000,C-02;C-05,1,0,0,1,1,0,0.009280,0.425093,0.6667,-0.0220,0.2676,2,ok
0,16,2.620000,-0.534317,-1.379689,0.198372,0.242811,0.198372,2.304619,0.223000,-0.518282,-0.518282,0.000000,1.000000,1.000000,0.000000,C-06;C-02;C-05,1,0,0,1,1,0,0.014158,0.374474,0.7083,-0.0278,0.2684,2,ok
0,17,2.720000,-0.512719,-1.374397,0.175225,0.248103,0.175225,2.326216,0.222257,-0.360207,-0.360207,0.000000,0.999057,0.999057,0.000000,C-06;C-02;C-05,1,0,0,1,1,0,0.016009,0.330832,0.6875,-0.0088,0.2678,2,ok
