episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,0.980000,-0.837610,-1.620594,0.020003,0.001906,0.020003,2.001325,0.035241,-0.275893,-0.275893,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.016058,0.034635,0.7708,-0.0384,0.2689,2,ok
0,2,1.100000,-0.829247,-1.620721,-0.003254,0.001779,-0.003254,2.009688,0.098856,-0.275377,-0.275377,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.016143,0.034158,0.7708,-0.0387,0.2686,2,ok
0,3,1.220000,-0.813255,-1.620962,-0.024457,0.001538,-0.024457,2.025681,0.162416,-0.029087,-0.125377,-0.096289,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.012882,-0.009584,0.7292,-0.0467,0.2681,2,ok
0,4,1.320000,-0.794483,-1.621342,-0.023496,0.001158,-0.023496,2.044453,0.197981,0.126025,0.024623,-0.101402,0.779795,0.900000,0.120205,C-06,0,0,0,1,1,0,0.008489,-0.048313,0.7292,-0.0355,0.2672,2,ok
0,5,1.440000,-0.771387,-1.621875,-0.027507,0.000625,-0.027507,2.067549,0.192099,-0.053715,-0.053715,0.000000,0.873265,0.873265,0.000000,,0,0,0,1,1,0,0.008196,-0.054556,0.7083,-0.0477,0.2660,2,ok
0,6,1.540000,-0.750587,-1.622381,-0.021695,0.000119,-0.021695,2.088349,0.214125,0.196186,0.096285,-0.099901,1.000000,0.973265,-0.026735,C-06,0,0,0,1,1,0,0.007616,-0.061973,0.7083,-0.0495,0.2672,2,ok
0,7,1.640000,-0.728665,-1.622847,-0.023991,-0.000347,-0.023991,2.110271,0.219986,-0.043363,-0.043363,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.007595,-0.056433,0.7083,-0.0505,0.2656,2,ok
0,8,1.760000,-0.702937,-1.623464,-0.020495,-0.000964,-0.020495,2.135135,0.214067,0.048016,0.048016,0.000000,0.972956,0.972956,0.000000,,0,0,0,1,1,0,0.006883,-0.049785,0.7500,-0.0410,0.2663,2,ok
0,9,1.860000,-0.682695,-1.623900,-0.012289,-0.001400,-0.012289,2.156240,0.201070,0.130554,0.130554,0.000000,0.913823,0.913823,0.000000,,0,0,0,1,1,0,0.006042,-0.044021,0.7708,-0.0314,0.2670,2,ok
0,10,1.980000,-0.656955,-1.624220,-0.013382,-0.001720,-0.013382,2.181981,0.217178,-0.228003,-0.019446,0.208556,0.987186,0.987186,0.000000,C-06,0,0,0,1,1,0,0.006042,-0.044021,0.7708,-0.0314,0.2670,2,ok
0,11,2.080000,-0.634993,-1.624488,-0.024246,-0.001988,-0.024246,2.203943,0.219955,-0.387526,-0.169446,0.218080,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.006287,-0.035060,0.7708,-0.0346,0.2670,2,ok
0,12,2.180000,-0.613002,-1.624755,-0.033751,-0.002255,-0.033751,2.225934,0.219895,-0.134107,-0.134107,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.005351,-0.051089,0.7292,-0.0431,0.2672,2,ok
0,13,2.280000,-0.591015,-1.625475,-0.033389,-0.002975,-0.033389,2.247921,0.220006,0.369738,0.015893,-0.353846,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.003871,-0.067953,0.7500,-0.0494,0.2668,2,ok
0,14,2.400000,-0.564625,-1.626378,-0.020497,-0.003878,-0.020497,2.274311,0.220080,1.000000,0.165893,-0.834107,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.002802,-0.072195,0.6667,-0.0417,0.2673,2,ok
0,15,2.500000,-0.542626,-1.627132,0.000546,-0.004632,0.000546,2.296309,0.220129,1.000000,0.315893,-0.684107,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.003462,-0.058546,0.6667,-0.0517,0.2654,2,ok
0,16,2.600000,-0.520627,-1.627681,0.013111,-0.005181,0.013111,2.318308,0.220023,-0.133378,0.165893,0.299270,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.004479,-0.032367,0.7083,-0.0474,0.2659,2,ok
0,17,2.700000,-0.498629,-1.627475,0.014966,-0.004975,0.014966,2.340306,0.219991,-0.428657,0.015893,0.444550,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.005637,0.000842,0.7500,-0.0429,0.2661,2,ok
0,18,2.820000,-0.472231,-1.627143,0.004494,-0.004643,0.004494,2.366705,0.220015,-0.941734,-0.134107,0.807627,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.006502,0.006293,0.7917,-0.0407,0.2687,2,ok
0,19,2.940000,-0.445832,-1.626809,-0.018552,-0.004309,-0.018552,2.393103,0.219984,-0.539136,-0.284107,0.255028,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.006332,-0.007915,0.7500,-0.0564,0.2668,2,ok
