episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,0.980000,2.160943,-1.674890,-0.034430,-0.006844,0.016054,5.001757,0.040525,0.019841,0.019841,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,-0.002542,0.087697,0.6875,0.5621,0.2704,2,ok
0,2,1.100000,2.169937,-1.675118,-0.033164,-0.006595,0.017320,5.010751,0.104126,0.014921,0.014921,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.007447,-0.003159,0.6667,0.2442,0.2512,2,ok
0,3,1.220000,2.186560,-1.675595,-0.032088,-0.006191,0.018396,5.027375,0.167739,0.004212,0.004212,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.007668,0.005347,0.6875,0.2409,0.2513,2,ok
0,4,1.320000,2.206227,-1.676170,-0.034110,-0.005870,0.006450,5.046986,0.219621,-0.031809,-0.031809,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,-0.003682,0.026612,0.7292,0.6415,0.2695,2,ok
0,5,1.440000,2.232611,-1.677013,-0.035384,-0.005586,0.005175,5.073382,0.219980,-0.014346,-0.014346,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,-0.003957,0.075562,0.6875,0.6705,0.2694,2,ok
0,6,1.540000,2.254602,-1.677767,-0.017181,-0.005551,0.010855,5.095310,0.220093,0.298157,0.298157,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,-0.003788,0.009103,0.6458,0.6975,0.2689,2,ok
0,7,1.640000,2.276601,-1.678524,0.000861,-0.005668,0.028897,5.117322,0.220130,0.252594,0.252594,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,-0.004193,0.109055,0.7083,0.7350,0.2682,2,ok
0,8,1.760000,2.303001,-1.678526,-0.014690,-0.004994,-0.001427,5.143652,0.219979,-0.222080,-0.222080,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,-0.002564,0.015952,0.7500,0.7507,0.2666,2,ok
0,9,1.860000,2.324999,-1.678800,-0.009435,-0.004886,0.003828,5.165652,0.220010,0.100308,0.100308,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,-0.002294,0.000525,0.7708,0.7628,0.2688,2,ok
0,10,1.980000,2.351273,-1.679161,0.049803,-0.004868,0.045853,5.191836,0.218452,0.821839,0.821839,0.000000,0.993958,0.993958,0.000000,C-06,0,0,0,1,1,0,-0.004500,0.026059,0.7500,0.8213,0.2676,2,ok
0,11,2.080000,2.373224,-1.678987,0.071342,-0.004737,0.067392,5.213787,0.219493,0.291806,0.291806,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.003691,-0.007088,0.7708,0.7319,0.2633,2,ok
0,12,2.180000,2.395175,-1.677529,0.059138,-0.003321,0.055188,5.235740,0.220144,-0.229458,-0.229458,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.005547,0.082568,0.7292,0.7726,0.2627,2,ok
0,13,2.280000,2.417146,-1.675988,0.042425,-0.002154,0.019176,5.257677,0.220333,-0.245277,-0.245277,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.005547,0.082568,0.7292,0.7726,0.2627,2,ok
0,14,2.400000,2.443513,-1.674831,0.060419,-0.001547,0.037169,5.284062,0.219807,0.260488,0.260488,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.005805,0.009598,0.6875,0.7660,0.2647,2,ok
0,15,2.500000,2.465436,-1.673904,0.111072,-0.001373,0.064237,5.305972,0.218916,0.871714,0.871714,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.005676,-0.097528,0.6875,0.7657,0.2668,2,ok
0,16,2.600000,2.487261,-1.672559,0.139013,-0.000976,0.092178,5.327835,0.218530,0.385998,0.385998,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.012499,-0.080406,0.6875,0.7047,0.2666,2,ok
0,17,2.700000,2.509068,-1.669627,0.121234,0.000916,0.049046,5.349772,0.220457,-0.346793,-0.346793,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.016471,-0.010049,0.7083,0.6927,0.2667,2,ok
0,18,2.820000,2.535296,-1.666002,0.108103,0.002765,0.035915,5.376184,0.220688,-0.151881,-0.151881,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.017143,-0.074232,0.7708,0.6784,0.2697,2,ok
0,19,2.940000,2.561508,-1.663085,0.133273,0.003802,0.030621,5.402661,0.219406,0.363169,0.363169,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.014385,-0.189955,0.7292,0.6899,0.2691,2,ok
0,20,3.040000,2.583274,-1.660683,0.159036,0.004006,0.056385,5.424558,0.218597,0.403708,0.403708,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.017350,-0.133884,0.7500,0.6097,0.2654,2,ok
0,21,3.140000,2.604989,-1.657249,0.161067,0.005243,0.058415,5.446509,0.219989,0.001906,0.001906,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.028734,-0.173728,0.7083,0.2735,0.2462,2,ok
0,22,3.240000,2.626698,-1.653727,0.165382,0.006133,0.029311,5.468639,0.219847,0.074151,0.074151,0.000000,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.016245,-0.106077,0.6875,0.6541,0.2667,2,ok
0,23,3.360000,2.652674,-1.649451,0.195622,0.007040,0.059551,5.494950,0.218792,0.436924,0.436924,0.000000,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.016834,-0.170662,0.6667,0.6040,0.2660,2,ok
