episode,step,sim_time_s,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,raw_throttle,safe_throttle,throttle_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,1.100000,-0.835471,-1.610828,-0.019818,0.011672,-0.019818,2.003465,0.058029,0.148615,0.148615,0.000000,0.787419,0.787419,0.000000,,0,0,0,1,1,0,0.016196,-0.045426,0.7500,0.0090,0.2685,3,ok
0,2,1.220000,-0.824374,-1.610661,-0.010871,0.011839,-0.010871,2.014561,0.121641,0.102158,0.102158,0.000000,0.793391,0.793391,0.000000,,0,0,0,1,1,0,0.017068,-0.036526,0.7500,0.0072,0.2676,3,ok
0,3,1.320000,-0.809303,-1.610433,-0.003674,0.012067,-0.003674,2.029632,0.173946,0.093495,0.093495,0.000000,0.794038,0.794038,0.000000,,0,0,0,1,1,0,0.019257,-0.023248,0.7292,0.0020,0.2663,3,ok
0,4,1.460000,-0.785927,-1.610243,0.004652,0.012257,0.004652,2.053009,0.165404,0.082349,0.082349,0.000000,0.751824,0.751824,0.000000,,0,0,0,1,1,0,0.020376,-0.015255,0.7083,-0.0011,0.2652,3,ok
0,5,1.560000,-0.768870,-1.610125,0.011768,0.012375,0.011768,2.070066,0.171424,0.102948,0.102948,0.000000,0.779231,0.779231,0.000000,,0,0,0,1,1,0,0.021386,0.006923,0.6458,0.0061,0.2652,3,ok
0,6,1.660000,-0.751702,-1.610005,0.018449,0.012495,0.018449,2.085135,0.171698,0.094579,0.094579,0.000000,0.780556,0.780556,0.000000,,0,0,0,1,1,0,0.023165,0.014214,0.6250,0.0047,0.2656,3,ok
0,7,1.780000,-0.731139,-1.609862,0.033723,0.012638,0.033723,2.107797,0.171299,0.191200,0.191200,0.000000,0.779038,0.779038,0.000000,,0,0,0,1,1,0,0.022796,0.039245,0.6458,0.0160,0.2670,3,ok
0,8,1.900000,-0.711014,-1.609725,0.051169,0.012775,0.051169,2.127922,0.167295,0.213684,0.213684,0.000000,0.761380,0.761380,0.000000,,0,0,0,1,1,0,0.024982,0.041433,0.6458,0.0019,0.2644,3,ok
0,9,2.000000,-0.694035,-1.609303,0.060657,0.013197,0.060657,2.144901,0.170646,0.119109,0.119109,0.000000,0.776663,0.776663,0.000000,,0,0,0,1,1,0,0.024057,0.073196,0.6875,0.0072,0.2611,3,ok
0,10,2.100000,-0.676837,-1.608303,0.060922,0.014197,0.060922,2.162098,0.172481,-0.009012,-0.009012,0.000000,0.784012,0.784012,0.000000,,0,0,0,1,1,0,0.026609,0.092881,0.6042,0.0087,0.2628,3,ok
0,11,2.200000,-0.659090,-1.607263,0.052626,0.015237,0.052626,2.179845,0.178770,-0.135619,-0.135619,0.000000,0.812364,0.812364,0.000000,,0,0,0,1,1,0,0.023094,0.096159,0.5833,0.0062,0.2524,3,ok
0,12,2.320000,-0.638213,-1.606009,0.042097,0.016491,0.042097,2.200722,0.173972,-0.127825,-0.127825,0.000000,0.790068,0.790068,0.000000,,0,0,0,1,1,0,0.021918,0.092243,0.5625,0.0085,0.2495,3,ok
0,13,2.420000,-0.621595,-1.605347,0.040554,0.017153,0.040554,2.217341,0.165736,-0.014274,-0.014274,0.000000,0.753421,0.753421,0.000000,,0,0,0,1,0,0,-0.248702,0.088579,0.6042,0.0856,0.2911,2,ok
0,14,2.520000,-0.618367,-1.605245,0.040475,0.017255,0.040475,2.220568,0.000000,0.009029,0.009029,0.000000,0.710889,-0.500000,-1.210889,C-05,1,0,0,1,0,1,-0.248156,0.074942,0.6250,0.0790,0.2936,2,ok
