episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.000747,-0.125385,-0.046896,-0.002982,0.003749,0.003156,0.055332,-0.222719,-0.222719,0.000000,,0,1,1,0,0.000351,-0.032622,0.7708
0,2,0.010019,-0.125686,-0.043235,-0.003273,0.007410,0.013922,0.118904,0.059590,0.059590,0.000000,C-06,0,1,1,0,-0.000682,-0.042890,0.7917
0,3,0.028416,-0.125989,-0.033357,-0.003558,0.017288,0.032319,0.182492,0.123483,0.123483,0.000000,,0,1,1,0,-0.000990,-0.047113,0.7708
0,4,0.048195,-0.126581,-0.036921,-0.004131,0.013724,0.052099,0.199963,-0.066153,-0.066153,0.000000,C-06,0,1,1,0,-0.000884,-0.034445,0.7292
0,5,0.072179,-0.127466,-0.034843,-0.004993,0.015801,0.076084,0.200016,0.030111,0.030111,0.000000,,0,1,1,0,-0.001651,-0.034746,0.7083
0,6,0.092169,-0.128210,-0.029395,-0.005717,0.021250,0.096074,0.200050,0.082559,0.082559,0.000000,,0,1,1,0,-0.002007,-0.036562,0.7083
0,7,0.112163,-0.128953,-0.016472,-0.006453,-0.003410,0.116063,0.200109,0.193641,0.193641,0.000000,,0,1,1,0,-0.003055,-0.029419,0.6667
0,8,0.136161,-0.129621,-0.010158,-0.007121,0.002904,0.140061,0.200051,0.068579,0.068579,0.000000,,0,1,1,0,-0.002595,-0.022270,0.6875
0,9,0.156159,-0.129837,-0.017249,-0.007337,-0.004187,0.160059,0.199982,-0.114879,-0.114879,0.000000,C-06,0,1,1,0,-0.002554,-0.011698,0.7083
0,10,0.180155,-0.130114,-0.020688,-0.007614,-0.007626,0.184055,0.199975,-0.036429,-0.036429,0.000000,,0,1,1,0,-0.003655,-0.014462,0.7292
0,11,0.200151,-0.130488,-0.017352,-0.007988,-0.004290,0.203900,0.200006,0.054722,0.054722,0.000000,,0,1,1,0,-0.003386,-0.023697,0.7917
0,12,0.220149,-0.130870,-0.013293,-0.008370,-0.013100,0.224049,0.200018,0.058187,0.058187,0.000000,,0,1,1,0,-0.004204,-0.017522,0.7917
0,13,0.240147,-0.131250,-0.010593,-0.008750,-0.010400,0.244047,0.200023,0.036966,0.036966,0.000000,,0,1,1,0,-0.004354,-0.013812,0.7708
0,14,0.264146,-0.131663,-0.007246,-0.009163,-0.007053,0.268047,0.200019,0.039779,0.039779,0.000000,,0,1,1,0,-0.004089,-0.013198,0.7292
0,15,0.284146,-0.131973,0.001754,-0.009473,0.001947,0.288046,0.200024,0.135186,0.135186,0.000000,,0,1,1,0,-0.004313,-0.009733,0.7292
0,16,0.304146,-0.132282,0.013477,-0.009782,0.013477,0.308046,0.200007,0.168467,0.168467,0.000000,,0,1,1,0,-0.003959,-0.005478,0.6667
0,17,0.324142,-0.132433,0.022057,-0.009933,0.022057,0.328042,0.199955,0.120744,0.120744,0.000000,,0,1,1,0,-0.004126,0.008376,0.6875
0,18,0.348137,-0.131926,0.020374,-0.009426,0.020374,0.352037,0.200008,-0.027768,-0.027768,0.000000,,0,1,1,0,-0.003215,0.017096,0.6875
0,19,0.372133,-0.131389,0.012644,-0.008889,0.012644,0.376033,0.200033,-0.095820,-0.095820,0.000000,,0,1,1,0,-0.002679,0.020276,0.7292
0,20,0.392132,-0.130979,0.009246,-0.008479,0.009246,0.396032,0.200027,-0.045846,-0.045846,0.000000,,0,1,1,0,-0.003019,0.016680,0.7292
0,21,0.412131,-0.130759,0.010014,-0.008259,0.010014,0.416031,0.200001,0.015281,0.015281,0.000000,,0,1,1,0,-0.002572,0.009437,0.7917
0,22,0.432130,-0.130550,0.009421,-0.008050,0.009421,0.436030,0.200002,-0.009947,-0.009947,0.000000,,0,1,1,0,-0.002263,0.008022,0.7917
0,23,0.456129,-0.130300,0.012618,-0.007800,0.012618,0.460029,0.199995,0.040621,0.040621,0.000000,,0,1,1,0,-0.002480,0.011243,0.7708
0,24,0.476126,-0.130092,0.023449,-0.007592,0.023449,0.480026,0.199959,0.164332,0.164332,0.000000,,0,1,1,0,-0.001620,0.011958,0.7083
