episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.001559,-0.040869,0.131457,0.081513,0.244867,8.789453,0.048582,-1.000000,-1.000000,0.000000,,0,1,1,0,0.104173,0.184601,0.4792
0,2,0.008417,-0.040995,0.051570,0.081417,0.102214,0.012239,0.112462,-1.000000,-1.000000,0.000000,,0,1,1,0,0.099299,0.139535,0.5000
0,3,0.026061,-0.041236,-0.032118,0.081193,0.018527,0.029883,0.176170,-1.000000,-1.000000,0.000000,,0,1,1,0,0.093858,0.072828,0.5625
0,4,0.045599,-0.041510,-0.090514,0.080938,-0.039870,0.049421,0.199256,-0.508555,-0.850000,-0.341445,C-06,0,1,1,0,0.087622,0.005403,0.5833
0,5,0.069427,-0.041856,-0.146175,0.080614,-0.095531,0.073250,0.197974,-0.352023,-0.700000,-0.347977,C-06,0,1,1,0,0.082696,-0.059454,0.5625
0,6,0.089157,-0.043185,-0.181871,0.079304,-0.131226,0.092981,0.197528,0.745307,-0.550000,-1.295307,C-06,0,1,1,0,0.077397,-0.136124,0.5625
0,7,0.108779,-0.045711,-0.207325,0.076789,-0.194263,0.112679,0.197767,1.000000,-0.400000,-1.400000,C-06,0,1,1,0,0.073961,-0.174225,0.5833
0,8,0.128316,-0.049163,-0.223320,0.073337,-0.210258,0.132216,0.198420,1.000000,-0.250000,-1.250000,C-06,0,1,1,0,0.070177,-0.202841,0.6250
0,9,0.151697,-0.054174,-0.231224,0.068326,-0.218162,0.155597,0.199317,1.000000,-0.100000,-1.100000,C-06,0,1,1,0,0.065006,-0.217131,0.6875
0,10,0.175065,-0.059662,-0.228137,0.062838,-0.215075,0.178965,0.200141,1.000000,0.050000,-0.950000,C-06,0,1,1,0,0.060451,-0.225517,0.6875
0,11,0.194571,-0.064250,-0.216607,0.058250,-0.203544,0.198471,0.200615,1.000000,0.200000,-0.800000,C-06,0,1,1,0,0.054359,-0.230636,0.7708
0,12,0.214146,-0.068838,-0.195491,0.053662,-0.195298,0.218046,0.201439,1.000000,0.350000,-0.650000,C-06,0,1,1,0,0.049737,-0.217439,0.7708
