episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.000800,0.020144,0.270186,0.142449,0.383596,8.786285,0.053839,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.089070,0.328925,0.7083
0,2,0.009756,0.020034,0.197222,0.142447,0.247867,0.013518,0.117125,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.091063,0.286820,0.6667
0,3,0.028000,0.019809,0.120736,0.142240,0.171380,0.031763,0.181716,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.093857,0.226931,0.6667
0,4,0.047729,0.019555,0.053981,0.142005,0.104625,0.051492,0.199683,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.099859,0.132923,0.5625
0,5,0.071720,0.019247,-0.029670,0.141719,0.020975,0.075484,0.199949,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.104163,0.065523,0.5417
0,6,0.091676,0.018990,-0.097510,0.141481,-0.046865,0.095440,0.199136,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.109048,-0.004842,0.5000
0,7,0.111515,0.018732,-0.153670,0.141232,-0.140607,0.115415,0.197750,-0.737293,-0.850000,-0.112707,C-06,0,1,1,0,-0.114836,-0.073299,0.3958
0,8,0.135122,0.017276,-0.207208,0.139776,-0.194146,0.139022,0.196652,-0.322551,-0.700000,-0.377449,C-06,0,1,1,0,-0.121250,-0.130389,0.3750
0,9,0.154721,0.013419,-0.186920,0.135919,-0.173858,0.158621,0.200586,0.213961,0.446092,0.232131,C-06;C-03,0,1,1,0,-0.129072,-0.203831,0.3958
0,10,0.178380,0.008561,-0.149425,0.131061,-0.136363,0.182280,0.201820,0.243377,0.496095,0.252718,C-06;C-03,0,1,1,0,-0.131090,-0.192866,0.3958
0,11,0.198201,0.004513,-0.117278,0.127013,-0.104215,0.202101,0.202667,-0.061070,0.496095,0.557165,C-06;C-03,0,1,0,0,0.128386,-0.154734,0.6042
0,12,0.202657,0.003963,-0.114251,0.126463,-0.101189,0.203900,0.000000,-0.937825,0.496095,1.433920,C-06;C-03;C-05,1,1,0,1,0.127507,-0.128141,0.5625
