episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.000912,0.020145,0.271375,0.142442,0.384784,8.786173,0.052801,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.089238,0.328810,0.7292
0,2,0.009517,0.020037,0.198466,0.142450,0.249110,0.013280,0.116057,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.090848,0.273609,0.6667
0,3,0.027632,0.019814,0.122042,0.142244,0.172686,0.031395,0.180634,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.095272,0.219682,0.6458
0,4,0.047330,0.019560,0.055345,0.142009,0.105989,0.051093,0.199667,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.097670,0.149653,0.6042
0,5,0.071320,0.019252,-0.028281,0.141724,0.022363,0.075084,0.199956,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.102952,0.088654,0.5208
0,6,0.091278,0.018995,-0.096182,0.141486,-0.045538,0.095042,0.199160,-1.000000,-1.000000,0.000000,,0,1,1,0,-0.109906,-0.017708,0.4792
0,7,0.111128,0.018738,-0.146678,0.141238,-0.133616,0.115028,0.197946,-0.758742,-0.758742,0.000000,C-06,0,1,1,0,-0.115637,-0.086521,0.3958
0,8,0.130877,0.016756,-0.168066,0.139256,-0.155004,0.134777,0.198556,-0.297730,-0.297730,0.000000,C-06,0,1,1,0,-0.121310,-0.136460,0.3958
0,9,0.154542,0.012886,-0.164847,0.135386,-0.151785,0.158442,0.199982,0.062197,0.062197,0.000000,C-06,0,1,1,0,-0.124653,-0.167945,0.3750
0,10,0.178238,0.008955,-0.153745,0.131455,-0.140683,0.182138,0.200321,0.147929,0.147929,0.000000,C-03,0,1,1,0,-0.126680,-0.174757,0.3958
0,11,0.197993,0.005827,-0.160369,0.128327,-0.147307,0.201893,0.199895,-0.122700,-0.122700,0.000000,C-06;C-03,0,1,0,0,0.129052,-0.154290,0.5625
0,12,0.217733,0.002700,-0.162525,0.125200,-0.162333,0.221633,0.199850,-0.027123,-0.027123,0.000000,C-03;C-05,1,1,0,1,0.125750,-0.159827,0.6042
0,13,0.241415,-0.001151,-0.163309,0.121349,-0.163117,0.245315,0.199948,-0.009231,-0.009231,0.000000,C-03;C-05,1,1,0,1,0.122125,-0.162082,0.5625
0,14,0.265102,-0.005015,-0.159534,0.117485,-0.159342,0.269002,0.200063,0.052773,0.052773,0.000000,C-03;C-05,1,1,0,1,0.119565,-0.165150,0.5417
0,15,0.284851,-0.008235,-0.157637,0.114265,-0.157444,0.288751,0.200125,0.028030,0.028030,0.000000,C-03;C-05,1,1,0,1,0.115296,-0.160549,0.5417
0,16,0.304602,-0.011411,-0.158670,0.111089,-0.158670,0.308502,0.200023,-0.019101,-0.019101,0.000000,C-03;C-05,1,1,0,1,0.114473,-0.167724,0.5208
0,17,0.324357,-0.014573,-0.154170,0.107927,-0.154170,0.328257,0.200132,0.076108,0.076108,0.000000,C-05,1,1,1,0,0.108436,-0.153243,0.5000
0,18,0.348088,-0.018367,-0.145613,0.104133,-0.145613,0.351988,0.200381,0.113103,0.113103,0.000000,C-05,1,1,1,0,0.104901,-0.149835,0.5417
0,19,0.371849,-0.022159,-0.136620,0.100341,-0.136620,0.375749,0.200614,0.116361,0.116361,0.000000,C-05,1,1,1,0,0.100892,-0.141731,0.5625
0,20,0.391675,-0.025289,-0.126916,0.097211,-0.126916,0.395575,0.200775,0.151366,0.151366,0.000000,C-05,1,1,1,0,0.098394,-0.137600,0.6250
0,21,0.411517,-0.027902,-0.125040,0.094598,-0.125040,0.415417,0.200097,0.020942,0.020942,0.000000,C-05,1,1,1,0,0.095390,-0.126856,0.6458
0,22,0.431359,-0.030443,-0.126692,0.092057,-0.126692,0.435259,0.200018,-0.028468,-0.028468,0.000000,C-05,1,1,1,0,0.093047,-0.122799,0.6250
0,23,0.455175,-0.033479,-0.120773,0.089021,-0.120773,0.459075,0.200141,0.083083,0.083083,0.000000,C-05,1,1,1,0,0.090960,-0.125206,0.5833
0,24,0.475045,-0.036009,-0.106386,0.086491,-0.106386,0.478945,0.200454,0.227646,0.227646,0.000000,C-05,1,1,1,0,0.087306,-0.120152,0.5625
0,25,0.494938,-0.038326,-0.101590,0.084174,-0.101590,0.498838,0.200254,0.062550,0.062550,0.000000,C-06;C-05,1,1,1,0,0.085934,-0.108443,0.5417
0,26,0.514842,-0.040588,-0.094157,0.081912,-0.094157,0.518742,0.200387,0.114375,0.114375,0.000000,C-05,1,1,1,0,0.084333,-0.105110,0.5417
0,27,0.538746,-0.043282,-0.083764,0.079218,-0.083764,0.542646,0.200487,0.130670,0.130670,0.000000,C-05,1,1,1,0,0.082431,-0.098712,0.5625
0,28,0.562671,-0.045713,-0.074546,0.076787,-0.074546,0.566571,0.200381,0.113574,0.113574,0.000000,C-05,1,1,1,0,0.080388,-0.088304,0.6042
0,29,0.582614,-0.047234,-0.076618,0.075266,-0.076618,0.586515,0.199979,-0.038894,-0.038894,0.000000,C-06;C-05,1,1,1,0,0.077515,-0.072427,0.6250
0,30,0.606542,-0.049034,-0.078767,0.073466,-0.078767,0.610442,0.199945,-0.026010,-0.026010,0.000000,C-05,1,1,1,0,0.076539,-0.073044,0.6667
0,31,0.630482,-0.050920,-0.060761,0.071580,-0.060761,0.634382,0.200241,0.242908,0.242908,0.000000,C-06;C-05,1,1,1,0,0.074726,-0.079696,0.6250
0,32,0.654442,-0.052603,-0.054821,0.069897,-0.054821,0.658342,0.200152,0.062010,0.062010,0.000000,C-06;C-05,1,1,1,0,0.073465,-0.066534,0.6250
0,33,0.678400,-0.053928,-0.064061,0.068572,-0.064061,0.682301,0.199894,-0.124904,-0.124904,0.000000,C-06;C-05,1,1,1,0,0.063682,-0.004708,0.6458
0,34,0.702361,-0.055397,-0.047880,0.067103,-0.047880,0.703900,0.200142,0.222559,0.222559,0.000000,C-06;C-05,1,1,1,0,0.066293,-0.037936,0.5625
0,35,0.722342,-0.056629,-0.038770,0.065871,-0.038770,0.726243,0.200225,0.126674,0.126674,0.000000,C-05,1,1,1,0,0.069504,-0.053842,0.5625
0,36,0.746318,-0.057631,-0.053167,0.064869,-0.053167,0.750218,0.199890,-0.200402,-0.200402,0.000000,C-06;C-05,1,1,1,0,0.050152,0.060128,0.5833
0,37,0.770286,-0.058910,-0.049039,0.063590,-0.049039,0.774186,0.200050,0.066977,0.066977,0.000000,C-06;C-05,1,1,1,0,0.067098,-0.047261,0.5833
0,38,0.794255,-0.060086,-0.052145,0.062414,-0.052145,0.798155,0.199967,-0.044802,-0.044802,0.000000,C-05,1,1,1,0,0.065199,-0.042978,0.6250
0,39,0.814233,-0.061128,-0.041052,0.061372,-0.041052,0.818133,0.200100,0.183395,0.183395,0.000000,C-06;C-05,1,1,1,0,0.052839,0.015521,0.6667
0,40,0.838205,-0.062144,-0.056571,0.060356,-0.056571,0.842105,0.199864,-0.220538,-0.220538,0.000000,C-06;C-05,1,1,1,0,0.049710,0.040664,0.6667
0,41,0.862173,-0.063503,-0.045521,0.058997,-0.045521,0.866073,0.200117,0.158523,0.158523,0.000000,C-06;C-05,1,1,1,0,0.043297,0.069225,0.6667
0,42,0.886151,-0.064775,-0.040984,0.057725,-0.040984,0.890051,0.200091,0.048549,0.048549,0.000000,C-05,1,1,1,0,0.038695,0.091460,0.6458
0,43,0.906130,-0.065605,-0.051706,0.056895,-0.051706,0.910030,0.199906,-0.177664,-0.177664,0.000000,C-06;C-05,1,1,1,0,0.020004,0.181981,0.5833
0,44,0.930090,-0.066585,-0.063246,0.055915,-0.063246,0.933990,0.199774,-0.139289,-0.139289,0.000000,C-05,1,1,1,0,0.035869,0.087811,0.5833
0,45,0.954041,-0.068087,-0.063715,0.054413,-0.063715,0.957941,0.200001,0.001281,0.001281,0.000000,C-05,1,1,1,0,0.035277,0.072950,0.5833
0,46,0.978004,-0.069617,-0.044668,0.052883,-0.044668,0.981904,0.200198,0.255300,0.255300,0.000000,C-06;C-05,1,1,1,0,0.022912,0.143692,0.6875
0,47,1.001977,-0.070696,-0.052124,0.051804,-0.052124,1.003900,0.199926,-0.112280,-0.112280,0.000000,C-06;C-05,1,1,1,0,0.029660,0.124438,0.7292
0,48,1.021948,-0.071641,-0.054535,0.050859,-0.054535,1.025848,0.199938,-0.030364,-0.030364,0.000000,C-05,1,1,1,0,0.019822,0.183087,0.7292
0,49,1.045920,-0.072928,-0.042268,0.049572,-0.042268,1.049820,0.200105,0.157297,0.157297,0.000000,C-06;C-05,1,1,1,0,0.004724,0.271522,0.7500
0,50,1.069900,-0.074005,-0.040291,0.048495,-0.040291,1.073800,0.200029,0.016865,0.016865,0.000000,C-05,1,1,1,0,0.010427,0.244766,0.7083
0,51,1.093879,-0.075037,-0.042678,0.047463,-0.042678,1.097779,0.200004,-0.031882,-0.031882,0.000000,C-05,1,1,1,0,0.007994,0.260119,0.6458
0,52,1.117851,-0.076069,-0.053649,0.046431,-0.053649,1.121751,0.199903,-0.139076,-0.139076,0.000000,C-05,1,1,1,0,-0.000243,0.285622,0.6250
0,53,1.137822,-0.077133,-0.053085,0.045367,-0.053085,1.141723,0.200009,0.019571,0.019571,0.000000,C-06;C-05,1,1,1,0,0.047889,-0.219726,0.5000
0,54,1.161802,-0.078428,-0.025996,0.044072,-0.025996,1.165702,0.200216,0.355969,0.355969,0.000000,C-06;C-05,1,1,1,0,0.014484,0.296618,0.4375
0,55,1.185797,-0.079649,-0.011877,0.042851,-0.011877,1.189697,0.200192,0.158050,0.158050,0.000000,C-06;C-05,1,1,1,0,0.015223,0.311360,0.4167
0,56,1.205795,-0.079923,-0.020424,0.042577,-0.020617,1.209695,0.199974,-0.144533,-0.144533,0.000000,C-06;C-05,1,1,1,0,0.004968,0.319009,0.8125
0,57,1.229790,-0.080415,-0.020219,0.042085,-0.020411,1.233690,0.200003,0.010286,0.010286,0.000000,C-06;C-05,1,1,1,0,0.006987,0.309902,0.7708
0,58,1.253783,-0.080918,-0.027993,0.041582,-0.028185,1.257683,0.199968,-0.099817,-0.099817,0.000000,C-05,1,1,1,0,0.015114,0.258662,0.7292
0,59,1.277774,-0.081591,-0.026828,0.040909,-0.027021,1.281674,0.200009,0.021197,0.021197,0.000000,C-05,1,1,1,0,0.017389,0.245311,0.7292
0,60,1.301768,-0.082274,-0.013857,0.040226,-0.014049,1.303900,0.200060,0.165610,0.165610,0.000000,C-05,1,1,1,0,0.017624,0.242393,0.7292
0,61,1.321767,-0.082842,-0.006630,0.039658,-0.019692,1.325667,0.200072,0.098046,0.098046,0.000000,C-05,1,1,1,0,0.006458,0.324768,0.7292
0,62,1.345766,-0.083022,-0.012669,0.039478,-0.025732,1.349666,0.199989,-0.083507,-0.083507,0.000000,C-06;C-05,1,1,1,0,0.009179,0.316319,0.7083
0,63,1.369763,-0.083174,-0.019364,0.039326,-0.032427,1.373663,0.199968,-0.079467,-0.079467,0.000000,C-05,1,1,1,0,0.015987,0.257157,0.6667
0,64,1.393745,-0.083325,-0.058102,0.039175,-0.071164,1.397645,0.199688,-0.515024,-0.515024,0.000000,C-06;C-05,1,1,1,0,0.020882,0.202033,0.6042
0,65,1.417684,-0.083659,-0.082852,0.038824,-0.133497,1.421622,0.199394,-0.293475,-0.293475,0.000000,C-06;C-05,1,1,1,0,-0.007526,0.295940,0.6250
0,66,1.441609,-0.085527,-0.073267,0.036933,-0.123912,1.445545,0.200108,0.146573,0.146573,0.000000,C-06;C-05,1,1,1,0,0.066795,-0.202636,0.6250
0,67,1.465566,-0.087465,-0.042796,0.034972,-0.093441,1.469500,0.200455,0.395029,0.395029,0.000000,C-06;C-05,1,1,1,0,0.012333,0.131691,0.6667
0,68,1.489547,-0.088625,-0.038536,0.033789,-0.089180,1.493480,0.200055,0.032269,0.032269,0.000000,C-06;C-05,1,1,1,0,0.015621,0.104530,0.7292
0,69,1.509536,-0.089524,-0.028067,0.032445,-0.141477,1.515539,0.200120,0.162643,0.162643,0.000000,C-05,1,1,1,0,0.005729,0.163067,0.7708
0,70,1.533532,-0.090603,0.022832,0.029825,-0.090577,1.539416,0.200161,0.668084,0.668084,0.000000,C-06;C-05,1,1,1,0,0.003295,0.152493,0.7708
0,71,1.557519,-0.090826,0.041815,0.028059,-0.071594,1.563339,0.199831,0.198546,0.198546,0.000000,C-06;C-05,1,1,1,0,0.006493,0.141038,0.7292
0,72,1.581482,-0.090771,0.068886,0.026573,-0.044523,1.587256,0.199543,0.341385,0.341385,0.000000,C-05,1,1,1,0,0.005408,0.134551,0.6875
0,73,1.605395,-0.090540,0.100900,0.025265,-0.012510,1.611134,0.199066,0.402160,0.402160,0.000000,C-05,1,1,1,0,0.000721,0.151857,0.6875
0,74,1.625264,-0.089773,0.127622,0.023170,-0.073922,1.633984,0.198677,0.407634,0.407634,0.000000,C-05,1,1,0,0,0.061937,-0.253671,0.6042
0,75,1.649022,-0.087958,0.156160,0.020505,-0.045384,1.657662,0.198426,0.366825,0.366825,0.000000,C-05,1,1,1,0,0.056365,-0.238184,0.6250
0,76,1.672687,-0.085149,0.178026,0.018836,-0.023518,1.681434,0.198540,0.282520,0.282520,0.000000,C-05,1,1,1,0,-0.003057,0.136672,0.6875
0,77,1.696221,-0.081925,0.217579,0.017598,0.016035,1.705156,0.197210,0.550451,0.550451,0.000000,C-06;C-05,1,1,1,0,-0.002695,0.120230,0.7292
0,78,1.719588,-0.077685,0.242007,0.017391,0.040463,1.728903,0.197910,0.320490,0.320490,0.000000,C-06;C-05,1,1,1,0,0.001558,0.097616,0.7292
0,79,1.738958,-0.073662,0.261406,0.015942,-0.053092,1.750809,0.197788,0.322701,0.322701,0.000000,C-05,1,1,1,0,0.001694,0.094074,0.7500
0,80,1.762038,-0.068467,0.294509,0.013745,-0.019989,1.774365,0.196651,0.475904,0.475904,0.000000,C-06;C-05,1,1,1,0,-0.006945,0.148522,0.7917
0,81,1.784878,-0.062679,0.329679,0.012186,0.015181,1.797876,0.196266,0.507594,0.507594,0.000000,C-05,1,1,1,0,-0.004872,0.129141,0.7292
0,82,1.803728,-0.056933,0.351554,0.011822,0.037056,1.817578,0.197120,0.375392,0.375392,0.000000,C-05,1,1,1,0,-0.005664,0.138336,0.6875
0,83,1.826180,-0.049232,0.370524,0.012202,0.056026,1.841311,0.197838,0.276015,0.276015,0.000000,C-05,1,1,1,0,-0.005250,0.131745,0.6667
0,84,1.848403,-0.041030,0.404901,0.011326,-0.034859,1.866525,0.196283,0.536052,0.536052,0.000000,C-06;C-05,1,1,1,0,-0.027598,0.231303,0.6458
0,85,1.870342,-0.032184,0.429484,0.009973,-0.010276,1.890141,0.197237,0.366808,0.366808,0.000000,C-06;C-05,1,1,1,0,0.046848,-0.224121,0.6042
0,86,1.892052,-0.022685,0.451111,0.009308,0.011351,1.913830,0.197531,0.335945,0.335945,0.000000,C-05,1,1,1,0,0.041293,-0.207520,0.6667
0,87,1.909942,-0.014395,0.476650,0.009179,0.036891,1.933547,0.196553,0.496480,0.496480,0.000000,C-06;C-05,1,1,1,0,-0.006473,0.108615,0.7292
0,88,1.931090,-0.003942,0.508332,0.009617,0.068572,1.957133,0.196716,0.511599,0.511599,0.000000,C-05,1,1,1,0,-0.007230,0.117177,0.7500
0,89,1.951909,0.007383,0.532875,0.009225,-0.032652,1.982053,0.197642,0.397043,0.397043,0.000000,C-05,1,1,1,0,-0.003428,0.095936,0.7708
0,90,1.972432,0.019286,0.557205,0.008290,-0.008322,2.005760,0.197828,0.406640,0.406640,0.000000,C-05,1,1,1,0,-0.011296,0.155928,0.7708
0,91,1.992614,0.031752,0.586817,0.008013,0.021290,2.029479,0.197713,0.508767,0.508767,0.000000,C-05,1,1,1,0,-0.009291,0.137353,0.7292
0,92,2.009136,0.042660,0.610531,0.008379,0.045004,2.049274,0.198161,0.491967,0.491967,0.000000,C-05,1,1,1,0,-0.007227,0.126254,0.6875
0,93,2.028648,0.056370,0.632253,0.009511,0.066726,2.073094,0.198884,0.375875,0.375875,0.000000,C-05,1,1,1,0,-0.006599,0.123103,0.6667
0,94,2.047837,0.070572,0.656381,0.009414,-0.034634,2.098204,0.199112,0.434121,0.434121,0.000000,C-05,1,1,1,0,-0.028427,0.233111,0.6458
0,95,2.063549,0.082828,0.678228,0.008853,-0.012787,2.118122,0.199452,0.478933,0.478933,0.000000,C-05,1,1,1,0,0.044958,-0.218850,0.6250
0,96,2.082050,0.098066,0.702887,0.008813,0.011872,2.142091,0.199979,0.454374,0.454374,0.000000,C-05,1,1,1,0,-0.016126,0.168305,0.6875
0,97,2.100228,0.113799,0.727302,0.009361,0.036287,2.166126,0.200658,0.449317,0.449317,0.000000,C-05,1,1,1,0,-0.006932,0.111970,0.7292
0,98,2.118078,0.130018,0.757385,0.010491,0.066370,2.190218,0.200957,0.541399,0.541399,0.000000,C-05,1,1,1,0,-0.006327,0.109862,0.7500
0,99,2.135349,0.146753,0.786084,0.010368,-0.030480,2.215632,0.200018,0.497426,0.497426,0.000000,C-05,1,1,1,0,-0.003597,0.095175,0.7500
0,100,2.149355,0.161002,0.803628,0.009906,-0.012936,2.235607,0.199635,0.356492,0.356492,0.000000,C-05,1,1,1,0,-0.009570,0.149953,0.7708
0,101,2.165783,0.178363,0.830502,0.009808,0.013938,2.259509,0.198851,0.482763,0.482763,0.000000,C-05,1,1,1,0,-0.006647,0.126830,0.7292
0,102,2.181728,0.196181,0.857899,0.010374,0.041335,2.283412,0.199642,0.499480,0.499480,0.000000,C-05,1,1,1,0,-0.007277,0.132731,0.6875
0,103,2.197230,0.214503,0.880625,0.011608,0.064061,2.307381,0.200220,0.418983,0.418983,0.000000,C-05,1,1,1,0,-0.008850,0.139587,0.6667
0,104,2.212368,0.233209,0.907389,0.011210,-0.035157,2.332915,0.200823,0.491495,0.491495,0.000000,C-05,1,1,1,0,-0.028828,0.237736,0.6458
0,105,2.224680,0.249098,0.929022,0.010602,-0.013525,2.353006,0.201187,0.465030,0.465030,0.000000,C-05,1,1,1,0,0.045989,-0.221952,0.6250
0,106,2.239077,0.268490,0.952604,0.010369,0.010058,2.377157,0.201429,0.414643,0.414643,0.000000,C-05,1,1,1,0,-0.009192,0.132926,0.6875
0,107,2.253096,0.288243,0.981647,0.010654,0.039101,2.401378,0.202268,0.509457,0.509457,0.000000,C-05,1,1,1,0,-0.007759,0.121438,0.7292
0,108,2.264459,0.305008,1.006929,0.011329,0.064382,2.421619,0.202716,0.517732,0.517732,0.000000,C-05,1,1,1,0,-0.004355,0.103025,0.7292
0,109,2.277602,0.325468,1.034846,0.010708,-0.033439,2.447380,0.202801,0.464884,0.464884,0.000000,C-05,1,1,1,0,-0.002703,0.094170,0.7500
0,110,2.290240,0.346261,1.061299,0.009649,-0.006986,2.471689,0.202893,0.433808,0.433808,0.000000,C-05,1,1,1,0,-0.009693,0.150606,0.7500
