episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.000430,-0.114175,-0.046286,0.008228,0.004359,0.003462,0.057981,-0.152032,-0.152032,0.000000,,0,1,1,0,0.011151,-0.033519,0.7708
0,2,0.010656,-0.114638,-0.047769,0.007776,0.002875,0.014548,0.121614,-0.010945,-0.010945,0.000000,,0,1,1,0,0.010368,-0.045236,0.7917
0,3,0.029363,-0.115428,-0.050199,0.007004,0.000446,0.033257,0.185177,-0.030550,-0.030550,0.000000,,0,1,1,0,0.009849,-0.047518,0.7708
0,4,0.049199,-0.116337,-0.052007,0.006114,-0.001363,0.053093,0.199948,-0.026138,-0.026138,0.000000,,0,1,1,0,0.008913,-0.047005,0.7500
0,5,0.073168,-0.117529,-0.049495,0.004945,0.001149,0.077063,0.200002,0.032733,0.032733,0.000000,,0,1,1,0,0.008078,-0.050505,0.7292
0,6,0.093148,-0.118525,-0.039749,0.003969,0.010895,0.097044,0.200085,0.150720,0.150720,0.000000,,0,1,1,0,0.006479,-0.047837,0.6667
0,7,0.113135,-0.119520,-0.032237,0.002980,-0.019175,0.117035,0.200141,0.106053,0.106053,0.000000,,0,1,1,0,0.006194,-0.041286,0.6875
0,8,0.133126,-0.120347,-0.028409,0.002153,-0.015347,0.137026,0.200073,0.051934,0.051934,0.000000,,0,1,1,0,0.006318,-0.035258,0.6875
0,9,0.157116,-0.121096,-0.026961,0.001404,-0.013898,0.161017,0.200018,0.015550,0.015550,0.000000,,0,1,1,0,0.005189,-0.027601,0.7292
0,10,0.181108,-0.121817,-0.025203,0.000683,-0.012141,0.185008,0.200024,0.021406,0.021406,0.000000,,0,1,1,0,0.004059,-0.022204,0.7292
0,11,0.201102,-0.122346,-0.025525,0.000154,-0.012463,0.203900,0.200004,-0.005725,-0.005725,0.000000,,0,1,1,0,0.004252,-0.025368,0.7917
0,12,0.221096,-0.122873,-0.024451,-0.000373,-0.024259,0.224996,0.200009,0.016315,0.016315,0.000000,,0,1,1,0,0.003546,-0.024951,0.7917
0,13,0.245089,-0.123504,-0.022021,-0.001004,-0.021828,0.248989,0.200020,0.029741,0.029741,0.000000,,0,1,1,0,0.002857,-0.022718,0.7708
0,14,0.269085,-0.124136,-0.015203,-0.001636,-0.015011,0.272985,0.200045,0.083261,0.083261,0.000000,,0,1,1,0,0.003134,-0.025338,0.7083
0,15,0.289084,-0.124662,-0.003407,-0.002162,-0.003214,0.292984,0.200068,0.175119,0.175119,0.000000,,0,1,1,0,0.002587,-0.018320,0.7083
0,16,0.309084,-0.125189,0.008553,-0.002689,0.008553,0.312984,0.200063,0.168952,0.168952,0.000000,,0,1,1,0,0.001990,-0.006449,0.6667
0,17,0.329082,-0.125325,0.014793,-0.002825,0.014793,0.332982,0.199980,0.083573,0.083573,0.000000,,0,1,1,0,0.003988,-0.002697,0.6875
0,18,0.353080,-0.124983,0.010365,-0.002483,0.010365,0.356980,0.200012,-0.060531,-0.060531,0.000000,,0,1,1,0,0.003177,0.012468,0.6875
0,19,0.377079,-0.124619,0.004822,-0.002119,0.004822,0.380979,0.200020,-0.065853,-0.065853,0.000000,,0,1,1,0,0.003284,0.012674,0.7292
0,20,0.397079,-0.124408,0.002396,-0.001908,0.002396,0.400979,0.200008,-0.031974,-0.031974,0.000000,,0,1,1,0,0.003124,0.009266,0.7500
0,21,0.417079,-0.124241,-0.000001,-0.001741,-0.000001,0.420979,0.200005,-0.034039,-0.034039,0.000000,,0,1,1,0,0.003508,0.003362,0.7917
0,22,0.437079,-0.124197,0.001483,-0.001697,0.001483,0.440979,0.200000,0.024645,0.024645,0.000000,,0,1,1,0,0.003305,0.002616,0.7708
0,23,0.461079,-0.124152,0.009086,-0.001652,0.009086,0.464979,0.199993,0.093092,0.093092,0.000000,,0,1,1,0,0.003695,-0.000027,0.7292
0,24,0.481077,-0.124114,0.017884,-0.001614,0.017884,0.484977,0.199970,0.127520,0.127520,0.000000,,0,1,1,0,0.005071,0.003053,0.7292
0,25,0.501073,-0.123966,0.022401,-0.001466,0.022401,0.503900,0.199960,0.060659,0.060659,0.000000,,0,1,1,0,0.006423,0.008816,0.7083
0,26,0.521066,-0.123765,0.028794,-0.001265,0.028794,0.524966,0.199929,0.093930,0.093930,0.000000,,0,1,1,0,0.006056,0.017516,0.7083
