episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.000968,-0.102495,0.012135,0.020053,0.125545,8.792361,0.053266,-0.306478,-0.306478,0.000000,,0,1,1,0,0.027720,0.035375,0.7500
0,2,0.009555,-0.102374,0.012191,0.020039,0.062836,0.013436,0.116866,0.014823,0.014823,0.000000,C-06,0,1,1,0,0.027196,0.017398,0.7292
0,3,0.027706,-0.102129,0.021996,0.020302,0.072641,0.031586,0.180440,0.123685,0.123685,0.000000,,0,1,1,0,0.026614,0.011643,0.7500
0,4,0.047430,-0.101742,0.019005,0.020707,0.069650,0.051310,0.200002,-0.054506,-0.054506,0.000000,C-06,0,1,1,0,0.027518,0.019404,0.7292
0,5,0.071427,-0.101272,0.010933,0.021201,0.061578,0.075307,0.200026,-0.098689,-0.098689,0.000000,,0,1,1,0,0.027612,0.020675,0.6667
0,6,0.091427,-0.100880,0.001163,0.021612,0.051807,0.095306,0.200038,-0.141265,-0.141265,0.000000,,0,1,1,0,0.027658,0.013949,0.6875
0,7,0.111427,-0.100541,-0.005459,0.021959,0.007603,0.115327,0.200017,-0.090644,-0.090644,0.000000,,0,1,1,0,0.026736,0.008809,0.6250
0,8,0.135426,-0.100656,0.001177,0.021844,0.014239,0.139326,0.200003,0.087101,0.087101,0.000000,C-06,0,1,1,0,0.026730,-0.000898,0.6458
0,9,0.155426,-0.100769,0.008090,0.021731,0.021152,0.159326,0.199997,0.098640,0.098640,0.000000,,0,1,1,0,0.027132,0.002130,0.6875
0,10,0.179424,-0.100904,0.020913,0.021596,0.033975,0.183324,0.199962,0.156004,0.156004,0.000000,,0,1,1,0,0.027556,0.009309,0.6875
0,11,0.199418,-0.100684,0.025105,0.021816,0.038167,0.203318,0.199956,0.054932,0.054932,0.000000,,0,1,1,0,0.028085,0.020242,0.7500
0,12,0.219412,-0.100203,0.025202,0.022297,0.025394,0.223312,0.199998,-0.002635,-0.002635,0.000000,,0,1,1,0,0.028701,0.026250,0.7500
0,13,0.239406,-0.099707,0.022725,0.022793,0.022917,0.243306,0.200009,-0.038110,-0.038110,0.000000,,0,1,1,0,0.029046,0.028067,0.7292
0,14,0.263399,-0.099162,0.024955,0.023338,0.025147,0.267299,0.199989,0.030347,0.030347,0.000000,,0,1,1,0,0.029532,0.025863,0.6875
0,15,0.283394,-0.098676,0.022700,0.023824,0.022892,0.287294,0.200007,-0.035326,-0.035326,0.000000,,0,1,1,0,0.030792,0.022198,0.6458
0,16,0.303390,-0.098189,0.013209,0.024311,0.013209,0.307290,0.200040,-0.143705,-0.143705,0.000000,,0,1,1,0,0.030575,0.026470,0.6250
0,17,0.323389,-0.097701,0.005769,0.024799,0.005769,0.327289,0.200056,-0.103346,-0.103346,0.000000,,0,1,1,0,0.030381,0.021577,0.6250
0,18,0.347388,-0.097544,0.017784,0.024956,0.017784,0.351288,0.199974,0.160102,0.160102,0.000000,C-06,0,1,1,0,0.030820,0.008519,0.6458
0,19,0.371380,-0.097410,0.031795,0.025090,0.031795,0.375280,0.199906,0.167987,0.167987,0.000000,,0,1,1,0,0.032308,0.012801,0.6875
0,20,0.391371,-0.096812,0.025929,0.025688,0.025929,0.395271,0.200030,-0.103130,-0.103130,0.000000,C-06,0,1,1,0,0.032359,0.028408,0.6875
0,21,0.411364,-0.096295,0.028336,0.026205,0.028336,0.415264,0.199985,0.045639,0.045639,0.000000,,0,1,1,0,0.032988,0.030105,0.7292
0,22,0.431352,-0.095786,0.042317,0.026714,0.042317,0.435252,0.199893,0.218605,0.218605,0.000000,C-06,0,1,1,0,0.033242,0.029560,0.7292
0,23,0.455326,-0.095046,0.049012,0.027454,0.049012,0.459227,0.199877,0.073872,0.073872,0.000000,,0,1,1,0,0.035061,0.035882,0.6667
0,24,0.475310,-0.094079,0.029180,0.028421,0.029180,0.479210,0.200150,-0.329159,-0.329159,0.000000,C-06,0,1,1,0,0.037005,0.046810,0.6250
0,25,0.495304,-0.093098,0.018861,0.029402,0.018861,0.499204,0.200190,-0.136184,-0.136184,0.000000,C-06,0,1,1,0,0.037080,0.027142,0.6458
0,26,0.515301,-0.092537,0.015135,0.029963,0.015135,0.519201,0.200044,-0.050535,-0.050535,0.000000,,0,1,1,0,0.037501,0.013821,0.6250
0,27,0.539297,-0.092145,0.022061,0.030355,0.022061,0.543197,0.199978,0.091032,0.091032,0.000000,,0,1,1,0,0.037263,0.011840,0.6458
0,28,0.563289,-0.091764,0.029406,0.030736,0.029406,0.567189,0.199941,0.087812,0.087812,0.000000,,0,1,1,0,0.038096,0.017170,0.6458
0,29,0.583280,-0.091306,0.032195,0.031194,0.032195,0.587180,0.199957,0.037189,0.037189,0.000000,,0,1,1,0,0.038608,0.024205,0.6667
