episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.000851,-0.133357,-0.033698,-0.010954,0.016947,0.003060,0.057485,-0.969852,-0.969852,0.000000,,0,1,1,0,-0.003320,0.030503,0.7917
0,2,0.010153,-0.133521,-0.100619,-0.011107,-0.049975,0.014064,0.120541,-0.089850,-0.819852,-0.730002,C-06,0,1,1,0,-0.006636,-0.013684,0.7917
0,3,0.028661,-0.133815,-0.153426,-0.011384,-0.102781,0.032572,0.182650,0.865447,-0.669852,-1.535298,C-06,0,1,1,0,-0.011207,-0.073885,0.7500
0,4,0.048215,-0.135364,-0.187091,-0.012914,-0.136446,0.052127,0.197541,1.000000,-0.519852,-1.519852,C-06,0,1,1,0,-0.014932,-0.154623,0.6458
0,5,0.071729,-0.138686,-0.215324,-0.016213,-0.164680,0.075644,0.197837,1.000000,-0.369852,-1.369852,C-06,0,1,1,0,-0.021606,-0.179108,0.6458
0,6,0.091235,-0.142384,-0.229300,-0.019892,-0.178656,0.095155,0.198568,1.000000,-0.219852,-1.219852,C-06,0,1,1,0,-0.025730,-0.207127,0.6667
0,7,0.110700,-0.146737,-0.234118,-0.024237,-0.221056,0.114600,0.199515,1.000000,-0.069852,-1.069852,C-06,0,1,1,0,-0.031641,-0.218567,0.6458
0,8,0.134058,-0.152294,-0.228857,-0.029794,-0.215795,0.137958,0.200226,1.000000,0.080148,-0.919852,C-06,0,1,1,0,-0.036126,-0.230061,0.6042
0,9,0.153565,-0.156935,-0.215293,-0.034435,-0.202231,0.157465,0.200787,1.000000,0.230148,-0.769852,C-06,0,1,1,0,-0.036822,-0.251888,0.6042
0,10,0.177077,-0.162504,-0.187527,-0.040004,-0.174465,0.180977,0.201853,1.000000,0.380148,-0.619852,C-06,0,1,1,0,-0.045508,-0.220180,0.6042
0,11,0.196783,-0.167146,-0.154546,-0.044646,-0.141484,0.200683,0.202937,1.000000,0.530148,-0.469852,C-06,0,1,1,0,-0.052856,-0.180285,0.6042
0,12,0.216603,-0.171787,-0.111130,-0.049287,-0.110938,0.220503,0.204059,1.000000,0.680148,-0.319852,C-06,0,1,1,0,-0.051970,-0.164043,0.6042
0,13,0.236529,-0.176406,-0.056277,-0.053906,-0.056084,0.240429,0.204634,1.000000,0.830148,-0.169852,C-06,0,1,1,0,-0.052792,-0.126231,0.6042
0,14,0.260519,-0.181155,0.015162,-0.058655,0.015355,0.264419,0.202780,0.855988,0.855988,0.000000,,0,1,1,0,-0.054943,-0.068028,0.6250
0,15,0.280501,-0.183268,0.064509,-0.060768,0.064701,0.284401,0.200229,0.373908,0.705988,0.332080,C-06,0,1,1,0,-0.053865,-0.013822,0.6458
0,16,0.300430,-0.183786,0.102433,-0.061286,0.102626,0.303900,0.198995,-0.215916,0.555988,0.771904,C-06,0,1,1,0,-0.053141,0.042608,0.6667
0,17,0.320294,-0.183007,0.129720,-0.060507,0.129720,0.324194,0.198651,-0.995970,0.405988,1.401958,C-06,0,1,1,0,-0.050122,0.080128,0.6458
0,18,0.344058,-0.180786,0.150102,-0.058286,0.150102,0.347958,0.198858,-1.000000,0.255988,1.255988,C-06,0,1,1,0,-0.048507,0.116974,0.6667
0,19,0.367772,-0.177566,0.158828,-0.055066,0.158828,0.371672,0.199451,-1.000000,0.105988,1.105988,C-06,0,1,1,0,-0.043080,0.142665,0.6875
0,20,0.387522,-0.174437,0.156719,-0.051937,0.156719,0.391422,0.200046,-1.000000,-0.044012,0.955988,C-06,0,1,1,0,-0.042122,0.164328,0.7292
0,21,0.407294,-0.171283,0.145045,-0.048783,0.145045,0.411194,0.200378,-1.000000,-0.194012,0.805988,C-06,0,1,1,0,-0.037247,0.156695,0.7292
0,22,0.427112,-0.168129,0.123631,-0.045629,0.123631,0.431012,0.200934,-1.000000,-0.344012,0.655988,C-06,0,1,1,0,-0.034385,0.146780,0.7917
0,23,0.450978,-0.164344,0.085277,-0.041844,0.085277,0.454878,0.201723,-0.994669,-0.494012,0.500657,C-06,0,1,1,0,-0.032509,0.131135,0.7708
0,24,0.470924,-0.161524,0.061352,-0.039024,0.061352,0.474824,0.201314,-0.241298,-0.344012,-0.102714,C-06,0,1,1,0,-0.030026,0.082654,0.7292
0,25,0.490894,-0.159626,0.047450,-0.037126,0.047450,0.494794,0.200529,0.320458,-0.194012,-0.514470,C-06,0,1,1,0,-0.028634,0.057139,0.7292
0,26,0.510874,-0.158504,0.043799,-0.036004,0.043799,0.514774,0.200086,0.636227,-0.044012,-0.680240,C-06,0,1,1,0,-0.027908,0.042207,0.6875
0,27,0.534847,-0.157428,0.051760,-0.034928,0.051760,0.538747,0.199934,0.642216,0.105988,-0.536228,C-06,0,1,1,0,-0.027380,0.039510,0.6875
0,28,0.558801,-0.156362,0.071805,-0.033862,0.071805,0.562701,0.199696,0.513825,0.255988,-0.257837,C-06,0,1,1,0,-0.026061,0.044521,0.6875
0,29,0.578740,-0.155451,0.084070,-0.032951,0.084070,0.582640,0.199547,0.176820,0.176820,0.000000,,0,1,1,0,-0.024319,0.059148,0.7500
0,30,0.602652,-0.153555,0.086832,-0.031055,0.086832,0.603900,0.199913,-0.140510,0.026820,0.167330,C-06,0,1,1,0,-0.022748,0.077299,0.7292
0,31,0.626570,-0.151493,0.077691,-0.028993,0.077691,0.630470,0.200132,-0.540518,-0.123180,0.417339,C-06,0,1,1,0,-0.020404,0.088004,0.7500
0,32,0.650515,-0.149426,0.056421,-0.026926,0.056421,0.654415,0.200412,-0.432345,-0.273180,0.159165,C-06,0,1,1,0,-0.020749,0.092119,0.7708
0,33,0.674484,-0.147605,0.045668,-0.025105,0.045668,0.678384,0.200291,-0.076756,-0.123180,-0.046423,C-06,0,1,1,0,-0.020002,0.071044,0.7292
0,34,0.698458,-0.146486,0.047343,-0.023986,0.047343,0.702358,0.199985,0.202714,0.026820,-0.175893,C-06,0,1,1,0,-0.024553,0.094774,0.7708
0,35,0.718430,-0.145574,0.058599,-0.023074,0.058599,0.722330,0.199873,0.261443,0.176820,-0.084623,C-06,0,1,1,0,-0.016800,0.049192,0.6667
0,36,0.742377,-0.144480,0.073977,-0.021980,0.073977,0.746277,0.199672,0.189926,0.189926,0.000000,,0,1,1,0,-0.020164,0.085613,0.6875
0,37,0.766308,-0.142864,0.077712,-0.020364,0.077712,0.770208,0.199886,-0.150436,0.039926,0.190362,C-06,0,1,1,0,-0.011770,0.070548,0.7083
0,38,0.790242,-0.141014,0.069353,-0.018514,0.069353,0.794143,0.200112,-0.294724,-0.110074,0.184650,C-06,0,1,1,0,-0.016848,0.117803,0.7500
0,39,0.810204,-0.139467,0.053849,-0.016967,0.053849,0.814104,0.200298,-0.238094,-0.238094,0.000000,,0,1,1,0,-0.010728,0.085793,0.7917
0,40,0.834174,-0.137843,0.045877,-0.015343,0.045877,0.838074,0.200196,0.043164,-0.088094,-0.131258,C-06,0,1,1,0,-0.017748,0.118944,0.8125
0,41,0.858147,-0.136730,0.050292,-0.014230,0.050292,0.862047,0.199957,0.109467,0.061906,-0.047561,C-06,0,1,1,0,-0.016535,0.113428,0.7917
0,42,0.882112,-0.135637,0.057121,-0.013137,0.057121,0.886012,0.199885,0.084485,0.084485,0.000000,,0,1,1,0,-0.023197,0.164213,0.7292
0,43,0.902080,-0.134503,0.057000,-0.012003,0.057000,0.903900,0.200005,-0.007357,-0.007357,0.000000,,0,1,1,0,-0.026885,0.205474,0.7083
0,44,0.926041,-0.133125,0.056199,-0.010625,0.056199,0.929941,0.200014,-0.009884,-0.009884,0.000000,,0,1,1,0,-0.038385,0.258928,0.6875
0,45,0.950002,-0.131746,0.057948,-0.009246,0.057948,0.953902,0.199995,0.023070,0.023070,0.000000,,0,1,1,0,-0.021532,0.182321,0.7083
0,46,0.973958,-0.130368,0.062947,-0.007868,0.062947,0.977859,0.199937,0.063396,0.063396,0.000000,,0,1,1,0,-0.027375,0.237185,0.7708
0,47,0.997909,-0.128970,0.065586,-0.006470,0.065586,1.001809,0.199924,0.030815,0.030815,0.000000,,0,1,1,0,-0.020596,0.214796,0.7708
0,48,1.017865,-0.127703,0.066511,-0.005203,0.066511,1.021765,0.199968,0.012563,0.012563,0.000000,,0,1,1,0,-0.023795,0.251703,0.8125
0,49,1.041812,-0.126139,0.067186,-0.003639,0.067186,1.045712,0.199979,0.008046,0.008046,0.000000,,0,1,1,0,-0.023676,0.265439,0.8125
0,50,1.065757,-0.124532,0.067271,-0.002032,0.067271,1.069657,0.199998,0.000618,0.000618,0.000000,,0,1,1,0,-0.034032,0.348355,0.8333
0,51,1.070798,-0.124256,0.067273,-0.001756,0.067273,1.074698,0.000000,-0.102217,-0.588229,-0.486012,C-02;C-05,1,1,1,0,-0.008909,0.588229,0.7292
