episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.837409,-1.622484,0.249907,0.000016,0.249907,2.001527,0.037259,-0.265709,-0.265709,0.000000,,0,0,0,1,1,0,0.043851,0.273836,0.5833,-0.0366,0.2667,3,ok
0,2,-0.828912,-1.621418,0.229912,0.001082,0.229912,2.010024,0.100422,-0.275628,-0.275628,0.000000,,0,0,0,1,1,0,0.044670,0.254472,0.5833,-0.0618,0.2701,3,ok
0,3,-0.812928,-1.618837,0.210657,0.003663,0.210657,2.026007,0.164080,-0.260638,-0.260638,0.000000,,0,0,0,1,1,0,0.043538,0.246636,0.5833,-0.0613,0.2709,3,ok
0,4,-0.794263,-1.615975,0.191768,0.006525,0.191768,2.044673,0.198511,-0.307818,-0.307818,0.000000,,0,0,0,1,1,0,0.040757,0.222807,0.6042,-0.0388,0.2673,3,ok
0,5,-0.770659,-1.612424,0.171744,0.010076,0.171744,2.068277,0.199236,-0.263725,-0.263725,0.000000,,0,0,0,1,1,0,0.043010,0.195492,0.6042,-0.0680,0.2705,3,ok
0,6,-0.750927,-1.609465,0.156145,0.013035,0.156145,2.085135,0.199744,-0.244089,-0.244089,0.000000,,0,0,0,1,1,0,0.042967,0.178924,0.5625,-0.0519,0.2693,3,ok
0,7,-0.731137,-1.606506,0.132389,0.015994,0.132389,2.107798,0.200410,-0.381086,-0.381086,0.000000,,0,0,0,1,1,0,0.041113,0.171794,0.5625,-0.0093,0.2710,3,ok
0,8,-0.707315,-1.602955,0.111718,0.019545,0.111718,2.131620,0.200924,-0.256183,-0.256183,0.000000,,0,0,0,1,1,0,0.044486,0.138903,0.6250,-0.0530,0.2679,3,ok
0,9,-0.687422,-1.600046,0.095466,0.022454,0.095466,2.151513,0.200651,-0.088352,-0.106183,-0.017831,C-06,0,0,0,1,1,0,0.043967,0.114646,0.6875,-0.0280,0.2689,3,ok
0,10,-0.663528,-1.597610,0.092137,0.024890,0.092137,2.175408,0.200142,-0.038882,-0.038882,0.000000,,0,0,0,1,1,0,0.046340,0.094167,0.6667,-0.0611,0.2686,3,ok
0,11,-0.643603,-1.595624,0.080516,0.026876,0.080516,2.195332,0.200327,-0.188961,-0.188882,0.000079,C-06,0,0,0,1,1,0,0.047407,0.091587,0.6458,-0.0508,0.2681,3,ok
