episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.837035,-1.549187,0.169790,0.073313,0.169790,2.001901,0.042074,0.173288,0.173288,0.000000,,0,0,0,1,1,0,0.106810,0.159654,0.5000,-0.0367,0.2673,3,ok
0,2,-0.827926,-1.548268,0.183073,0.074232,0.183073,2.011009,0.105355,0.175718,0.175718,0.000000,,0,0,0,1,1,0,0.106907,0.159661,0.5000,-0.0371,0.2672,3,ok
0,3,-0.811346,-1.545813,0.197102,0.076687,0.197102,2.027589,0.168773,0.187615,0.187615,0.000000,,0,0,0,1,1,0,0.108346,0.175383,0.4375,-0.0227,0.2651,3,ok
0,4,-0.792483,-1.542841,0.218798,0.079659,0.218798,2.046452,0.197837,0.364029,0.364029,0.000000,C-06,0,0,0,1,1,0,0.114726,0.197495,0.4792,-0.0475,0.2670,3,ok
0,5,-0.769128,-1.538672,0.245558,0.083828,0.245558,2.069808,0.197625,0.366404,0.366404,0.000000,C-03,0,0,0,1,1,0,0.122416,0.212177,0.4167,-0.0593,0.2710,3,ok
0,6,-0.749778,-1.534616,0.266020,0.087884,0.266020,2.089157,0.197657,0.340050,0.340050,0.000000,C-03,0,0,0,1,1,0,0.124702,0.233064,0.3750,-0.0300,0.2602,3,ok
0,7,-0.730521,-1.529897,0.280176,0.092603,0.280176,2.108415,0.198319,0.230053,0.230053,0.000000,C-03,0,0,0,1,1,0,0.132715,0.255441,0.3750,-0.0279,0.2617,3,ok
0,8,-0.707527,-1.523950,0.301227,0.098550,0.301227,2.131409,0.197748,0.303559,0.303559,0.000000,C-03,0,0,0,1,1,0,0.136213,0.267349,0.3542,-0.0240,0.2613,3,ok
0,9,-0.688480,-1.518635,0.318603,0.103865,0.318603,2.150456,0.197983,0.264005,0.264005,0.000000,C-03,0,0,0,1,0,0,-0.132690,0.278805,0.6042,-0.0066,0.2683,2,ok
0,10,-0.665785,-1.511827,0.344466,0.110673,0.344466,2.173151,0.197065,0.384776,0.384776,0.000000,C-03;C-05,1,0,0,1,0,1,-0.117594,0.313341,0.6458,-0.0324,0.2701,2,ok
0,11,-0.647006,-1.505489,0.357355,0.117011,0.357355,2.191930,0.198300,0.215505,0.215505,0.000000,C-06;C-03;C-05,1,0,0,1,0,1,-0.109602,0.337098,0.6875,-0.0302,0.2698,2,ok
0,12,-0.628319,-1.498933,0.371889,0.123567,0.371889,2.210616,0.197938,0.262740,0.262740,0.000000,C-03;C-05,1,0,0,1,0,1,-0.101276,0.350963,0.6875,-0.0403,0.2688,2,ok
0,13,-0.609735,-1.492067,0.385168,0.130433,0.385168,2.229200,0.198136,0.237187,0.237187,0.000000,C-03;C-05,1,0,0,1,0,1,-0.093471,0.362709,0.6458,-0.0190,0.2685,2,ok
0,14,-0.587497,-1.483126,0.384753,0.139374,0.384753,2.251439,0.199905,-0.023860,-0.023860,0.000000,C-06;C-05,1,0,0,1,1,0,-0.084586,0.380595,0.6667,-0.0277,0.2684,2,ok
0,15,-0.568943,-1.475643,0.380225,0.146857,0.380225,2.269992,0.200205,-0.087039,-0.087039,0.000000,C-05,1,0,0,1,1,0,-0.076178,0.382847,0.6458,-0.0236,0.2691,2,ok
0,16,-0.550367,-1.468198,0.379208,0.154302,0.379208,2.288568,0.200119,-0.014674,-0.014674,0.000000,C-05,1,0,0,1,1,0,-0.068040,0.378671,0.6875,-0.0286,0.2690,2,ok
0,17,-0.531777,-1.460763,0.375961,0.161737,0.375961,2.307159,0.200326,-0.061333,-0.061333,0.000000,C-05,1,0,0,1,1,0,-0.060406,0.377769,0.7500,-0.0281,0.2690,2,ok
0,18,-0.509434,-1.451846,0.371616,0.170654,0.371616,2.329501,0.200535,-0.065233,-0.065233,0.000000,C-05,1,0,0,1,1,0,-0.053061,0.373873,0.7500,-0.0058,0.2678,2,ok
0,19,-0.487024,-1.443020,0.359911,0.179480,0.359911,2.351911,0.201068,-0.181865,-0.181865,0.000000,C-05,1,0,0,1,1,0,-0.039484,0.367660,0.7500,-0.0609,0.2704,2,ok
