episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.836102,-1.613148,0.389366,0.009352,0.389366,2.002833,0.053426,0.117442,0.117442,0.000000,,0,0,0,1,1,0,0.069572,0.379286,0.4375,-0.0314,0.2645,3,ok
0,2,-0.828393,-1.610242,0.397102,0.012258,0.397102,2.010542,0.106215,0.142278,0.142278,0.000000,,0,0,0,1,1,0,0.068334,0.392026,0.4375,-0.0166,0.2610,3,ok
0,3,-0.812720,-1.603790,0.401532,0.018710,0.401532,2.026215,0.170427,0.062559,0.062559,0.000000,,0,0,0,1,1,0,0.072231,0.391067,0.3958,-0.0322,0.2630,3,ok
0,4,-0.794940,-1.596396,0.407414,0.026104,0.407414,2.043995,0.199123,0.111198,0.111198,0.000000,,0,0,0,1,1,0,0.077343,0.395600,0.4167,-0.0365,0.2632,3,ok
0,5,-0.772989,-1.586985,0.425918,0.035515,0.425918,2.065946,0.198403,0.297249,0.297249,0.000000,C-06,0,0,0,1,0,0,-0.195553,0.377848,0.5208,-0.0819,0.2628,2,ok
0,6,-0.754824,-1.578997,0.437190,0.043503,0.437190,2.084111,0.198462,0.202965,0.202965,0.000000,C-05,1,0,0,1,0,1,-0.186995,0.419726,0.5000,-0.0155,0.2673,2,ok
0,7,-0.736745,-1.570757,0.446503,0.051743,0.446503,2.102191,0.198706,0.172608,0.172608,0.000000,C-05,1,0,0,1,0,1,-0.173985,0.431016,0.5000,-0.0787,0.2713,2,ok
0,8,-0.715156,-1.560640,0.457816,0.061860,0.457816,2.123779,0.198689,0.178135,0.178135,0.000000,C-05,1,0,0,1,0,1,-0.167094,0.443456,0.5833,-0.0206,0.2685,2,ok
0,9,-0.693688,-1.550259,0.470023,0.072241,0.470023,2.145247,0.198726,0.266870,0.266870,0.000000,C-05,1,0,0,1,0,1,-0.155552,0.445132,0.6458,-0.0383,0.2681,2,ok
0,10,-0.675919,-1.541459,0.483545,0.081041,0.483545,2.163017,0.198210,0.257709,0.257709,0.000000,C-02;C-01;C-05,1,1,0,1,1,0,-0.143660,0.449838,0.6667,-0.0756,0.2676,2,ok
0,11,-0.658273,-1.532417,0.496609,0.090083,0.496609,2.180663,0.198307,0.251927,0.251927,0.000000,C-02;C-01;C-05,1,1,0,1,1,0,-0.134957,0.467052,0.6250,-0.0215,0.2651,2,ok
0,12,-0.640733,-1.523053,0.505607,0.099447,0.505607,2.198203,0.198893,0.168225,0.168225,0.000000,C-02;C-01;C-05,1,1,0,1,1,0,-0.122719,0.480328,0.6667,-0.0658,0.2684,2,ok
0,13,-0.619776,-1.511534,0.512362,0.110966,0.512362,2.219159,0.199320,0.105375,0.105375,0.000000,C-02;C-01;C-05,1,1,0,1,1,0,-0.118136,0.493385,0.6667,-0.0515,0.2690,2,ok
0,14,-0.602359,-1.501774,0.515120,0.120726,0.515120,2.235335,0.199678,0.050264,0.050264,0.000000,C-02;C-05,1,1,0,1,1,0,-0.095047,0.507459,0.6667,-0.0460,0.2659,2,ok
0,15,-0.584979,-1.491977,0.520282,0.130523,0.520282,2.253957,0.199336,0.105596,0.105596,0.000000,C-02;C-05,1,1,0,1,1,0,-0.084098,0.513141,0.6458,-0.0283,0.2685,2,ok
0,16,-0.567637,-1.482067,0.522433,0.140433,0.522433,2.271299,0.199765,0.037621,0.037621,0.000000,C-02;C-05,1,1,0,1,1,0,-0.070017,0.517836,0.7292,-0.0779,0.2715,2,ok
