episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.836152,1.440039,-0.006768,0.008339,-0.006768,2.002784,0.051679,0.027212,0.027212,0.000000,,0,0,0,1,1,0,-0.002532,-0.009051,0.7083,0.0383,0.2693,2,ok
0,2,-0.825817,1.440141,-0.004114,0.008441,-0.004114,2.013119,0.115277,0.031694,0.031694,0.000000,,0,0,0,1,1,0,-0.002324,-0.008465,0.7083,0.0372,0.2686,2,ok
0,3,-0.811375,1.440261,-0.001290,0.008561,-0.001290,2.027561,0.168281,0.040584,0.040584,0.000000,,0,0,0,1,1,0,-0.001903,-0.005812,0.7292,0.0423,0.2672,2,ok
0,4,-0.788172,1.440478,0.002808,0.008778,0.002808,2.050763,0.200008,0.048745,0.048745,0.000000,,0,0,0,1,1,0,-0.002022,-0.001619,0.6667,0.0473,0.2657,2,ok
0,5,-0.768172,1.440670,0.009276,0.008970,0.009276,2.070763,0.200001,0.094665,0.094665,0.000000,,0,0,0,1,1,0,-0.001378,-0.001470,0.6875,0.0408,0.2659,2,ok
0,6,-0.748175,1.440861,0.021792,0.009161,0.021792,2.090761,0.199965,0.186052,0.186052,0.000000,,0,0,0,1,1,0,0.000012,0.005401,0.7500,0.0389,0.2672,2,ok
0,7,-0.728184,1.441053,0.037752,0.009353,0.037752,2.110752,0.199873,0.234058,0.234058,0.000000,,0,0,0,1,1,0,0.001678,0.014074,0.7917,0.0306,0.2678,2,ok
0,8,-0.704205,1.441631,0.045434,0.009931,0.045434,2.134730,0.199876,0.007990,0.084058,0.076068,C-06,0,0,0,1,1,0,0.003141,0.030522,0.7917,0.0423,0.2676,2,ok
0,9,-0.680234,1.442464,0.051158,0.010764,0.051158,2.158702,0.199966,0.017352,0.017352,0.000000,,0,0,0,1,1,0,0.005164,0.044938,0.7708,0.0582,0.2659,2,ok
0,10,-0.660256,1.443451,0.042665,0.011751,0.042665,2.178680,0.200058,-0.185713,-0.132648,0.053065,C-06,0,0,0,1,1,0,0.006779,0.049457,0.7292,0.0518,0.2665,2,ok
