episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-2.829922,-1.616965,-0.263204,0.001910,0.041971,19.992133,0.043067,-0.017324,-0.017324,0.000000,,0,0,0,1,1,0,0.015642,-0.208676,0.6667,0.2049,0.2508,2,ok
0,2,-2.820928,-1.619311,-0.264998,0.001908,-0.000601,0.011266,0.106604,-0.025603,-0.025603,0.000000,,0,0,0,1,1,0,0.015892,-0.210276,0.6667,0.2005,0.2505,2,ok
0,3,-2.804570,-1.623729,-0.264825,0.001929,-0.000428,0.028210,0.170361,0.004422,0.004422,0.000000,,0,0,0,1,1,0,0.015260,-0.214398,0.6458,0.1930,0.2507,2,ok
0,4,-2.785915,-1.628393,-0.256363,0.002316,0.008034,0.047436,0.199088,0.424391,0.154422,-0.269969,C-06,0,0,0,1,1,0,0.008244,-0.220481,0.6250,0.3524,0.2586,2,ok
0,5,-2.762639,-1.634044,-0.235111,0.002078,-0.013435,0.071500,0.200072,0.561547,0.304422,-0.257125,C-06,0,0,0,1,1,0,0.013563,-0.229593,0.6458,0.1755,0.2483,2,ok
0,6,-2.743131,-1.638753,-0.208077,0.001682,0.013599,0.091564,0.201211,0.614361,0.454422,-0.159938,C-06,0,0,0,1,1,0,0.005680,-0.221554,0.6667,0.3787,0.2593,2,ok
0,7,-2.723512,-1.643463,-0.182438,0.001309,0.039238,0.108761,0.202190,0.408321,0.408321,0.000000,,0,0,0,1,1,0,0.006024,-0.203155,0.7500,0.3558,0.2610,2,ok
0,8,-2.699854,-1.648945,-0.155104,-0.000079,0.024032,0.136041,0.202313,0.356518,0.356518,0.000000,,0,0,0,1,1,0,0.008003,-0.194596,0.7500,0.3130,0.2629,2,ok
0,9,-2.680060,-1.653066,-0.132391,-0.000679,0.046745,0.156250,0.201874,0.038798,0.206518,0.167720,C-06,0,0,0,1,1,0,0.008207,-0.157542,0.7292,0.2762,0.2665,2,ok
0,10,-2.656262,-1.656451,-0.127294,-0.000508,0.013059,0.180267,0.200272,-0.122072,0.056518,0.178589,C-06,0,0,0,1,1,0,0.009144,-0.136963,0.7292,0.2318,0.2637,2,ok
0,11,-2.636410,-1.659192,-0.115743,-0.000528,0.024611,0.200307,0.200528,0.188280,0.188280,0.000000,,0,0,0,1,1,0,0.008333,-0.137232,0.7500,0.2110,0.2635,2,ok
0,12,-2.616532,-1.661929,-0.104970,-0.000541,0.035384,0.218211,0.200731,0.161944,0.161944,0.000000,,0,0,0,1,1,0,0.007894,-0.136830,0.7083,0.1947,0.2635,2,ok
0,13,-2.596629,-1.664603,-0.092089,-0.001254,0.014287,0.240424,0.200832,0.196075,0.196075,0.000000,,0,0,0,1,1,0,0.006702,-0.132406,0.6875,0.2252,0.2656,2,ok
0,14,-2.572720,-1.667279,-0.081748,-0.001489,0.024628,0.264481,0.200454,0.124726,0.124726,0.000000,,0,0,0,1,1,0,0.006563,-0.129700,0.6667,0.2175,0.2659,2,ok
0,15,-2.552787,-1.668946,-0.082721,-0.001493,-0.006914,0.284441,0.199986,-0.059258,-0.025274,0.033983,C-06,0,0,0,1,1,0,0.007391,-0.124326,0.6250,0.1575,0.2665,2,ok
0,16,-2.532857,-1.670580,-0.085425,-0.001706,-0.009619,0.304436,0.199942,-0.041389,-0.041389,0.000000,,0,0,0,1,1,0,0.007388,-0.121602,0.6875,0.1089,0.2669,2,ok
0,17,-2.512926,-1.672285,-0.079087,-0.001989,-0.003281,0.324438,0.200101,0.143920,0.108611,-0.035309,C-06,0,0,0,1,1,0,0.004110,-0.131253,0.6875,0.1518,0.2668,2,ok
0,18,-2.488992,-1.674338,-0.069713,-0.002876,-0.020379,0.348395,0.200240,0.116533,0.116533,0.000000,,0,0,0,1,1,0,0.002971,-0.129069,0.7292,0.1457,0.2649,2,ok
0,19,-2.465045,-1.676339,-0.062376,-0.003744,-0.013042,0.372410,0.200252,0.088919,0.088919,0.000000,,0,0,0,1,1,0,0.001102,-0.122256,0.7500,0.1461,0.2677,2,ok
0,20,-2.445077,-1.677931,-0.051093,-0.004724,-0.024789,0.392319,0.200366,0.172195,0.172195,0.000000,,0,0,0,1,1,0,0.000528,-0.118163,0.7292,0.1151,0.2663,2,ok
0,21,-2.425097,-1.679523,-0.035986,-0.005861,-0.009681,0.412331,0.200497,0.223608,0.223608,0.000000,,0,0,0,1,1,0,-0.000422,-0.115642,0.7500,0.1032,0.2654,2,ok
0,22,-2.405104,-1.681087,-0.017914,-0.006969,0.008390,0.431499,0.200504,0.262007,0.262007,0.000000,,0,0,0,1,1,0,0.001965,-0.105337,0.7292,0.0210,0.2652,2,ok
0,23,-2.381105,-1.682620,0.005120,-0.008425,0.011400,0.456226,0.200287,0.273170,0.273170,0.000000,,0,0,0,1,1,0,-0.001495,-0.092439,0.6875,0.1213,0.2666,2,ok
0,24,-2.361106,-1.682976,0.014442,-0.008705,0.020722,0.476226,0.199994,-0.024450,0.123170,0.147620,C-06,0,0,0,1,1,0,0.001150,-0.067577,0.6458,0.0410,0.2649,2,ok
0,25,-2.341110,-1.683041,0.021588,-0.008907,0.010273,0.496071,0.199955,0.100601,0.100601,0.000000,,0,0,0,1,1,0,0.002602,-0.060858,0.6458,-0.0071,0.2665,2,ok
0,26,-2.321116,-1.682871,0.026889,-0.009006,0.015574,0.516065,0.199942,0.073996,0.073996,0.000000,,0,0,0,1,1,0,0.001071,-0.049312,0.6875,0.0233,0.2649,2,ok
0,27,-2.297126,-1.682448,0.031592,-0.008971,0.005146,0.539920,0.199942,0.055217,0.055217,0.000000,,0,0,0,1,1,0,0.000128,-0.049622,0.7083,0.0391,0.2711,2,ok
0,28,-2.273142,-1.681957,0.041829,-0.009174,0.015382,0.563908,0.199871,0.127627,0.127627,0.000000,,0,0,0,1,1,0,0.000457,-0.048957,0.7500,0.0128,0.2699,2,ok
0,29,-2.253163,-1.681483,0.049376,-0.009279,0.022929,0.583893,0.199834,0.108404,0.108404,0.000000,,0,0,0,1,1,0,0.000704,-0.043082,0.7500,-0.0042,0.2701,2,ok
0,30,-2.229195,-1.680469,0.053076,-0.009197,0.014090,0.607773,0.199919,0.041728,0.041728,0.000000,,0,0,0,1,1,0,0.000728,-0.036369,0.7292,0.0003,0.2695,2,ok
0,31,-2.205228,-1.679241,0.052257,-0.008947,0.013272,0.631770,0.199993,-0.013722,-0.013722,0.000000,,0,0,0,1,1,0,0.000623,-0.027252,0.6875,-0.0222,0.2684,2,ok
0,32,-2.181256,-1.678002,0.042713,-0.008887,-0.006999,0.655666,0.200080,-0.124706,-0.124706,0.000000,,0,0,0,1,1,0,0.003293,-0.028309,0.7083,-0.1283,0.2665,2,ok
0,33,-2.157278,-1.676971,0.043957,-0.009125,-0.005755,0.679665,0.199987,0.029388,0.025294,-0.004094,C-06,0,0,0,1,1,0,-0.000630,-0.038073,0.6667,-0.0761,0.2652,2,ok
0,34,-2.133306,-1.675955,0.053984,-0.009458,-0.004172,0.703600,0.199893,0.130126,0.130126,0.000000,,0,0,0,1,1,0,-0.000082,-0.038446,0.6458,-0.1136,0.2650,2,ok
0,35,-2.113338,-1.675088,0.058945,-0.009767,0.000789,0.723585,0.199860,0.067753,0.067753,0.000000,,0,0,0,1,1,0,0.002043,-0.029196,0.7292,-0.1671,0.2664,2,ok
0,36,-2.089380,-1.673698,0.058727,-0.009841,-0.006723,0.747502,0.200001,-0.007747,-0.007747,0.000000,,0,0,0,1,1,0,-0.000387,-0.019541,0.7500,-0.1205,0.2698,2,ok
0,37,-2.065425,-1.672287,0.064189,-0.010039,-0.001261,0.771498,0.199938,0.073002,0.073002,0.000000,,0,0,0,1,1,0,-0.001202,-0.015233,0.8125,-0.1152,0.2706,2,ok
0,38,-2.041478,-1.670876,0.068682,-0.010251,-0.001758,0.795444,0.199877,0.054214,0.054214,0.000000,,0,0,0,1,1,0,-0.000499,-0.011499,0.7708,-0.1646,0.2702,2,ok
0,39,-2.021528,-1.669685,0.072541,-0.010482,0.002101,0.815429,0.199850,0.057413,0.057413,0.000000,,0,0,0,1,1,0,0.001650,-0.004929,0.7500,-0.2365,0.2689,2,ok
0,40,-1.997591,-1.667976,0.071789,-0.010479,0.001349,0.839427,0.200001,-0.013488,-0.013488,0.000000,,0,0,0,1,1,0,0.001166,0.003309,0.7292,-0.2359,0.2689,2,ok
0,41,-1.973643,-1.666252,0.059415,-0.010589,-0.014851,0.863372,0.200156,-0.238558,-0.163488,0.075070,C-06,0,0,0,1,1,0,0.000873,0.005270,0.7500,-0.2455,0.2674,2,ok
0,42,-1.949678,-1.664529,0.047902,-0.010719,-0.026364,0.887399,0.200281,-0.139109,-0.139109,0.000000,,0,0,0,1,1,0,0.000106,0.001616,0.6875,-0.2562,0.2667,2,ok
0,43,-1.929700,-1.663544,0.047818,-0.011287,-0.028691,0.907386,0.199995,0.104304,0.010891,-0.093413,C-06,0,0,0,1,1,0,-0.001498,-0.012446,0.6875,-0.2831,0.2624,2,ok
0,44,-1.905730,-1.662409,0.051779,-0.012020,-0.024730,0.931372,0.199958,0.050979,0.050979,0.000000,,0,0,0,1,1,0,-0.002989,-0.009453,0.7292,-0.2799,0.2618,2,ok
0,45,-1.881765,-1.661274,0.056591,-0.012754,-0.020205,0.955351,0.199906,0.059240,0.059240,0.000000,,0,0,0,1,1,0,-0.004692,-0.004207,0.7917,-0.2606,0.2616,2,ok
0,46,-1.857809,-1.660140,0.064563,-0.013490,-0.012233,0.979322,0.199812,0.100234,0.100234,0.000000,,0,0,0,1,1,0,-0.006825,0.007745,0.7917,-0.2291,0.2614,2,ok
0,47,-1.833867,-1.659000,0.074974,-0.014222,-0.000954,1.003276,0.199686,0.130194,0.130194,0.000000,,0,0,0,1,1,0,-0.007238,0.018709,0.7500,-0.2159,0.2627,2,ok
0,48,-1.813927,-1.657681,0.078788,-0.014467,0.002860,1.023258,0.199856,0.050265,0.050265,0.000000,,0,0,0,1,1,0,-0.009067,0.025028,0.7500,-0.1578,0.2634,2,ok
0,49,-1.789997,-1.655811,0.073749,-0.014451,0.000804,1.047343,0.200069,-0.070218,-0.070218,0.000000,,0,0,0,1,1,0,-0.012217,0.051298,0.7083,-0.0482,0.2701,2,ok
0,50,-1.766050,-1.653927,0.056862,-0.014310,-0.016083,1.071365,0.200283,-0.365579,-0.220218,0.145361,C-06,0,0,0,1,1,0,-0.011033,0.057176,0.7500,-0.1005,0.2643,2,ok
0,51,-1.742073,-1.652044,0.028793,-0.014170,-0.044152,1.092809,0.200524,-0.350713,-0.350713,0.000000,,0,0,0,1,1,0,-0.012849,0.052167,0.7083,-0.0654,0.2671,2,ok
