episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-2.826803,-1.603287,-0.267796,0.015882,0.037379,19.992133,0.035927,0.151834,0.151834,0.000000,,0,0,0,1,1,0,0.028824,-0.220510,0.6667,0.2072,0.2496,2,ok
0,2,-2.818541,-1.605047,-0.258334,0.016298,0.006063,0.009832,0.099525,0.130833,0.130833,0.000000,,0,0,0,1,1,0,0.029019,-0.218239,0.6458,0.2078,0.2503,2,ok
0,3,-2.802871,-1.608636,-0.248850,0.016940,0.015547,0.025895,0.163112,0.131612,0.131612,0.000000,,0,0,0,1,1,0,0.030446,-0.211367,0.6458,0.1875,0.2518,2,ok
0,4,-2.784500,-1.613264,-0.248243,0.017287,0.016154,0.044837,0.199994,0.000918,0.000918,0.000000,,0,0,0,1,1,0,0.025924,-0.205966,0.6667,0.3292,0.2578,2,ok
0,5,-2.761259,-1.619161,-0.256923,0.016909,-0.035247,0.069641,0.199600,-0.129262,-0.129262,0.000000,,0,0,0,1,1,0,0.025111,-0.221608,0.6458,0.3198,0.2583,2,ok
0,6,-2.741895,-1.624179,-0.246915,0.016181,-0.025239,0.089632,0.200310,0.192912,0.192912,0.000000,C-06,0,0,0,1,1,0,0.020960,-0.229634,0.7083,0.3400,0.2598,2,ok
0,7,-2.722460,-1.629204,-0.229048,0.015459,-0.007372,0.108761,0.201111,0.303708,0.303708,0.000000,,0,0,0,1,1,0,0.017920,-0.233985,0.7500,0.3538,0.2598,2,ok
0,8,-2.699058,-1.635019,-0.218783,0.013771,-0.039647,0.134391,0.200925,0.129350,0.129350,0.000000,C-06,0,0,0,1,1,0,0.018185,-0.226245,0.7292,0.2916,0.2613,2,ok
0,9,-2.679518,-1.639694,-0.210393,0.012582,-0.031257,0.154448,0.200922,0.229957,0.229957,0.000000,,0,0,0,1,1,0,0.016761,-0.217215,0.7292,0.2319,0.2642,2,ok
0,10,-2.655984,-1.645228,-0.183237,0.010649,-0.042884,0.179018,0.201942,0.372817,0.372817,0.000000,,0,0,0,1,1,0,0.013223,-0.211149,0.7083,0.2416,0.2631,2,ok
0,11,-2.636287,-1.649646,-0.165293,0.008947,-0.024940,0.199133,0.201811,0.279150,0.279150,0.000000,,0,0,0,1,1,0,0.014290,-0.209213,0.7500,0.1971,0.2624,2,ok
0,12,-2.616547,-1.653238,-0.158379,0.008068,-0.018026,0.218211,0.200550,0.095207,0.095207,0.000000,C-06,0,0,0,1,1,0,0.014290,-0.209213,0.7500,0.1971,0.2624,2,ok
0,13,-2.596809,-1.656438,-0.166585,0.006850,-0.060209,0.239416,0.199792,-0.149156,-0.149156,0.000000,C-06,0,0,0,1,1,0,0.008092,-0.184453,0.6458,0.2599,0.2615,2,ok
