episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.838935,-1.614200,-0.014671,0.008300,-0.014671,2.000000,0.000000,0.308100,0.308100,0.000000,,0,0,0,1,1,0,0.016851,-0.015460,0.7292,-0.0489,0.2670,2,ok
0,2,-0.835498,-1.614147,0.008887,0.008353,0.008887,2.003437,0.058039,0.300430,0.300430,0.000000,,0,0,0,1,1,0,0.016729,-0.016481,0.7292,-0.0474,0.2676,2,ok
0,3,-0.824403,-1.613980,0.034085,0.008520,0.034085,2.014532,0.121582,-0.010458,-0.010458,0.000000,C-06,0,0,0,1,1,0,0.018427,-0.003336,0.7292,-0.0484,0.2672,2,ok
0,4,-0.809336,-1.613504,0.035135,0.008996,0.035135,2.029600,0.174620,-0.313813,-0.313813,0.000000,C-06,0,0,0,1,1,0,0.022874,0.028349,0.7292,-0.0527,0.2677,2,ok
0,5,-0.785865,-1.612819,0.011725,0.009681,0.011725,2.053070,0.200063,-0.441732,-0.441732,0.000000,,0,0,0,1,1,0,0.023681,0.034586,0.7500,-0.0454,0.2673,2,ok
0,6,-0.765866,-1.612254,-0.018683,0.010246,-0.018683,2.073069,0.200051,-0.140760,-0.140760,0.000000,C-06,0,0,0,1,1,0,0.022400,0.020587,0.7083,-0.0468,0.2679,2,ok
0,7,-0.745873,-1.612143,-0.030211,0.010357,-0.030211,2.093063,0.199912,-0.408733,-0.408733,0.000000,C-06,0,0,0,1,1,0,0.019925,-0.012628,0.6875,-0.0491,0.2663,2,ok
0,8,-0.721898,-1.612187,-0.061839,0.010313,-0.061839,2.117037,0.199637,0.687168,0.687168,0.000000,C-06,0,0,0,1,1,0,0.017576,-0.028014,0.7292,-0.0527,0.2664,2,ok
0,9,-0.701955,-1.612382,-0.085834,0.010118,-0.085834,2.135135,0.199817,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.012890,-0.060722,0.7917,-0.0395,0.2676,2,ok
0,10,-0.677994,-1.614373,-0.009176,0.008127,-0.009176,2.160942,0.200670,0.293848,0.293848,0.000000,C-06,0,0,0,1,1,0,0.009795,-0.089122,0.7917,-0.0471,0.2665,2,ok
0,11,-0.657995,-1.615545,0.015560,0.006955,0.015560,2.180941,0.200201,-0.090359,-0.090359,0.000000,C-06,0,0,0,1,1,0,0.014705,-0.032412,0.7500,-0.0340,0.2676,2,ok
0,12,-0.637997,-1.615305,0.011396,0.007195,0.011396,2.200939,0.200014,0.024332,0.024332,0.000000,,0,0,0,1,1,0,0.018810,0.007306,0.7708,-0.0486,0.2672,2,ok
0,13,-0.617998,-1.615078,0.012685,0.007422,0.012685,2.220937,0.199996,-0.235749,-0.235749,0.000000,C-06,0,0,0,1,1,0,0.019010,0.012424,0.7708,-0.0434,0.2675,2,ok
0,14,-0.593999,-1.614789,-0.005274,0.007711,-0.005274,2.244937,0.200013,-0.501184,-0.501184,0.000000,C-06,0,0,0,1,1,0,0.019097,0.009718,0.7292,-0.0439,0.2669,2,ok
0,15,-0.574004,-1.614547,-0.038004,0.007953,-0.038004,2.264932,0.199884,-0.796596,-0.796596,0.000000,C-06,0,0,0,1,1,0,0.017885,0.001999,0.7292,-0.0361,0.2666,2,ok
0,16,-0.554046,-1.614305,-0.089932,0.008195,-0.089932,2.284890,0.199258,-0.657017,-0.657017,0.000000,,0,0,0,1,1,0,0.015028,-0.023156,0.7083,-0.0372,0.2677,2,ok
0,17,-0.534173,-1.614206,-0.133751,0.008294,-0.133751,2.304763,0.198290,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.010048,-0.066088,0.6875,-0.0365,0.2669,2,ok
0,18,-0.510327,-1.617137,-0.072524,0.005363,-0.072524,2.328609,0.201127,0.472043,0.472043,0.000000,C-06,0,0,0,1,1,0,0.003551,-0.111794,0.7708,-0.0263,0.2683,2,ok
0,19,-0.486360,-1.620274,-0.031339,0.002226,-0.031339,2.352576,0.201570,0.142307,0.142307,0.000000,C-06,0,0,0,1,1,0,0.004989,-0.089567,0.7708,-0.0429,0.2668,2,ok
0,20,-0.466366,-1.621463,-0.019677,0.001037,-0.019677,2.372570,0.200207,0.214588,0.214588,0.000000,,0,0,0,1,1,0,0.006815,-0.062489,0.7708,-0.0394,0.2676,2,ok
0,21,-0.446368,-1.622441,-0.004906,0.000059,-0.004906,2.392568,0.200236,0.211160,0.211160,0.000000,,0,0,0,1,1,0,0.008251,-0.026936,0.7500,-0.0386,0.2669,2,ok
0,22,-0.426368,-1.623284,0.010020,-0.000784,0.010020,2.412568,0.200116,0.028558,0.028558,0.000000,C-06,0,0,0,1,1,0,0.008676,-0.019526,0.7708,-0.0493,0.2660,2,ok
0,23,-0.402370,-1.623192,0.013342,-0.000692,0.013342,2.435535,0.199988,-0.125377,-0.125377,0.000000,C-06,0,0,0,1,1,0,0.009712,0.001421,0.7292,-0.0414,0.2676,2,ok
0,24,-0.382371,-1.622969,0.005477,-0.000469,0.005477,2.456565,0.200010,-0.250930,-0.250930,0.000000,,0,0,0,1,1,0,0.011277,0.009495,0.7292,-0.0471,0.2682,2,ok
0,25,-0.362371,-1.622740,-0.011461,-0.000240,-0.011461,2.476564,0.200002,-0.322148,-0.322148,0.000000,,0,0,0,1,1,0,0.010056,0.002632,0.7083,-0.0416,0.2676,2,ok
0,26,-0.342376,-1.622511,-0.033537,-0.000011,-0.033537,2.496559,0.199909,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.009672,-0.013781,0.6875,-0.0654,0.2648,2,ok
0,27,-0.318383,-1.623245,0.030677,-0.000745,0.030677,2.520552,0.200042,1.000000,1.000000,0.000000,,0,0,0,1,1,0,0.005913,-0.032285,0.7292,-0.0397,0.2666,2,ok
0,28,-0.294451,-1.624058,0.111676,-0.001558,0.111676,2.544485,0.198948,0.484926,0.484926,0.000000,C-06,0,0,0,1,1,0,0.006710,-0.029115,0.7500,-0.0497,0.2660,2,ok
0,29,-0.274621,-1.623338,0.146263,-0.000838,0.146263,2.564315,0.198252,-0.015337,-0.015337,0.000000,C-06,0,0,0,1,1,0,0.018217,0.076708,0.7917,-0.0340,0.2659,3,ok
0,30,-0.250885,-1.619963,0.147929,0.002537,0.147929,2.585735,0.199990,-0.016850,-0.016850,0.000000,,0,0,0,1,1,0,0.025789,0.128980,0.7083,-0.0512,0.2673,3,ok
0,31,-0.227145,-1.616432,0.146637,0.006068,0.146637,2.611791,0.200027,-0.130135,-0.130135,0.000000,,0,0,0,1,1,0,0.030876,0.147997,0.7083,-0.0370,0.2681,3,ok
0,32,-0.203387,-1.612902,0.137255,0.009598,0.137255,2.635548,0.200279,-0.527411,-0.527411,0.000000,C-06,0,0,0,1,1,0,0.032654,0.149639,0.6667,-0.0235,0.2641,3,ok
0,33,-0.179562,-1.609371,0.099188,0.013129,0.099188,2.659374,0.201142,-0.544929,-0.544929,0.000000,,0,0,0,1,1,0,0.037961,0.134112,0.6250,-0.0554,0.2681,3,ok
0,34,-0.155636,-1.605841,0.055323,0.016659,0.055323,2.683300,0.201827,-0.770478,-0.770478,0.000000,C-06,0,0,0,1,1,0,0.036445,0.107459,0.6250,-0.0341,0.2677,3,ok
0,35,-0.135647,-1.602899,0.003480,0.019601,0.003480,2.703288,0.202148,0.037415,0.037415,0.000000,C-06,0,0,0,1,1,0,0.035368,0.071204,0.6250,-0.0484,0.2685,3,ok
0,36,-0.111647,-1.602662,0.001519,0.019838,0.001519,2.727288,0.200000,0.043780,0.043780,0.000000,,0,0,0,1,1,0,0.032295,0.031393,0.7083,-0.0392,0.2661,3,ok
0,37,-0.087648,-1.602694,0.005198,0.019806,0.005198,2.751288,0.199998,-0.205467,-0.205467,0.000000,C-06,0,0,0,1,1,0,0.029891,0.001085,0.7917,-0.0355,0.2656,2,ok
0,38,-0.063648,-1.602582,-0.010230,0.019918,-0.010230,2.775288,0.199994,-0.019633,-0.019633,0.000000,C-06,0,0,0,1,1,0,0.030244,0.004334,0.7708,-0.0329,0.2663,2,ok
0,39,-0.043649,-1.602719,-0.012657,0.019781,-0.012657,2.795286,0.199991,-0.152686,-0.152686,0.000000,,0,0,0,1,1,0,0.028998,-0.010196,0.7500,-0.0387,0.2666,2,ok
0,40,-0.019653,-1.602926,-0.024553,0.019574,-0.024553,2.819282,0.199950,0.003783,0.003783,0.000000,C-06,0,0,0,1,1,0,0.028627,-0.015587,0.7708,-0.0438,0.2666,2,ok
0,41,0.004339,-1.603508,-0.025111,0.018992,-0.025111,2.843274,0.200001,-0.133726,-0.133726,0.000000,,0,0,0,1,1,0,0.027302,-0.024480,0.7292,-0.0387,0.2674,2,ok
0,42,0.028328,-1.604117,-0.035300,0.018383,-0.035300,2.867264,0.199943,-0.527042,-0.527042,0.000000,C-06,0,0,0,1,1,0,0.027025,-0.028038,0.7500,-0.0572,0.2661,2,ok
0,43,0.048302,-1.604624,-0.067798,0.017876,-0.067798,2.886035,0.199631,-0.618159,-0.618159,0.000000,,0,0,0,1,1,0,0.024696,-0.035377,0.6875,-0.0430,0.2666,2,ok
0,44,0.072199,-1.605233,-0.116630,0.017267,-0.116630,2.911134,0.198757,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.020762,-0.060469,0.7292,-0.0428,0.2662,2,ok
0,45,0.096089,-1.607863,-0.053533,0.014637,-0.053533,2.935025,0.201003,0.968724,0.968724,0.000000,,0,0,0,1,1,0,0.014950,-0.100870,0.7708,-0.0367,0.2675,2,ok
0,46,0.120081,-1.610635,0.027693,0.011865,0.027693,2.959016,0.201272,0.351895,0.351895,0.000000,C-06,0,0,0,1,1,0,0.017208,-0.061112,0.7708,-0.0328,0.2677,2,ok
0,47,0.144055,-1.611389,0.060593,0.011111,0.060593,2.982990,0.199660,-0.107469,-0.107469,0.000000,C-06,0,0,0,1,1,0,0.023526,0.005863,0.7917,-0.0368,0.2678,2,ok
0,48,0.164020,-1.610292,0.055546,0.012208,0.055546,3.002955,0.200039,-0.285032,-0.285032,0.000000,C-06,0,0,0,1,1,0,0.026866,0.046153,0.7292,-0.0193,0.2668,3,ok
0,49,0.187995,-1.608868,0.033329,0.013632,0.033329,3.026930,0.200234,-0.206928,-0.206928,0.000000,,0,0,0,1,1,0,0.028944,0.059135,0.7292,-0.0348,0.2665,3,ok
0,50,0.211987,-1.607443,0.015653,0.015057,0.015653,3.050923,0.200324,-0.255016,-0.255016,0.000000,,0,0,0,1,1,0,0.027696,0.039448,0.7500,-0.0343,0.2650,3,ok
0,51,0.235986,-1.606101,-0.005666,0.016399,-0.005666,3.074922,0.200240,-0.143472,-0.143472,0.000000,,0,0,0,1,1,0,0.027890,0.028608,0.7500,-0.0488,0.2655,2,ok
0,52,0.259984,-1.605637,-0.018336,0.016863,-0.018336,3.098920,0.199983,-0.261058,-0.261058,0.000000,,0,0,0,1,1,0,0.025964,-0.006567,0.6875,-0.0355,0.2674,2,ok
0,53,0.279977,-1.605420,-0.035704,0.017080,-0.035704,3.118913,0.199891,0.005310,0.005310,0.000000,C-06,0,0,0,1,1,0,0.026417,-0.012351,0.7083,-0.0596,0.2660,2,ok
0,54,0.303961,-1.606232,-0.036805,0.016268,-0.036805,3.142896,0.200003,0.632276,0.632276,0.000000,C-06,0,0,0,1,1,0,0.023502,-0.033056,0.7708,-0.0387,0.2668,2,ok
0,55,0.327954,-1.607124,0.009251,0.015376,0.009251,3.166890,0.200133,-0.125141,-0.125141,0.000000,C-06,0,0,0,1,1,0,0.022733,-0.040990,0.7917,-0.0533,0.2670,2,ok
0,56,0.347954,-1.607010,0.005015,0.015490,0.005015,3.186435,0.200006,-0.145425,-0.145425,0.000000,,0,0,0,1,1,0,0.026109,-0.002825,0.7500,-0.0472,0.2669,2,ok
0,57,0.371953,-1.606777,-0.007214,0.015723,-0.007214,3.210889,0.200005,-0.505900,-0.505900,0.000000,C-06,0,0,0,1,1,0,0.026893,0.009692,0.7708,-0.0363,0.2673,2,ok
0,58,0.395944,-1.606543,-0.046235,0.015957,-0.046235,3.234880,0.199813,-0.143674,-0.143674,0.000000,C-06,0,0,0,1,1,0,0.025393,-0.005118,0.7292,-0.0400,0.2670,2,ok
0,59,0.419909,-1.607099,-0.059861,0.015401,-0.059861,3.258845,0.199743,-0.471456,-0.471456,0.000000,C-06,0,0,0,1,1,0,0.020745,-0.044082,0.7083,-0.0364,0.2670,2,ok
0,60,0.443838,-1.607863,-0.095247,0.014637,-0.095247,3.282774,0.199228,-0.194822,-0.194822,0.000000,C-06,0,0,0,1,1,0,0.018762,-0.058851,0.7083,-0.0475,0.2665,2,ok
0,61,0.463732,-1.609143,-0.109314,0.013357,-0.109314,3.302668,0.199342,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.015771,-0.082301,0.7083,-0.0516,0.2658,2,ok
0,62,0.487644,-1.611670,-0.042756,0.010830,-0.042756,3.326579,0.200933,0.468672,0.468672,0.000000,C-06,0,0,0,1,1,0,0.011459,-0.103825,0.7708,-0.0488,0.2674,2,ok
0,63,0.511637,-1.614229,-0.000629,0.008271,-0.000629,3.350573,0.201032,0.615136,0.615136,0.000000,,0,0,0,1,1,0,0.013803,-0.058200,0.7917,-0.0292,0.2670,2,ok
0,64,0.535628,-1.616466,0.049849,0.006034,0.049849,3.374563,0.200360,-0.039868,-0.039868,0.000000,C-06,0,0,0,1,1,0,0.017439,-0.015458,0.7708,-0.0385,0.2688,2,ok
0,65,0.559595,-1.615413,0.050402,0.007087,0.050402,3.398531,0.200022,-0.194691,-0.194691,0.000000,C-06,0,0,0,1,1,0,0.021919,0.043702,0.7500,-0.0366,0.2680,2,ok
0,66,0.583573,-1.614149,0.035307,0.008351,0.035307,3.422508,0.200148,-0.384457,-0.384457,0.000000,C-06,0,0,0,1,1,0,0.023245,0.052323,0.7500,-0.0406,0.2662,3,ok
0,67,0.607566,-1.612884,0.004511,0.009616,0.004511,3.446502,0.200274,-0.251812,-0.251812,0.000000,,0,0,0,1,1,0,0.022991,0.041743,0.7500,-0.0389,0.2667,2,ok
0,68,0.631565,-1.611786,-0.017539,0.010714,-0.017539,3.470501,0.200102,-0.313682,-0.313682,0.000000,,0,0,0,1,1,0,0.020271,0.008933,0.7083,-0.0261,0.2669,2,ok
0,69,0.651557,-1.611142,-0.039000,0.011358,-0.039000,3.490493,0.199926,-0.461543,-0.461543,0.000000,,0,0,0,1,1,0,0.019359,-0.011044,0.7083,-0.0434,0.2668,2,ok
0,70,0.675517,-1.610601,-0.075817,0.011899,-0.075817,3.514452,0.199477,0.530730,0.530730,0.000000,C-06,0,0,0,1,1,0,0.017525,-0.030298,0.6875,-0.0459,0.2673,2,ok
0,71,0.699468,-1.612268,-0.041788,0.010232,-0.041788,3.536835,0.200391,1.000000,1.000000,0.000000,C-06,0,0,0,1,1,0,0.012930,-0.074844,0.7917,-0.0449,0.2660,2,ok
0,72,0.723460,-1.614101,0.036949,0.008399,0.036949,3.562396,0.200472,0.249663,0.249663,0.000000,C-06,0,0,0,1,1,0,0.014217,-0.054115,0.7708,-0.0432,0.2669,2,ok
0,73,0.747428,-1.614198,0.061701,0.008302,0.061701,3.586364,0.199643,-0.067647,-0.067647,0.000000,C-06,0,0,0,1,1,0,0.019725,0.001022,0.7917,-0.0431,0.2673,2,ok
0,74,0.767391,-1.613025,0.058772,0.009475,0.058772,3.606327,0.200040,-0.248054,-0.248054,0.000000,C-06,0,0,0,1,1,0,0.025362,0.057306,0.7292,-0.0298,0.2660,3,ok
0,75,0.791361,-1.611530,0.039689,0.010970,0.039689,3.630296,0.200223,-0.209916,-0.209916,0.000000,,0,0,0,1,1,0,0.026709,0.059447,0.7292,-0.0343,0.2665,3,ok
0,76,0.815349,-1.610035,0.022042,0.012465,0.022042,3.654284,0.200336,-0.315598,-0.315598,0.000000,,0,0,0,1,1,0,0.025463,0.047689,0.7292,-0.0231,0.2647,3,ok
0,77,0.839347,-1.608540,-0.003974,0.013960,-0.003974,3.678283,0.200387,-0.290110,-0.290110,0.000000,,0,0,0,1,1,0,0.025323,0.022583,0.6875,-0.0389,0.2660,2,ok
0,78,0.863343,-1.607468,-0.028477,0.015032,-0.028477,3.702279,0.200031,-0.467577,-0.467577,0.000000,C-06,0,0,0,1,1,0,0.024878,0.011930,0.6875,-0.0385,0.2662,2,ok
0,79,0.883324,-1.606866,-0.059452,0.015634,-0.059452,3.722259,0.199757,0.385576,0.385576,0.000000,C-06,0,0,0,1,1,0,0.022613,-0.021045,0.7083,-0.0390,0.2661,2,ok
0,80,0.907292,-1.608126,-0.035503,0.014374,-0.035503,3.746227,0.200224,0.996684,0.996684,0.000000,C-06,0,0,0,1,1,0,0.020185,-0.044952,0.7292,-0.0442,0.2649,2,ok
0,81,0.931285,-1.609568,0.040416,0.012932,0.040416,3.770221,0.200226,0.049903,0.049903,0.000000,C-06,0,0,0,1,1,0,0.019571,-0.042536,0.7500,-0.0420,0.2650,2,ok
0,82,0.951263,-1.609004,0.049467,0.013496,0.049467,3.787135,0.199911,-0.165035,-0.165035,0.000000,C-06,0,0,0,1,1,0,0.025715,0.009969,0.7083,-0.0635,0.2650,2,ok
0,83,0.975239,-1.607826,0.037213,0.014674,0.037213,3.814175,0.200104,-0.215859,-0.215859,0.000000,,0,0,0,1,1,0,0.031544,0.048057,0.7292,-0.1112,0.2698,3,ok
0,84,0.999229,-1.606633,0.019487,0.015867,0.019487,3.837235,0.200205,-0.168290,-0.168290,0.000000,,0,0,0,1,1,0,0.032637,0.037555,0.6875,-0.1475,0.2706,3,ok
0,85,1.023227,-1.605512,0.005039,0.016988,0.005039,3.862162,0.200167,-0.125171,-0.125171,0.000000,,0,0,0,1,1,0,0.031558,0.023920,0.7083,-0.1596,0.2682,2,ok
0,86,1.047227,-1.604872,-0.005820,0.017628,-0.005820,3.886162,0.200042,-0.263633,-0.263633,0.000000,,0,0,0,1,1,0,0.030960,0.009583,0.6458,-0.1613,0.2694,3,ok
0,87,1.067225,-1.604471,-0.023436,0.018029,-0.023436,3.906160,0.199990,-0.240754,-0.240754,0.000000,,0,0,0,1,1,0,0.032883,-0.005076,0.6667,-0.2551,0.2651,2,ok
0,88,1.091211,-1.604113,-0.043542,0.018387,-0.043542,3.930146,0.199822,0.655169,0.655169,0.000000,C-06,0,0,0,1,1,0,0.031368,-0.019250,0.6875,-0.2855,0.2635,2,ok
0,89,1.115200,-1.605054,0.001615,0.017446,0.001615,3.954136,0.200177,0.595100,0.595100,0.000000,,0,0,0,1,1,0,0.029393,-0.027071,0.7292,-0.2712,0.2648,2,ok
0,90,1.139189,-1.606065,0.051569,0.016435,0.051569,3.978125,0.199934,-0.044669,-0.044669,0.000000,C-06,0,0,0,1,1,0,0.028993,0.005365,0.7500,-0.2382,0.2633,2,ok
0,91,1.163155,-1.604943,0.051541,0.017557,0.051541,4.002091,0.200019,-0.330254,-0.330254,0.000000,C-06,0,0,0,1,1,0,0.032461,0.056555,0.7083,-0.2399,0.2616,2,ok
0,92,1.183137,-1.603874,0.031228,0.018626,0.031228,4.022072,0.200180,0.098441,0.098441,0.000000,C-06,0,0,0,1,1,0,0.033505,0.075871,0.6667,-0.2308,0.2634,3,ok
0,93,1.207124,-1.603112,0.036747,0.019388,0.036747,4.046059,0.199958,0.028780,0.028780,0.000000,,0,0,0,1,1,0,0.032082,0.069618,0.6875,-0.1973,0.2645,3,ok
0,94,1.231106,-1.602336,0.039467,0.020164,0.039467,4.070042,0.199957,-0.310658,-0.310658,0.000000,C-06,0,0,0,1,1,0,0.029432,0.075781,0.6667,-0.1326,0.2661,3,ok
