episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.837660,-1.631854,0.053680,-0.009354,0.053680,2.001276,0.035201,0.450125,0.450125,0.000000,,0,0,0,1,1,0,0.004097,0.033046,0.6667,-0.0303,0.2673,2,ok
0,2,-0.829317,-1.631728,0.078805,-0.009228,0.078805,2.009619,0.098558,0.256702,0.300125,0.043422,C-06,0,0,0,1,1,0,0.005569,0.042178,0.6667,-0.0291,0.2672,2,ok
0,3,-0.813381,-1.631056,0.091480,-0.008556,0.091480,2.025554,0.162024,-0.022392,0.150125,0.172516,C-06,0,0,0,1,1,0,0.007237,0.057104,0.6667,-0.0268,0.2670,2,ok
0,4,-0.794611,-1.629366,0.092287,-0.006866,0.092287,2.044324,0.200000,-0.449826,0.000125,0.449951,C-06,0,0,0,1,1,0,0.010653,0.083484,0.6042,-0.0214,0.2672,3,ok
0,5,-0.770702,-1.627155,0.081173,-0.004655,0.081173,2.068233,0.200182,-0.643556,-0.149875,0.493681,C-06,0,0,0,1,1,0,0.012826,0.090037,0.5833,-0.0279,0.2665,3,ok
0,6,-0.750755,-1.625312,0.061850,-0.002812,0.061850,2.085135,0.200452,-0.327334,-0.299875,0.027459,C-06,0,0,0,1,1,0,0.014630,0.083487,0.5625,-0.0312,0.2655,3,ok
0,7,-0.730781,-1.623470,0.040023,-0.000970,0.040023,2.108154,0.200678,-0.320594,-0.320594,0.000000,,0,0,0,1,1,0,0.014995,0.067789,0.5000,-0.0349,0.2647,3,ok
0,8,-0.706794,-1.621827,0.025080,0.000673,0.025080,2.132142,0.200306,0.524363,-0.170594,-0.694957,C-06,0,0,0,1,1,0,0.013614,0.048903,0.5208,-0.0304,0.2652,2,ok
0,9,-0.686798,-1.620752,0.013470,0.001748,0.013470,2.152138,0.200144,0.349993,-0.020594,-0.370587,C-06,0,0,0,1,1,0,0.012987,0.023550,0.5625,-0.0167,0.2665,2,ok
0,10,-0.662799,-1.620327,0.001628,0.002173,0.001628,2.176137,0.200031,-0.148337,-0.148337,0.000000,,0,0,0,1,1,0,0.012580,0.012910,0.5208,-0.0237,0.2655,2,ok
