episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence
0,1,-0.002111,-0.136723,-0.014348,-0.014321,0.036297,0.001803,0.041075,-0.047151,-0.047151,0.000000,,0,1,1,0,-0.010066,-0.010955,0.8333
0,2,0.006951,-0.136860,-0.016989,-0.014449,0.033656,0.010865,0.104672,-0.030146,-0.030146,0.000000,,0,1,1,0,-0.010133,-0.012864,0.8542
0,3,0.023643,-0.137111,-0.018253,-0.014685,0.032391,0.027557,0.168266,-0.013847,-0.013847,0.000000,,0,1,1,0,-0.010891,-0.012671,0.8333
0,4,0.042842,-0.137452,-0.018472,-0.015007,0.032173,0.046757,0.199998,-0.002067,-0.002067,0.000000,,0,1,1,0,-0.011288,-0.014890,0.7917
0,5,0.066838,-0.137885,-0.018694,-0.015417,0.031951,0.070753,0.199998,-0.002691,-0.002691,0.000000,,0,1,1,0,-0.010749,-0.021225,0.7292
0,6,0.086835,-0.138248,-0.016705,-0.015761,0.033940,0.090750,0.200005,0.031195,0.031195,0.000000,,0,1,1,0,-0.011352,-0.020098,0.7292
0,7,0.106832,-0.138611,-0.015263,-0.016111,-0.002201,0.110732,0.200009,0.019668,0.019668,0.000000,,0,1,1,0,-0.011464,-0.019959,0.6667
0,8,0.130830,-0.138987,-0.015018,-0.016487,-0.001955,0.134730,0.200001,0.001884,0.001884,0.000000,,0,1,1,0,-0.011266,-0.020490,0.6875
0,9,0.150828,-0.139295,-0.013505,-0.016795,-0.000443,0.154728,0.200005,0.023293,0.023293,0.000000,,0,1,1,0,-0.013355,-0.010818,0.7500
0,10,0.174826,-0.139664,-0.011012,-0.017164,0.002050,0.178726,0.200011,0.030101,0.030101,0.000000,,0,1,1,0,-0.012643,-0.014317,0.7917
0,11,0.194825,-0.139962,-0.009370,-0.017462,0.003693,0.198725,0.200011,0.022698,0.022698,0.000000,,0,1,1,0,-0.013184,-0.010173,0.8125
0,12,0.214824,-0.140193,-0.008495,-0.017693,-0.008302,0.218724,0.200005,0.011546,0.011546,0.000000,,0,1,1,0,-0.013158,-0.008866,0.8333
0,13,0.234823,-0.140410,-0.006248,-0.017910,-0.006055,0.238723,0.200008,0.033664,0.033664,0.000000,,0,1,1,0,-0.013456,-0.007255,0.8125
0,14,0.258823,-0.140671,-0.002997,-0.018171,-0.002805,0.262723,0.200011,0.038719,0.038719,0.000000,,0,1,1,0,-0.013049,-0.007939,0.7708
0,15,0.278823,-0.140875,-0.000085,-0.018375,0.000107,0.282723,0.200008,0.041387,0.041387,0.000000,,0,1,1,0,-0.012807,-0.007857,0.7083
0,16,0.298823,-0.140986,0.002104,-0.018486,0.002297,0.302723,0.200002,0.029920,0.029920,0.000000,,0,1,1,0,-0.012804,-0.005666,0.7083
0,17,0.318823,-0.141014,0.003524,-0.018514,0.003524,0.322723,0.199999,0.019242,0.019242,0.000000,,0,1,1,0,-0.012456,-0.004689,0.6667
0,18,0.342823,-0.141021,0.005571,-0.018521,0.005571,0.346723,0.199997,0.024515,0.024515,0.000000,,0,1,1,0,-0.013389,0.002628,0.7083
0,19,0.366822,-0.141009,0.008925,-0.018509,0.008925,0.370722,0.199992,0.040766,0.040766,0.000000,,0,1,1,0,-0.014023,0.010293,0.7708
0,20,0.386821,-0.140917,0.010680,-0.018417,0.010680,0.390721,0.199992,0.023582,0.023582,0.000000,,0,1,1,0,-0.012976,0.008291,0.7917
0,21,0.406820,-0.140718,0.010622,-0.018218,0.010622,0.410720,0.199999,-0.002675,-0.002675,0.000000,,0,1,1,0,-0.012789,0.010871,0.8333
0,22,0.426819,-0.140514,0.011600,-0.018014,0.011600,0.430719,0.199997,0.014980,0.014980,0.000000,,0,1,1,0,-0.012320,0.010207,0.8542
0,23,0.450816,-0.140268,0.015748,-0.017768,0.015748,0.454717,0.199986,0.051803,0.051803,0.000000,,0,1,1,0,-0.012672,0.014126,0.8125
0,24,0.470814,-0.139956,0.015084,-0.017456,0.015084,0.474714,0.200003,-0.014965,-0.014965,0.000000,,0,1,1,0,-0.007709,-0.009675,0.7500
0,25,0.490812,-0.139653,0.014956,-0.017153,0.014956,0.494712,0.200000,-0.000538,-0.000538,0.000000,,0,1,1,0,-0.007070,-0.011778,0.7292
0,26,0.510809,-0.139352,0.016387,-0.016852,0.016387,0.514709,0.199996,0.022017,0.022017,0.000000,,0,1,1,0,-0.006867,-0.010145,0.6875
0,27,0.534806,-0.138990,0.017946,-0.016490,0.017946,0.538706,0.199991,0.018388,0.018388,0.000000,,0,1,1,0,-0.007423,-0.004223,0.7083
0,28,0.558803,-0.138616,0.014697,-0.016116,0.014697,0.562703,0.200002,-0.043035,-0.043035,0.000000,,0,1,1,0,-0.005991,-0.007721,0.7500
0,29,0.578801,-0.138304,0.013558,-0.015804,0.013558,0.582701,0.200006,-0.013590,-0.013590,0.000000,,0,1,1,0,-0.008876,0.008749,0.7500
0,30,0.602798,-0.137929,0.014808,-0.015429,0.014808,0.603900,0.200003,0.016893,0.016893,0.000000,,0,1,1,0,-0.008893,0.008153,0.7708
0,31,0.626795,-0.137554,0.016896,-0.015054,0.016896,0.630695,0.199996,0.025499,0.025499,0.000000,,0,1,1,0,-0.008676,0.010664,0.8333
0,32,0.650792,-0.137179,0.017976,-0.014679,0.017976,0.654692,0.199992,0.011964,0.011964,0.000000,,0,1,1,0,-0.006737,-0.000498,0.7917
0,33,0.674787,-0.136802,0.019206,-0.014302,0.019206,0.678687,0.199989,0.014803,0.014803,0.000000,,0,1,1,0,-0.012937,0.045568,0.7708
0,34,0.698782,-0.136413,0.022772,-0.013913,0.022772,0.702682,0.199975,0.044570,0.044570,0.000000,,0,1,1,0,-0.014598,0.056231,0.7500
0,35,0.718776,-0.136089,0.027043,-0.013589,0.027043,0.722676,0.199954,0.062818,0.062818,0.000000,,0,1,1,0,-0.022674,0.094266,0.7083
0,36,0.742766,-0.135558,0.029652,-0.013058,0.029652,0.746666,0.199969,0.028751,0.028751,0.000000,,0,1,1,0,-0.021558,0.101058,0.7292
0,37,0.766756,-0.134904,0.028708,-0.012404,0.028708,0.770656,0.199993,-0.014620,-0.014620,0.000000,,0,1,1,0,-0.020066,0.112220,0.7500
0,38,0.790746,-0.134231,0.028428,-0.011731,0.028428,0.794646,0.199998,-0.002451,-0.002451,0.000000,,0,1,1,0,-0.008137,0.044460,0.7500
0,39,0.810739,-0.133669,0.025662,-0.011169,0.025662,0.814639,0.200012,-0.043618,-0.043618,0.000000,,0,1,1,0,-0.010896,0.067132,0.8125
0,40,0.834731,-0.133016,0.024583,-0.010516,0.024583,0.838631,0.200011,-0.010437,-0.010437,0.000000,,0,1,1,0,-0.015620,0.100770,0.8333
0,41,0.858725,-0.132375,0.019300,-0.009875,0.019300,0.862625,0.200033,-0.067133,-0.067133,0.000000,,0,1,1,0,-0.026823,0.174829,0.8333
0,42,0.882722,-0.131765,0.015947,-0.009265,0.015947,0.886622,0.200032,-0.037735,-0.037735,0.000000,,0,1,1,0,-0.026857,0.175692,0.7708
0,43,0.902719,-0.131412,0.015228,-0.008912,0.015228,0.903900,0.200005,-0.007552,-0.007552,0.000000,,0,1,1,0,-0.036574,0.216679,0.7292
0,44,0.926717,-0.131010,0.009730,-0.008510,0.009730,0.930617,0.200018,-0.069726,-0.069726,0.000000,,0,1,1,0,-0.046626,0.257364,0.7500
0,45,0.950717,-0.130608,-0.001477,-0.008108,-0.001477,0.954617,0.200028,-0.137198,-0.137198,0.000000,,0,1,1,0,-0.018107,0.110263,0.7083
0,46,0.974717,-0.130423,-0.006529,-0.007923,-0.006529,0.978617,0.199999,-0.054078,-0.054078,0.000000,,0,1,1,0,-0.027544,0.162677,0.7708
0,47,0.998715,-0.130313,-0.018750,-0.007813,-0.018750,1.002615,0.199969,-0.153593,-0.153593,0.000000,,0,1,1,0,-0.029219,0.171986,0.8125
0,48,1.018707,-0.130221,-0.036668,-0.007721,-0.036668,1.022607,0.199875,-0.270109,-0.270109,0.000000,,0,1,1,0,-0.031139,0.179301,0.8333
0,49,1.042672,-0.130111,-0.070069,-0.007611,-0.070069,1.046572,0.199533,-0.437721,-0.420109,0.017613,C-06,0,1,1,0,-0.046803,0.266378,0.8333
0,50,1.066588,-0.130607,-0.096295,-0.008107,-0.096295,1.070488,0.199213,-0.319336,-0.319336,0.000000,,0,1,1,0,-0.086027,-0.302464,0.3750
0,51,1.090459,-0.132277,-0.110656,-0.009777,-0.110656,1.094359,0.199405,-0.080168,-0.169336,-0.089168,C-06,0,1,1,0,-0.043802,0.173114,0.7292
0,52,1.114305,-0.134727,-0.115311,-0.012227,-0.115311,1.118205,0.199796,-0.050012,-0.050012,0.000000,,0,1,1,0,-0.068806,0.257799,0.7292
0,53,1.134159,-0.136847,-0.127303,-0.014347,-0.127303,1.138059,0.199530,-0.250654,-0.200012,0.050643,C-06,0,1,1,0,-0.075724,0.291823,0.7708
0,54,1.157924,-0.139393,-0.153539,-0.016893,-0.153539,1.161824,0.198819,-0.367040,-0.350012,0.017028,C-06,0,1,1,0,-0.073184,0.269204,0.8125
0,55,1.181607,-0.142331,-0.171244,-0.019831,-0.171244,1.185507,0.198840,-0.225066,-0.225066,0.000000,,0,1,1,0,-0.081113,0.284757,0.7917
0,56,1.201304,-0.145503,-0.176755,-0.023003,-0.176755,1.203900,0.199570,0.176626,-0.075066,-0.251692,C-06,0,1,1,0,-0.073472,0.198828,0.7292
0,57,1.224938,-0.149708,-0.171983,-0.027208,-0.172175,1.228838,0.200165,0.362456,0.074934,-0.287522,C-06,0,1,1,0,-0.078764,0.209871,0.7083
0,58,1.248614,-0.153936,-0.155771,-0.031436,-0.155963,1.252514,0.200671,0.362567,0.224934,-0.137633,C-06,0,1,1,0,-0.082502,0.216711,0.6458
0,59,1.272356,-0.158163,-0.137312,-0.035663,-0.137505,1.276256,0.201203,0.240138,0.240138,0.000000,,0,1,1,0,-0.080565,0.209308,0.6458
0,60,1.296165,-0.162369,-0.114136,-0.039869,-0.114328,1.300065,0.201586,0.300870,0.300870,0.000000,,0,1,1,0,-0.075691,0.188428,0.6250
0,61,1.316059,-0.165687,-0.091331,-0.043187,-0.104393,1.319959,0.201669,0.349034,0.349034,0.000000,,0,1,1,0,-0.100043,0.280394,0.5833
0,62,1.339987,-0.169226,-0.061985,-0.046726,-0.075047,1.343887,0.201431,0.364764,0.364764,0.000000,,0,1,1,0,-0.086480,0.230225,0.6250
0,63,1.363957,-0.171819,-0.038326,-0.049319,-0.051388,1.367857,0.200785,0.283157,0.283157,0.000000,,0,1,1,0,-0.068939,0.116455,0.4792
0,64,1.387946,-0.173559,-0.020927,-0.051059,-0.033989,1.391846,0.200362,0.203576,0.203576,0.000000,,0,1,1,0,-0.091988,0.278596,0.6458
0,65,1.411944,-0.175031,0.001312,-0.052542,-0.049333,1.415794,0.200321,0.268202,0.268202,0.000000,,0,1,1,0,-0.070670,0.177981,0.6667
0,66,1.435941,-0.176178,0.026349,-0.053713,-0.024295,1.439790,0.200071,0.299301,0.299301,0.000000,,0,1,1,0,-0.085741,0.266812,0.6875
0,67,1.459922,-0.176765,0.052259,-0.054322,0.001614,1.463770,0.199754,0.314052,0.314052,0.000000,,0,1,1,0,-0.077354,0.230339,0.7083
0,68,1.483875,-0.176453,0.072615,-0.054034,0.021971,1.487723,0.199542,0.245153,0.245153,0.000000,,0,1,1,0,-0.072074,0.207610,0.6667
