episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.836038,-1.622368,0.245275,0.000132,0.245275,2.002898,0.052427,-0.265494,-0.265494,0.000000,,0,0,0,1,1,0,0.043938,0.273392,0.5833,-0.0371,0.2665,3,ok
0,2,-0.827973,-1.621323,0.227483,0.001177,0.227483,2.010963,0.105101,-0.295479,-0.295479,0.000000,,0,0,0,1,1,0,0.043887,0.243236,0.5833,-0.0633,0.2690,3,ok
0,3,-0.811423,-1.618647,0.208447,0.003853,0.208447,2.027513,0.168881,-0.255934,-0.255934,0.000000,,0,0,0,1,1,0,0.041610,0.229922,0.6042,-0.0497,0.2683,3,ok
0,4,-0.792495,-1.615590,0.192641,0.006910,0.192641,2.046441,0.198784,-0.254421,-0.254421,0.000000,,0,0,0,1,1,0,0.040376,0.222345,0.5833,-0.0374,0.2666,3,ok
0,5,-0.768899,-1.611806,0.174548,0.010694,0.174548,2.070037,0.199441,-0.239225,-0.239225,0.000000,,0,0,0,1,1,0,0.043055,0.200107,0.6042,-0.0624,0.2687,3,ok
0,6,-0.749181,-1.608653,0.161544,0.013847,0.161544,2.089755,0.199876,-0.202592,-0.202592,0.000000,,0,0,0,1,1,0,0.044205,0.174950,0.5833,-0.0573,0.2698,3,ok
0,7,-0.729408,-1.605499,0.139310,0.017001,0.139310,2.109527,0.200522,-0.357681,-0.357681,0.000000,C-06,0,0,0,1,1,0,0.044821,0.167523,0.5625,-0.0421,0.2650,3,ok
0,8,-0.705614,-1.601715,0.123234,0.020785,0.123234,2.133321,0.200956,-0.196712,-0.196712,0.000000,C-06,0,0,0,1,1,0,0.047198,0.136569,0.6042,-0.0707,0.2661,3,ok
0,9,-0.681775,-1.598175,0.109617,0.024325,0.109617,2.157160,0.200403,-0.091322,-0.091322,0.000000,,0,0,0,1,1,0,0.047800,0.124485,0.6875,-0.0566,0.2685,3,ok
0,10,-0.661877,-1.595656,0.090923,0.026844,0.090923,2.177058,0.200741,-0.301014,-0.301014,0.000000,C-06,0,0,0,1,1,0,0.048289,0.111021,0.6458,-0.0349,0.2682,3,ok
