episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency,joint_envelope_violated,oscillation_persistent,cv_ok,cv_state_available,cv_perception_invalid,cv_ey,cv_epsi,cv_confidence,cv_curvature,cv_lane_width,cv_n_lines,cv_reason
0,1,-0.837011,-1.545939,0.195472,0.076561,0.195472,2.001925,0.042387,0.293778,0.293778,0.000000,,0,0,0,1,1,0,0.112657,0.178068,0.4583,-0.0289,0.2659,3,ok
0,2,-0.827894,-1.545142,0.217284,0.077358,0.217284,2.011042,0.105192,0.293778,0.293778,0.000000,,0,0,0,1,1,0,0.112657,0.178068,0.4583,-0.0289,0.2659,3,ok
0,3,-0.811404,-1.542652,0.245920,0.079848,0.245920,2.027531,0.167894,0.399187,0.399187,0.000000,,0,0,0,1,1,0,0.115575,0.206331,0.4167,-0.0214,0.2642,3,ok
0,4,-0.792671,-1.538314,0.241153,0.084186,0.241153,2.046264,0.199365,0.283348,-0.109433,-0.392781,C-03,0,0,0,1,1,0,0.122366,0.239408,0.4375,-0.0286,0.2610,3,ok
0,5,-0.769264,-1.532643,0.199125,0.089857,0.199125,2.069672,0.201611,0.282889,-0.626421,-0.909309,C-06;C-03,0,0,0,1,1,0,0.127375,0.240586,0.3750,-0.0270,0.2625,3,ok
0,6,-0.749599,-1.527904,0.167244,0.094596,0.167244,2.089336,0.202766,0.298741,-0.499376,-0.798117,C-06;C-03,0,0,0,1,1,0,0.127913,0.213741,0.3750,-0.0240,0.2629,3,ok
0,7,-0.729831,-1.523248,0.136563,0.099252,0.136563,2.109105,0.203071,0.298710,-0.477609,-0.776319,C-06;C-03,0,0,0,1,1,0,0.132712,0.177735,0.4167,-0.0773,0.2725,3,ok
0,8,-0.706014,-1.518822,0.110352,0.103678,0.110352,2.132922,0.201722,0.221039,-0.327609,-0.548648,C-06,0,0,0,1,1,0,0.127724,0.146581,0.4583,-0.0208,0.2621,3,ok
0,9,-0.686113,-1.515636,0.089405,0.106864,0.089405,2.152822,0.200912,0.273407,-0.177609,-0.451015,C-06,0,0,0,1,1,0,0.135645,0.109178,0.5208,-0.1045,0.2749,3,ok
0,10,-0.662205,-1.513368,0.086484,0.109132,0.086484,2.176730,0.200095,0.374903,-0.027609,-0.402512,C-06,0,0,0,1,1,0,0.131736,0.088170,0.5417,-0.0380,0.2690,3,ok
0,11,-0.642286,-1.511623,0.093785,0.110877,0.093785,2.196650,0.199887,0.348274,0.122391,-0.225882,C-06,0,0,0,1,1,0,0.131017,0.085426,0.5208,-0.0267,0.2633,3,ok
0,12,-0.622390,-1.509884,0.110907,0.112616,0.110907,2.216546,0.199552,0.339441,0.272391,-0.067049,C-06,0,0,0,1,1,0,0.131017,0.085426,0.5208,-0.0267,0.2633,3,ok
0,13,-0.602541,-1.508146,0.135239,0.114354,0.135239,2.235335,0.198971,0.382052,0.382052,0.000000,,0,0,0,1,0,0,-0.130154,0.103678,0.5208,-0.0187,0.2691,3,ok
0,14,-0.598262,-1.507774,0.137173,0.114726,0.137173,2.240673,0.000000,0.377864,0.377864,0.000000,C-05,1,0,0,1,0,1,-0.123301,0.109437,0.5417,-0.0520,0.2641,3,ok
